BV号：BV1JJ411R762
标题：BV1JJ411R762
链接：https://www.bilibili.com/video/BV1JJ411R762
识别语言：zh
语言置信度：1
分段数：405
生成时间：2026-04-04 05:11:20

[00:00:02 - 00:00:03] 诶 你的
[00:00:03 - 00:00:04] 大胆
[00:01:06 - 00:01:08] 我们两个谁年龄大
[00:01:08 - 00:01:09] 这很猜吗
[00:01:10 - 00:01:11] 啊
[00:01:11 - 00:01:12] 这不都写在脸上吗
[00:01:13 - 00:01:13] 但是
[00:01:13 - 00:01:14] 这很有猜吗
[00:01:14 - 00:01:16] 我估计可能现在我们在问这个问题的时候
[00:01:16 - 00:01:18] 可能弹幕就已经有了
[00:01:18 - 00:01:19] 或者已经说
[00:01:19 - 00:01:21] 明年赵老师年龄要比赵老师年龄大吗对吧
[00:01:21 - 00:01:22] 但是大家千万不要忘了
[00:01:22 - 00:01:24] 我们在之前的节目当中说过
[00:01:24 - 00:01:26] 你是05年的
[00:01:26 - 00:01:27] 本科毕业
[00:01:27 - 00:01:27] 对吧
[00:01:27 - 00:01:27] 05年本科毕业
[00:01:27 - 00:01:28] 对对对
[00:01:28 - 00:01:31] 我是07年本科毕业的
[00:01:31 - 00:01:34] 实际上我的年龄要相对比你小
[00:01:34 - 00:01:35] 赵老师你不是本科上了好多年
[00:01:35 - 00:01:36] 没有没有
[00:01:36 - 00:01:38] 我只能说是少哥
[00:01:38 - 00:01:41] 小弟再次有礼号
[00:01:41 - 00:01:43] 张老师看起来也就比我老实多了
[00:01:43 - 00:01:44] 但是我现在就是
[00:01:44 - 00:01:45] 我不是你
[00:01:45 - 00:01:46] 因为经常有同学问我说
[00:01:46 - 00:01:48] 包括有一些媒体采访我
[00:01:48 - 00:01:49] 他说张老师你总是在给大家
[00:01:49 - 00:01:52] 灌输一种所谓成功的概念
[00:01:52 - 00:01:54] 你觉得什么东西叫个成功
[00:01:54 - 00:01:55] 包括说人到中年
[00:01:55 - 00:01:56] 对吧
[00:01:56 - 00:01:57] 然后大家就问我说
[00:01:57 - 00:01:58] 有没有什么中年危机
[00:01:58 - 00:01:59] 所以我想问一下
[00:01:59 - 00:02:00] 就是看起来长得很年轻
[00:02:00 - 00:02:01] 那少老师
[00:02:02 - 00:02:04] 你说我没有过这种所谓的中年危机
[00:02:04 - 00:02:07] 哎 这事我觉得咱俩还聊着了
[00:02:07 - 00:02:07] 其实这样啊
[00:02:07 - 00:02:09] 就中年危机如果你要谈她的话
[00:02:09 - 00:02:11] 我们先给中年危机要加一个定义
[00:02:11 - 00:02:13] 有的人说我感觉到生活有压力
[00:02:13 - 00:02:16] 比如说这个之前不是有这个段子吗
[00:02:16 - 00:02:18] 说这个中年男人一睁眼
[00:02:18 - 00:02:20] 你就感觉身边全是依靠你的人
[00:02:20 - 00:02:22] 对不起 这不叫中年危机
[00:02:22 - 00:02:23] 这是人生的常态 我也没
[00:02:23 - 00:02:26] 人生有压力和千半是常态
[00:02:26 - 00:02:28] 这个 你说我有物质上的压力
[00:02:28 - 00:02:30] 我要给家人提供更好的物质条件
[00:02:30 - 00:02:32] 给小孩更好的教育都需要钱
[00:02:32 - 00:02:34] 所以这个不叫中年危机
[00:02:34 - 00:02:35] 人生每個階段都需要錢
[00:02:35 - 00:02:36] 都需要
[00:02:36 - 00:02:37] 這是一種人生壓力
[00:02:37 - 00:02:38] 每個階段都會有的
[00:02:38 - 00:02:38] 對吧
[00:02:38 - 00:02:39] 這不是中年危機
[00:02:39 - 00:02:40] 中年危機就是
[00:02:40 - 00:02:43] 當你開始擔心家人更多的時候
[00:02:43 - 00:02:45] 當你開始擔心家人未來
[00:02:45 - 00:02:47] 你不曾遇到過的風險
[00:02:47 - 00:02:48] 可能出現的時候
[00:02:48 - 00:02:50] 比方說像我們這個年紀
[00:02:50 - 00:02:52] 父母都慢慢的往上
[00:02:52 - 00:02:52] 到60多歲
[00:02:52 - 00:02:54] 馬上將近70歲了
[00:02:54 - 00:02:55] 你要考慮父母如果
[00:02:55 - 00:02:56] 得病了怎麼辦
[00:02:56 - 00:02:56] 對
[00:02:56 - 00:02:58] 將來這個更老一些了
[00:02:58 - 00:03:00] 生活不變了怎麼辦
[00:03:00 - 00:03:00] 對吧
[00:03:00 - 00:03:01] 你考慮這些問題
[00:03:01 - 00:03:03] 這是中年會面臨的情況
[00:03:03 - 00:03:05] 因为你此前从来没有遇到
[00:03:05 - 00:03:06] 尤其是当你看到这个
[00:03:07 - 00:03:10] 因为我父亲他的肺不是特别的好
[00:03:10 - 00:03:12] 然后我今天我暑假的时候
[00:03:12 - 00:03:14] 我就带着我女儿就回了一趟东北
[00:03:14 - 00:03:16] 因为我女儿现在四岁多
[00:03:16 - 00:03:19] 在他稍微懂点事的年龄还没有回过东北
[00:03:19 - 00:03:22] 然后的话我就想去带他回一个东北
[00:03:22 - 00:03:24] 然后中间出现个什么样的问题
[00:03:24 - 00:03:27] 就是我父亲在我们小县上也不大
[00:03:27 - 00:03:29] 去饭店吃饭
[00:03:29 - 00:03:32] 走路的过程当中他大概没走200米
[00:03:32 - 00:03:33] 他的肺不好
[00:03:33 - 00:03:33] 呼吸不好
[00:03:33 - 00:03:34] 就要喘
[00:03:34 - 00:03:35] 就要喘
[00:03:35 - 00:03:35] 没走
[00:03:35 - 00:03:36] 但是200米族
[00:03:36 - 00:03:38] 就在旁边的工作站
[00:03:38 - 00:03:40] 或者说旁边的一个楼梯的台阶上
[00:03:40 - 00:03:40] 坐一会
[00:03:40 - 00:03:42] 稍微歇一会
[00:03:42 - 00:03:42] 冲一会
[00:03:42 - 00:03:44] 然后的话再走200米
[00:03:44 - 00:03:44] 然后的话再喘一会
[00:03:44 - 00:03:45] 再多少米
[00:03:45 - 00:03:45] 再喘一会
[00:03:46 - 00:03:47] 北方的冬天是很冷的
[00:03:47 - 00:03:48] 对
[00:03:48 - 00:03:49] 你呼吸起来是很麻烦的
[00:03:51 - 00:03:51] 然后的话
[00:03:51 - 00:03:53] 就那一刻的时候才
[00:03:53 - 00:03:55] 就是说要下那决心
[00:03:55 - 00:03:55] 要把我扶住
[00:03:55 - 00:03:56] 就是在冬天的时候
[00:03:56 - 00:03:57] 从东北
[00:03:57 - 00:03:59] 就是搬到苏州
[00:03:59 - 00:04:00] 然后有的时候
[00:04:00 - 00:04:01] 你知道还有一个什么样的问题呢
[00:04:01 - 00:04:03] 就是一方面是你在關心作為的人
[00:04:03 - 00:04:07] 另一方面也就是在自己的層檔層面上
[00:04:07 - 00:04:10] 人道中間他容易到一個什麼樣的階段呢
[00:04:10 - 00:04:11] 就是上不上下不下
[00:04:11 - 00:04:11] 對
[00:04:12 - 00:04:15] 或者說是你可能已經很上
[00:04:15 - 00:04:16] 然後你還想再進一步
[00:04:16 - 00:04:19] 因為我們一直就想說我們要去進步
[00:04:20 - 00:04:23] 包括說為什麼說前一段某外國企業
[00:04:23 - 00:04:25] 在大面積財源的時候
[00:04:25 - 00:04:28] 那些員工可能會想著賴著那個公司不走
[00:04:28 - 00:04:29] 或者怎樣的
[00:04:29 - 00:04:31] 其实也都是因为有所谓的中年危机
[00:04:31 - 00:04:32] 伤亡老下落小
[00:04:32 - 00:04:35] 如果说一旦你断了这个财路
[00:04:35 - 00:04:37] 或者说我们到了一个高度的时候
[00:04:37 - 00:04:38] 我们再向往上发展
[00:04:38 - 00:04:39] 该怎么办
[00:04:39 - 00:04:42] 每个人在人生的不同阶段一定是会有目标的
[00:04:42 - 00:04:45] 一定会希望你的人生始终能够不断的向前向上
[00:04:45 - 00:04:48] 这是正常的或者说积极的一个人生状态
[00:04:48 - 00:04:50] 所以你不要把它界定成一个危机
[00:04:50 - 00:04:52] 那么在我来说呢这个阶段
[00:04:52 - 00:04:56] 说实话我干这个剧节目主持人干了15年了
[00:04:56 - 00:04:58] 应该说至少算是一个手手
[00:04:58 - 00:05:02] 那么基本的一些职业的路径也都完成了
[00:05:02 - 00:05:03] 走到这一步
[00:05:03 - 00:05:03] 对于我来讲
[00:05:03 - 00:05:06] 我会想未来是不是职业继续在这个跑道当中跑下去
[00:05:06 - 00:05:10] 或者未来我的真正的再往前走一步的目标在哪里
[00:05:10 - 00:05:15] 但是恰恰就是我这两年越来越感觉到人生还是可以不断的突破
[00:05:15 - 00:05:17] 就是你的职业也是可以不断突破
[00:05:17 - 00:05:19] 这其实需要一些挑战
[00:05:19 - 00:05:21] 有的时候这种挑战是你自己给自己造成的
[00:05:21 - 00:05:23] 或者是外部压力给你造成的
[00:05:23 - 00:05:26] 所以中年仍然可以不断的突破成的
[00:05:26 - 00:05:28] 那不对 怎么就中年了
[00:05:28 - 00:05:29] 怎么35、26岁就中年了
[00:05:29 - 00:05:31] 其实我完全不知道我怎么进去了
[00:05:31 - 00:05:32] 什么叫我给你绕你去了
[00:05:32 - 00:05:33] 真是的
[00:05:33 - 00:05:35] 就是现在我想说的是什么呢
[00:05:35 - 00:05:36] 危机这个东西啊
[00:05:36 - 00:05:37] 我觉得
[00:05:37 - 00:05:39] 就是当我们在一个世界上当中遇到一个挑战
[00:05:39 - 00:05:40] 就是你所说的
[00:05:40 - 00:05:41] 当我们遇到一个挑战的时候
[00:05:41 - 00:05:42] 对
[00:05:42 - 00:05:45] 我们是不是把它要定义成危机
[00:05:45 - 00:05:46] 你说太对了
[00:05:46 - 00:05:48] 挑战怎么能是危机呢
[00:05:48 - 00:05:49] 对不对
[00:05:49 - 00:05:50] 危机是
[00:05:50 - 00:05:53] 而且危机我认为危险和机会还并存的
[00:05:53 - 00:05:54] 对不对
[00:05:54 - 00:05:56] 另外就是危机什么叫危机
[00:05:56 - 00:05:57] 你当你遇到一点困难
[00:05:57 - 00:05:58] 一点挑战就叫危机的时候
[00:05:58 - 00:06:00] 那你人生只能走下坡了
[00:06:00 - 00:06:02] 其实我个人觉得
[00:06:02 - 00:06:02] 可能在
[00:06:02 - 00:06:03] 包括我以后
[00:06:03 - 00:06:04] 说我死之前
[00:06:04 - 00:06:05] 我个人都觉得
[00:06:05 - 00:06:07] 我都不会遇到所谓的危机
[00:06:07 - 00:06:08] 这个我觉得张老师咱俩是
[00:06:09 - 00:06:10] 你有共同点吗
[00:06:10 - 00:06:11] 达成一则共同点
[00:06:11 - 00:06:12] 对吧
[00:06:12 - 00:06:13] 你看我是一个
[00:06:13 - 00:06:14] 射手座必行选
[00:06:14 - 00:06:15] 死乐观
[00:06:15 - 00:06:16] 死乐观派
[00:06:16 - 00:06:18] 我非常乐观的一个人
[00:06:18 - 00:06:19] 所以我始终不觉得
[00:06:19 - 00:06:21] 我遇到过什么大的职业危机
[00:06:21 - 00:06:22] 对 我也不觉得
[00:06:22 - 00:06:23] 但是
[00:06:23 - 00:06:24] 我遇到過挑戰
[00:06:24 - 00:06:25] 或者對自己有目標
[00:06:25 - 00:06:27] 下個階段我要去想做到什麼
[00:06:27 - 00:06:29] 我覺得這個不叫危機
[00:06:29 - 00:06:31] 當然如果有些人定性說
[00:06:31 - 00:06:32] 哎呀我覺得生活沒有突破
[00:06:32 - 00:06:33] 或者我職業沒有突破
[00:06:33 - 00:06:34] 原地踏步
[00:06:34 - 00:06:35] 你可以給自己找挑戰
[00:06:35 - 00:06:37] 這個是你要自己找的一件事情
[00:06:37 - 00:06:38] 對
[00:06:38 - 00:06:40] 這個可以分享我的一點感受
[00:06:40 - 00:06:42] 就現在有些人存在兩種情況
[00:06:42 - 00:06:46] 一個是到中年覺得自己的職業到了一個平台期
[00:06:46 - 00:06:47] 我上不去了
[00:06:47 - 00:06:49] 那這個時候你是不是可以給自己找一些挑戰
[00:06:49 - 00:06:50] 和進步的空間成長的空間
[00:06:50 - 00:06:51] 你去找一個方向去突破它
[00:06:51 - 00:06:52] 對吧
[00:06:52 - 00:06:54] 但是另外有一種人走另外一個極端
[00:06:54 - 00:06:57] 就是當我發現這樣平台期之後
[00:06:57 - 00:06:59] 我把之前的拳推翻我扔了
[00:06:59 - 00:07:02] 現在有一種詞兒不叫斜槓青年嘛
[00:07:02 - 00:07:03] 我直接槓到另外一條跑道去
[00:07:03 - 00:07:05] 比如說我原來幹銷售的
[00:07:05 - 00:07:07] 我現在直接去幹一個老師
[00:07:07 - 00:07:09] 我原來幹教育的
[00:07:09 - 00:07:10] 我現在直接去研究科學
[00:07:10 - 00:07:12] 你這跟你太遠了
[00:07:12 - 00:07:14] 你這差的說你完成人生挑戰
[00:07:14 - 00:07:15] 這不叫挑戰這叫冒險
[00:07:15 - 00:07:17] 挑戰和冒險又是兩個概念
[00:07:17 - 00:07:19] 就我理解是什麼呢
[00:07:19 - 00:07:21] 別輕易換跑道
[00:07:21 - 00:07:24] 你在这条跑道当中要接着跑下去
[00:07:24 - 00:07:26] 但是你可以换一个不同的姿势去跑
[00:07:26 - 00:07:28] 对吧你可以换一个不同的速度去跑
[00:07:28 - 00:07:29] 比如说我原来玩文科的
[00:07:29 - 00:07:31] 我刚刚夸插去玩理科了
[00:07:31 - 00:07:32] 你哪有积累
[00:07:32 - 00:07:33] 人家干了20年
[00:07:33 - 00:07:35] 你说我一文科的我去干理科
[00:07:35 - 00:07:36] 我现在去研究数学
[00:07:36 - 00:07:38] 我突发地讲我去研究量子律学
[00:07:38 - 00:07:40] 你研究什么你怎么可能
[00:07:40 - 00:07:41] 这个还是基础啊
[00:07:41 - 00:07:41] 对 这还是挺难的
[00:07:41 - 00:07:45] 所以说有的时候我觉得大家在面对各种刚刚的困难的时候
[00:07:45 - 00:07:47] 包括像是说中年人
[00:07:47 - 00:07:48] 包括说像年轻人
[00:07:48 - 00:07:50] 我觉得你不要把它定义成一个危机
[00:07:50 - 00:07:51] 真正的危机是
[00:07:51 - 00:07:54] 当你看不到任何前进的动力的时候
[00:07:54 - 00:07:55] 那你真有危机
[00:07:57 - 00:07:57] 是的
[00:07:57 - 00:07:59] 这个动力完全是自己可以给自己找的
[00:07:59 - 00:08:00] 对对对
[00:08:00 - 00:08:01] 其实张老师你看
[00:08:01 - 00:08:03] 你也是属于叫鞋杠青年
[00:08:03 - 00:08:05] 我们刚才说鞋杠青年不是一个保铁
[00:08:05 - 00:08:06] 你别跑到别的跑道去
[00:08:06 - 00:08:07] 你是在做教育
[00:08:07 - 00:08:08] 对吧 你是在做教育
[00:08:08 - 00:08:10] 但是你教育的基础可以做些别的
[00:08:10 - 00:08:12] 包括你现在做这个大开眼界
[00:08:12 - 00:08:14] 也是在我看来也是鞋杠
[00:08:14 - 00:08:16] 但还在自己的这个跑道当中
[00:08:16 - 00:08:17] 换来跑法
[00:08:17 - 00:08:18] 对吧 你不能说我换另一条跑道
[00:08:18 - 00:08:19] 我就玩别的了
[00:08:19 - 00:08:22] 首先我做这个节目的目的就是什么呢
[00:08:22 - 00:08:25] 就是因为我本身机场给大家做这种运行专业的选择
[00:08:25 - 00:08:26] 对
[00:08:26 - 00:08:27] 但是做这种运行专业选择的时候
[00:08:27 - 00:08:29] 如果说我看书
[00:08:29 - 00:08:30] 我去给学生讲
[00:08:30 - 00:08:31] 太空
[00:08:31 - 00:08:34] 但是当我请了各个行业的一些大咖
[00:08:34 - 00:08:35] 年人的时候
[00:08:35 - 00:08:37] 他们来告诉我们说
[00:08:37 - 00:08:38] 这个行业是怎么样的
[00:08:38 - 00:08:40] 我在做这个职业当中可能会有什么样的困难
[00:08:40 - 00:08:43] 你怎么才能一步一步成长到这样的一个高度
[00:08:43 - 00:08:43] 是
[00:08:43 - 00:08:45] 我觉得可能会对大家跟我帮助
[00:08:45 - 00:08:48] 你说他理论上也算是一种教育
[00:08:48 - 00:08:49] 没错
[00:08:49 - 00:08:51] 所以就算他也没换跑道
[00:08:51 - 00:08:53] 就是人生都是一样的
[00:08:53 - 00:08:54] 对张老师我突然想到
[00:08:54 - 00:08:57] 对于咱俩这种性格和爱好人来说
[00:08:57 - 00:08:59] 只有一种危机存在的可能
[00:08:59 - 00:09:02] 就突然有一天不管什么原因
[00:09:02 - 00:09:05] 不让你说话了
[00:09:05 - 00:09:07] 那我就是危机来了
[00:09:07 - 00:09:08] 但是我觉得你像有的时候
[00:09:08 - 00:09:10] 我们在面对这种
[00:09:10 - 00:09:11] 这种所谓压力的时候
[00:09:11 - 00:09:14] 我觉得像咱们两个这种乐观的人
[00:09:14 - 00:09:16] 应该是能找到一些突破口的
[00:09:16 - 00:09:17] 我不知道你平时如果说
[00:09:17 - 00:09:19] 你遇到一个比较
[00:09:19 - 00:09:21] 麻烦的事情或者比较烦心的事情的话
[00:09:21 - 00:09:24] 你去怎么去排解你这种难受的军队
[00:09:24 - 00:09:25] 好多人说我没心没肺
[00:09:26 - 00:09:28] 就是我这辈子到现在啊
[00:09:28 - 00:09:30] 从来没有过说因为一件事啊
[00:09:30 - 00:09:32] 整夜睡不着从来没有过
[00:09:33 - 00:09:35] 睡得好从来没有整宿睡不着没有过
[00:09:35 - 00:09:37] 再大的压力再大的事
[00:09:37 - 00:09:39] 我基本沾着你就找我睡到第二天早晨
[00:09:40 - 00:09:41] 我特兴
[00:09:41 - 00:09:44] 我这多大的事起来你也得面对吧
[00:09:44 - 00:09:47] 对不对你不睡觉你解决不了问题
[00:09:47 - 00:09:48] 我觉得我不睡觉解决
[00:09:48 - 00:09:49] 但是有的时候我真的你说的这些
[00:09:49 - 00:09:51] 我觉得特性命,我就不是这样来的
[00:09:51 - 00:09:54] 现在说的比较严重的词就有意欲啊
[00:09:54 - 00:09:55] 我真的就是
[00:09:55 - 00:09:56] 就是
[00:09:56 - 00:09:58] 难受过到那种程度
[00:09:58 - 00:09:58] 是吗?
[00:09:58 - 00:10:00] 你真看不出来
[00:10:00 - 00:10:02] 后来找到一个很好的一个解决办法
[00:10:02 - 00:10:02] 你知道吗?
[00:10:02 - 00:10:03] 就是跑步
[00:10:03 - 00:10:03] 嗯
[00:10:04 - 00:10:05] 就是去
[00:10:05 - 00:10:07] 去释放自己的负能量
[00:10:07 - 00:10:09] 我觉得跑步是一个非常非常好的
[00:10:09 - 00:10:10] 它能放空于自己
[00:10:10 - 00:10:13] 释放自己负能量的一个机会
[00:10:13 - 00:10:13] 是
[00:10:13 - 00:10:15] 而且我现在带着一帮学生
[00:10:16 - 00:10:18] 去跟我坚持这个事情
[00:10:18 - 00:10:21] 我說我希望能夠塑造你們一個堅持的精神
[00:10:21 - 00:10:24] 我說我希望你們到最後畢業的時候
[00:10:24 - 00:10:25] 您可能考不考驗無所謂
[00:10:25 - 00:10:28] 但是你只要把這種堅持的精神堅持下來
[00:10:28 - 00:10:29] 你到所有理論單位
[00:10:29 - 00:10:31] 所有理論單位都會願意要你的
[00:10:31 - 00:10:33] 我說我也希望能夠就是
[00:10:33 - 00:10:36] 我也願意動我的資源去幫助你們找這樣的工作
[00:10:36 - 00:10:40] 所以說我覺得大家不管是你真的遇到了什麼危急
[00:10:40 - 00:10:44] 還是說真的像我可能以前有一些比較抑鬱的情況也好
[00:10:44 - 00:10:46] 我覺得什麼事情都是可以去解決的
[00:10:46 - 00:10:47] 对
[00:10:47 - 00:10:50] 千万不要去说遇到一个所谓的危机
[00:10:50 - 00:10:51] 或者遇到一个比较困难的情况
[00:10:51 - 00:10:53] 你就要去想去走极端
[00:10:53 - 00:10:55] 就会觉得说我没有办法
[00:10:55 - 00:10:57] 甚至可能轻一点就要迷茫了
[00:10:57 - 00:10:58] 对吧
[00:10:58 - 00:11:02] 我觉得大家千万不要把危机这两个字看得太严重
[00:11:02 - 00:11:04] 我觉得时间是用有超强的力量
[00:11:04 - 00:11:06] 时间用你不可想象的力量
[00:11:06 - 00:11:08] 当时间往前流逝
[00:11:08 - 00:11:10] 你往前成长的时候
[00:11:10 - 00:11:12] 你会发现一切都不是不可解决的
[00:11:12 - 00:11:15] 所以说希望大家不管遇到什么样的困难
[00:11:15 - 00:11:16] 有什么样的微
[00:11:17 - 00:11:18] 千万不要太care他
[00:11:18 - 00:11:19] 对
[00:11:19 - 00:11:19] 对吧
[00:11:19 - 00:11:20] 扎刺他对他
[00:11:20 - 00:11:21] 当然这不是广告了
[00:11:22 - 00:11:23] 坚持下去
[00:11:23 - 00:11:24] 干掉就完了
[00:11:24 - 00:11:24] 好吧
[00:11:24 - 00:11:25] 好
[00:11:25 - 00:11:26] 我们本期节目的就是这样
[00:11:26 - 00:11:27] 希望大家跟我们一起坚持
[00:11:27 - 00:11:28] 想不上
[00:11:28 - 00:11:30] 我们下期节目再见
[00:11:30 - 00:11:30] 谢谢
[00:11:45 - 00:11:47] 就是我们自己的意感标识
