BV号：BV1bt411M7y2
标题：BV1bt411M7y2
链接：https://www.bilibili.com/video/BV1bt411M7y2
识别语言：zh
语言置信度：1
分段数：267
生成时间：2026-04-04 07:25:24

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 有这么一个姑娘叫王某
[00:01:03 - 00:01:06] 会按照故意伤害罪来判刑
[00:01:06 - 00:01:08] 还是会按照故意杀人罪来判
[00:01:08 - 00:01:10] 那么这就是我们本期
[00:01:10 - 00:01:12] 要跟大家讨论的话题
[00:01:20 - 00:01:21] 大家好
[00:01:21 - 00:01:23] 我是让学习变得更快乐的张雪芳老师
[00:01:23 - 00:01:25] 欢迎大家继续收看法律区时
[00:01:25 - 00:01:25] 很好玩
[00:01:25 - 00:01:27] 我们本期请到的嘉宾依然是我们
[00:01:27 - 00:01:28] 沿途教育的签约专家
[00:01:28 - 00:01:30] 我们的法学专家
[00:01:30 - 00:01:30] 颜雅翔老师
[00:01:30 - 00:01:32] 杨老师给大家打个招呼
[00:01:32 - 00:01:33] 嗨 大家好
[00:01:33 - 00:01:35] 杨老师你看这个案子当中
[00:01:35 - 00:01:36] 这个分子嫌疑人说
[00:01:36 - 00:01:38] 我没想要杀掉他
[00:01:38 - 00:01:41] 我就是想要伤害他
[00:01:41 - 00:01:42] 给他一点教训
[00:01:42 - 00:01:43] 那他主观上
[00:01:43 - 00:01:44] 他其实是避免了
[00:01:44 - 00:01:46] 所谓可能对他更大刑罚的这种
[00:01:46 - 00:01:47] 故意杀人
[00:01:47 - 00:01:49] 他想可以是说叫故意伤害
[00:01:49 - 00:01:51] 那实际上在反人判决的时候
[00:01:51 - 00:01:52] 会不会认定他这种说法
[00:01:53 - 00:01:57] 你觉得这个人是个伤害还是一个杀人
[00:01:57 - 00:01:58] 我觉得是杀人
[00:01:58 - 00:01:59] 为什么
[00:01:59 - 00:02:00] 你想他如果他
[00:02:00 - 00:02:01] 你想他如果伤害的话
[00:02:01 - 00:02:03] 你比如我来举例子
[00:02:03 - 00:02:04] 我要去伤害一个人的话
[00:02:04 - 00:02:06] 我最多啪点这个嘴巴子
[00:02:06 - 00:02:08] 那可能就说我打他一顿嘛
[00:02:08 - 00:02:09] 对吧
[00:02:09 - 00:02:09] 但是我
[00:02:09 - 00:02:10] 我要是伤害他的话
[00:02:10 - 00:02:12] 我干嘛非得用刀
[00:02:12 - 00:02:13] 这是第一
[00:02:13 - 00:02:13] 第二
[00:02:13 - 00:02:14] 我要用刀的话
[00:02:14 - 00:02:16] 我为什么要往人脖子
[00:02:16 - 00:02:18] 胸部这种要命的地方去砸
[00:02:18 - 00:02:20] 我觉得这个犯罪嫌疑人
[00:02:20 - 00:02:21] 就是找借口
[00:02:21 - 00:02:22] 想给自己同罪
[00:02:22 - 00:02:23] 对
[00:02:23 - 00:02:23] 这个
[00:02:23 - 00:02:25] 你的这个判断过程
[00:02:25 - 00:02:27] 就是咱们在司法实践中
[00:02:27 - 00:02:30] 我们的实务部门的一个判断过程
[00:02:30 - 00:02:31] 就说首先
[00:02:31 - 00:02:33] 任何犯罪的行为的一个认定
[00:02:33 - 00:02:35] 都算有主客观相一致
[00:02:35 - 00:02:36] 主客官相依制
[00:02:37 - 00:02:37] 主官的
[00:02:38 - 00:02:40] 心态和客官的行为
[00:02:40 - 00:02:42] 相依制就认定为某一个罪
[00:02:42 - 00:02:44] 比如说故意杀人罪
[00:02:44 - 00:02:46] 要求故意杀人的行为
[00:02:46 - 00:02:47] 故意杀人的心态
[00:02:48 - 00:02:50] 故意杀人要求故意伤害的行为故意伤害的
[00:02:51 - 00:02:51] 心态
[00:02:52 - 00:02:53] 那么在实践中
[00:02:53 - 00:02:54] 行为人一般都会干什么
[00:02:55 - 00:02:55] 避众就行
[00:02:55 - 00:02:58] 对就把故意把杀人受伤故意伤害然后把伤害受众过失
[00:02:59 - 00:02:59] 都会这样做
[00:02:59 - 00:03:00] 那么
[00:03:00 - 00:03:01] 我们
[00:03:01 - 00:03:01] 司法机关
[00:03:02 - 00:03:03] 怎么来判断
[00:03:03 - 00:03:04] 他说的对不对呢
[00:03:04 - 00:03:06] 看你客观的行为你是怎么做的
[00:03:06 - 00:03:10] 对对对不光要听齐言而且是关起心
[00:03:10 - 00:03:14] 你怎么做你对着人家的肩部进步胸部
[00:03:14 - 00:03:17] 在一分钟之内连扎23刀
[00:03:17 - 00:03:19] 而且是胸气啊刀23刀
[00:03:20 - 00:03:22] 人家被扎到当场身亡
[00:03:22 - 00:03:23] 这种行为
[00:03:23 - 00:03:25] 你说你伤害肯定是不对的
[00:03:25 - 00:03:28] 这个就不能被踩那你这个行为不是
[00:03:28 - 00:03:29] 法院就会说
[00:03:29 - 00:03:33] 被告变称自己的行为只是一个伤害
[00:03:33 - 00:03:36] 本院认为没有证据支持,不予采纳
[00:03:36 - 00:03:39] 那么就认定为故意杀人
[00:03:39 - 00:03:41] 那你像我看到这个案内后
[00:03:41 - 00:03:45] 我就想到了我上高中的一个经历
[00:03:45 - 00:03:47] 还好不是我自己本人经历
[00:03:47 - 00:03:49] 就是我们高中发生的一个事情
[00:03:49 - 00:03:52] 就是两个人就是因为什么样的一个矛盾
[00:03:52 - 00:03:55] 然后的话两个人就是说打起来了
[00:03:55 - 00:03:58] 打起来之后的话其中一个人就是拿着刀
[00:03:58 - 00:04:01] 就是他也就是在那儿互一
[00:04:01 - 00:04:04] 就那个人就要上去去所谓的打那个
[00:04:04 - 00:04:06] 假要上去打那个椅
[00:04:06 - 00:04:06] 有刀的这个
[00:04:06 - 00:04:07] 对要打这个有刀这个
[00:04:07 - 00:04:08] 这个椅呢
[00:04:08 - 00:04:10] 他就拿着这个刀乱挥乱挥乱挥
[00:04:10 - 00:04:12] 但是他也是肯定是冲着那个人挥嘛
[00:04:12 - 00:04:12] 对吧
[00:04:12 - 00:04:14] 因为他必须要向他冲着那个人挥
[00:04:14 - 00:04:16] 但冲着那个人挥的时候呢
[00:04:16 - 00:04:16] 一不小心啊
[00:04:16 - 00:04:20] 就是割到了这个手脖在这
[00:04:20 - 00:04:21] 接待那个动脉
[00:04:21 - 00:04:23] 而且他那个割的时候还不如说这么说
[00:04:23 - 00:04:24] 割下去
[00:04:24 - 00:04:26] 是拿那个刀骗些去的
[00:04:26 - 00:04:27] 你知道吧
[00:04:27 - 00:04:29] 他当时那哥们生日也不知道怎么想
[00:04:29 - 00:04:30] 带那个烫红刀呢
[00:04:30 - 00:04:31] 骗些去的
[00:04:31 - 00:04:32] 我那天骗起来去一大块儿揉
[00:04:32 - 00:04:34] 然后的话你想着动脉
[00:04:34 - 00:04:35] 滑滑的就出血
[00:04:35 - 00:04:37] 还好这个人就会来给救过来了
[00:04:37 - 00:04:39] 那如果说最后如果说认定
[00:04:39 - 00:04:40] 他这种刑罚罪行的话
[00:04:40 - 00:04:41] 像他这种行为
[00:04:41 - 00:04:43] 就是叫故意伤害
[00:04:43 - 00:04:44] 对吧
[00:04:44 - 00:04:44] 就他这个叫伤害
[00:04:44 - 00:04:45] 他这个就不叫杀人
[00:04:45 - 00:04:47] 虽然说你这个行为可能会导致杀人
[00:04:47 - 00:04:49] 但是我们一般
[00:04:49 - 00:04:50] 如果说你要啃胳膊的话
[00:04:50 - 00:04:51] 很有可能是
[00:04:51 - 00:04:53] 就是造成不了死亡后果的
[00:04:53 - 00:04:54] 对
[00:04:54 - 00:04:54] 对吧
[00:04:54 - 00:04:55] 那这个就是故意伤害
[00:04:55 - 00:04:57] 那像我们那个案子
[00:04:57 - 00:04:59] 但是如果就是说这个黎某
[00:04:59 - 00:05:00] 他说我不是教学王某
[00:05:00 - 00:05:02] 那我扎屁股不就完了吗
[00:05:02 - 00:05:03] 扎屁股肯定是死不了的
[00:05:04 - 00:05:04] 不一定
[00:05:05 - 00:05:07] 你如果对着这个屁股
[00:05:07 - 00:05:10] 在就同一个部位你快速的扎23刀
[00:05:10 - 00:05:13] 我觉得也是死的非常
[00:05:13 - 00:05:15] 死的肯定非常大
[00:05:15 - 00:05:16] 但是我不想要弄死他
[00:05:16 - 00:05:17] 我这事太厉害了
[00:05:17 - 00:05:20] 你那23刀那一块的血管
[00:05:20 - 00:05:22] 基本上就都被你斩断了
[00:05:22 - 00:05:23] 血管都斩断之后
[00:05:24 - 00:05:25] 人很快就死了
[00:05:25 - 00:05:25] 对
[00:05:25 - 00:05:28] 你虽然说你是故意伤害
[00:05:28 - 00:05:28] 然后扎屁股可能
[00:05:28 - 00:05:31] 臀部這個位置是通常不會死人
[00:05:31 - 00:05:33] 你扎一刀可以
[00:05:33 - 00:05:37] 你23刀恐怕還是證明有殺人
[00:05:37 - 00:05:39] 對 你扎的都太多了
[00:05:39 - 00:05:41] 對 你扎的太多了
[00:05:41 - 00:05:43] 你這種人活的可能性就不大了
[00:05:43 - 00:05:45] 還有剛才那個案例我考你個問題
[00:05:45 - 00:05:48] 假設那個女孩子運氣非常好
[00:05:48 - 00:05:51] 被在肩部、進部、胸部扎23刀之後
[00:05:51 - 00:05:52] 竟然還僥倖活下來了
[00:05:52 - 00:05:53] 活著天上
[00:05:53 - 00:05:56] 那你覺得這個李某的定罪應該怎麼定
[00:05:56 - 00:05:59] 您刚才不是说了吗
[00:05:59 - 00:06:03] 就是说要看你的主观意愿和客观行为
[00:06:03 - 00:06:03] 对吧
[00:06:03 - 00:06:07] 虽然说你的主观意愿说是要伤害
[00:06:07 - 00:06:09] 但是你的客观行为是要杀人
[00:06:09 - 00:06:10] 对
[00:06:10 - 00:06:12] 即使他没死
[00:06:12 - 00:06:16] 你的客观行为上你干的事就是要杀人的
[00:06:16 - 00:06:16] 对
[00:06:16 - 00:06:18] 所以说这个事应该还是定到故意杀人
[00:06:18 - 00:06:18] 对
[00:06:18 - 00:06:19] 对吧
[00:06:19 - 00:06:20] 就他死没死没关系
[00:06:20 - 00:06:22] 最肯定就是故意杀人
[00:06:22 - 00:06:23] 只不过他死没死
[00:06:23 - 00:06:24] 那他死没死
[00:06:24 - 00:06:25] 最后他量刑肯定是
[00:06:25 - 00:06:25] 有区别
[00:06:25 - 00:06:28] 如果死了就故意杀人的继续
[00:06:28 - 00:06:30] 如果没死就故意杀人的未遂
[00:06:30 - 00:06:32] 另外刚才你有一个表说的不是很准确
[00:06:32 - 00:06:37] 就说那个李某他说他的主观心态是故伤害
[00:06:37 - 00:06:39] 是他瞎说的
[00:06:39 - 00:06:42] 他的主观心态其实不是伤害
[00:06:42 - 00:06:44] 他在人家坚步进步胸部来炸
[00:06:44 - 00:06:47] 这就已经不是伤害的故意了
[00:06:47 - 00:06:49] 是一个杀人的故意
[00:06:49 - 00:06:52] 最多是说如果他认为他不是直接故意
[00:06:52 - 00:06:54] 那么他有间接故意
[00:06:54 - 00:06:56] 但是一定是杀人的故意
[00:06:56 - 00:07:00] 所以主客观相应之我们认为他是杀人的故意加杀人的行为
[00:07:00 - 00:07:01] 所以是故意杀人
[00:07:01 - 00:07:03] 那么如果认为死就是故意杀人的未遂
[00:07:04 - 00:07:05] 可能会适当的重庆
[00:07:05 - 00:07:09] 就像刚才你跟我说的就是说反正会认为你这个是
[00:07:09 - 00:07:10] 鬼变为
[00:07:10 - 00:07:12] 认为你这个是没有证据支持的
[00:07:12 - 00:07:14] 是你自己这个鬼变
[00:07:15 - 00:07:16] 对所以说怎么说呢
[00:07:17 - 00:07:19] 我觉得还是在恋爱当中大家是会
[00:07:20 - 00:07:21] 保护好自己
[00:07:21 - 00:07:23] 当然就是有些时候也真的就是像
[00:07:24 - 00:07:29] 最近几年我发现出现了很多大学当中去谈恋爱
[00:07:29 - 00:07:31] 然后的话就是分手也好
[00:07:31 - 00:07:32] 因为各种各样的感情问题
[00:07:32 - 00:07:36] 然后一方要把另外一方给杀掉的这种
[00:07:36 - 00:07:38] 我突然发现这几年居然的案子很多
[00:07:38 - 00:07:39] 其实说实话
[00:07:39 - 00:07:41] 就是你也在大学里当老师
[00:07:41 - 00:07:42] 我平时也接触很多大学生物
[00:07:42 - 00:07:46] 这是真的能够希望从我们这期节目来呼吁大家
[00:07:46 - 00:07:50] 就是在谈恋爱共产能力移掉理智
[00:07:50 - 00:07:52] 千万不要说最后做出这种过激的行为
[00:07:52 - 00:07:54] 这样的话就是理智恋爱理智分手
[00:07:54 - 00:07:58] 对这个理智分手这个我们下次要不要讲理智分手的事情
[00:07:58 - 00:07:59] 是吧可以啊
[00:07:59 - 00:08:01] 希望大家真的不要做出这种过激的行为
[00:08:01 - 00:08:04] 否则就是对双方都是对很大的伤害
[00:08:04 - 00:08:07] 最后这个男孩子也被判了死刑利己之刑
[00:08:07 - 00:08:09] 被死刑利己之刑对吧
[00:08:09 - 00:08:10] 所以说这是女孩子也死了
[00:08:10 - 00:08:12] 对悲剧简直就是悲剧
[00:08:12 - 00:08:15] 所以说怎么说呢希望这种悲剧越来越少吧
[00:08:15 - 00:08:17] 好吧那我们本期节目就是这样
[00:08:17 - 00:08:18] 咱们下期节目再见
[00:08:18 - 00:08:19] 好再见
