BV号：BV1FJ411d7vq
标题：BV1FJ411d7vq
链接：https://www.bilibili.com/video/BV1FJ411d7vq
识别语言：zh
语言置信度：1
分段数：477
生成时间：2026-04-04 05:19:51

[00:00:02 - 00:00:34] 大家好欢迎收看小型杜比托火秀大开演戒
[00:03:40 - 00:03:42] 講講這兩個國家的歷史
[00:03:42 - 00:03:42] 有啊
[00:03:42 - 00:03:44] 這個比賽梯得太無聊了
[00:03:44 - 00:03:44] 對吧
[00:03:44 - 00:03:45] 你講講兩個國家的歷史
[00:03:45 - 00:03:46] 講講故事
[00:03:46 - 00:03:47] 這都有
[00:03:47 - 00:03:49] 所以根據每個人的知識儲備
[00:03:49 - 00:03:50] 你的這個臨場的反應
[00:03:50 - 00:03:51] 你的表達能力不一樣
[00:03:51 - 00:03:52] 那我學到了
[00:03:52 - 00:03:55] 還有第三年我個人覺得比較難的
[00:03:55 - 00:03:57] 就是對於球員廠商的位置
[00:03:57 - 00:04:00] 一定要特別特別熟悉
[00:04:00 - 00:04:01] 现在电视观众有的时候
[00:04:01 - 00:04:03] 他是自己是看不懂的
[00:04:03 - 00:04:04] 看得明白的
[00:04:04 - 00:04:05] 但是你们解说员的话
[00:04:05 - 00:04:07] 你要把这种球员的位置也都说明白
[00:04:07 - 00:04:11] 甚至有些时候你要说一些根本就不熟悉的
[00:04:11 - 00:04:11] 对
[00:04:11 - 00:04:12] 当然了
[00:04:12 - 00:04:12] 对吧
[00:04:12 - 00:04:14] 就是特别感兴趣的一个问题就是
[00:04:14 - 00:04:15] 你像如果说你说的一个
[00:04:15 - 00:04:18] 你其实不是那么很熟悉的球队的时候
[00:04:18 - 00:04:19] 你像在球员场上位置
[00:04:19 - 00:04:21] 包括说球员的名字
[00:04:21 - 00:04:23] 这个东西你能比之前的久了多久
[00:04:23 - 00:04:27] 我认为就是最低的基准线
[00:04:27 - 00:04:29] 我的经验最低的基准线
[00:04:29 - 00:04:32] 说一场比赛和准备一场比赛时间是等同的
[00:04:32 - 00:04:34] 就是最低几准限这是
[00:04:35 - 00:04:38] 就是你说一场比赛是90分钟加上赛前赛后
[00:04:38 - 00:04:40] 可能两个小时吧
[00:04:40 - 00:04:41] 准备比赛最少是两个小时
[00:04:41 - 00:04:42] 这最低的几准限
[00:04:42 - 00:04:44] 重要的比赛会比这多的多
[00:04:44 - 00:04:45] 没有上限
[00:04:46 - 00:04:48] 这是两个小时一个及格水的
[00:04:48 - 00:04:50] 当然可能我这方面比较娱乐
[00:04:50 - 00:04:51] 所以准备两个小时有及格水
[00:04:52 - 00:04:53] 行了
[00:04:53 - 00:04:53] 那我了解
[00:04:53 - 00:04:55] 已经有说求的把握了
[00:04:55 - 00:04:56] 对
[00:04:56 - 00:04:57] 其实我问你说
[00:04:57 - 00:04:58] 就是你算这么多以后的话
[00:04:58 - 00:05:00] 我已经够死好
[00:05:00 - 00:05:01] 我怎么进入桌面
[00:05:01 - 00:05:02] 还去说租比赛
[00:05:02 - 00:05:03] 你别桌面抬了
[00:05:03 - 00:05:03] 你这这
[00:05:03 - 00:05:05] 你别给我想法玩
[00:05:05 - 00:05:06] 你这是互联网名的
[00:05:06 - 00:05:06] 好好好
[00:05:06 - 00:05:07] 互联网名的
[00:05:07 - 00:05:08] 我已经够死好
[00:05:08 - 00:05:09] 我怎么去
[00:05:09 - 00:05:09] 张老师
[00:05:09 - 00:05:10] 还有一个
[00:05:10 - 00:05:10] 我再补充一点
[00:05:10 - 00:05:11] 你看我再补充一点
[00:05:11 - 00:05:12] 就是我们这个职业难度
[00:05:12 - 00:05:13] 因为聊着聊着
[00:05:13 - 00:05:14] 我怎么还想起来
[00:05:15 - 00:05:16] 你脸皮够不够厚
[00:05:17 - 00:05:18] 你脸皮很厚
[00:05:18 - 00:05:18] 知道吗
[00:05:18 - 00:05:19] 什么意思
[00:05:19 - 00:05:20] 我们这个职业
[00:05:20 - 00:05:20] 我脸皮厚
[00:05:20 - 00:05:21] 我什么意思
[00:05:21 - 00:05:22] 我们这个职业
[00:05:22 - 00:05:24] 是在骂生存成长
[00:05:24 - 00:05:24] 对对对
[00:05:24 - 00:05:25] 被骂他
[00:05:25 - 00:05:26] 那你知道吧
[00:05:26 - 00:05:27] 所以这就是现在难度
[00:05:27 - 00:05:29] 刚才咱们上一期分享的时候
[00:05:29 - 00:05:29] 我也说了
[00:05:29 - 00:05:30] 像我们成长的时候
[00:05:30 - 00:05:32] 比较幸运
[00:05:32 - 00:05:33] 互联网已经发展起来了
[00:05:33 - 00:05:36] 但是社交媒体没那么发达
[00:05:36 - 00:05:38] 就是你获取信息相对容易了
[00:05:38 - 00:05:39] 但是你不会马上说
[00:05:39 - 00:05:42] 或者你直播一个私信有人发进来
[00:05:42 - 00:05:43] 就是你微博私信马上有人发进来
[00:05:43 - 00:05:44] 你孙子说了什么玩意
[00:05:44 - 00:05:45] 你看
[00:05:45 - 00:05:47] 就是如果说你在解说一场
[00:05:47 - 00:05:48] 只有你猜的成长
[00:05:48 - 00:05:49] 我解说的时候
[00:05:49 - 00:05:50] 我看 绝对不看
[00:05:50 - 00:05:51] 不看私讯
[00:05:51 - 00:05:51] 我私后会看
[00:05:51 - 00:05:52] 私后会看
[00:05:52 - 00:05:53] 我私后会看
[00:05:53 - 00:05:54] 就是成长了这么多年
[00:05:54 - 00:05:57] 意识自己见过的相对来说也比较多了
[00:05:57 - 00:05:59] 不敢说多么丰富的这些经验
[00:05:59 - 00:06:01] 但毕竟干了这行干了15年
[00:06:01 - 00:06:03] 就是对自己的情绪管理也有进步了
[00:06:03 - 00:06:05] 这是自我的一个提升
[00:06:05 - 00:06:08] 所以在这些大量的不管是批评还是表扬
[00:06:08 - 00:06:10] 其实两方面的都有
[00:06:10 - 00:06:11] 大量的评价当中
[00:06:11 - 00:06:12] 不管是评论还是私信
[00:06:12 - 00:06:15] 我首先要自己有一个客观的评价
[00:06:15 - 00:06:16] 就是你说的对不对
[00:06:16 - 00:06:16] 有没有道理
[00:06:16 - 00:06:18] 我会有一个评价
[00:06:18 - 00:06:21] 如果你说的对我会去改正
[00:06:21 - 00:06:21] 对吧
[00:06:21 - 00:06:22] 如果你说的不对
[00:06:22 - 00:06:25] 那种毫无意义的情绪化的漫漫
[00:06:25 - 00:06:27] 或者是毫无意义情绪化的吹捧
[00:06:27 - 00:06:28] 也有啊这种的
[00:06:28 - 00:06:29] 我都把那屏蔽一笑而过
[00:06:29 - 00:06:30] 就是你有这样的能力
[00:06:30 - 00:06:32] 我觉得是很重要的一个成长
[00:06:32 - 00:06:33] 好
[00:06:33 - 00:06:34] 所以这个是
[00:06:34 - 00:06:35] 我觉得你要做体育主持人和解释员
[00:06:35 - 00:06:36] 要有心理准备
[00:06:36 - 00:06:37] 我懂了
[00:06:37 - 00:06:39] 看你妈妈我已经眼睛又杀气了
[00:06:40 - 00:06:42] 见面就说我该怎么办了
[00:06:42 - 00:06:43] 对
[00:06:43 - 00:06:44] 这点听你说了
[00:06:44 - 00:06:46] 其实我想问的就是你站在台上讲课
[00:06:46 - 00:06:47] 因为我也讲课
[00:06:47 - 00:06:48] 你觉得最难的是什么
[00:06:48 - 00:06:52] 他是怎么说呢
[00:06:52 - 00:06:54] 就是两个阶段吧 我觉得
[00:06:54 - 00:06:56] 就是首先第一个阶段呢
[00:06:56 - 00:06:58] 就是在我所谓的火之前
[00:06:58 - 00:07:00] 然后第二阶段就是在我所谓的火之后
[00:07:00 - 00:07:04] 我火之后呢是完全不一样的两种状态
[00:07:04 - 00:07:07] 在我所谓的火之前那个时候
[00:07:07 - 00:07:10] 我们在讲课的时候真的是求着学生来进课
[00:07:10 - 00:07:12] 真的 就我一点后不夸张
[00:07:12 - 00:07:13] 真的是求着学生来进课
[00:07:13 - 00:07:15] 包括现在我们我们这个行业内
[00:07:15 - 00:07:20] 因为我们是大概大多数老师刚开始上课是讲试听课
[00:07:20 - 00:07:21] 其实有的时候你讲那种
[00:07:21 - 00:07:24] 学生已经暴露班你给他去讲那种课吧
[00:07:24 - 00:07:25] 还稍微好一点
[00:07:25 - 00:07:28] 比如说你之前可能在学生方讲是讲那种课
[00:07:28 - 00:07:29] 你也走不了是吧
[00:07:29 - 00:07:30] 或者你只交了钱了
[00:07:30 - 00:07:31] 你也不交了钱
[00:07:31 - 00:07:32] 你走的是你的水
[00:07:32 - 00:07:33] 对 你也不能怎么着
[00:07:33 - 00:07:33] 对吧
[00:07:33 - 00:07:36] 但是有的时候我们讲的大多数都那种试听课
[00:07:36 - 00:07:37] 他说不听就不行
[00:07:37 - 00:07:39] 然后说出去就走
[00:07:39 - 00:07:40] 然后的话对他来讲没什么水
[00:07:40 - 00:07:42] 但是他可能花了钱
[00:07:42 - 00:07:43] 暴露班有时候的话他点试听课
[00:07:43 - 00:07:45] 他觉得我总是我的损失
[00:07:45 - 00:07:47] 因为我毕竟华人挺满的 这个额额额
[00:07:47 - 00:07:48] 所以说像我们讲
[00:07:48 - 00:07:50] 就讲私听课的老师
[00:07:50 - 00:07:51] 讲正常课还好
[00:07:51 - 00:07:54] 讲私听课的老师真的会在这方面
[00:07:54 - 00:07:56] 心里压力会常处压力很大
[00:07:56 - 00:07:57] 留住用户很难
[00:07:57 - 00:07:58] 对
[00:07:58 - 00:08:01] 就说可能很多老师都会在想问一个问题
[00:08:01 - 00:08:03] 就说我这集和私听课然后来了100个人
[00:08:03 - 00:08:05] 那就呈现这100个人来就很难
[00:08:05 - 00:08:06] 知道吧
[00:08:06 - 00:08:06] 然后的话呢
[00:08:06 - 00:08:08] 这100个好名人来了以后
[00:08:08 - 00:08:09] 我留住了多少
[00:08:09 - 00:08:12] 最后多好人选择了继续听我的课
[00:08:12 - 00:08:12] 然后的话
[00:08:12 - 00:08:14] 苏多老师都会特别贵惊
[00:08:14 - 00:08:15] 这个数据你知道吧
[00:08:15 - 00:08:16] 他刚才写的时候呢
[00:08:16 - 00:08:18] 他可能会觉得说
[00:08:18 - 00:08:18] 一百人
[00:08:18 - 00:08:19] 能留个六个多少
[00:08:19 - 00:08:20] 能留个六个多
[00:08:20 - 00:08:20] 三十
[00:08:20 - 00:08:22] 还可以
[00:08:22 - 00:08:22] 然后说
[00:08:22 - 00:08:24] 来着一百个人说
[00:08:24 - 00:08:25] 一个能力留住
[00:08:25 - 00:08:25] 那到底是哪个
[00:08:25 - 00:08:26] 环节出的问题
[00:08:26 - 00:08:27] 然后就会紧张
[00:08:27 - 00:08:28] 然后紧张的话
[00:08:28 - 00:08:29] 他慢慢会多想
[00:08:29 - 00:08:29] 你知道吧
[00:08:29 - 00:08:31] 这个校长会不会跟别的风向下
[00:08:31 - 00:08:32] 我讲的不好
[00:08:33 - 00:08:34] 别的风向下
[00:08:34 - 00:08:34] 就到我脚的地方
[00:08:34 - 00:08:35] 我后面不求讲课
[00:08:35 - 00:08:36] 我后面不求讲课
[00:08:36 - 00:08:37] 你没有翻起来
[00:08:37 - 00:08:38] 就后面的那些
[00:08:38 - 00:08:40] 这就是我们姐说的时候
[00:08:40 - 00:08:42] 你看了一个评论就开始想到了
[00:08:42 - 00:08:43] 哎呀我会不会下场
[00:08:43 - 00:08:44] 就一样的
[00:08:44 - 00:08:46] 这个后面我会不会上热搜
[00:08:46 - 00:08:47] 对对对对对
[00:08:47 - 00:08:49] 然后你看这是值钱
[00:08:49 - 00:08:51] 但是之后呢现在因为我讲课呢
[00:08:51 - 00:08:53] 就是就是火了
[00:08:53 - 00:08:54] 对火了
[00:08:54 - 00:08:57] 然后的话呢可能让大家来听我讲课
[00:08:57 - 00:08:58] 不是一个很难的事情
[00:08:58 - 00:09:01] 然后的话就会出现一个什么样的问题呢
[00:09:01 - 00:09:03] 老师我抢不着碰我们
[00:09:03 - 00:09:05] 然后很多学生就是给我发这个私信
[00:09:05 - 00:09:07] 张老师你应该是在炫耀
[00:09:07 - 00:09:08] 但是我没有证据
[00:09:08 - 00:09:09] 没有没有没有
[00:09:09 - 00:09:10] 真的 这种就是
[00:09:10 - 00:09:12] 刚好说抢不夺票怎么办
[00:09:12 - 00:09:14] 然后的话 张老师你为什么不允许我们大医的去听
[00:09:14 - 00:09:16] 为什么不允许大司的去听
[00:09:16 - 00:09:17] 为什么不允许我们社会人士去听
[00:09:17 - 00:09:19] 然后的话 等等等等
[00:09:19 - 00:09:20] 像这种问题我现在
[00:09:20 - 00:09:22] 就之前我还可能还回的
[00:09:22 - 00:09:22] 还回一些
[00:09:22 - 00:09:24] 现在这种问题我基本上都不回
[00:09:24 - 00:09:25] 你知道我们这个行还有一个监视学习
[00:09:25 - 00:09:28] 一个最大的难处是什么
[00:09:28 - 00:09:30] 其实最难的是坚持我们的
[00:09:30 - 00:09:30] 我影响
[00:09:30 - 00:09:32] 我讲这个预想专业选择
[00:09:32 - 00:09:33] 研究这个读书
[00:09:33 - 00:09:34] 我研究了大概9年
[00:09:34 - 00:09:36] 我才所谓的活
[00:09:36 - 00:09:37] 嗯
[00:09:37 - 00:09:38] 据我了解
[00:09:38 - 00:09:39] 就是当年
[00:09:39 - 00:09:41] 共自一起进入行业
[00:09:41 - 00:09:42] 研究现行专业的人
[00:09:42 - 00:09:43] 后来
[00:09:43 - 00:09:44] 其实大多数人都不干了
[00:09:44 - 00:09:45] 嗯
[00:09:45 - 00:09:47] 只有我真真真真真真面前
[00:09:47 - 00:09:48] 这样
[00:09:48 - 00:09:49] 然后的话
[00:09:49 - 00:09:51] 你还要去忍受
[00:09:51 - 00:09:52] 繁忙
[00:09:52 - 00:09:53] 权务可力高
[00:09:53 - 00:09:54] 是
[00:09:54 - 00:09:54] 到处跑
[00:09:54 - 00:09:55] 到处跑
[00:09:55 - 00:09:57] 你要一个一个转
[00:09:57 - 00:09:58] 一个这个是一个什么转
[00:09:58 - 00:09:59] 你让分校的校长
[00:09:59 - 00:10:00] 学生可能
[00:10:00 - 00:10:01] 你让这些分校的学生
[00:10:01 - 00:10:02] 学生可能
[00:10:02 - 00:10:04] 你慢慢慢慢行成口碑
[00:10:04 - 00:10:05] 这四五年你出台
[00:10:05 - 00:10:08] 真的四五年如一日
[00:10:08 - 00:10:09] 你没有时间陪伦家人
[00:10:09 - 00:10:11] 你没有时间去谈恋爱
[00:10:11 - 00:10:13] 可能刚刚房子说你没时间陪伦家人
[00:10:13 - 00:10:15] 很多的网友或者现在很多年轻人
[00:10:15 - 00:10:17] 叫只见贼吃肉不见贼爱的
[00:10:17 - 00:10:19] 说实话就是
[00:10:19 - 00:10:19] 你看到现在
[00:10:19 - 00:10:20] 哎呦
[00:10:20 - 00:10:21] 他不就是说两个段子吗
[00:10:21 - 00:10:22] 就火了
[00:10:22 - 00:10:22] 是吧
[00:10:22 - 00:10:23] 而且你就
[00:10:23 - 00:10:25] 你没看那个说段子之前
[00:10:25 - 00:10:25] 张老师就是我
[00:10:25 - 00:10:27] 其实还带来我下一个问题
[00:10:27 - 00:10:28] 就我想问你
[00:10:28 - 00:10:29] 比如说这个段子在我看来
[00:10:29 - 00:10:31] 你只是一个标签
[00:10:31 - 00:10:32] 但段子有枯竭的时候
[00:10:32 - 00:10:33] 我认为对吧
[00:10:33 - 00:10:34] 这是一个很大的难度
[00:10:34 - 00:10:36] 就是你怎么样持续地去吸引学生
[00:10:36 - 00:10:37] 这是一个问题
[00:10:37 - 00:10:38] 第二个还有一个问题
[00:10:38 - 00:10:40] 就是你会不会现在遇到一些学生说
[00:10:40 - 00:10:42] 我来听招人讲课
[00:10:42 - 00:10:43] 我就是来听段子
[00:10:43 - 00:10:43] 有
[00:10:43 - 00:10:45] 蓝丸正经课什么都没听
[00:10:45 - 00:10:45] 学了半天
[00:10:45 - 00:10:46] 很正常
[00:10:46 - 00:10:46] 很正常
[00:10:46 - 00:10:47] 就是我先灰烂第二个问题
[00:10:47 - 00:10:48] 理解
[00:10:48 - 00:10:50] 因为有的人他确实是不考验
[00:10:50 - 00:10:51] 而段子说我不可能听你的课
[00:10:51 - 00:10:52] 那你也不能说
[00:10:52 - 00:10:53] 咚
[00:10:53 - 00:10:54] 不是
[00:10:54 - 00:10:55] 这没事
[00:10:55 - 00:10:55] 这当然没事
[00:10:55 - 00:10:58] 那最怕的是那种我要考验就是来听段子
[00:10:58 - 00:11:00] 是最后考验的都被听招
[00:11:00 - 00:11:00] 对
[00:11:00 - 00:11:00] 所以说的话
[00:11:00 - 00:11:02] 我会给他中间一个比例的问题
[00:11:02 - 00:11:04] 第一个问题就是你算得后可以来说
[00:11:04 - 00:11:05] 确定数据
[00:11:05 - 00:11:07] 你不能会一直在讲老的一些东西
[00:11:07 - 00:11:08] 对呀
[00:11:08 - 00:11:10] 然后的话 但是这个东西我给你说又不可避免
[00:11:10 - 00:11:11] 为什么呢
[00:11:11 - 00:11:13] 因为现在都是短视的一面
[00:11:13 - 00:11:14] 是是是
[00:11:14 - 00:11:16] 我一个课程可能是一小时
[00:11:16 - 00:11:17] 40分钟
[00:11:17 - 00:11:18] 能就切出你的段子外
[00:11:18 - 00:11:19] 他就听了一个
[00:11:19 - 00:11:21] 但其实还有其他的他都没有听过
[00:11:21 - 00:11:23] 这种人还好
[00:11:23 - 00:11:24] 那面对这种问题怎么办
[00:11:24 - 00:11:25] 你姐姐就一直学习
[00:11:25 - 00:11:26] 持续学习
[00:11:26 - 00:11:27] 没办法
[00:11:27 - 00:11:28] 可能我们一来记载说持续学习
[00:11:28 - 00:11:29] 都是一样
[00:11:29 - 00:11:32] 持续学习 持续一辈子的事
[00:11:32 - 00:11:33] 对 总之我们这期节目就不想告诉大家
[00:11:33 - 00:11:35] 不管是干脆的一个
[00:11:35 - 00:11:37] 还是说干我们教育
[00:11:37 - 00:11:39] 其实你得一直到十分
[00:11:39 - 00:11:40] 对
[00:11:40 - 00:11:42] 你要是没有持续以恒的这种精神
[00:11:42 - 00:11:43] 你确实话你
[00:11:43 - 00:11:44] 干啥都干不下来
[00:11:44 - 00:11:45] 行业的困难
[00:11:45 - 00:11:46] 它就是存在
[00:11:46 - 00:11:47] 每个行业都会遇到困难
[00:11:47 - 00:11:48] 对 虽说的话
[00:11:48 - 00:11:49] 你要是不能持续以恒的话
[00:11:49 - 00:11:51] 真的 你很难能做到
[00:11:51 - 00:11:53] 像我这样的高度
[00:11:54 - 00:11:55] 这个总结非常有高度
[00:11:55 - 00:11:56] 我这个总结很重要
[00:11:56 - 00:11:57] 和少老师的高度
[00:11:57 - 00:11:58] 就是坚持
[00:11:58 - 00:11:59] 对
[00:11:59 - 00:12:00] 好 那我们本期节目就是这样
[00:12:00 - 00:12:01] 也聊了很多话题
[00:12:01 - 00:12:02] 感谢邹老师给大家的分享
[00:12:02 - 00:12:04] 谢谢 张老师 再见
