BV号：BV1b44y1w7Eo
标题：BV1b44y1w7Eo
链接：https://www.bilibili.com/video/BV1b44y1w7Eo
识别语言：zh
语言置信度：1
分段数：138
生成时间：2026-04-03 14:10:23

[00:00:00 - 00:00:02] 互联往失踪人口,已经做好了回归的准备
[00:04:01 - 00:04:07] 你说我各行各业的我说这个专业怎么样那个专业怎么样这个专业现在什么形式那个专业什么形式
[00:04:07 - 00:04:11] 如果说我直播间有这个行当的家长如果我说的是不对的
[00:04:12 - 00:04:18] 你觉得我的直播间会这么多人吗然后的话我在直播间我的联卖大家也都知道我在直播间联卖我
[00:04:18 - 00:04:20] 从来是免费的我都是免费的
[00:04:21 - 00:04:23] 我说如果你有需要你去拍练习
[00:04:23 - 00:04:25] 你问我问题
[00:04:25 - 00:04:27] 我会尽我所能的回答你
[00:04:28 - 00:04:30] 对吧但是我真的我不知道该
[00:04:30 - 00:04:33] 该去怎么形容整个六七月份发生的
[00:04:34 - 00:04:34] 种种的事情
[00:04:35 - 00:04:39] 所以说六七月份本身也不是我们一波的时候啊整个六月份的话我们都在忙
[00:04:40 - 00:04:43] 七月初的时候也在忙然后的话七月底的时候我们就放假了
[00:04:43 - 00:04:46] 然后的话呢现在八月份啊然后的话这个
[00:04:46 - 00:04:48] 重新开始这个所谓的直播
[00:04:49 - 00:04:50] 所以说的话就是真的
[00:04:50 - 00:04:53] 六七份那两个月过得我也很头疼
[00:04:53 - 00:04:55] 我不知道为什么就是我做了什么
[00:04:55 - 00:04:57] 都有一帮人去所谓的
[00:04:57 - 00:04:59] 你这么闲吗
[00:04:59 - 00:05:02] 流量那么难获取吗
[00:05:02 - 00:05:03] 你非得在我身上找流量
[00:05:03 - 00:05:05] 真受不了
