BV号：BV1VtkKB2EB7
标题：BV1VtkKB2EB7
链接：https://www.bilibili.com/video/BV1VtkKB2EB7
识别语言：zh
语言置信度：1
分段数：121
生成时间：2026-04-03 00:39:07

[00:00:00 - 00:00:03] 我忘了是哪位美国的副总统
[00:01:57 - 00:02:00] 人家当地的律师事务所都是当地学校毕业的
[00:02:00 - 00:02:03] 法律这个专业是极重地域性的
[00:02:03 - 00:02:04] 你说老师我是那个学校
[00:02:04 - 00:02:06] 那个学校咱们法学就好
[00:02:06 - 00:02:08] 尤其是有很多家长特别有意思
[00:02:08 - 00:02:09] 有很多家长特别有意思
[00:02:09 - 00:02:10] 他只看分
[00:02:10 - 00:02:11] 他在报支员的时候
[00:02:11 - 00:02:13] 他分数线从上往下履
[00:02:13 - 00:02:14] 因为他不想亏分
[00:02:14 - 00:02:15] 昨天我们还遇到一个家长
[00:02:15 - 00:02:15] 对不对
[00:02:15 - 00:02:17] 他分数线从上往下履
[00:02:17 - 00:02:18] 他不想亏分
[00:02:18 - 00:02:19] 看学科排名
[00:02:19 - 00:02:20] 学科排名有什么用
[00:02:20 - 00:02:22] 在法学界学科排名有什么用
[00:02:22 - 00:02:25] 法学界学科排名什么用
[00:02:25 - 00:02:28] 你去打官司找律师的话
[00:02:28 - 00:02:29] 你首先第一件事
[00:02:29 - 00:02:30] 律师你哪个学校毕业的
[00:02:30 - 00:02:31] 你问这个吗
[00:02:31 - 00:02:32] 你不问这个吧
[00:02:32 - 00:02:33] 你首先问的是什么
[00:02:33 - 00:02:34] 你首先问的是律师
[00:02:34 - 00:02:35] 你这种官司打过吗
[00:02:35 - 00:02:37] 你这种官司你这剩律多少
[00:02:37 - 00:02:38] 谁关你哪个学校毕业的
[00:02:38 - 00:02:40] 没有人关心你哪个学校毕业的
[00:02:40 - 00:02:41] 知道吧
[00:02:41 - 00:02:44] 只关心你这种官司你打没打过
[00:02:44 - 00:02:45] 我就这种官司你打没打过
[00:02:45 - 00:02:46] 你剩律多少
[00:02:46 - 00:02:47] 只关心这个
[00:02:47 - 00:02:49] 还关心那个学校毕业的
[00:02:49 - 00:02:50] 你打官司
[00:02:50 - 00:02:51] 你问律师你那个学校毕业的吗
[00:02:51 - 00:02:53] 你开庭你问他
[00:02:53 - 00:02:54] 法官你那个小毕业的
[00:02:54 - 00:02:55] 你是不是5月47的
[00:02:55 - 00:02:56] 不是5月47的滚家
[00:02:56 - 00:02:57] 你会这样吗
[00:02:57 - 00:02:58] 法学学术排名
[00:02:58 - 00:03:00] 在这个行业内有作用吗
[00:03:00 - 00:03:01] 有作用
[00:03:01 - 00:03:02] 但作用不大
[00:03:02 - 00:03:04] 尤其是顶级的还有点作用
[00:03:04 - 00:03:06] 下边的又没啥作用
