BV号：BV1jiPjzqEkj
标题：BV1jiPjzqEkj
链接：https://www.bilibili.com/video/BV1jiPjzqEkj
识别语言：zh
语言置信度：1
分段数：107
生成时间：2026-04-03 00:10:14

[00:00:00 - 00:00:03] 一般情话下强级是给你往八年方向培养的
[00:01:21 - 00:01:22] 主要再做科研
[00:01:22 - 00:01:24] 基本就没有课了
[00:01:24 - 00:01:25] 你主要在做科研
[00:01:25 - 00:01:27] 因为有些实验和有些科研
[00:01:27 - 00:01:28] 不是你两个月或者说
[00:01:28 - 00:01:30] 你说老师我两个月能做出来
[00:01:30 - 00:01:30] 三个月能做出来
[00:01:30 - 00:01:31] 不是的
[00:01:31 - 00:01:32] 那个做科研是有的
[00:01:32 - 00:01:34] 是稍稍靠运气的
[00:01:34 - 00:01:35] 所以说如果说老师
[00:01:35 - 00:01:36] 我最后强级
[00:01:36 - 00:01:38] 我首先我在本科毕业四年以后的话
[00:01:38 - 00:01:39] 我参加一个本科毕业论文答辩
[00:01:39 - 00:01:41] 你是拿到什么毕业证
[00:01:41 - 00:01:44] 是看你参加什么样的毕业论文答辩
[00:01:44 - 00:01:45] 你参加本科毕业论文答辩
[00:01:45 - 00:01:46] 就给你一个本科毕业证
[00:01:46 - 00:01:47] 你参加数学毕业论文答辩
[00:01:47 - 00:01:49] 就跟你说实际毕业证
[00:01:49 - 00:01:50] 强级有可能
[00:01:50 - 00:01:52] 因为强级到现在还没有毕业生了
[00:01:52 - 00:01:54] 强级有可能会出现那个情况是什么呢
[00:01:54 - 00:01:57] 老师我前三年把本科的内容学完了
[00:01:57 - 00:01:59] 第四年把硕士毕业内容学完了
[00:01:59 - 00:02:01] 但是我搞科研遇到了非常大的问题
[00:02:01 - 00:02:04] 因为你会发现硕士研究生和博士研究生经常有退学的
[00:02:04 - 00:02:05] 他为什么退学
[00:02:05 - 00:02:06] 搞科研搞不下去了
[00:02:06 - 00:02:09] 或者说他从刚开始搞科研的所谓第一年
[00:02:09 - 00:02:10] 他就发现他搞不下去
[00:02:10 - 00:02:12] 他也研究不出来各种刚的成果
[00:02:12 - 00:02:12] 他毕业不了业
[00:02:12 - 00:02:14] 他就直接放弃了不读了
[00:02:14 - 00:02:15] 我们公司有很多这样的人
[00:02:15 - 00:02:18] 我知道的就最起码都有两三个三四个是这样的
[00:02:18 - 00:02:20] 就是他读博士读到第一年
[00:02:20 - 00:02:21] 读到第二年不读了
[00:02:21 - 00:02:22] 我直接退学
[00:02:22 - 00:02:23] 我不读了
[00:02:23 - 00:02:25] 然后的话我用我数学毕业证去找工作
[00:02:25 - 00:02:27] 因为那两个人都参加了数学毕业论文打遍
[00:02:27 - 00:02:27] 我有一个
[00:02:27 - 00:02:29] 我们公司有一个员工是什么
[00:02:29 - 00:02:32] 他在保研的时候直接保到了数学毕业读
[00:02:32 - 00:02:34] 结果那个孩子在搞科研的时候
[00:02:34 - 00:02:36] 他就没有参加数学毕业论文打遍
[00:02:36 - 00:02:38] 结果博士科研没搞出来
[00:02:38 - 00:02:40] 最后连数学毕业证都没有
[00:02:40 - 00:02:41] 所以说这个攻击你先想好
[00:02:41 - 00:02:43] 你说老实我特别功利的
[00:02:43 - 00:02:46] 我以为爆强级时尚985的捷径
[00:02:46 - 00:02:47] 如果你这么想的话
[00:02:47 - 00:02:48] 你别爆强级了
[00:02:48 - 00:02:51] 除非说你真的是对基础学科有非常大的热爱的
[00:02:51 - 00:02:52] 我觉得那种更适合
[00:02:52 - 00:02:53] 你想清楚
[00:02:53 - 00:02:54] 好吧
