BV号：BV1jJ411m7H5
标题：BV1jJ411m7H5
链接：https://www.bilibili.com/video/BV1jJ411m7H5
识别语言：zh
语言置信度：1
分段数：424
生成时间：2026-04-04 05:23:02

[00:00:02 - 00:00:04] 我不知道你从来已经你最尴尬的
[00:01:11 - 00:01:12] 你要說這種尷尬說實話
[00:01:12 - 00:01:15] 我覺得我們幾乎職業的每天都在面對
[00:01:15 - 00:01:17] 因為電視直播是一個遺憾的藝術
[00:01:17 - 00:01:19] 我說實話我每次直播下來都會覺得
[00:01:19 - 00:01:20] 哎呀
[00:01:20 - 00:01:23] 我這句話這麼說是不是更好一點
[00:01:23 - 00:01:25] 哎呀我那句話這麼表達
[00:01:25 - 00:01:27] 我是不是更有格一點
[00:01:27 - 00:01:27] 對
[00:01:27 - 00:01:29] 我那麼說我是不是顯得更高檔
[00:01:29 - 00:01:30] 你每次都會有
[00:01:30 - 00:01:32] 但其實我認為這個不叫
[00:01:32 - 00:01:33] 這個不叫求
[00:01:33 - 00:01:36] 這個是一種職業就是對你自己的這種要求
[00:01:36 - 00:01:37] 你會有這樣的一種壓力
[00:01:37 - 00:01:39] 但是你要說丟人的時刻肯定是有的
[00:01:39 - 00:01:42] 我丟人的時刻當然都是發生在職業生涯的前夕
[00:01:42 - 00:01:43] 說實話你現在比比人的
[00:01:43 - 00:01:46] 我對你丟人的這個事特別
[00:01:46 - 00:01:47] 張老師你這
[00:01:47 - 00:01:50] 我一向特深啊
[00:01:50 - 00:01:53] 我最早出境你先從外景開始
[00:01:53 - 00:01:54] 還沒進演博士呢
[00:01:54 - 00:01:56] 就是現場的報導叫出境報導
[00:01:56 - 00:01:59] 我最早在現場大概05、06年的時候
[00:01:59 - 00:02:00] 因為英語好
[00:02:00 - 00:02:02] 那個時候是我的優勢去去去提頻道
[00:02:02 - 00:02:04] 我就採訪外國運動員
[00:02:04 - 00:02:04] 你知道
[00:02:04 - 00:02:08] 然后呢直播当中啊一个高尔夫的比赛文显特身
[00:02:08 - 00:02:10] 还是当时实验上水平最高的球手
[00:02:10 - 00:02:11] 到北京打一个比赛
[00:02:11 - 00:02:13] 我去采访直播当中连线
[00:02:13 - 00:02:15] 然后连线的时候呢
[00:02:15 - 00:02:16] 紧张啊
[00:02:16 - 00:02:17] 真紧张啊
[00:02:18 - 00:02:20] 我我我问他这个
[00:02:21 - 00:02:23] 这个这个球员打完一个洞
[00:02:23 - 00:02:25] 往下一个洞走的时候
[00:02:25 - 00:02:25] 我上去拦住他
[00:02:25 - 00:02:26] 哎我说那个
[00:02:26 - 00:02:28] 我有一个问题啊直播采访
[00:02:28 - 00:02:29] 我们是直播
[00:02:29 - 00:02:31] 我想跟他说我说就耽误你10秒钟的时间
[00:02:32 - 00:02:33] 我当时紧张到
[00:02:33 - 00:02:35] 我连second和minute都分不清了
[00:02:35 - 00:02:37] 我是just ten minutes
[00:02:37 - 00:02:38] 求求一脸懵的看着我
[00:02:38 - 00:02:40] 分了十分钟
[00:02:40 - 00:02:41] 就一脸懵
[00:02:41 - 00:02:43] 我当时我叹就下来你知道吗
[00:02:43 - 00:02:45] 然后把这问题问完之后
[00:02:45 - 00:02:45] 还是个直播
[00:02:45 - 00:02:46] 还是个直播啊
[00:02:46 - 00:02:47] 关键是minus和second
[00:02:47 - 00:02:48] 大家都知道
[00:02:48 - 00:02:50] 对 什么水平啊
[00:02:50 - 00:02:51] 你都知道什么水平
[00:02:51 - 00:02:52] 但是喊都下来
[00:02:52 - 00:02:55] 这个直播这段说完之后
[00:02:55 - 00:02:57] 然后这个直播切出去了
[00:02:57 - 00:02:58] 没问题了
[00:02:58 - 00:02:59] 我们这直播结束了
[00:02:59 - 00:03:00] 然后呢
[00:03:00 - 00:03:02] 我旁边合作部门的一位
[00:03:02 - 00:03:04] 技术的老师 音频的老师
[00:03:04 - 00:03:07] 说你这小伙子这画筒都不会拿 拿得不对
[00:03:07 - 00:03:10] 当时什么画筒拿得不对
[00:03:10 - 00:03:12] 学校没教过呀
[00:03:13 - 00:03:15] 但是画筒怎么那么难呀
[00:03:15 - 00:03:16] 我身上受不着
[00:03:16 - 00:03:18] 全是错
[00:03:18 - 00:03:19] 就是第一次真的全是错
[00:03:19 - 00:03:20] 你现在想起来
[00:03:20 - 00:03:22] 这怎么会那么幼稚呢
[00:03:22 - 00:03:23] 但是没办法
[00:03:23 - 00:03:24] 你职业就是这样
[00:03:24 - 00:03:26] 而且像我们这个职业
[00:03:26 - 00:03:27] 就是学校教育
[00:03:27 - 00:03:28] 其实很多细节你是教不到的
[00:03:28 - 00:03:30] 你都是靠职业当中
[00:03:30 - 00:03:31] 在你从业之后
[00:03:31 - 00:03:33] 一点一点细节去不过
[00:03:33 - 00:03:35] 就是你经历过这些
[00:03:35 - 00:03:36] 求也好
[00:03:36 - 00:03:37] 吃亏也好
[00:03:37 - 00:03:38] 错误也好
[00:03:38 - 00:03:40] 你才会有成长
[00:03:40 - 00:03:40] 对吧
[00:03:40 - 00:03:41] 但是有的人说实话
[00:03:41 - 00:03:42] 他错了
[00:03:42 - 00:03:43] 他就成长不了了
[00:03:43 - 00:03:44] 这个当然了
[00:03:44 - 00:03:46] 就是我觉得一个和社会环境有关系
[00:03:46 - 00:03:47] 说实话
[00:03:47 - 00:03:48] 当时我们干这一行的时候
[00:03:48 - 00:03:49] 最早其实的时候
[00:03:49 - 00:03:50] 还是挺宽容的
[00:03:50 - 00:03:51] 对对对
[00:03:51 - 00:03:53] 而且你那个时候就像什么微博
[00:03:53 - 00:03:54] 这种资源
[00:03:54 - 00:03:54] 还没有
[00:03:54 - 00:03:55] 这个就是你说
[00:03:55 - 00:03:57] 就是你说现在微博一句话
[00:03:57 - 00:03:58] 你可能说错了一句话
[00:03:58 - 00:04:00] 被放大成百上千倍
[00:04:00 - 00:04:01] 错不就淹死你了
[00:04:01 - 00:04:02] 但是我们那个时候
[00:04:02 - 00:04:04] 你现在回想说错了很多话直播当中
[00:04:04 - 00:04:07] 但是那个时候互联网还没有那么发达
[00:04:07 - 00:04:09] 尤其社交媒体没那么发达
[00:04:09 - 00:04:10] 所以你自己知道就完了
[00:04:10 - 00:04:11] 你相信我 邵老师
[00:04:11 - 00:04:13] 我们广大大网友在看这期节目以后
[00:04:13 - 00:04:16] 他一定会把你的直播翻译来
[00:04:16 - 00:04:18] 好 看一看
[00:04:18 - 00:04:19] 来的少圣一语
[00:04:19 - 00:04:20] 对了 没有没有
[00:04:20 - 00:04:23] 好在 我感觉10年之前的直播好多在网上
[00:04:23 - 00:04:24] 都已经也没了 都找不着了
[00:04:24 - 00:04:25] 对对对
[00:04:25 - 00:04:27] 你看我内心考虑过这事才敢说出来
[00:04:27 - 00:04:29] 你知道我在讲课的时候
[00:04:29 - 00:04:32] 我遇到最难受最糗的一个事
[00:04:32 - 00:04:33] 就是有一天我
[00:04:33 - 00:04:34] 我应该非常喜欢
[00:04:34 - 00:04:35] 我是在太远
[00:04:36 - 00:04:38] 前一天晚上我不知道吃什么东西
[00:04:38 - 00:04:39] 吃坏肚子
[00:04:39 - 00:04:40] 然后那一天呢
[00:04:40 - 00:04:41] 整个一天就在拉肚子
[00:04:42 - 00:04:44] 然后那天客牌都特别多
[00:04:44 - 00:04:44] 你知道吧
[00:04:44 - 00:04:46] 我觉得这一段味道很重要
[00:04:46 - 00:04:46] 感觉
[00:04:46 - 00:04:47] 真的
[00:04:47 - 00:04:48] 我那天就是
[00:04:48 - 00:04:49] 他那个客牌一个半小时
[00:04:49 - 00:04:50] 你知道吧
[00:04:50 - 00:04:51] 一个半小时的时候
[00:04:51 - 00:04:52] 结果上场前
[00:04:52 - 00:04:53] 我还特意去拉了一次
[00:04:53 - 00:04:53] 你知道吧
[00:04:53 - 00:04:54] 然后的话
[00:04:54 - 00:04:55] 那上场有后
[00:04:56 - 00:04:57] 讲到20分钟的时候
[00:04:57 - 00:04:57] 肚子又开始不行
[00:04:57 - 00:04:59] 一块儿难受
[00:04:59 - 00:05:00] 但是我的课是一个半小时的课
[00:05:01 - 00:05:03] 我在讲到第二分钟后
[00:05:03 - 00:05:04] 肚子开始不舒服
[00:05:04 - 00:05:05] 其实我当时一会讲说
[00:05:05 - 00:05:05] 我得一会想
[00:05:06 - 00:05:09] 我是一会儿在中间休息一下
[00:05:09 - 00:05:11] 去解决一下
[00:05:12 - 00:05:14] 还是说你这一人挺到最后
[00:05:15 - 00:05:16] 我万一挺到最后
[00:05:16 - 00:05:17] 我没人住
[00:05:17 - 00:05:18] 我都没人住
[00:05:18 - 00:05:20] 人窟子里边看怎么办
[00:05:20 - 00:05:21] 我当时一会讲
[00:05:21 - 00:05:22] 我一会在想
[00:05:22 - 00:05:22] 一会人窟
[00:05:22 - 00:05:23] 一会想
[00:05:23 - 00:05:25] 然后的话讲着讲着讲着
[00:05:25 - 00:05:26] 肌肉还非常紧张
[00:05:26 - 00:05:26] 我不抽一样
[00:05:26 - 00:05:28] 我一整整夹起
[00:05:28 - 00:05:29] 夹了一夹
[00:05:29 - 00:05:31] 那就到中间了
[00:05:31 - 00:05:32] 就到中间第一部分结束了
[00:05:32 - 00:05:32] 你知道吧
[00:05:32 - 00:05:35] 那个时候我就要做一个决定了
[00:05:35 - 00:05:36] 到底是去
[00:05:36 - 00:05:37] 但是我中间
[00:05:37 - 00:05:37] 我一个干我事
[00:05:37 - 00:05:39] 我中间是不会休息的
[00:05:39 - 00:05:40] 因为你中间你一休息的话
[00:05:40 - 00:05:42] 有的学生可能就散了
[00:05:42 - 00:05:44] 然后的话呢
[00:05:44 - 00:05:45] 我就
[00:05:45 - 00:05:46] 我就你如果做个决定了
[00:05:46 - 00:05:47] 我说到底是去
[00:05:47 - 00:05:49] 还是说在这继续
[00:05:49 - 00:05:51] 然后的话我就一咬一咬
[00:05:51 - 00:05:52] 你知道吧
[00:05:52 - 00:05:52] 继续
[00:05:52 - 00:05:54] 我后边的语书
[00:05:54 - 00:05:56] 我本来语书就快了
[00:05:56 - 00:05:57] 然后的话我就又加快的一次
[00:05:57 - 00:05:58] 你知道吧
[00:05:58 - 00:05:59] 打打打打打打
[00:05:59 - 00:06:00] 大家听那个程义四那被说的
[00:06:00 - 00:06:01] 对对对
[00:06:01 - 00:06:02] 讲完以后的话
[00:06:02 - 00:06:03] 学生会照着签个名
[00:06:03 - 00:06:04] 全都没签名
[00:06:04 - 00:06:05] 我说他也吃上错词吗
[00:06:05 - 00:06:06] 赶紧打来
[00:06:06 - 00:06:07] 你说我错错
[00:06:07 - 00:06:08] 跑你知道吧
[00:06:08 - 00:06:10] 你都不知道这是我
[00:06:10 - 00:06:11] 可能就是从业这么多年来啊
[00:06:11 - 00:06:14] 就是跑得最快的一天
[00:06:14 - 00:06:15] 就是赶上西手间
[00:06:15 - 00:06:16] 你知道吧
[00:06:16 - 00:06:16] 哇
[00:06:16 - 00:06:18] 那天就是当时在台上那种感觉
[00:06:18 - 00:06:19] 然后一边夹着
[00:06:19 - 00:06:20] 然后一边
[00:06:20 - 00:06:21] 哈哈哈哈
[00:06:21 - 00:06:22] 你快自在地讲真的
[00:06:22 - 00:06:23] 一边夹一边讲
[00:06:23 - 00:06:24] 一边的人物换在小伙子
[00:06:24 - 00:06:25] 豆皮该走了吧
[00:06:25 - 00:06:26] 哎呀,這個口味很重啊
[00:06:26 - 00:06:28] 口味很重,但是有的時候
[00:06:28 - 00:06:31] 真的,但是這個,這個,你看
[00:06:31 - 00:06:33] 這一點說實話,張老師,這不是你直接成長過程
[00:06:33 - 00:06:37] 因為經驗不足或者是這個比較智能造成的球
[00:06:37 - 00:06:41] 但是這樣的困境其實像咱們這種職業都有共通的困
[00:06:41 - 00:06:43] 對,所以說的話,其實我們今天做這一期節目
[00:06:43 - 00:06:45] 需要告訴大家就是
[00:06:45 - 00:06:48] 你如果說在職業迷茫的時候,也可以像
[00:06:48 - 00:06:50] 少學院這樣,就是說,弄點很明確
[00:06:50 - 00:06:52] 對吧,也可以像我這樣
[00:06:52 - 00:06:54] 其實我是外來同學,我是學習排學的,我是學生的教育
[00:06:54 - 00:06:56] 但是你不管干什么
[00:06:56 - 00:06:57] 你迷茫归迷茫
[00:06:57 - 00:06:58] 你觉得说可能刚开始
[00:06:58 - 00:07:00] 你在进入这个职业的时候
[00:07:00 - 00:07:01] 困难归困难
[00:07:01 - 00:07:02] 但是你相信
[00:07:02 - 00:07:04] 只要你去努力
[00:07:04 - 00:07:05] 职业上遇到的困难
[00:07:05 - 00:07:06] 不能成为你迷茫的理由
[00:07:06 - 00:07:07] 这是两码事儿
[00:07:07 - 00:07:08] 对吧
[00:07:08 - 00:07:09] 你说我说职业上遇到困难
[00:07:09 - 00:07:12] 那你就得干一个完全遇不到困难
[00:07:12 - 00:07:13] 很轻松你就能完成的职业
[00:07:13 - 00:07:14] 那你成长在哪里呢
[00:07:14 - 00:07:16] 就是最简单的一句话
[00:07:16 - 00:07:17] 你想轻松吧
[00:07:17 - 00:07:18] 下坡路最轻松
[00:07:18 - 00:07:20] 你只能一直走下坡路
[00:07:20 - 00:07:21] 你最轻松
[00:07:21 - 00:07:22] 滚开去更轻松
[00:07:22 - 00:07:24] 你走上坡路一定是會有困難的
[00:07:24 - 00:07:26] 對吧 你任何職業你想成長
[00:07:26 - 00:07:27] 都會遇到困難
[00:07:27 - 00:07:28] 所以不管是張老師
[00:07:28 - 00:07:30] 像我們做主持人還是各行各業
[00:07:30 - 00:07:31] 其實困難都是故通的
[00:07:31 - 00:07:33] 但是就是您說的
[00:07:33 - 00:07:34] 什麼叫職業迷茫
[00:07:34 - 00:07:35] 如果因為困難就職業迷茫
[00:07:35 - 00:07:37] 那對不起 我認為你在這個職業
[00:07:37 - 00:07:38] 你就打不了 你就不能打
[00:07:38 - 00:07:40] 你確實 你在什麼職業
[00:07:40 - 00:07:40] 你可能都不能打
[00:07:40 - 00:07:42] 如果遇到困難的話
[00:07:42 - 00:07:43] 但真正的迷茫可能是
[00:07:43 - 00:07:44] 其實我想請教
[00:07:44 - 00:07:45] 你真正的迷茫
[00:07:45 - 00:07:46] 我覺得可能是很多年輕人覺得
[00:07:46 - 00:07:48] 哎 我的方向選錯了
[00:07:48 - 00:07:49] 是吧
[00:07:49 - 00:07:50] 比如說現在很多這種情況
[00:07:50 - 00:07:53] 学的跟干的不是一般事,留你
[00:07:53 - 00:07:56] 我干了这行之后,我就发现不喜欢
[00:07:56 - 00:08:00] 或者干了这行之后,我发现这个环境不适合我
[00:08:00 - 00:08:01] 这怎么办?
[00:08:01 - 00:08:03] 其实我觉得是这样的
[00:08:03 - 00:08:07] 就是大家一定要有一种信念
[00:08:07 - 00:08:10] 比如说你是干了你喜欢的这种职业
[00:08:10 - 00:08:13] 我可能干的职业呢,可能大家觉得我很喜欢
[00:08:13 - 00:08:15] 可能我比较享受在台上去教人家
[00:08:15 - 00:08:18] 包括说后来现在很多学生他考上研究生以后的话
[00:08:18 - 00:08:19] 回我来找我说张老师
[00:08:19 - 00:08:20] 我因为听了你的课
[00:08:20 - 00:08:22] 然后考上这一个什么什么的学校
[00:08:22 - 00:08:23] 这个成就感
[00:08:23 - 00:08:25] 对 这是有很有成就感的一个事情
[00:08:25 - 00:08:28] 但是说实话你说我去喜欢吗
[00:08:28 - 00:08:29] 我觉得我其实也不是那么特别
[00:08:29 - 00:08:32] 我喜欢干的是你这个事你知道吗
[00:08:32 - 00:08:33] 经常有人跟我说
[00:08:33 - 00:08:34] 说那什么说张老师如果说有一天
[00:08:34 - 00:08:37] 你不干这个教育了
[00:08:37 - 00:08:38] 那你可能会干什么
[00:08:38 - 00:08:39] 我说我不干教育了
[00:08:39 - 00:08:41] 很有可能我要干的事情就是
[00:08:41 - 00:08:41] 结束了
[00:08:41 - 00:08:42] 真的
[00:08:42 - 00:08:43] 真的
[00:08:43 - 00:08:44] 我一点不开玩笑的
[00:08:44 - 00:08:45] 是不是
[00:08:45 - 00:08:45] 真的
[00:08:45 - 00:08:46] 真的
[00:08:46 - 00:08:46] 真的
[00:08:46 - 00:08:47] 真的
[00:08:47 - 00:08:48] 那咱俩太无聊了吧
[00:08:48 - 00:08:49] 你有興趣的話你可以
[00:08:49 - 00:08:51] 我想說一句就是你知道我要不做主持人
[00:08:51 - 00:08:52] 我唯一想幹的是什麼
[00:08:52 - 00:08:53] 當然是啊
[00:08:57 - 00:08:58] 我的天啊
[00:08:58 - 00:08:59] 真的我如果說你有興趣
[00:08:59 - 00:09:02] 我是忘了接受哪個平台的採訪
[00:09:02 - 00:09:03] 然後的話他就說
[00:09:03 - 00:09:04] 張老師我也是你不乾淨的時候
[00:09:04 - 00:09:05] 我乾脆就去說
[00:09:05 - 00:09:06] 我說最喜歡的就去說
[00:09:06 - 00:09:06] 你看真的
[00:09:06 - 00:09:08] 咱倆真的可以回頭可以體驗
[00:09:08 - 00:09:09] 是互換兩天
[00:09:09 - 00:09:10] 這個真的
[00:09:11 - 00:09:11] 是吧
[00:09:11 - 00:09:13] 對當然你上不了我們的直播片
[00:09:13 - 00:09:13] 你不行
[00:09:13 - 00:09:14] 再可以體驗一下
[00:09:14 - 00:09:15] 是吧
[00:09:15 - 00:09:16] 我也講不了你這個考驗課
[00:09:16 - 00:09:16] 但是你知道
[00:09:16 - 00:09:18] 因为我在西方方讲过课
[00:09:18 - 00:09:20] 包括我会有一些跟同学们分享什么的
[00:09:20 - 00:09:21] 多好啊
[00:09:21 - 00:09:22] 就是我讲说的什么呢
[00:09:22 - 00:09:23] 就是不管你是喜欢干的
[00:09:23 - 00:09:24] 还是不喜欢干的
[00:09:24 - 00:09:25] 对吧
[00:09:25 - 00:09:26] 你只要在这个行业内
[00:09:26 - 00:09:28] 你只要其实你努力
[00:09:28 - 00:09:28] 嗯
[00:09:28 - 00:09:29] 就是你不要觉得说
[00:09:29 - 00:09:31] 我的选择是对与错
[00:09:31 - 00:09:31] 嗯
[00:09:31 - 00:09:32] 你要去努力
[00:09:32 - 00:09:34] 让你这个选择它是对的
[00:09:34 - 00:09:34] 哎
[00:09:34 - 00:09:36] 其实赵老师我觉得是这样
[00:09:36 - 00:09:38] 就现在的就业环境和社会环境来讲
[00:09:38 - 00:09:40] 真正错的选择
[00:09:40 - 00:09:41] 极少
[00:09:41 - 00:09:41] 极少
[00:09:41 - 00:09:43] 甚至不存在我认为
[00:09:43 - 00:09:45] 你说我选择什么专业是错的
[00:09:45 - 00:09:46] 没有错的专业
[00:09:46 - 00:09:47] 第一个是什么
[00:09:47 - 00:09:49] 所谓英雄不问出处
[00:09:49 - 00:09:52] 你在学校学的是技能教育或者基础教育
[00:09:52 - 00:09:54] 在大学本科就算仍然是这样的 我认为
[00:09:54 - 00:09:56] 那你进入到这个行业之后
[00:09:56 - 00:09:59] 你说我大学教的马上能学以致用
[00:09:59 - 00:10:01] 或者完全百分之百的贴合我的职业诉求
[00:10:01 - 00:10:02] 几乎不存在可能
[00:10:02 - 00:10:04] 你都要稍微转型或者要学习
[00:10:04 - 00:10:06] 都可以 学习是一辈子的事儿
[00:10:06 - 00:10:07] 你不要拿大学教育说我完成了
[00:10:07 - 00:10:09] 我就学完了 我不愿意学习了
[00:10:09 - 00:10:10] 我可以干一辈子超门
[00:10:10 - 00:10:11] 那你肯定迷茫
[00:10:11 - 00:10:12] 这是你的问题 对吧
[00:10:12 - 00:10:14] 另外就是说
[00:10:14 - 00:10:16] 這個時代給我們的機會越來越多
[00:10:16 - 00:10:19] 對 就是你很多新生的職業
[00:10:19 - 00:10:21] 衍生的職業 交叉學科的職業
[00:10:21 - 00:10:23] 大學沒有了 這個人哪來的
[00:10:23 - 00:10:25] 對吧 你各種各樣的才能
[00:10:25 - 00:10:26] 現在是玩六星的
[00:10:26 - 00:10:28] 全人的職業
[00:10:28 - 00:10:32] 各位朋友 大家我覺得與其迷茫不如去向上
[00:10:32 - 00:10:33] 對 真的是
[00:10:33 - 00:10:34] 我們感謝邵老師
[00:10:34 - 00:10:36] 跟我們在本期節目分享的這麼多
[00:10:36 - 00:10:38] 他自己的這個
[00:10:38 - 00:10:39] 這麼快就聊完了一氣
[00:10:39 - 00:10:40] 哈哈哈哈
[00:10:40 - 00:10:42] 好 我們本期節目就是這樣
[00:10:42 - 00:10:43] 咱們下期節目再見
[00:10:43 - 00:10:43] 謝謝
[00:10:44 - 00:10:48] 中国同比特有的热情的方式一起欢迎他
[00:10:48 - 00:10:50] 3 2 1
[00:10:50 - 00:10:55] 其他人
[00:10:55 - 00:10:57] 好 来吧
[00:10:57 - 00:10:58] 加油
