BV号：BV1ewZGYVEYi
标题：BV1ewZGYVEYi
链接：https://www.bilibili.com/video/BV1ewZGYVEYi
识别语言：zh
语言置信度：1
分段数：102
生成时间：2026-04-03 05:28:26

[00:00:00 - 00:00:02] 我就是想跟你聊一聊
[00:01:14 - 00:01:16] 各位同学在这张卷子上的
[00:01:16 - 00:01:17] 得分效率高低
[00:01:17 - 00:01:18] 是这个
[00:01:18 - 00:01:19] 所以说我刚才讲的一句话
[00:01:19 - 00:01:21] 叫做实践式检验真理的唯一标准
[00:01:21 - 00:01:23] 是什么意思呢
[00:01:23 - 00:01:24] 就是你到底是说
[00:01:24 - 00:01:27] 我要按照圣雪从前面的题去做
[00:01:27 - 00:01:30] 还是说我要从后边的这个难题去做
[00:01:30 - 00:01:30] 或者怎么样的
[00:01:30 - 00:01:33] 你要看你单位时间之内得分的效率
[00:01:33 - 00:01:34] 所以说各位家长
[00:01:34 - 00:01:35] 我为什么说我推荐大家
[00:01:35 - 00:01:36] 如果说你现在高尔
[00:01:36 - 00:01:38] 这个真题
[00:01:38 - 00:01:40] 它有一个非常非常重要的一个点是什么
[00:01:40 - 00:01:41] 来各位家长
[00:01:41 - 00:01:42] 你在做这个真题的时候
[00:01:42 - 00:01:43] 各位家长
[00:01:43 - 00:01:44] 你不要去所谓的
[00:01:44 - 00:01:45] 说老师
[00:01:45 - 00:01:47] 我去找随便找个时间
[00:01:47 - 00:01:47] 下课了
[00:01:47 - 00:01:48] 我做两道题
[00:01:48 - 00:01:48] 下课了
[00:01:48 - 00:01:49] 我做两道题
[00:01:49 - 00:01:50] 你这么做真题
[00:01:50 - 00:01:51] 这就是浪费时间
[00:01:51 - 00:01:52] 你这个真题要怎么利用呢
[00:01:52 - 00:01:56] 整体是你要在私下单独找两个小时的时间
[00:01:56 - 00:01:58] 去做这样一档卷子
[00:01:58 - 00:02:01] 去考验一下你这个时间该如何分配
[00:02:01 - 00:02:03] 比如说我经常就问大家最后一个问题
[00:02:03 - 00:02:06] 就是孩子的最后十分钟他在干嘛
[00:02:06 - 00:02:07] 1 他在空难体
[00:02:07 - 00:02:08] 2 他在做检查
[00:02:08 - 00:02:10] 那么我们就有一个问题
[00:02:10 - 00:02:11] 跟你刚才这个家长们的问题一样
[00:02:11 - 00:02:13] 你是空难体得分效率高
[00:02:13 - 00:02:15] 还是做检查得分效率高呢
[00:02:15 - 00:02:16] 不知道
[00:02:16 - 00:02:17] 那你不知道怎么办
[00:02:17 - 00:02:20] 实际是检验整理的唯一标准
[00:02:20 - 00:02:20] 来
[00:02:20 - 00:02:22] 我们就把这某一套整体
[00:02:22 - 00:02:23] 最后的十分钟
[00:02:23 - 00:02:25] 不做难题
[00:02:25 - 00:02:26] 我就做检查
[00:02:26 - 00:02:29] 我就看一下我得分的效率会不会高
[00:02:29 - 00:02:30] 那我下一套真题
[00:02:30 - 00:02:31] 我就不检查
[00:02:31 - 00:02:32] 我就空难题
[00:02:32 - 00:02:34] 我看我得分效率会不会高
[00:02:34 - 00:02:36] 实际是检证里的唯一标准
[00:02:36 - 00:02:38] 你九套题去空难题
[00:02:38 - 00:02:40] 九套题去做检查
[00:02:40 - 00:02:42] 你就知道你最后十分钟
[00:02:42 - 00:02:44] 该空难题还是该做检查了
