BV号：BV1ZE411E79s
标题：BV1ZE411E79s
链接：https://www.bilibili.com/video/BV1ZE411E79s
识别语言：zh
语言置信度：1
分段数：231
生成时间：2026-04-04 02:25:49

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪芳老师
[00:02:51 - 00:02:53] 你可能藏在你的什么内裤了哪里的
[00:02:53 - 00:02:55] 老太太最后气得没有办法猜
[00:02:55 - 00:02:57] 虽然这个裤子不是他们拖的
[00:02:57 - 00:02:59] 但是是因为他们说的非常非常难听的话
[00:02:59 - 00:03:00] 最后才拖下来的
[00:03:00 - 00:03:03] 超市是完全没有这样的权利的
[00:03:03 - 00:03:04] 完全没有的
[00:03:04 - 00:03:07] 在我们国家任何人都没有权利对别人进行搜查
[00:03:07 - 00:03:09] 就你随便一个人你就像搜查人
[00:03:09 - 00:03:11] 不可以要一定要有法律程序
[00:03:11 - 00:03:12] 像我们说的这个搜查
[00:03:12 - 00:03:14] 你看超市对于这种
[00:03:14 - 00:03:16] 所谓他怀疑的小头这种搜查
[00:03:16 - 00:03:17] 但是还有一种
[00:03:17 - 00:03:20] 就是我们我觉得不能叫搜查
[00:03:20 - 00:03:23] 就是你看像有一些比如说像98
[00:03:23 - 00:03:25] 98这样的场所
[00:03:25 - 00:03:26] 包括像局厂这样的场所
[00:03:26 - 00:03:29] 局厂可能还稍微那什么98
[00:03:29 - 00:03:30] 安静
[00:03:30 - 00:03:33] 这种安检他虽然都没有对你没有上下其手
[00:03:34 - 00:03:36] 但是他也算是一种搜查
[00:03:36 - 00:03:38] 比如说前一段某游乐场
[00:03:38 - 00:03:39] 就不是哪一家了
[00:03:40 - 00:03:44] 开包检查不让人带吃的也不是这么危险物品
[00:03:44 - 00:03:46] 那这种他有没有这样的权利呢
[00:03:47 - 00:03:49] 这个和搜查还不一样
[00:03:49 - 00:03:52] 这个搜查他就是说直接在人家身上去摸
[00:03:52 - 00:03:54] 看人家里面有没有什么东西
[00:03:54 - 00:03:55] 认为人家有没有什么违法
[00:03:56 - 00:03:58] 他那个是说我为了我的场所的安全
[00:03:58 - 00:04:00] 你进我的场所的时候
[00:04:00 - 00:04:02] 你要把你的包拿出来
[00:04:02 - 00:04:04] 但是他不是用手在人家兜里去摸
[00:04:04 - 00:04:05] 他那个主要的问题是说
[00:04:05 - 00:04:08] 你这个场所有没有权利
[00:04:08 - 00:04:10] 不许人家带吃的进去
[00:04:10 - 00:04:13] 他跟咱们这个搜查还不太一样
[00:04:13 - 00:04:14] 他有没有权利带吃的
[00:04:14 - 00:04:16] 不让人家带吃进去
[00:04:16 - 00:04:18] 后来不是就他们败送了吗
[00:04:18 - 00:04:20] 对,那你像这种如果小老太太
[00:04:20 - 00:04:24] 他假如说这个事情他觉得很难受
[00:04:24 - 00:04:26] 那他可不可以用一些法律的武器
[00:04:26 - 00:04:30] 去获取一些所谓的相应的赔偿
[00:04:30 - 00:04:32] 第一个他可以去告民事案件
[00:04:32 - 00:04:33] 清全
[00:04:33 - 00:04:34] 第二个他可以
[00:04:34 - 00:04:36] 如果说他认为自己受到了很大的
[00:04:36 - 00:04:37] 这个精神损害
[00:04:37 - 00:04:39] 他可以告非法搜查
[00:04:39 - 00:04:40] 就是这就是非法搜查
[00:04:40 - 00:04:41] 这是个罪
[00:04:41 - 00:04:42] 我们有一个罪
[00:04:42 - 00:04:43] 非法搜查罪
[00:04:43 - 00:04:46] 这个罪的主体是个人还是商场
[00:04:46 - 00:04:48] 应该是个人
[00:04:48 - 00:04:49] 商场不可能非法搜查
[00:04:49 - 00:04:50] 就这个个人
[00:04:50 - 00:04:51] 非法搜查罪
[00:04:51 - 00:04:53] 还有非法侵入住宅罪
[00:04:53 - 00:04:55] 你到别人家把人家门撬开去
[00:04:55 - 00:04:56] 偷个东西
[00:04:56 - 00:04:57] 其实你是犯了两个罪
[00:04:57 - 00:04:59] 首先是非法侵入住宅
[00:04:59 - 00:05:00] 然后是投东西
[00:05:00 - 00:05:03] 还有些人因为人家欠他债
[00:05:03 - 00:05:04] 欠他的钱
[00:05:04 - 00:05:05] 他就跑到人家家里
[00:05:05 - 00:05:06] 在人家里待着不出来
[00:05:06 - 00:05:07] 施助
[00:05:07 - 00:05:09] 这其实是可以定非法侵入住宅的
[00:05:09 - 00:05:12] 非法侵入住宅对这个是怎么判的
[00:05:12 - 00:05:12] 比较轻
[00:05:12 - 00:05:13] 相对比较轻一些
[00:05:13 - 00:05:14] 是吧
[00:05:14 - 00:05:16] 如果只有单纯的非法侵入住宅
[00:05:16 - 00:05:17] 大概是两年一下
[00:05:17 - 00:05:18] 或者三年一下
[00:05:18 - 00:05:18] 有七徒刑
[00:05:18 - 00:05:20] 但它是构成犯罪的
[00:05:20 - 00:05:22] 然后非法搜查也是构成犯罪的
[00:05:22 - 00:05:23] 超市的人
[00:05:23 - 00:05:26] 真的没有任何权力在别人身上摸来摸去
[00:05:26 - 00:05:29] 他们有很多就是把人家那些人
[00:05:29 - 00:05:31] 带到那个一个封闭的场所
[00:05:31 - 00:05:33] 他虽然他不亲自摸
[00:05:33 - 00:05:35] 他说你把衣服全部脱掉
[00:05:35 - 00:05:37] 然后脱到可能只剩内衣让他看
[00:05:37 - 00:05:38] 这其实跟搜查是一样的
[00:05:38 - 00:05:40] 不是说非要我亲自刚才我说
[00:05:40 - 00:05:42] 不一定其实是在你身上摸
[00:05:42 - 00:05:43] 这肯定是
[00:05:43 - 00:05:45] 但我如果我逼着你脱得干干净净
[00:05:45 - 00:05:46] 让我看你到底有没有
[00:05:46 - 00:05:47] 其实也是一种样子
[00:05:47 - 00:05:48] 一样的道理
[00:05:48 - 00:05:49] 所以说的话如果说
[00:05:49 - 00:05:50] 冲势他如果遇到这种情况
[00:05:50 - 00:05:51] 他其实最理解的办法
[00:05:51 - 00:05:53] 应该是第一报警
[00:05:53 - 00:05:57] 然后的话让有这样权力的人来搜查来搜查
[00:05:57 - 00:05:58] 对这个是对的
[00:05:58 - 00:05:59] 然后另外的话
[00:05:59 - 00:06:03] 我觉得刚才我们杨老师给大家提供了一个非常重要的一个事情
[00:06:03 - 00:06:04] 可能的线索
[00:06:04 - 00:06:08] 就是如果就是现在电视上经常有这种就是逼债啊
[00:06:08 - 00:06:12] 就是上人家家里边去住去玩烂银八糟的这种情况的话
[00:06:12 - 00:06:14] 这个是对的
[00:06:14 - 00:06:15] 是可以报警的
[00:06:15 - 00:06:17] 他是不能这么做的
[00:06:17 - 00:06:18] 所以说大家就知道
[00:06:18 - 00:06:21] 不管是说你作为一个个人的个人主体
[00:06:21 - 00:06:24] 还是说你作为一个家庭的家庭主体
[00:06:24 - 00:06:26] 当你的权益受到一些侵害的时候
[00:06:26 - 00:06:29] 不管是民意权还是说各种各样的权利
[00:06:29 - 00:06:31] 我们该拿起法律的武器来保护自己
[00:06:31 - 00:06:33] 就要去保护自己
[00:06:33 - 00:06:34] 说到这个
[00:06:34 - 00:06:36] 我想起来我在今年发生的一个事情
[00:06:36 - 00:06:38] 就是您听说了吧应该
[00:06:38 - 00:06:38] 就是我在
[00:06:38 - 00:06:39] 被人家迫了那个是吧
[00:06:39 - 00:06:40] 被人迫那个
[00:06:40 - 00:06:42] 那个其实理论上来讲的话
[00:06:42 - 00:06:42] 他也是要
[00:06:42 - 00:06:44] 对他可以赚寻信姿势了
[00:06:44 - 00:06:45] 那么多人的
[00:06:45 - 00:06:46] 当了那么多人的面颇的
[00:06:46 - 00:06:47] 都可以算寻信姿势是吧
[00:06:47 - 00:06:48] 公安怎么样
[00:06:48 - 00:06:52] 后来这个就是我放弃了这个
[00:06:52 - 00:06:53] 没有再继续追求
[00:06:53 - 00:06:54] 没有再继续追求
[00:06:54 - 00:06:56] 因为我觉得也没有必要
[00:06:56 - 00:06:58] 那你做了这么多期节目
[00:06:58 - 00:06:59] 没有明白吗
[00:06:59 - 00:07:01] 权力一定要自己去争取
[00:07:01 - 00:07:03] 而且要跟这些人较真
[00:07:03 - 00:07:04] 你较真一次
[00:07:04 - 00:07:06] 他下次就不敢在你跟前得色了
[00:07:07 - 00:07:08] 你不较真
[00:07:08 - 00:07:09] 他说不定下次还想办法害你
[00:07:09 - 00:07:09] 好
[00:07:09 - 00:07:10] 我回头联系
[00:07:10 - 00:07:12] 当地的观众
[00:07:12 - 00:07:13] 所以说我希望大家
[00:07:13 - 00:07:15] 一定要在这样的事情发生的时候
[00:07:15 - 00:07:17] 比如说多看看我们的法律节目
[00:07:17 - 00:07:17] 对不对
[00:07:17 - 00:07:20] 然后的话多能够保护自己的权益
[00:07:20 - 00:07:21] 对
[00:07:21 - 00:07:22] 我们感谢杨老师给大家分享的
[00:07:22 - 00:07:23] 管理知识
[00:07:23 - 00:07:24] 咱们本期节目就是这样
[00:07:24 - 00:07:25] 咱们下期节目再见
[00:07:25 - 00:07:26] 好
[00:07:26 - 00:07:27] 拜拜
