BV号：BV177411t7Mn
标题：BV177411t7Mn
链接：https://www.bilibili.com/video/BV177411t7Mn
识别语言：zh
语言置信度：1
分段数：293
生成时间：2026-04-04 03:02:42

[00:00:02 - 00:00:05] 那你看你在整个的接生过程当中
[00:02:29 - 00:02:31] 它可能自身也就是5千多号生
[00:02:31 - 00:02:34] 那么就不停地用其他人的血液
[00:02:34 - 00:02:35] 来不停地来
[00:02:35 - 00:02:35] 出血
[00:02:35 - 00:02:38] 对 最后血管别 你根本都输不进去
[00:02:38 - 00:02:40] 这样我们做血管切开
[00:02:40 - 00:02:43] 用注射器 用针头推着往里抒血
[00:02:43 - 00:02:46] 真的是挺危重的 挺危急的
[00:02:46 - 00:02:49] 一旦这个实现没有强好
[00:02:49 - 00:02:52] 一旦这个代长期一过
[00:02:52 - 00:02:56] 那么它的死亡风险是非常大的
[00:02:56 - 00:02:58] 但是孕产妇又有一个
[00:02:58 - 00:03:01] 就是你如果及时的救治 及时判断及时抢救
[00:03:01 - 00:03:04] 它生存的机会也是特别大的
[00:03:04 - 00:03:06] 因为我们运载服务他比较年轻
[00:03:06 - 00:03:07] 也没有什么基础的疾病
[00:03:07 - 00:03:09] 他跟内科的病人不太一样
[00:03:09 - 00:03:11] 咱们现在也应该是有
[00:03:11 - 00:03:13] 因为上海那么他肯定也有夜班
[00:03:13 - 00:03:13] 对
[00:03:13 - 00:03:17] 咱们夜班是跟白班是倒开吗
[00:03:17 - 00:03:18] 还是倒开的
[00:03:19 - 00:03:21] 因为医生这个行业
[00:03:21 - 00:03:23] 他也是你不可能过度的
[00:03:23 - 00:03:25] 因为我们也是有规定的
[00:03:25 - 00:03:27] 你不能够长时期的在班上
[00:03:27 - 00:03:32] 这样的话你自己的精神和体力也会透支
[00:03:32 - 00:03:34] 也会达不到那种最好的状态
[00:03:34 - 00:03:37] 那这样其实对病人的安全是没有保障的
[00:03:37 - 00:03:39] 所以我们医生都是护士
[00:03:39 - 00:03:42] 全部都是临床的都是到保儿的
[00:03:42 - 00:03:42] 对
[00:03:42 - 00:03:44] 你觉得白班辛苦还是接班辛苦
[00:03:45 - 00:03:47] 接班当然更辛苦一些
[00:03:47 - 00:03:47] 我觉得
[00:03:47 - 00:03:49] 因为人的生物中不太一样
[00:03:49 - 00:03:51] 而且白班医生护士都比较多
[00:03:51 - 00:03:52] 人多
[00:03:52 - 00:03:55] 这个活干起来相对好一点
[00:03:55 - 00:03:56] 有急就急准的时候
[00:03:56 - 00:03:57] 大家也互相能帮
[00:03:57 - 00:04:00] 但是夜班它往往都是人比较少
[00:04:00 - 00:04:03] 夜班的职班的医生相对白天上班的人来说
[00:04:03 - 00:04:04] 他就是要少的
[00:04:04 - 00:04:09] 王院长 听说医生在国外是很高兴
[00:04:09 - 00:04:10] 很高兴的一个职业
[00:04:10 - 00:04:13] 在咱们国内现在目前是一个什么样的水平和状态
[00:04:13 - 00:04:19] 医生在咱们国家他不属于很高兴的行业
[00:04:19 - 00:04:22] 对 但是他相对稳定
[00:04:22 - 00:04:23] 相对来稳定
[00:04:23 - 00:04:28] 但是你说他做医生将来会有多富吗
[00:04:28 - 00:04:29] 不会的
[00:04:29 - 00:04:32] 但是你说他会穷得吃不上饭也不会的
[00:04:32 - 00:04:33] 对 他就这样一种行业
[00:04:33 - 00:04:36] 那咱们这个主要的收入构成是怎么构成的呢
[00:04:36 - 00:04:38] 比如说我外科医生
[00:04:38 - 00:04:42] 我是根据我做多少手术来挣钱的呢
[00:04:42 - 00:04:45] 还是说那科医生我根据我平时我挂费
[00:04:45 - 00:04:46] 看多少病人挣钱的呢
[00:04:46 - 00:04:47] 还是怎么挣钱的呢
[00:04:47 - 00:04:49] 这个各个医院不太一样
[00:04:49 - 00:04:50] 而且不同的时代
[00:04:50 - 00:04:51] 不同时代的医院
[00:04:51 - 00:04:53] 不同年代的医院
[00:04:53 - 00:04:54] 不同级别的医院
[00:04:54 - 00:04:56] 它都不太一样
[00:04:56 - 00:04:58] 但是大体上来说
[00:04:58 - 00:05:01] 外科医生肯定跟他的手术是有关系的
[00:05:01 - 00:05:05] 内科医生可能跟他的看的门诊量
[00:05:05 - 00:05:09] 还有住院的管病人的量
[00:05:09 - 00:05:10] 是管病人的量
[00:05:10 - 00:05:11] 对
[00:05:11 - 00:05:14] 因为医生到一定级别才能出门诊看病人
[00:05:14 - 00:05:17] 但是小大夫一点的在病房做住院医生
[00:05:17 - 00:05:24] 他在病房住院的医生是还没到处给病人看病的那个阶段
[00:05:24 - 00:05:25] 对
[00:05:25 - 00:05:27] 那你就是在同一共产当中
[00:05:27 - 00:05:28] 你有没有遇到过一些
[00:05:28 - 00:05:30] 比如像遇到啊这种
[00:05:31 - 00:05:31] 遇到过啊
[00:05:31 - 00:05:32] 你也遇到过
[00:05:32 - 00:05:33] 对啊遇到过
[00:05:33 - 00:05:35] 亲身经历的
[00:05:35 - 00:05:36] 就在我们科里头
[00:05:36 - 00:05:37] 那时候我在天才医院
[00:05:37 - 00:05:38] 赋产科
[00:05:38 - 00:05:39] 那就碰上遇到
[00:05:39 - 00:05:40] 对
[00:05:40 - 00:05:42] 就是到什么程度呢
[00:05:42 - 00:05:45] 他当时就是这个
[00:05:45 - 00:05:46] 揪着我们主任的脖子
[00:05:46 - 00:05:48] 我们主任个子相对矮一点
[00:05:48 - 00:05:49] 还不是针对您那时候
[00:05:49 - 00:05:50] 不是针对我的
[00:05:50 - 00:05:51] 但是我们都在现场
[00:05:51 - 00:05:53] 揪着我们主任脖子
[00:05:53 - 00:05:54] 往墙上一堆
[00:05:54 - 00:05:57] 然后我们当时当班的医生也在
[00:05:57 - 00:05:59] 然后一壶热水
[00:05:59 - 00:06:02] 就低了那一壶热水就砸向他们
[00:06:02 - 00:06:03] 你想想
[00:06:03 - 00:06:05] 那热水开水
[00:06:05 - 00:06:09] 那这样的话一下这个暖壶就碎了
[00:06:09 - 00:06:11] 那这些热水建在哪都是
[00:06:11 - 00:06:14] 烧伤啊这些砸伤都是很危险的
[00:06:14 - 00:06:16] 包括那玻璃啊什么的
[00:06:16 - 00:06:16] 对
[00:06:16 - 00:06:18] 那你看如果你们一般遇到这种情况
[00:06:18 - 00:06:19] 你会怎么处理
[00:06:19 - 00:06:20] 就干脆保安还是
[00:06:20 - 00:06:21] 那是肯定的了
[00:06:21 - 00:06:23] 医院配有保安配有什么的
[00:06:23 - 00:06:23] 我们会
[00:06:23 - 00:06:26] 像這種他屬於社會戰案問題
[00:06:26 - 00:06:27] 我們也會打110的
[00:06:27 - 00:06:29] 醫院的保安也會及時感到
[00:06:29 - 00:06:30] 110也會感到
[00:06:30 - 00:06:33] 然後之後我們再
[00:06:33 - 00:06:34] 因為你有沒有遇到問題
[00:06:34 - 00:06:35] 就是說包括病人說
[00:06:35 - 00:06:36] 昨天給你別問
[00:06:36 - 00:06:38] 什麼孩子給你發風光
[00:06:38 - 00:06:38] 對
[00:06:38 - 00:06:39] 對 有啊
[00:06:39 - 00:06:41] 這很多病人有的時候
[00:06:41 - 00:06:42] 他會覺得
[00:06:42 - 00:06:43] 好像給了你錢他就踏實了
[00:06:43 - 00:06:44] 包括上手術
[00:06:44 - 00:06:45] 做手術
[00:06:45 - 00:06:48] 因為我有很長一段時間做副科
[00:06:48 - 00:06:49] 包括做手術他也是
[00:06:49 - 00:06:52] 醫生這時候我們就覺得
[00:06:52 - 00:06:54] 你不用就是说的给我这个钱
[00:06:54 - 00:06:56] 不是说你给我钱了
[00:06:56 - 00:06:57] 我给你好好做
[00:06:57 - 00:06:57] 你不给我钱
[00:06:57 - 00:06:58] 我不好好做
[00:06:58 - 00:06:59] 不是这样的
[00:06:59 - 00:07:02] 那我们针对的是这个病人
[00:07:02 - 00:07:03] 针对是他得的病
[00:07:03 - 00:07:05] 针对的是他要切除的这些东西
[00:07:05 - 00:07:07] 而不是说
[00:07:07 - 00:07:08] 钱在这里起什么作用
[00:07:08 - 00:07:09] 对
[00:07:09 - 00:07:10] 所以说我希望
[00:07:10 - 00:07:11] 就是通过我们这个期节目
[00:07:11 - 00:07:13] 大家了解到就是
[00:07:13 - 00:07:15] 有的时候
[00:07:15 - 00:07:16] 包括说现在有个什么
[00:07:16 - 00:07:17] 什么一双一环关系
[00:07:17 - 00:07:18] 对
[00:07:18 - 00:07:20] 就是大家一定要有一个向后
[00:07:20 - 00:07:21] 理解的一个
[00:07:21 - 00:07:22] 是的
[00:07:22 - 00:07:25] 因为从目前来说
[00:07:25 - 00:07:28] 医学没有发展到说的人长生不老
[00:07:28 - 00:07:31] 我没有说的所有的疾病我都有治愈的办法
[00:07:31 - 00:07:35] 我们对人体的认识其实还是很浅的
[00:07:35 - 00:07:36] 没有那么深刻
[00:07:36 - 00:07:38] 很多的疾病我们是无法治愈的
[00:07:38 - 00:07:42] 只能是从改善他的生活的质量
[00:07:42 - 00:07:46] 改善他的心理精神的这种压力
[00:07:46 - 00:07:50] 让他能够有质量的来走完人生的最后的阶段
[00:07:50 - 00:07:52] 对吧 医生其实更多的是做这些工作
[00:07:52 - 00:07:55] 每一个医生从他内心来说
[00:07:55 - 00:07:59] 他都希望到他手里的病人都能够健健康康的
[00:07:59 - 00:08:00] 痊愈的出院
[00:08:00 - 00:08:03] 这是我们做每一个医生的愿望
[00:08:03 - 00:08:06] 但是有的时候他是你的技术所限
[00:08:06 - 00:08:09] 你的其他的所限你是达不到这种
[00:08:09 - 00:08:12] 我觉得大家你一定要去理解医生的工作
[00:08:12 - 00:08:16] 他没有大家在电视剧上看的那么光鲜也好
[00:08:16 - 00:08:18] 是的
[00:08:18 - 00:08:19] 都很新
[00:08:19 - 00:08:19] 是的
[00:08:19 - 00:08:24] 而且每一个医生都是希望能够更好地给病人脱离好事情
[00:08:24 - 00:08:24] 对的
[00:08:24 - 00:08:27] 有的时候我们在抢救病人或在什么的时候
[00:08:27 - 00:08:30] 我们十几个小时或多少个小时可能都不吃不喝
[00:08:30 - 00:08:31] 不上厕所
[00:08:31 - 00:08:35] 在手术台上也是遇到一个比较复杂难做的手术
[00:08:35 - 00:08:37] 多少个小时可能都是这样
[00:08:37 - 00:08:42] 实际上你说医生那时候他有什么这个索取吗
[00:08:42 - 00:08:43] 没有
[00:08:43 - 00:08:44] 对的
[00:08:44 - 00:08:47] 他没有想到说自己说我多干时我多挣多少钱
[00:08:47 - 00:08:48] 对对对
[00:08:48 - 00:08:49] 没有
[00:08:49 - 00:08:50] 真的没有
[00:08:50 - 00:08:51] 真的通过
[00:08:51 - 00:08:52] 希望通过我们这期节目的
[00:08:52 - 00:08:53] 大家能够看完以后的话
[00:08:53 - 00:08:55] 能够对医生更多的
[00:08:55 - 00:08:56] 迷离解放
[00:08:56 - 00:08:57] 是的是的
[00:08:57 - 00:08:58] 医生这个行业
[00:08:58 - 00:09:00] 是值得人尊敬的行业
[00:09:00 - 00:09:01] 好我们感谢王老师
[00:09:01 - 00:09:02] 跟我们的分享
[00:09:02 - 00:09:03] 咱们的这期节目是这样
[00:09:03 - 00:09:04] 咱们下期节目再见
[00:09:04 - 00:09:05] 好再见
[00:09:07 - 00:09:09] 在过去我们的医疗条件
[00:09:09 - 00:09:10] 不是很好
[00:09:10 - 00:09:11] 我当大学毕业那时候
[00:09:11 - 00:09:13] 那我们就是要用自己
[00:09:13 - 00:09:16] 自己来口对口的来进行
[00:09:16 - 00:09:20] 人工呼吸来进行救治
[00:09:20 - 00:09:22] 那么也顾不上说
[00:09:22 - 00:09:23] 你又
