BV号：BV16s411h7dn
标题：BV16s411h7dn
链接：https://www.bilibili.com/video/BV16s411h7dn
识别语言：zh
语言置信度：1
分段数：119
生成时间：2026-04-04 13:34:36

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:01:30 - 00:01:31] 为什么
[00:01:31 - 00:01:32] 他上自习的不看书啊
[00:01:32 - 00:01:34] 他觉得他考不上嘛对不对
[00:01:34 - 00:01:35] 他就往这一做
[00:01:35 - 00:01:36] 发呆他啥也不干
[00:01:36 - 00:01:37] 就要发呆
[00:01:37 - 00:01:38] 你干嘛呢
[00:01:38 - 00:01:39] 我在思考
[00:01:39 - 00:01:41] 你说你思考啥呢
[00:01:41 - 00:01:42] 我觉得我考不上
[00:01:42 - 00:01:44] 他觉得他考不上就算了吧
[00:01:44 - 00:01:45] 还怎么念着
[00:01:45 - 00:01:45] 知道吧
[00:01:45 - 00:01:47] 我考不上 我考不上 我考不上
[00:01:47 - 00:01:49] 他念着他自己就算了吧
[00:01:49 - 00:01:49] 第二天看看你
[00:01:49 - 00:01:51] 我觉得你也考不上
[00:01:53 - 00:01:54] 我跟你说
[00:01:57 - 00:01:58] 有没有这样的人啊
[00:01:59 - 00:01:59] 对不对
[00:01:59 - 00:02:01] 们连切都混在他嘴里了
[00:02:01 - 00:02:02] 你们明白了吧
[00:02:02 - 00:02:03] 有的老师念
[00:02:03 - 00:02:03] 这也不能让
[00:02:03 - 00:02:04] 那也不能让
[00:02:04 - 00:02:05] 那我到底该让什么样的人
[00:02:05 - 00:02:07] 有的就误会了知道吧
[00:02:07 - 00:02:07] 张老师
[00:02:07 - 00:02:09] 你是说要搞学霸商的信吗
[00:02:09 - 00:02:10] 不要走虚招了
[00:02:11 - 00:02:11] 知道吗
[00:02:11 - 00:02:13] 真爱生命愿意学霸
[00:02:13 - 00:02:14] 为什么
[00:02:14 - 00:02:16] 我跟你说你跟学霸上的艺术被拖死了
[00:02:16 - 00:02:17] 为什么
[00:02:17 - 00:02:19] 学霸看性多快
[00:02:19 - 00:02:19] 对不对
[00:02:19 - 00:02:20] 人家被人指的
[00:02:20 - 00:02:21] 喘喘喘的
[00:02:21 - 00:02:22] 这番说你看
[00:02:22 - 00:02:23] 你妈逼啊是吧
[00:02:26 - 00:02:30] 这也干不过他呀是吧
[00:02:30 - 00:02:31] 你会被拖死的
[00:02:31 - 00:02:32] 怎么办
[00:02:32 - 00:02:33] 你不要走虚霸
[00:02:33 - 00:02:33] 怎么办
[00:02:33 - 00:02:35] 那你这
[00:02:35 - 00:02:36] 那我到底干的什么样的人
[00:02:36 - 00:02:38] 你到底干的什么样的人
[00:02:38 - 00:02:38] 我跟你说有一个人
[00:02:38 - 00:02:40] 考验上自习最佳的伴侣
[00:02:40 - 00:02:40] 知道吧
[00:02:40 - 00:02:41] 什么样的人
[00:02:41 - 00:02:42] 你办不了这样的人
[00:02:42 - 00:02:43] 就是那种
[00:02:43 - 00:02:44] 特别爱学习
[00:02:44 - 00:02:47] 怎么学都学不好了
[00:02:47 - 00:02:49] 我跟你说
[00:02:49 - 00:02:52] 这帮人上自习的最佳伴侣
[00:02:52 - 00:02:53] 为什么呀
[00:02:53 - 00:02:54] 他特别爱学习
[00:02:54 - 00:02:55] 他上自习你跟他去就行了嘛
[00:02:55 - 00:02:56] 对吧
[00:02:56 - 00:02:57] 他在这儿看书你不用担心
[00:02:57 - 00:02:58] 一定他学不好了
[00:02:58 - 00:02:59] 没有压力
[00:02:59 - 00:03:00] 对吧
[00:03:00 - 00:03:01] 你那么努力都干不过我
[00:03:01 - 00:03:02] 对不对
[00:03:02 - 00:03:02] 没有压力对吧
