BV号：BV1WE411q78p
标题：BV1WE411q78p
链接：https://www.bilibili.com/video/BV1WE411q78p
识别语言：zh
语言置信度：1
分段数：425
生成时间：2026-04-04 05:41:04

[00:00:02 - 00:00:06] 双星衣上这个电商平台很多有卖这各种刚刚的奢侈品
[00:02:49 - 00:02:50] 对对对
[00:02:50 - 00:02:51] 节日
[00:02:51 - 00:02:53] 国外的设置品的这种品牌
[00:02:53 - 00:02:55] 它肯定知道中国在搞这种事情
[00:02:55 - 00:02:56] 对
[00:02:56 - 00:03:00] 那它会不会真的就是迎合中国的这种消费的时间点
[00:03:00 - 00:03:02] 然后的话就真的给一些折扣呢
[00:03:02 - 00:03:04] 品牌方式绝对不会干这个
[00:03:04 - 00:03:05] 是他不会干啊
[00:03:05 - 00:03:07] 他绝对不会干
[00:03:07 - 00:03:09] 因为它是设置品牌
[00:03:09 - 00:03:11] 它不是大众消费品牌
[00:03:11 - 00:03:14] 这个逼哥得在是不是
[00:03:14 - 00:03:14] 对啊
[00:03:14 - 00:03:17] 为什么设置品牌他们的专柜要开在SKP里面
[00:03:17 - 00:03:19] 开在国贸里面
[00:03:19 - 00:03:20] 他是要这个
[00:03:20 - 00:03:22] 所以他是不能给你打折的
[00:03:22 - 00:03:24] 就双鞋一他不跟我们
[00:03:24 - 00:03:25] 他不和你打折的
[00:03:25 - 00:03:27] 那像国外
[00:03:27 - 00:03:29] 国外经常不用那种
[00:03:29 - 00:03:29] 比如说那个
[00:03:29 - 00:03:31] 圣诞节前那个星期五
[00:03:31 - 00:03:32] 对对对
[00:03:32 - 00:03:35] 他那个时候会参加他们那个吗
[00:03:35 - 00:03:35] 不会
[00:03:35 - 00:03:36] 也不会
[00:03:36 - 00:03:36] 是这样
[00:03:36 - 00:03:38] 他们这个里面
[00:03:38 - 00:03:39] 他们自己会打折
[00:03:39 - 00:03:41] 比如说他们通过一些渠道
[00:03:41 - 00:03:43] 比如除了专柜以外
[00:03:43 - 00:03:44] 别的这种渠道
[00:03:44 - 00:03:47] 包括我们现在在国内的一些设置品电商
[00:03:47 - 00:03:49] 本身他们是这样的一个价格
[00:03:49 - 00:03:51] 他们自己可以少赚一点
[00:03:51 - 00:03:53] 为了充一下这个销量
[00:03:53 - 00:03:54] GMV
[00:03:54 - 00:03:55] 他们可以不挣钱
[00:03:55 - 00:03:56] 甚至在赔一点钱
[00:03:56 - 00:03:58] 他们可以自己打折
[00:03:58 - 00:03:59] 但是他们来的货
[00:03:59 - 00:04:02] 并不是从品牌方直接
[00:04:02 - 00:04:04] 就是千里代理过来的
[00:04:04 - 00:04:05] 品牌方也不会给他们便宜
[00:04:05 - 00:04:06] 说白了
[00:04:06 - 00:04:07] 他给消费者的便宜
[00:04:07 - 00:04:09] 是他自己割肉便宜的
[00:04:09 - 00:04:10] 是这么一回事
[00:04:10 - 00:04:12] 就是品牌方不会参与这个
[00:04:12 - 00:04:13] 他不会参与
[00:04:13 - 00:04:15] 那像经常我们看到
[00:04:15 - 00:04:17] 就是一到双十一就是打折是主题嘛
[00:04:17 - 00:04:20] 而且包括有的时候我去欧洲
[00:04:20 - 00:04:23] 我看见欧洲那个厨柜里边能看到的汉字只有俩
[00:04:23 - 00:04:24] 叫打折
[00:04:24 - 00:04:25] 打折对对对
[00:04:25 - 00:04:25] 是吧
[00:04:25 - 00:04:26] 很周日都山大都有这种
[00:04:26 - 00:04:28] 那你像这种奢侈品的话
[00:04:28 - 00:04:33] 一般情况下就是他打几折算是相对正常的
[00:04:33 - 00:04:35] 或者说是他打几折以下
[00:04:35 - 00:04:37] 他就一定是假货
[00:04:37 - 00:04:40] 那其实针对的这个双十一的这个事啊
[00:04:40 - 00:04:43] 就是我可以跟大家简单的透露一下
[00:04:43 - 00:04:46] 我们在网上买奢侈品的话
[00:04:46 - 00:04:51] 应该是国内的专贵价的几折的范围
[00:04:51 - 00:04:53] 才可能会买到真的
[00:04:53 - 00:04:54] 我觉得马上要生十亿了
[00:04:54 - 00:04:55] 对
[00:04:55 - 00:04:56] 给大家提个醒
[00:04:56 - 00:04:56] 对
[00:04:56 - 00:04:57] 一定给提个醒
[00:04:57 - 00:04:58] 就别看见人家
[00:04:58 - 00:05:00] 我这个是什么什么渠道来的
[00:05:00 - 00:05:02] 一下就便宜了一半
[00:05:02 - 00:05:03] 就往上铺
[00:05:03 - 00:05:03] 有的品牌可以
[00:05:03 - 00:05:05] 有的品牌不可以
[00:05:05 - 00:05:07] 比如咱们先来说一下
[00:05:07 - 00:05:09] 这个网购奢侈品这个事
[00:05:09 - 00:05:11] 怎么国内比如说
[00:05:11 - 00:05:12] 一个包
[00:05:12 - 00:05:13] 一个LV的包
[00:05:13 - 00:05:14] 一万块钱
[00:05:14 - 00:05:15] 在欧洲
[00:05:16 - 00:05:16] 同样这个包
[00:05:16 - 00:05:17] 欧洲的专柜
[00:05:18 - 00:05:19] 我们多少钱能买到
[00:05:19 - 00:05:21] 这个你去欧洲的时候你有没有
[00:05:21 - 00:05:22] 我这不敢信
[00:05:23 - 00:05:25] 我去欧洲旅游的时候
[00:05:25 - 00:05:26] 我老婆都没有说说
[00:05:26 - 00:05:28] 老公你给我带个什么东西
[00:05:28 - 00:05:28] 没有
[00:05:28 - 00:05:29] 因为她知道她跟我说
[00:05:29 - 00:05:30] 我也不认识
[00:05:30 - 00:05:32] 我也对这个玩意儿不是很感情
[00:05:32 - 00:05:33] 明白
[00:05:33 - 00:05:34] 那大家可以记一下
[00:05:34 - 00:05:35] 这个
[00:05:35 - 00:05:36] 拿小本背景下来
[00:05:36 - 00:05:36] 对
[00:05:37 - 00:05:38] 很重要啊
[00:05:38 - 00:05:40] 国内专柜一万的东西
[00:05:40 - 00:05:41] LV这个牌子
[00:05:41 - 00:05:44] 在欧洲专柜买它的话
[00:05:44 - 00:05:46] 应该是国内价格的七折
[00:05:46 - 00:05:48] 也就是7000块钱能买到
[00:05:48 - 00:05:50] 但是它中间有比如说
[00:05:50 - 00:05:51] 各个国家的推续政策不一样
[00:05:51 - 00:05:52] 对
[00:05:52 - 00:05:54] 或者说是它当地上场的一些行为
[00:05:54 - 00:05:55] 对
[00:05:55 - 00:05:57] 在英国的话
[00:05:57 - 00:05:58] 好一点地方是七折
[00:05:58 - 00:06:00] 那在法国可能要到7.5
[00:06:00 - 00:06:01] 将近8折
[00:06:01 - 00:06:03] 就是每一个国家还不太一样
[00:06:03 - 00:06:05] 然后它还有一些汇利差
[00:06:05 - 00:06:07] 大概你可以理解成7到8折
[00:06:09 - 00:06:11] 正因为这个7到8折
[00:06:11 - 00:06:14] 所以跟国内是有大概20%到30%差价的
[00:06:14 - 00:06:16] 而且它还可以赚钱
[00:06:16 - 00:06:17] 它不可能赚钱
[00:06:17 - 00:06:18] 对
[00:06:18 - 00:06:20] 这些代购它是要赚钱的
[00:06:20 - 00:06:25] 所以其实你在网上买一个国内专柜
[00:06:25 - 00:06:27] 1万块钱的LV
[00:06:27 - 00:06:30] 你用多少钱买才可能买到是真的呢
[00:06:30 - 00:06:32] 将给你8000以上
[00:06:32 - 00:06:33] 差不多
[00:06:33 - 00:06:34] 差不多
[00:06:34 - 00:06:34] 对不对
[00:06:34 - 00:06:36] 应该是在8.5折
[00:06:36 - 00:06:39] 也就是8500以上
[00:06:39 - 00:06:42] 如果低于8500的话
[00:06:42 - 00:06:45] 我可以讲它95%是假货
[00:06:45 - 00:06:49] 除非是商家用它来吸引流量
[00:06:49 - 00:06:52] 否则它不会低于国内专贵的8500
[00:06:52 - 00:06:55] 你讲说我现在是一个所谓卖假货的
[00:06:55 - 00:06:58] 我可能给你拍个照片说人家今天这个专贵
[00:06:58 - 00:07:00] 人家就在打折
[00:07:00 - 00:07:01] 我给你拍个照片
[00:07:01 - 00:07:03] 比如说他给你再几个例子
[00:07:03 - 00:07:05] 他在专贵上
[00:07:05 - 00:07:06] 成人家的店员不注意
[00:07:06 - 00:07:08] 自己特别拍的
[00:07:08 - 00:07:09] 不然买上了拍个照片
[00:07:09 - 00:07:10] 你看他在大流车
[00:07:10 - 00:07:11] 我我才给你的
[00:07:12 - 00:07:14] 这种情况还真有
[00:07:14 - 00:07:14] 是不是
[00:07:14 - 00:07:15] 真有
[00:07:15 - 00:07:16] 你还说我水坏
[00:07:16 - 00:07:17] 对
[00:07:17 - 00:07:18] 这还真有的样的
[00:07:18 - 00:07:19] 所以我跟大家说一下
[00:07:19 - 00:07:21] 这个专柜基本上是
[00:07:21 - 00:07:22] 还是不会给你打折的
[00:07:22 - 00:07:24] 除非真的是很少的这种
[00:07:24 - 00:07:25] 某个品牌
[00:07:25 - 00:07:26] 你一说某个
[00:07:26 - 00:07:29] 那人家可能就把这段视频给剪下来了
[00:07:29 - 00:07:31] 看张老师说过某个
[00:07:31 - 00:07:33] 我们就是那个某个
[00:07:33 - 00:07:34] 你这个
[00:07:34 - 00:07:37] 这个情况确实地找少
[00:07:38 - 00:07:41] 然后我们能知道的一些打折也都不是什么这种
[00:07:41 - 00:07:42] 报款啊
[00:07:42 - 00:07:44] 经典款都是一些可能说
[00:07:44 - 00:07:45] 它不太好卖的东西
[00:07:45 - 00:07:46] 才会给你打折
[00:07:46 - 00:07:48] 没有听说过一个品牌的标准
[00:07:48 - 00:07:49] 很经典的包型
[00:07:49 - 00:07:50] 它现在给你打折
[00:07:50 - 00:07:52] 就是如果说有人给你拍了个照片
[00:07:52 - 00:07:54] 说你看人家专柜在打个几折
[00:07:54 - 00:07:56] 是低于我们所说的这种
[00:07:56 - 00:07:57] 基本都是假的
[00:07:57 - 00:07:59] 可不可以第二个理由说什么呢
[00:07:59 - 00:08:03] 我呢是有这个欧洲某个百货商场的会员卡
[00:08:03 - 00:08:06] 这个会员卡的折扣是比较高的
[00:08:06 - 00:08:06] 嗯
[00:08:06 - 00:08:07] 这个有
[00:08:07 - 00:08:09] 这个有
[00:08:09 - 00:08:13] 我见过有以这种借口来卖假货的
[00:08:13 - 00:08:14] 他们的一般的说法是什么呢
[00:08:14 - 00:08:16] 不是说会员卡
[00:08:16 - 00:08:17] 所以它有折扣
[00:08:17 - 00:08:18] 而是我会员卡
[00:08:18 - 00:08:20] 比如消费到10万的时候
[00:08:20 - 00:08:21] 它可以给我1万块钱
[00:08:21 - 00:08:25] 然后我用这个1万块钱来买东西的话
[00:08:25 - 00:08:26] 然后我这1万我就不要1万了
[00:08:26 - 00:08:27] 你给我5千就行
[00:08:27 - 00:08:27] 对
[00:08:27 - 00:08:29] 那这种他说这种的话你
[00:08:29 - 00:08:31] 好多人都会上当
[00:08:31 - 00:08:31] 是吧
[00:08:31 - 00:08:34] 很多的人都会上当
[00:08:34 - 00:08:35] 所以有没有这种可能
[00:08:35 - 00:08:36] 它真是
[00:08:36 - 00:08:38] 其实你自己想想
[00:08:39 - 00:08:41] 所以其实刚才我也给大家了一个意见
[00:08:41 - 00:08:45] 就是我们在网购一个商品的时候
[00:08:45 - 00:08:48] 你就只需要去官方网站去看
[00:08:48 - 00:08:50] 它在国内装柜多少钱
[00:08:50 - 00:08:54] 然后8、5折以下的你就不要买了
[00:08:55 - 00:08:56] 基本都是假的
[00:08:56 - 00:08:56] 对
[00:08:56 - 00:09:00] 我听说现在很多电视品材都有咱们公司给他制作的一种
[00:09:00 - 00:09:03] 验证或验证委的一种卡片是吧
[00:09:03 - 00:09:03] 对
[00:09:03 - 00:09:06] 你今天有没有类似的
[00:09:06 - 00:09:10] 我们这个卡片也是前一阵子刚刚升级
[00:09:10 - 00:09:13] 这个卡片现在已经升级到2.0版了
[00:09:13 - 00:09:17] 这个是所有的甲货商都无法法制的鉴定卡
[00:09:17 - 00:09:19] 而且这个也是一次性的
[00:09:19 - 00:09:20] 我们是做鉴定的
[00:09:20 - 00:09:23] 所以我们很清楚如何做一个东西
[00:09:23 - 00:09:25] 让别人扭反不了
[00:09:25 - 00:09:30] 第一它的上面会有我们拿特定的灯区照的时候
[00:09:30 - 00:09:32] 它会有特殊的银光反应
[00:09:32 - 00:09:37] 而且这个银光反应会根据上面的每张卡的自幅不一样位置而变化
[00:09:37 - 00:09:41] 比如说我们可以现场的演示一下
[00:09:41 - 00:09:43] 我们现在拿到这张卡之后
[00:09:43 - 00:09:44] 你去照它的话
[00:09:44 - 00:09:47] 它会有一个坚定的箭子从里面出来
[00:09:47 - 00:09:48] 不照的时候是没有的
[00:09:48 - 00:09:49] 对
[00:09:49 - 00:09:50] 不止之外
[00:09:50 - 00:09:54] 它的这些特殊的变化还会根据它的数字的变化而变
[00:09:54 - 00:09:56] 所以每张卡是不一样的
[00:09:56 - 00:09:58] 所以假好上它无法防
[00:09:58 - 00:10:01] 与此同时在背后我们肉眼看到的是这样一个背面
[00:10:01 - 00:10:04] 但是我们拿这个光去照的话
[00:10:04 - 00:10:09] 你会发现它有一行跟别的行数的颜色不一样
[00:10:09 - 00:10:11] 那同时这张卡片
[00:10:11 - 00:10:12] 你如果是安卓的手机
[00:10:12 - 00:10:15] 直接把手机放在这个卡片上就可以了
[00:10:15 - 00:10:16] 你看你行
[00:10:16 - 00:10:17] 它的剑定报告就出来
[00:10:17 - 00:10:18] 这不就巧了吗
[00:10:18 - 00:10:20] 我就是安卓的
[00:10:20 - 00:10:20] 是吗
[00:10:20 - 00:10:20] 对
[00:10:20 - 00:10:21] 你可以试一下
[00:10:21 - 00:10:22] 我就是安卓的
[00:10:23 - 00:10:24] 对
[00:10:24 - 00:10:25] 直接放在上面就可以了
[00:10:25 - 00:10:28] 出来了
[00:10:28 - 00:10:30] 这个包的里面的序号
[00:10:30 - 00:10:31] 鉴定结论 鉴定日期
[00:10:31 - 00:10:33] 所有的鉴定编号都会出来
[00:10:34 - 00:10:35] 如果是苹果手机的话
[00:10:35 - 00:10:37] 直接扫这个二维码
[00:10:37 - 00:10:39] 就可以直接看到它的鉴定报告了
[00:10:39 - 00:10:41] 所以我们多重访位做出来
[00:10:41 - 00:10:44] 如果消费者在购买设置品的时候
[00:10:44 - 00:10:46] 你买的商品上面是带有这个卡片的话
[00:10:47 - 00:10:49] 是100%是没有问题的
[00:10:49 - 00:10:51] 你只需要担心的就是多少钱
[00:10:51 - 00:10:53] 能不能再便宜点
[00:10:53 - 00:10:55] 如果因为双十一毕竟可能
[00:10:55 - 00:10:57] 就是肯定会有点重标
[00:10:57 - 00:10:58] 对不对
[00:10:58 - 00:10:58] 肯定
[00:10:58 - 00:10:59] 因为咱们这个节目这么好
[00:10:59 - 00:11:00] 又不是每个人都看
[00:11:00 - 00:11:01] 对不对
[00:11:01 - 00:11:03] 那他如果在网购
[00:11:03 - 00:11:05] 尤其是国量平台
[00:11:05 - 00:11:05] 买的那种假货
[00:11:05 - 00:11:07] 他能去维权吗
[00:11:07 - 00:11:08] 首先是这样
[00:11:08 - 00:11:12] 维权是已经这件商品已经交易完成之后
[00:11:12 - 00:11:14] 才叫维权
[00:11:14 - 00:11:16] 其实我的意见是什么呢
[00:11:16 - 00:11:18] 我也给大家一个意见吧
[00:11:18 - 00:11:19] 就是我们在交易的时候
[00:11:19 - 00:11:22] 所有的电商平台都会有一套系统
[00:11:22 - 00:11:23] 就是快递到了
[00:11:23 - 00:11:24] 对吧
[00:11:24 - 00:11:26] 你得点确认收获
[00:11:26 - 00:11:28] 或者是系统一般是7到15天
[00:11:28 - 00:11:29] 你不点
[00:11:29 - 00:11:31] 自动给你算
[00:11:31 - 00:11:34] 我希望大家在网购说制品拿到东西之后
[00:11:34 - 00:11:37] 你要去把它做一个坚定评估
[00:11:37 - 00:11:39] 在这七到十五天之内
[00:11:39 - 00:11:42] 坚定评估的结果如果是假的
[00:11:42 - 00:11:44] 马上去退货
[00:11:44 - 00:11:45] 因为这样的情况下
[00:11:45 - 00:11:47] 你这个比订单在平台里面
[00:11:47 - 00:11:49] 还是属于在交易中
[00:11:49 - 00:11:50] 但是如果你收到货
[00:11:50 - 00:11:52] 你马上就点了确认收获
[00:11:52 - 00:11:55] 或者说系统过了七到十五天
[00:11:55 - 00:11:57] 自动给你收获之后
[00:11:57 - 00:11:58] 那你就没有办法了
[00:11:58 - 00:11:59] 你只能维权了
[00:12:00 - 00:12:01] 你之前是可以退货
[00:12:01 - 00:12:02] 不用到维权了
[00:12:02 - 00:12:03] 对
[00:12:03 - 00:12:03] 当然
[00:12:03 - 00:12:07] 其实我觉得如果真的给大家分享一些维权经验的话
[00:12:07 - 00:12:08] 就两条吧
[00:12:08 - 00:12:08] 第一条
[00:12:08 - 00:12:10] 如果出现这个问题
[00:12:10 - 00:12:11] 去咨询一下律师
[00:12:11 - 00:12:11] 第二个
[00:12:11 - 00:12:14] 去咨询一下咱们的公安
[00:12:14 - 00:12:18] 当然我其实是不太希望听到谁要维权的
[00:12:18 - 00:12:21] 我希望在维权之前就能解决问题
[00:12:21 - 00:12:23] 我们这一期节目就是告诉大家一个道理
[00:12:23 - 00:12:25] 听上不会掉下来的病
[00:12:25 - 00:12:26] 对
[00:12:26 - 00:12:29] 掉下来的有可能是错过时的不一定是馅儿
[00:12:29 - 00:12:31] 很多东西是中了
[00:12:31 - 00:12:32] 一分钱一分
[00:12:32 - 00:12:33] 对
[00:12:33 - 00:12:34] 对不对
[00:12:34 - 00:12:37] 你要是说你想去整那种特别大便宜的
[00:12:37 - 00:12:39] 刚才我也问了咱们张老师了
[00:12:39 - 00:12:40] 摄制品一般情况下
[00:12:40 - 00:12:43] 它是不会跟着咱们中国的商家一起来起轰
[00:12:43 - 00:12:43] 对
[00:12:43 - 00:12:44] 充量
[00:12:44 - 00:12:45] 对
[00:12:45 - 00:12:46] 人家是有逼格的
[00:12:46 - 00:12:49] 当然买的时候大家移掉认准我们的这个
[00:12:49 - 00:12:51] 相关的这个这个这个鉴定卡
[00:12:51 - 00:12:51] 对
[00:12:51 - 00:12:52] 对
[00:12:52 - 00:12:53] 所以说的话
[00:12:53 - 00:12:55] 希望大家双十一的时候能够多手开心
[00:12:55 - 00:12:58] 希望大家买到的都是真货
[00:12:58 - 00:12:59] 我们本期节目就是这样
[00:12:59 - 00:13:00] 咱们下期节目再见
[00:13:00 - 00:13:01] 谢谢大家
