BV号：BV19VyVY2E9M
标题：BV19VyVY2E9M
链接：https://www.bilibili.com/video/BV19VyVY2E9M
识别语言：zh
语言置信度：1
分段数：368
生成时间：2026-04-03 07:57:02

[00:00:00 - 00:00:01] 他得了这么重的饼
[00:01:31 - 00:01:32] 然后的话到最后压分
[00:01:32 - 00:01:34] 文科它压分很难压
[00:01:34 - 00:01:35] 是
[00:01:35 - 00:01:37] 文科它不存在所谓出题难不难的问题
[00:01:37 - 00:01:40] 文科出题难它很有的时候是什么呢
[00:01:40 - 00:01:42] 它是看你提干长度
[00:01:42 - 00:01:43] 如果说你提干长度大
[00:01:43 - 00:01:44] 它材料越度量大
[00:01:44 - 00:01:46] 就导致可能你思考的时间
[00:01:46 - 00:01:47] 或者去写的时间少
[00:01:47 - 00:01:50] 它文科卷的难以成都基本上的话
[00:01:50 - 00:01:52] 就是跟我们的提干和材料的
[00:01:52 - 00:01:54] 这个多少是有关系的
[00:01:54 - 00:01:56] 但理科他想让你做不出来提
[00:01:56 - 00:01:57] 他真让你做不出来
[00:01:57 - 00:01:59] 文科不存在这样的提
[00:01:59 - 00:02:00] 所以说的话文科基本上的话
[00:02:00 - 00:02:01] 他的压分空间
[00:02:01 - 00:02:03] 没有你理科压分空间那么大
[00:02:03 - 00:02:04] 你像很多学校他理科
[00:02:04 - 00:02:05] 他出题比较难
[00:02:05 - 00:02:06] 他说平时考数500-600
[00:02:06 - 00:02:08] 最后结果考完以后的话
[00:02:08 - 00:02:09] 你考到6162
[00:02:09 - 00:02:11] 这就是550-60
[00:02:11 - 00:02:12] 然后最后考完以后考6162
[00:02:12 - 00:02:13] 这是很有可能的
[00:02:13 - 00:02:15] 文科基本上你多少时候
[00:02:15 - 00:02:16] 平时550-60
[00:02:16 - 00:02:17] 可能你最后参加真正的高考
[00:02:17 - 00:02:20] 你往上涨一点也可能也就570-180
[00:02:20 - 00:02:21] 他不会涨空间太多
[00:02:21 - 00:02:23] 所以说你这个分数段的话
[00:02:23 - 00:02:27] 别管说你是在这个530也好
[00:02:27 - 00:02:28] 还是说567也好
[00:02:28 - 00:02:29] 甚至588
[00:02:30 - 00:02:31] 你最后你这个分数段你报时算
[00:02:31 - 00:02:32] 都是没有任何一股时的
[00:02:32 - 00:02:34] 所以说时算首先可以避掉了
[00:02:34 - 00:02:36] 然后的话呢法学和经济
[00:02:36 - 00:02:37] 这两个其实差别不是特别的大
[00:02:37 - 00:02:39] 法学的壁垒比经济要高
[00:02:39 - 00:02:40] 经济学是没有壁垒的
[00:02:40 - 00:02:42] 所以说的话要是我的话
[00:02:42 - 00:02:43] 我肯定会首选法
[00:02:43 - 00:02:44] 因为是专业壁垒高
[00:02:44 - 00:02:47] 但是我这边我觉得我的提升空间还是很大
[00:02:47 - 00:02:47] 因为我这边
[00:02:47 - 00:02:49] 因为数学这个方面
[00:02:49 - 00:02:50] 我现在只能好30多分
[00:02:51 - 00:02:52] 就是这样的一个概念
[00:02:52 - 00:02:54] 首先第一同学
[00:02:54 - 00:02:56] 你有很强烈的当老师的意愿吗
[00:02:56 - 00:02:57] 也没有
[00:02:57 - 00:02:58] 但是我们老师建议我当
[00:02:58 - 00:03:00] 因为我在对老师方面
[00:03:00 - 00:03:04] 就是平时老师会组织一些课堂演讲的话
[00:03:04 - 00:03:05] 我觉得我的发挥
[00:03:05 - 00:03:06] 老师说我的发挥是很好的
[00:03:06 - 00:03:08] 因为我在准备一些
[00:03:08 - 00:03:10] 支持课堂的时候就准备特别好
[00:03:10 - 00:03:13] 但是看你自己想不想干同学
[00:03:13 - 00:03:15] 就比如说举个简单的例子
[00:03:15 - 00:03:17] 我也可以到学校里面去当老师
[00:03:17 - 00:03:18] 但是我不去
[00:03:18 - 00:03:20] 我觉得我可能在体制外
[00:03:20 - 00:03:22] 可能更更适合一些
[00:03:22 - 00:03:25] 我有一次我跟一个明星我们在一起录节目
[00:03:25 - 00:03:25] 然后的话
[00:03:25 - 00:03:27] 那个明星还特别有意思的问我一个问题
[00:03:27 - 00:03:29] 说哇张老师我发现你好敢讲啊
[00:03:29 - 00:03:30] 你讲了这些东西
[00:03:30 - 00:03:32] 或者你学校不会把你开除了吗
[00:03:32 - 00:03:32] 我说不会啊
[00:03:32 - 00:03:34] 因为我是自己啊
[00:03:34 - 00:03:36] 我不是学校里边的老师
[00:03:36 - 00:03:39] 那我为什么不选择一个所谓空间更高的东西
[00:03:39 - 00:03:42] 而选择一个空间相对低的东西呢
[00:03:42 - 00:03:44] 就比如说我同样是在所谓的体制内
[00:03:44 - 00:03:46] 我同样的这个分
[00:03:46 - 00:03:47] 我能去当老师
[00:03:47 - 00:03:48] 跟我去当法官
[00:03:48 - 00:03:50] 或者说是我考经济学
[00:03:50 - 00:03:51] 我去当公务员
[00:03:51 - 00:03:55] 那你觉得哪一个所谓的空间会更大呢
[00:03:55 - 00:03:57] 那么哪一个难度可能会更大呢
[00:03:57 - 00:03:58] 就包括说你现在当老师
[00:03:58 - 00:04:00] 你也知道现在我们在我们东北
[00:04:00 - 00:04:01] 基本上人是越来越少的
[00:04:01 - 00:04:03] 所以说的话就是非常的窄
[00:04:03 - 00:04:04] 如果说要我去选的话
[00:04:04 - 00:04:06] 那你问我说老师法学
[00:04:06 - 00:04:08] 然后的话这个经济学和这个师范
[00:04:08 - 00:04:09] 要我选的话
[00:04:09 - 00:04:11] 那肯定是法学优先
[00:04:11 - 00:04:13] 我这边其实我还想一个问题
[00:04:13 - 00:04:16] 我觉得我可以选择就是我哪个法律
[00:04:16 - 00:04:17] 然后再不修一个经济学
[00:04:17 - 00:04:18] 然后我还有一个问题
[00:04:18 - 00:04:23] 就是在于那个就是因为我身边我修学的原因是
[00:04:23 - 00:04:25] 因为到了一个癌症与恋爱的因子
[00:04:25 - 00:04:26] 嗯
[00:04:26 - 00:04:28] 所以说我就是修学了一段时间
[00:04:28 - 00:04:28] 嗯
[00:04:28 - 00:04:30] 然后的话就是这个东西在我以后
[00:04:30 - 00:04:32] 如果说去律师的一个事务所
[00:04:32 - 00:04:34] 就是就上班的时候会有一定的影响
[00:04:34 - 00:04:36] 就像您说的我这边的话
[00:04:36 - 00:04:38] 我对体制内就是啃工
[00:04:38 - 00:04:41] 这个东西我是自己不是很喜欢的
[00:04:41 - 00:04:42] 因为我觉得就是太舒服我自己
[00:04:42 - 00:04:44] 你的人是什么病
[00:04:44 - 00:04:46] 就是BIS7
[00:04:46 - 00:04:47] 晚期
[00:04:47 - 00:04:48] 对晚期
[00:04:48 - 00:04:53] 对的同学我在考虑的是你如果将来能做这个工作的话
[00:04:53 - 00:04:56] 是的我妈也是这么就是我们家这边也是这么考虑的
[00:04:56 - 00:04:57] 会不会累
[00:04:57 - 00:04:58] 能够压力比较大
[00:04:58 - 00:05:01] 对对的对的是这样的
[00:05:01 - 00:05:03] 对所以说是这样的
[00:05:03 - 00:05:05] 但是我自己的话也是比较就是
[00:05:05 - 00:05:07] 嗯就是不不服说那种精神吧
[00:05:07 - 00:05:09] 我觉得我还是想就是
[00:05:09 - 00:05:11] 你用自己的努力去创造一下
[00:05:11 - 00:05:13] 那个整个你自己的一个未来
[00:05:13 - 00:05:16] 对对因为我们家的家庭条件没有说
[00:05:16 - 00:05:17] 像我同学那么犹豫
[00:05:17 - 00:05:20] 但是我妈我爸对我的来说特别好
[00:05:20 - 00:05:22] 他对我付出他们对我付出特别好
[00:05:22 - 00:05:24] 我能感受得到
[00:05:24 - 00:05:25] 我能感受得到
[00:05:25 - 00:05:29] 就是包括你妈妈刚才在后面
[00:05:29 - 00:05:30] 我能感受得到
[00:05:30 - 00:05:33] 你真的有一个非常非常伟大的
[00:05:33 - 00:05:34] 所以说我也在考虑
[00:05:34 - 00:05:37] 你这个东西会不会去累
[00:05:37 - 00:05:39] 然后的话或者怎么样
[00:05:39 - 00:05:41] 那我觉得累也是值得的
[00:05:41 - 00:05:43] 因为人生还是有谁在下去
[00:05:43 - 00:05:45] 是的
[00:05:45 - 00:05:47] 就是我当时治病的时候是
[00:05:47 - 00:05:51] 就是学校或者说家长那朋友那边会给我捐一些写书
[00:05:51 - 00:05:52] 说我当律师有没有想法就是
[00:05:52 - 00:05:55] 我想可能会做一些公益律师这样的东西
[00:05:55 - 00:05:57] 我觉得又偏是看网上一些东西
[00:05:57 - 00:05:58] 因为我以前的目标是当医生
[00:05:58 - 00:06:01] 因为我觉得就是他们那些人
[00:06:01 - 00:06:03] 就是德国艾州那些人就是特别惨
[00:06:03 - 00:06:05] 就是他们就让我特别特别独立
[00:06:05 - 00:06:08] 我最近看一些就像我们前段时间
[00:06:08 - 00:06:09] 发生很多很多事情
[00:06:09 - 00:06:12] 很多人就是他们的可能没有法律
[00:06:12 - 00:06:14] 于是或者说他没有很相关的医学知识
[00:06:14 - 00:06:16] 就是上次的生命这东西真的
[00:06:16 - 00:06:17] 让人感到非常非常幸福
[00:06:17 - 00:06:18] 就是我
[00:06:18 - 00:06:19] 我就是我妹德病以前
[00:06:19 - 00:06:21] 我就是比如感到症独
[00:06:21 - 00:06:22] 突然被以后就感觉
[00:06:22 - 00:06:24] 因为我治疗期间遇到那么多人
[00:06:24 - 00:06:28] 都是看他们一个人一个人住在那里
[00:06:28 - 00:06:32] 就是非常难以言表这个心思
[00:06:32 - 00:06:32] 就是这样
[00:06:34 - 00:06:36] 但是同学你要知道
[00:06:36 - 00:06:38] 帮助别人的前提条件
[00:06:38 - 00:06:41] 是你自己得先能够所谓的
[00:06:41 - 00:06:43] 这个就是生存下去
[00:06:43 - 00:06:45] 或者说是不说一说无忧吧
[00:06:45 - 00:06:48] 但是的话就是不要太猜在什么
[00:06:49 - 00:06:50] 呃
[00:06:51 - 00:06:52] 你这样小助理
[00:06:52 - 00:06:53] 你能找到这个海
[00:06:54 - 00:06:55] 你能找到它吗
[00:06:57 - 00:06:58] 你这样同学
[00:06:59 - 00:07:00] 你呢
[00:07:00 - 00:07:01] 去想办法学法律
[00:07:02 - 00:07:04] 然后的话在你Z所能及范围之内呢
[00:07:04 - 00:07:06] 好到一个法律类的远行
[00:07:06 - 00:07:07] 因为你们
[00:07:07 - 00:07:08] 刘宁呢是属于所谓的
[00:07:08 - 00:07:10] 专业家院校的这种天保模式
[00:07:10 - 00:07:12] 然后的话呢
[00:07:12 - 00:07:13] 我们公司办的还可以
[00:07:14 - 00:07:15] 我们公司是有环岗
[00:07:15 - 00:07:16] 所以说的话呢
[00:07:16 - 00:07:18] 你努力去学习
[00:07:18 - 00:07:19] 然后的话
[00:07:19 - 00:07:21] 我来帮你实现你的这个理想
[00:07:21 - 00:07:23] 你将来大学毕业以后
[00:07:23 - 00:07:25] 你只要能把律师这些资格正好下来
[00:07:25 - 00:07:27] 我就可以直接找你到我的公司
[00:07:27 - 00:07:29] 来当我们公司的法官
[00:07:29 - 00:07:31] 给你发一份保障你基本生活的工资
[00:07:31 - 00:07:33] 然后因为我们公司呢
[00:07:33 - 00:07:35] 工作节奏也没有那么快
[00:07:35 - 00:07:36] 然后的话呢
[00:07:36 - 00:07:38] 你就可以用你空余的时间
[00:07:38 - 00:07:41] 去帮助那些你想帮助的
[00:07:41 - 00:07:42] 我会让我的
[00:07:42 - 00:07:45] 这部间的小助理来联系你
[00:07:45 - 00:07:47] 你现在只需要努力学习
[00:07:47 - 00:07:47] 好吗
[00:07:47 - 00:07:49] 老师我还有一些
[00:07:49 - 00:07:52] 就是5月4C和4C的985
[00:07:52 - 00:07:53] 他们区别很大
[00:07:53 - 00:07:54] 我们的差别
[00:07:54 - 00:07:56] 它有一定的差别
[00:07:56 - 00:07:57] 但5月4C可能是在
[00:07:57 - 00:07:58] 专业领域里边还不错
[00:07:58 - 00:07:59] 然后的话
[00:07:59 - 00:08:00] 985工程大学
[00:08:00 - 00:08:01] 它是综合性的
[00:08:01 - 00:08:03] 它在地域手性是很不错的
[00:08:03 - 00:08:03] 所以说的话
[00:08:03 - 00:08:05] 就是它各有各的优势
[00:08:05 - 00:08:07] 但是别管说到时候你能考到
[00:08:07 - 00:08:09] 你别管说到时候你能考到哪里去
[00:08:09 - 00:08:10] 如果说就是我这么跟你说
[00:08:10 - 00:08:12] 同学因为你自己的这种
[00:08:12 - 00:08:14] 你的这种思想让我很感动
[00:08:14 - 00:08:15] 然后的话呢
[00:08:15 - 00:08:18] 就是我的这个建议是一个保底
[00:08:19 - 00:08:23] 如果说你将来你自己有更大的能力和更大的能量
[00:08:23 - 00:08:25] 能够为这个社会创造更大的价值
[00:08:25 - 00:08:27] 那么我肯定不会输负你
[00:08:28 - 00:08:29] 但是如果说你没有这个能力
[00:08:29 - 00:08:30] 没有这个能量
[00:08:30 - 00:08:33] 那我就可以通过我们共互的这种方式
[00:08:33 - 00:08:34] 去帮助你实现
[00:08:34 - 00:08:36] 帮助更多的人的影响
[00:08:37 - 00:08:37] 好吧
[00:08:38 - 00:08:38] 然后的话
[00:08:38 - 00:08:41] 我的我的我的小兔里会联系你
[00:08:41 - 00:08:42] 然后你注意一下你的实现
[00:08:42 - 00:08:43] 好
[00:08:43 - 00:08:44] 好的,好的,谢谢老师
[00:08:44 - 00:08:45] 谢谢老师
[00:08:45 - 00:08:46] 谢谢
[00:08:46 - 00:08:48] 孩子得了这么重的
[00:08:48 - 00:08:51] 还想着说我要去运动
[00:08:51 - 00:08:52] 对于这种
[00:08:52 - 00:08:53] 因为这就是缘分
[00:08:53 - 00:08:54] 这就是缘妙不可言
[00:08:54 - 00:08:56] 如果今天就直播两个小时
[00:08:56 - 00:08:56] 然后的话
[00:08:56 - 00:08:58] 最后一个联卖联到的这样的一个家长
[00:08:58 - 00:08:59] 联到的这样的同学
[00:08:59 - 00:09:00] 我为什么说
[00:09:00 - 00:09:04] 这个孩子他有一个非常非常伟大的
[00:09:04 - 00:09:05] 他的整个联卖功能当中
[00:09:05 - 00:09:06] 他妈就在后面
[00:09:06 - 00:09:07] 作为家长
[00:09:07 - 00:09:10] 看着孩子从小长那么大
[00:09:10 - 00:09:12] 孩子突然得了这么一个病
[00:09:12 - 00:09:14] 他所受到的打击
[00:09:14 - 00:09:16] 是我们无法想象
[00:09:16 - 00:09:19] 但是他能坚持的坚定站在孩子后面
[00:09:19 - 00:09:23] 甚至能够强忍着自己难过的心情
[00:09:23 - 00:09:25] 在孩子面前表现得很坚强
[00:09:25 - 00:09:27] 你看我们整个联卖的时候
[00:09:27 - 00:09:28] 孩子说到他得这个病啊
[00:09:28 - 00:09:29] 或者怎么样的
[00:09:29 - 00:09:31] 家长没有说在后面去哭啊
[00:09:31 - 00:09:32] 或者怎么样的
[00:09:32 - 00:09:33] 包括后来他我说
[00:09:33 - 00:09:35] 我说孩子我给你保护你
[00:09:35 - 00:09:36] 家长也没有说
[00:09:36 - 00:09:38] 我知道他可能在强忍
[00:09:38 - 00:09:39] 他是不希望把自己
[00:09:39 - 00:09:41] 他所谓脆弱的这一面
[00:09:41 - 00:09:43] 或者说他负面情绪的这一面
[00:09:43 - 00:09:44] 感染给孩子
[00:09:44 - 00:09:46] 所以我说我说这个家长
[00:09:46 - 00:09:47] 非常非常的
[00:09:48 - 00:09:50] 有这样非常伟大的家长
[00:09:50 - 00:09:53] 有这样在自己可能都很困难的时候
[00:09:53 - 00:09:56] 去去信息那些
[00:09:56 - 00:09:57] 那些比他可能
[00:09:57 - 00:09:59] 他觉得更可怜更惨的那帮人
[00:09:59 - 00:10:01] 这个孩子
[00:10:01 - 00:10:03] 我觉得我们作为社会上的人
[00:10:03 - 00:10:04] 应该去帮他一把
[00:10:04 - 00:10:06] 所以说这个孩子
[00:10:06 - 00:10:07] 我知道你可能也在看
[00:10:07 - 00:10:09] 中国有句话叫做
[00:10:09 - 00:10:13] 穷,则安身立命,达,则奸及天下
[00:10:13 - 00:10:17] 奸及天下的前提是你自己个人要达
[00:10:17 - 00:10:19] 这个很重要
[00:10:19 - 00:10:20] 所以说的话
[00:10:20 - 00:10:21] 但是因为你自己身体这个状况
[00:10:21 - 00:10:23] 你很难可能说去
[00:10:23 - 00:10:25] 说像普通人一样
[00:10:25 - 00:10:26] 或像常人一样去所谓的
[00:10:26 - 00:10:28] 奋斗瓦或者怎么样的
[00:10:28 - 00:10:28] 对吧
[00:10:28 - 00:10:31] 对于你的身体也可能是一个所谓的负担
[00:10:31 - 00:10:33] 那张老师
[00:10:33 - 00:10:34] 嗨
[00:10:34 - 00:10:35] 我是个小达达
[00:10:35 - 00:10:37] 哈哈哈哈
[00:10:37 - 00:10:38] 然后的话在我立左能及范围之内
[00:10:38 - 00:10:39] 然后的话
[00:10:39 - 00:10:42] 希望能够帮助到你实现你的这个
[00:10:42 - 00:10:43] 梦想
[00:10:43 - 00:10:45] 你现在就是去努力学习
[00:10:45 - 00:10:46] 考出个好成功
[00:10:46 - 00:10:47] 就好
[00:10:47 - 00:10:50] 就是这个孩子就用东北话讲叫什么
[00:10:50 - 00:10:51] 叫事那样的
[00:10:52 - 00:10:53] 就是这事那样的
[00:10:53 - 00:10:55] 你也愿意去帮他
[00:10:55 - 00:10:57] 四助者
[00:10:57 - 00:10:58] 天助师
