BV号：BV1Dk1MBREUk
标题：BV1Dk1MBREUk
链接：https://www.bilibili.com/video/BV1Dk1MBREUk
识别语言：zh
语言置信度：1
分段数：111
生成时间：2026-04-03 03:48:16

[00:00:00 - 00:00:01] 你要想保留大債率
[00:01:50 - 00:01:53] 公务员现在招聘是退一个补一个
[00:01:53 - 00:01:55] 有的地方更变态是退两个补一个
[00:01:55 - 00:01:56] 退三个补一个
[00:01:56 - 00:01:57] 所以说怕的是
[00:01:57 - 00:01:59] 你如果万一暴斗了这种垂直专业
[00:01:59 - 00:02:01] 你家还得想口供的时候
[00:02:01 - 00:02:03] 你万一你家还得毕业那一年
[00:02:03 - 00:02:04] 你想考的那个单位
[00:02:04 - 00:02:06] 比如你刚才受到了一个地方长沙
[00:02:06 - 00:02:08] 如果长沙是文理局
[00:02:08 - 00:02:09] 不招旅游管理的话
[00:02:09 - 00:02:10] 你学着旅游管理
[00:02:10 - 00:02:11] 你怎么办
[00:02:11 - 00:02:13] 还有更变态的叫第三种专业
[00:02:13 - 00:02:15] 叫三不限
[00:02:15 - 00:02:17] 这种专业口供几乎没有搞
[00:02:17 - 00:02:19] 完全没有搞
[00:02:19 - 00:02:21] 我经常拿我们公司的一位老师
[00:02:21 - 00:02:22] 东南老师来举例子
[00:02:22 - 00:02:23] 东正老师学什么呢
[00:02:23 - 00:02:24] 他是做曲的
[00:02:24 - 00:02:25] 千年等一回
[00:02:25 - 00:02:26] 他可能会有一个岗
[00:02:26 - 00:02:29] 后来东正有一次回去考边
[00:02:29 - 00:02:30] 他们当地世属敬老院
[00:02:30 - 00:02:32] 有事业单位边
[00:02:32 - 00:02:34] 给老太太编歌写歌
[00:02:34 - 00:02:35] 结果发现几百个人考
[00:02:35 - 00:02:37] 为什么千年等一回
[00:02:37 - 00:02:40] 这一届毕业生没有公务员岗
[00:02:40 - 00:02:41] 没有事业单位边
[00:02:41 - 00:02:42] 下一届也没有
[00:02:42 - 00:02:43] 下一届也没有
[00:02:43 - 00:02:44] 下一届也没有
[00:02:44 - 00:02:45] 五年以后有一个岗
[00:02:45 - 00:02:47] 结果这五年的毕业生
[00:02:47 - 00:02:48] 全考了一个岗
[00:02:48 - 00:02:50] 甚至前五年的毕业生
[00:02:50 - 00:02:51] 之前没考上的
[00:02:51 - 00:02:53] 也都考那个岗
[00:02:53 - 00:02:54] 所以说你会发现
[00:02:54 - 00:02:55] 有些公务员岗很好考
[00:02:55 - 00:02:57] 有些公务员岗很难考
[00:02:57 - 00:02:59] 这个是跟你学什么专业关系的
[00:02:59 - 00:03:01] 口供只看专业
[00:03:01 - 00:03:03] 不看学校
