BV号：BV1eW411h7hD
标题：BV1eW411h7hD
链接：https://www.bilibili.com/video/BV1eW411h7hD
识别语言：zh
语言置信度：1
分段数：139
生成时间：2026-04-04 12:11:15

[00:00:00 - 00:00:03] 中國有四個專說難度比學說了
[00:01:16 - 00:01:17] 这是第一个专业
[00:01:17 - 00:01:18] 一学第二个专业
[00:01:18 - 00:01:19] 中文第三个专业
[00:01:19 - 00:01:20] 外语
[00:01:20 - 00:01:21] 就能和外语这个两个专业
[00:01:21 - 00:01:23] 专所也必须说难
[00:01:23 - 00:01:23] 为什么呢
[00:01:23 - 00:01:25] 中文外語這個專說是當老師的
[00:01:25 - 00:01:27] 同學你要知道當老師現在也沒那麼容易
[00:01:27 - 00:01:30] 各位女同學幸虧當年你媽腦袋邊少根錢說
[00:01:30 - 00:01:32] 說你去當個老師吧考師犯大學
[00:01:32 - 00:01:34] 幸虧當年沒做這個決定你知道吧
[00:01:34 - 00:01:34] 為什麼
[00:01:34 - 00:01:37] 現在當老師有多難你知道吧
[00:01:37 - 00:01:39] 因為當老師人才太過剩了
[00:01:39 - 00:01:41] 大家一塊發現每一個城市啊
[00:01:41 - 00:01:42] 它的大學都分很多種
[00:01:42 - 00:01:44] 比如說有一種大學
[00:01:44 - 00:01:45] 它的名字叫做就很有特點
[00:01:45 - 00:01:47] 叫什麼什麼財經大學大家發現了
[00:01:47 - 00:01:49] 但你發現同學因每個省的經濟發展不一樣
[00:01:49 - 00:01:53] 這種什麼什麼財經大學你發現每個省幾個
[00:01:53 - 00:01:54] 是不是就一个
[00:01:54 - 00:01:54] 对吧
[00:01:54 - 00:01:59] 山西 山西 财经 山东 山东 财经 河南 河南 财经 江西 江西 财经 吉林 吉林 财经
[00:01:59 - 00:02:00] 每个省就一个嘛 对吧
[00:02:00 - 00:02:03] 你个农业大学基本没能成几个
[00:02:03 - 00:02:04] 最多俩
[00:02:04 - 00:02:05] 对吧
[00:02:05 - 00:02:07] 咱们山西中就一个叫山西农大
[00:02:07 - 00:02:07] 最多俩
[00:02:07 - 00:02:10] 你看见南京老大叫一个大哥带一个小弟
[00:02:10 - 00:02:12] 大哥叫南京农大
[00:02:12 - 00:02:13] 小弟叫杨德大学
[00:02:13 - 00:02:15] 这么黑农江大哥叫东北农大
[00:02:15 - 00:02:16] 小弟叫巴依农恳
[00:02:16 - 00:02:17] 知道吧
[00:02:17 - 00:02:18] 一颗的大学女发现
[00:02:18 - 00:02:19] 每个省什么情况
[00:02:19 - 00:02:19] 一个省
[00:02:19 - 00:02:22] 一个大哥带三个小弟
[00:02:22 - 00:02:24] 每个小弟一个大哥带三个小弟
[00:02:24 - 00:02:24] 知道吧 你看
[00:02:24 - 00:02:26] 你看咱们山西省
[00:02:26 - 00:02:27] 一个大哥叫山西一个大学
[00:02:27 - 00:02:30] 带的这个小弟有分阳有异学 对吧
[00:02:30 - 00:02:31] 常日有个异学 是吧
[00:02:31 - 00:02:33] 还有你们山西很有运冲有异学 是吧
[00:02:33 - 00:02:35] 还能有个异学 是吧
[00:02:35 - 00:02:36] 你每个小弟就基本上
[00:02:36 - 00:02:38] 一个大哥带两到三个小弟 对吧
[00:02:38 - 00:02:40] 戴同学 你带看师傅大学什么情况
[00:02:40 - 00:02:41] 师傅大学就是每个小弟
[00:02:41 - 00:02:44] 一个大哥带了他们一群小弟
[00:02:44 - 00:02:46] 你看是不是这样的同学
[00:02:46 - 00:02:47] 你看他们山西的一个大哥
[00:02:47 - 00:02:48] 叫山西师傅大学
[00:02:48 - 00:02:51] 带的一群小弟带人师傅大学
[00:02:51 - 00:02:52] 履良協院
[00:02:52 - 00:02:53] 印成協院
[00:02:53 - 00:02:54] 抢治協院
[00:02:54 - 00:02:55] 是吧
[00:02:55 - 00:02:56] 通知你发现
[00:02:56 - 00:02:57] 每一个城市
[00:02:57 - 00:02:59] 如果这个城市只有一个大学的话
[00:02:59 - 00:03:00] 基本上就是
[00:03:00 - 00:03:01] 十分学
[00:03:01 - 00:03:03] 就导致人特别的多
[00:03:03 - 00:03:03] 你知道吧
[00:03:03 - 00:03:05] 所以你要知道像中文外语这两专业
[00:03:05 - 00:03:07] 想当老师也很难
[00:03:07 - 00:03:07] 最后一个专业
[00:03:07 - 00:03:08] 专所比学朔男的
[00:03:08 - 00:03:09] 什么专业
[00:03:09 - 00:03:10] 会计
[00:03:10 - 00:03:11] 财务管理
[00:03:11 - 00:03:13] 这个专业专所比学朔男
[00:03:13 - 00:03:15] 而且要命的是学朔也很难
[00:03:15 - 00:03:16] 知道吧
[00:03:16 - 00:03:18] 只要会计设计的考研就是难
[00:03:18 - 00:03:18] 没办法
[00:03:18 - 00:03:20] 在大家记录这四个专业
[00:03:20 - 00:03:27] 这分别是医学中门外语会计这次专业专售比学售男其他专业学售比专售男能听明白吗
