BV号：BV1us411h7RA
标题：BV1us411h7RA
链接：https://www.bilibili.com/video/BV1us411h7RA
识别语言：zh
语言置信度：1
分段数：205
生成时间：2026-04-04 13:42:26

[00:00:05 - 00:00:06] 啊,搞啥呀?
[00:02:42 - 00:02:44] 跟你站在这个奖台上面对这么多人讲课
[00:02:44 - 00:02:46] 包括说有的时候我现在讲课的时候
[00:02:46 - 00:02:47] 都两千多人的大厂
[00:02:47 - 00:02:49] 你站在那个奖台上讲课
[00:02:49 - 00:02:50] 真的感受是完全不一样的
[00:02:50 - 00:02:51] 知道吧
[00:02:51 - 00:02:53] 实际上咱们学校也给大家提供了
[00:02:53 - 00:02:54] 很多这样锻炼的机会
[00:02:54 - 00:02:55] 去锻炼你这种不要脸的精神
[00:02:55 - 00:02:57] 只不过你自己没有怎么把握而已
[00:02:57 - 00:02:59] 你比如咱们学校每年都有各种刚的比赛
[00:02:59 - 00:02:59] 对吧
[00:02:59 - 00:03:01] 在你们大一大二的时候有各种各样的比赛 对吧
[00:03:01 - 00:03:04] 什么演讲比赛啊 主持人比赛啊 辩认比赛啊
[00:03:04 - 00:03:07] 十大校园歌手比赛等等等等这样的比赛 对吧
[00:03:07 - 00:03:09] 而同学这种比赛你参加过吗
[00:03:09 - 00:03:10] 可能有个人没有参加过 对吧
[00:03:10 - 00:03:13] 同学我问一下你为什么没有参加过这种比赛啊
[00:03:13 - 00:03:14] 那张老师我怕说得不好唱得不好
[00:03:14 - 00:03:16] 我怕人家笑话我啊
[00:03:16 - 00:03:17] 同学你这么想是不对的 知道吧
[00:03:17 - 00:03:18] 因为你说得好唱得好
[00:03:18 - 00:03:20] 他终于有人笑话你能明白的
[00:03:20 - 00:03:22] 因为同学你要记住好
[00:03:22 - 00:03:24] 人无完人 能明白吗
[00:03:24 - 00:03:25] 你每个人都不可能
[00:03:25 - 00:03:27] 所有的人都喜欢你的 能明白吗
[00:03:27 - 00:03:29] 你别说你了同学你就拿我来举例子
[00:03:29 - 00:03:30] 哥现在这么火的
[00:03:30 - 00:03:31] 终于是不喜欢我的
[00:03:31 - 00:03:31] 知道吧
[00:03:31 - 00:03:33] 每天都是我发费不是私心骂我的
[00:03:33 - 00:03:34] 有的事
[00:03:34 - 00:03:34] 知道吧
[00:03:34 - 00:03:36] 包括今天咱们在蒋罗县场
[00:03:36 - 00:03:37] 来了这么多人
[00:03:37 - 00:03:38] 也绝对有一位大哥
[00:03:38 - 00:03:39] 在一个角落里边看着我
[00:03:39 - 00:03:40] 傻皮是吧
[00:03:40 - 00:03:42] 绝对不像个人
[00:03:42 - 00:03:43] 绝对不像个人
[00:03:43 - 00:03:44] 真的
[00:03:45 - 00:03:47] 只不过我不知道你做到哪个角落而已
[00:03:47 - 00:03:48] 对吧
[00:03:48 - 00:03:49] 但同学你要知道人物玩人
[00:03:49 - 00:03:51] 你不可能所有的人都喜欢你的
[00:03:51 - 00:03:52] 能明白吧
[00:03:52 - 00:03:53] 我跟你说人这一辈子
[00:03:53 - 00:03:54] 最重要的特点是什么
[00:03:54 - 00:03:55] 你要有自己知名
[00:03:55 - 00:03:56] 能明白吧
[00:03:56 - 00:03:59] 但同學你要你會發現那些人不喜歡你的
[00:03:59 - 00:04:00] 你有必要為他們投入改變嗎
[00:04:00 - 00:04:02] 沒有必要對不對
[00:04:02 - 00:04:03] 你比如說那我來舉例子
[00:04:03 - 00:04:06] 每年每年就是有那百分之一百分之二的人不喜歡我
[00:04:06 - 00:04:08] 我沒有必要為他們投入改變對不對
[00:04:08 - 00:04:09] 我就是我
[00:04:09 - 00:04:10] 我怎麼就這事的煙火
[00:04:10 - 00:04:10] 打地吧
[00:04:11 - 00:04:12] 你也不能把我打地嗎
[00:04:12 - 00:04:13] 對吧
[00:04:13 - 00:04:14] 所以同學你要知道不管在學校裡邊
[00:04:14 - 00:04:15] 還是未來記住的社會
[00:04:15 - 00:04:16] 你們都要怎麼樣
[00:04:16 - 00:04:18] 要勇於做自己能不能
[00:04:18 - 00:04:21] 你要記住同學能讓百分之七八十的人喜歡你
[00:04:21 - 00:04:23] 你做的就已經很到位了
[00:04:23 - 00:04:25] 你是不可能所有的人都喜歡你的
[00:04:25 - 00:04:25] 知道吧
[00:04:25 - 00:04:27] 如果说你锻炼这种不要脸的精神的话
[00:04:27 - 00:04:29] 你看今天咱们实在给大家提供了这样一个机会
[00:04:29 - 00:04:30] 对不对
[00:04:30 - 00:04:31] 咱们学院你看来了这么多人
[00:04:31 - 00:04:32] 对不对
[00:04:32 - 00:04:33] 等会讲文科也和同学
[00:04:33 - 00:04:33] 你先别走
[00:04:33 - 00:04:35] 你要想锻炼这种精神发生高走
[00:04:35 - 00:04:35] 知道吧
[00:04:35 - 00:04:36] 我下去
[00:04:36 - 00:04:36] 你上来
[00:04:36 - 00:04:37] 我把那个话筒给你
[00:04:37 - 00:04:37] 知道吧
[00:04:37 - 00:04:38] 你当着这么多人面
[00:04:38 - 00:04:39] 你给大家说这样一句话
[00:04:39 - 00:04:40] 大家好
[00:04:40 - 00:04:41] 我叫你师傅大学物理学院的
[00:04:41 - 00:04:42] 我叫夏莎莎
[00:04:42 - 00:04:43] 我不要脸
[00:04:43 - 00:04:43] 你就活了
[00:04:43 - 00:04:44] 知道吧
[00:04:44 - 00:04:46] 你就通过了自己的期限
[00:04:46 - 00:04:47] 明白吗
[00:04:47 - 00:04:48] 对
[00:04:48 - 00:04:49] 口才变得怎么好
[00:04:49 - 00:04:51] 怎么变得好一些这个学会了吧
[00:04:51 - 00:04:52] 第一多看手电
[00:04:52 - 00:04:53] 知道吧
