BV号：BV1UJ411a7am
标题：BV1UJ411a7am
链接：https://www.bilibili.com/video/BV1UJ411a7am
识别语言：zh
语言置信度：1
分段数：437
生成时间：2026-04-04 04:03:40

[00:00:00 - 00:00:02] 大家好 欢迎收看本期的法律其实很好玩
[00:00:02 - 00:00:04] 那么李女士跟点的公司
[00:01:26 - 00:01:27] 要不要去尝这个债呢
[00:01:27 - 00:01:29] 负债紫长
[00:01:29 - 00:01:30] 她这个是指的是什么呢
[00:01:30 - 00:01:32] 完全是父亲的债务
[00:01:32 - 00:01:35] 然后子女跟债务没有任何关系的情况下
[00:01:35 - 00:01:37] 我记得原来我们讲过一个概念
[00:01:37 - 00:01:40] 叫做独立民事行政的立德人
[00:01:40 - 00:01:41] 大家是互相独立的
[00:01:41 - 00:01:43] 那么这个时候
[00:01:43 - 00:01:45] 负债此长是不对的
[00:01:45 - 00:01:48] 就是说你的债务是以你自己的债务
[00:01:48 - 00:01:50] 那么我跟债务没有关系
[00:01:50 - 00:01:51] 比如说我举个例子
[00:01:51 - 00:01:54] 我确实有一个朋友遇到过这种情况
[00:01:54 - 00:01:56] 就是他父亲可能是个独鬼
[00:01:56 - 00:01:57] 是个独鬼
[00:01:57 - 00:01:59] 然后的话就是赌
[00:01:59 - 00:02:00] 赌就把自己的个人财神
[00:02:00 - 00:02:01] 可能就已经赌完了
[00:02:01 - 00:02:02] 我一会的话
[00:02:02 - 00:02:03] 身上还欠了一批负债
[00:02:03 - 00:02:09] 然后这个时候债主是不能跟我朋友去要钱的
[00:02:09 - 00:02:09] 对的
[00:02:09 - 00:02:12] 他从法律上讲彼此是独立的
[00:02:12 - 00:02:16] 我没有给你偿还债务的义务
[00:02:16 - 00:02:20] 但是基于道德有的人说我不想让我的爸爸再死了
[00:02:20 - 00:02:21] 还留下骂名
[00:02:21 - 00:02:22] 我愿意帮他还债
[00:02:22 - 00:02:24] 但这个纯粹是一种道德
[00:02:24 - 00:02:25] 道德
[00:02:25 - 00:02:26] 但是本案不一样
[00:02:26 - 00:02:27] 本案是这样
[00:02:27 - 00:02:29] 这个李女是用她自己的房子
[00:02:29 - 00:02:31] 然后作为一个抵押贷款
[00:02:31 - 00:02:32] 这等于就是个抵押贷款
[00:02:32 - 00:02:34] 把房子抵押给人家
[00:02:34 - 00:02:35] 人家带给他200万
[00:02:35 - 00:02:37] 只不过点当行叫当金
[00:02:37 - 00:02:39] 那么点当行回来200万
[00:02:39 - 00:02:42] 那么现在他去世了
[00:02:42 - 00:02:46] 那么点当行能不能执行这个合同呢
[00:02:46 - 00:02:47] 人死了债债
[00:02:47 - 00:02:49] 然后这个债怎么执行呢
[00:02:49 - 00:02:53] 以他本人的财产为限
[00:02:53 - 00:02:55] 就看他有没有他的财产
[00:02:55 - 00:02:56] 对
[00:02:57 - 00:02:58] 如果这个房子是债的
[00:02:58 - 00:03:00] 然后这个房子是他跟他老公的
[00:03:00 - 00:03:01] 对不对
[00:03:01 - 00:03:04] 那么如果按照普通的这个共同财产来说
[00:03:04 - 00:03:05] 付出共产产一人一半
[00:03:05 - 00:03:07] 那么他这个李女士
[00:03:07 - 00:03:10] 还有这个房子一半的财产
[00:03:10 - 00:03:13] 那么这种情况把这个房子卖掉
[00:03:13 - 00:03:14] 或者李女士自己愿
[00:03:14 - 00:03:17] 他老公圈愿意要他把一半的钱掏出来
[00:03:17 - 00:03:20] 那么然后拿这一半的钱
[00:03:20 - 00:03:24] 去给这个公司来偿还这个债务
[00:03:24 - 00:03:25] 这个算什么呢
[00:03:25 - 00:03:27] 母债母还
[00:03:27 - 00:03:29] 就自己的债自己还
[00:03:29 - 00:03:33] 就是首先这个李女士她自己的财产首先得用于还债
[00:03:33 - 00:03:36] 然后的话再说她是遗产的问题
[00:03:36 - 00:03:37] 对对对
[00:03:37 - 00:03:40] 然后如果像有的人她如果要继承这个遗产
[00:03:40 - 00:03:40] 呢
[00:03:40 - 00:03:42] 遗产只有200万
[00:03:42 - 00:03:43] 但是外面债务有500万
[00:03:43 - 00:03:45] 她就说那我不继承了
[00:03:45 - 00:03:46] 但是你不能说
[00:03:46 - 00:03:47] 你可以不继承
[00:03:47 - 00:03:49] 然后这个200万拿出去还债
[00:03:49 - 00:03:51] 你不能说我继承这个200万
[00:03:51 - 00:03:53] 然后你们谁来跟我要钱
[00:03:53 - 00:03:55] 对不起我刚刚学完法律
[00:03:55 - 00:03:56] 负债子还是错误的
[00:03:56 - 00:03:57] 我不还
[00:03:57 - 00:03:58] 这个不可以
[00:03:58 - 00:04:00] 那你像杨老师有一个问题
[00:04:00 - 00:04:01] 假如说我是点的公司
[00:04:01 - 00:04:03] 我是点的公司
[00:04:03 - 00:04:05] 假如说他现在当今是200万
[00:04:05 - 00:04:07] 但是按照你所说的
[00:04:07 - 00:04:08] 可能他跟他的丈夫
[00:04:08 - 00:04:09] 他们两个付机共同财产
[00:04:09 - 00:04:11] 这个房子正好是200万
[00:04:11 - 00:04:12] 那我只能拿回来100万
[00:04:12 - 00:04:13] 对不对
[00:04:13 - 00:04:14] 您刚才也说了
[00:04:14 - 00:04:16] 就是说首先的话
[00:04:16 - 00:04:17] 得拿李女士财产
[00:04:17 - 00:04:18] 来显现还我的账
[00:04:18 - 00:04:19] 对不对
[00:04:19 - 00:04:20] 那好了
[00:04:20 - 00:04:21] 假如说李女士生钱
[00:04:21 - 00:04:23] 他正好有一张卡上
[00:04:23 - 00:04:25] 这卡上有100万
[00:04:25 - 00:04:26] 那这个是李女士的财产
[00:04:26 - 00:04:28] 还是说他服其共同财产
[00:04:28 - 00:04:30] 那么或者说
[00:04:30 - 00:04:32] 那正好这100万没在李女士的这个账上
[00:04:32 - 00:04:34] 而在她丈夫的账上
[00:04:34 - 00:04:35] 那我作为点灯公司
[00:04:35 - 00:04:37] 我能不能视为她丈夫那个账上的钱
[00:04:37 - 00:04:38] 是她服其共同财产
[00:04:38 - 00:04:39] 你觉得呢
[00:04:40 - 00:04:40] 我
[00:04:40 - 00:04:42] 你怎么能够还问你的
[00:04:43 - 00:04:44] 就是说
[00:04:44 - 00:04:45] 像现在你想啊
[00:04:45 - 00:04:46] 服其财产
[00:04:47 - 00:04:48] 这么说吧
[00:04:48 - 00:04:49] 张老师的钱
[00:04:49 - 00:04:51] 肯定应该比夫人挣得多吧
[00:04:51 - 00:04:52] 张老师卡上的钱
[00:04:52 - 00:04:54] 是你们全家的共同财产
[00:04:54 - 00:04:55] 还是张老师的个人财产
[00:04:56 - 00:04:58] 应该是共同财产
[00:04:58 - 00:04:59] 对了
[00:05:00 - 00:05:01] 你如果没有特别约定的话
[00:05:01 - 00:05:05] 没有约定说咱们俩谁名下的钱就是谁自己的
[00:05:05 - 00:05:07] 那么不管是谁给这个家里挣进来的钱
[00:05:08 - 00:05:09] 都是咱们全家的钱
[00:05:09 - 00:05:11] 也就是说我作为点灯公司
[00:05:11 - 00:05:15] 我是有权向法院申请看看他老公扛了多少钱
[00:05:15 - 00:05:19] 对他老公包括理女士全部的你们家所有的财产
[00:05:19 - 00:05:19] 拿出来
[00:05:20 - 00:05:23] 然后这个里面有一些理女人家老公个人的财产
[00:05:23 - 00:05:24] 把这个算去过
[00:05:25 - 00:05:25] 剩下的
[00:05:25 - 00:05:27] 都是共同财产
[00:05:27 - 00:05:28] 哪怕你这个账户比如你账上
[00:05:28 - 00:05:29] 你明天有一百万
[00:05:29 - 00:05:31] 那么那边还不够了
[00:05:31 - 00:05:34] 你也得先把这一百万分一半出来给他
[00:05:34 - 00:05:35] 所以我们继承遗产的时候
[00:05:35 - 00:05:38] 经常说要先吸产后继承
[00:05:38 - 00:05:39] 就分析的吸
[00:05:39 - 00:05:41] 先把产财产分开
[00:05:41 - 00:05:43] 这一半是被继承人
[00:05:43 - 00:05:44] 是真正的被继承的财产
[00:05:44 - 00:05:45] 然后大家再开始
[00:05:45 - 00:05:46] 哎
[00:05:46 - 00:05:46] 那个
[00:05:46 - 00:05:48] 我想问一下
[00:05:48 - 00:05:48] 假如说这个
[00:05:48 - 00:05:51] 我把这个案子给他搞复杂
[00:05:51 - 00:05:51] 对
[00:05:51 - 00:05:52] 比如说这个
[00:05:52 - 00:05:54] 这个林雨时她的老公刚刚
[00:05:54 - 00:05:58] 他老公的家人复兴或者说母亲去世了
[00:05:59 - 00:06:02] 他从他家人那边继承的那一笔财产
[00:06:02 - 00:06:03] 是夫妻共同财产吗
[00:06:03 - 00:06:05] 那个时候那个谁去世了没有
[00:06:06 - 00:06:07] 他妻子去世了没有
[00:06:08 - 00:06:09] 就是他妻子
[00:06:09 - 00:06:11] 就是他继承这个遗坛的时候还没去世
[00:06:11 - 00:06:12] 还没去世就是共同财产
[00:06:13 - 00:06:14] 就是共同财产
[00:06:14 - 00:06:14] 对
[00:06:17 - 00:06:18] 咱们以前不是讲到这
[00:06:18 - 00:06:20] 我觉得这种典型公司
[00:06:20 - 00:06:21] 看起来要是想追账的话
[00:06:21 - 00:06:22] 好像挺
[00:06:22 - 00:06:23] 还能追不少钱的
[00:06:23 - 00:06:27] 是啊,就是我们看着这个案子可能是说
[00:06:27 - 00:06:29] 你看他只有一半的房子
[00:06:29 - 00:06:32] 他只拿房子做抵押
[00:06:32 - 00:06:32] 他只一半的
[00:06:32 - 00:06:34] 但是其实他如果要这么算起来的话
[00:06:34 - 00:06:38] 他真的有可能把他那200万兜兜给收回来
[00:06:38 - 00:06:39] 而且他们家里人说
[00:06:39 - 00:06:41] 这个已经是死档了
[00:06:41 - 00:06:42] 人都死了
[00:06:42 - 00:06:43] 你还来跟我要什么
[00:06:43 - 00:06:44] 这个是不讲理的
[00:06:44 - 00:06:46] 因为人死了财产在
[00:06:46 - 00:06:47] 这个就是
[00:06:47 - 00:06:48] 如果说他人死了
[00:06:48 - 00:06:50] 他真的没有财产了
[00:06:50 - 00:06:51] 那就没办法了
[00:06:51 - 00:06:55] 对这个时候人家子女老公还不还这个钱
[00:06:55 - 00:06:56] 就是靠自觉了
[00:06:56 - 00:06:59] 那你像我那你像他有没有这种情况可出现啊
[00:06:59 - 00:07:01] 比如说我假如说经常会有这样的所谓的
[00:07:01 - 00:07:03] 我见过这种人啊
[00:07:03 - 00:07:04] 我听说我真见过这种人
[00:07:04 - 00:07:05] 就是什么坏人你都见过
[00:07:05 - 00:07:07] 你说对哎
[00:07:07 - 00:07:08] 是不是因为我太坏了
[00:07:08 - 00:07:09] 哈哈哈
[00:07:09 - 00:07:11] 就是他可能借了二百万
[00:07:11 - 00:07:12] 他知道自己可能还不上
[00:07:12 - 00:07:13] 但他有一百万
[00:07:13 - 00:07:14] 他故意怎么样呢
[00:07:14 - 00:07:17] 他就故意把这一百万给他挪出去
[00:07:18 - 00:07:20] 那这种情况下这个怎么算
[00:07:20 - 00:07:21] 恶意淘債
[00:07:21 - 00:07:22] 恶意淘債
[00:07:22 - 00:07:23] 对
[00:07:23 - 00:07:26] 这个就是说法院员能够证明
[00:07:26 - 00:07:28] 法院如果能够证明这个200万
[00:07:28 - 00:07:30] 确实是个恶意的淘债
[00:07:30 - 00:07:32] 那么对方是要那个
[00:07:32 - 00:07:33] 我给你举个例子
[00:07:33 - 00:07:35] 比如说我在欠200万的时候
[00:07:35 - 00:07:37] 我身上有了180万
[00:07:37 - 00:07:41] 这个时候假如说我儿子要买房
[00:07:41 - 00:07:43] 那我拿着180万给我儿子去买房了
[00:07:43 - 00:07:45] 这算不算恶意淘债
[00:07:45 - 00:07:46] 算不算
[00:07:46 - 00:07:47] 这个不算
[00:07:47 - 00:07:49] 你很难认定
[00:07:49 - 00:07:50] 所以这个恶意淘债
[00:07:50 - 00:07:51] 什么时候能认定
[00:07:51 - 00:07:53] 比如说这个房子本来值200万
[00:07:53 - 00:07:55] 我就把它20万卖给我朋友
[00:07:55 - 00:07:58] 然后因为你不是将来要执行的话
[00:07:58 - 00:08:01] 我这有个房子你可以执行拿去给人还债吗
[00:08:01 - 00:08:03] 我就故意把它20万卖给别人来找我
[00:08:03 - 00:08:04] 没了房子卖掉了
[00:08:06 - 00:08:07] 200万的房子20万
[00:08:07 - 00:08:08] 证明了
[00:08:08 - 00:08:09] 那比如说我就说
[00:08:10 - 00:08:11] 那我给我儿子买个房
[00:08:11 - 00:08:12] 给我儿子买个车
[00:08:12 - 00:08:13] 给我女儿买个房
[00:08:13 - 00:08:14] 给我女儿就买拖房子
[00:08:14 - 00:08:14] 对呀
[00:08:14 - 00:08:15] 那很多老大就是这样
[00:08:15 - 00:08:17] 他说我就是我没钱
[00:08:17 - 00:08:19] 其实他只是没有还你的钱
[00:08:20 - 00:08:24] 你说从他採产的,从他个人採产,他真的没有个人採产
[00:08:24 - 00:08:27] 但是他採产的早率已经可能
[00:08:27 - 00:08:29] 这种很难,时间中就很难
[00:08:29 - 00:08:32] 要不然怎么说,欠钱的是大爷
[00:08:32 - 00:08:35] 我通过这段时间就突然
[00:08:35 - 00:08:38] 好像是明白了一些这样欠钱的是大爷这样的道理
[00:08:38 - 00:08:40] 那再比如说
[00:08:40 - 00:08:44] 你经常有这种老人生病的这种状况
[00:08:44 - 00:08:49] 然后有一些人他可能真的是为了给老人看病
[00:08:49 - 00:08:51] 就经常会出现举代对吧
[00:08:51 - 00:08:52] 借钱
[00:08:52 - 00:08:54] 借钱的时候呢
[00:08:54 - 00:08:59] 借钱的主体到底是谁这个东西怎么去认定
[00:08:59 - 00:09:00] 比如说Wing Julisa
[00:09:00 - 00:09:02] 可能假如说我借钱
[00:09:02 - 00:09:03] 正常来讲我是写信条
[00:09:03 - 00:09:04] 我写信条的话
[00:09:04 - 00:09:08] 那你看我给我假如说一个人给他老人治病
[00:09:08 - 00:09:10] 他先点写他老人的名字
[00:09:10 - 00:09:11] 那就是他老人的债
[00:09:11 - 00:09:13] 那他先点写自己的名字
[00:09:13 - 00:09:14] 就是他自己的债
[00:09:14 - 00:09:16] 结果他没说的情况下呢
[00:09:16 - 00:09:19] 就有可能会说句不好听的话
[00:09:19 - 00:09:22] 他来要债的时候说你看看你爸爸当年看病的时候
[00:09:22 - 00:09:24] 你跟我借了十两块钱
[00:09:24 - 00:09:26] 他说那是我爸爸借的
[00:09:26 - 00:09:26] 我爸爸看病
[00:09:26 - 00:09:27] 那是我爸爸借的
[00:09:27 - 00:09:30] 这个赖账怎么算
[00:09:30 - 00:09:32] 这个赖账就说
[00:09:32 - 00:09:35] 我们经常讲说打官司是打证据
[00:09:35 - 00:09:39] 打证据你要能够证明当年那个钱是你借的
[00:09:39 - 00:09:40] 不是他爸爸借的
[00:09:40 - 00:09:42] 就说他爸爸
[00:09:42 - 00:09:43] 他知道我成话我爸我爸治病
[00:09:43 - 00:09:47] 是你爸爸你借这个钱给你爸爸看病
[00:09:47 - 00:09:48] 对不对
[00:09:48 - 00:09:50] 这是你借钱的理由
[00:09:51 - 00:09:52] 这个不是借钱的主体
[00:09:53 - 00:09:55] 我要给我儿子买房
[00:09:55 - 00:09:56] 因为我儿子要结婚
[00:09:56 - 00:09:58] 我给你借钱
[00:09:58 - 00:09:59] 我要给我爸治病
[00:09:59 - 00:10:00] 我给你借钱
[00:10:00 - 00:10:02] 那都是我给你借钱
[00:10:02 - 00:10:03] 至于干什么用
[00:10:03 - 00:10:04] 那只是理由而已
[00:10:05 - 00:10:06] 所以像这种情况
[00:10:06 - 00:10:08] 像很多人跟自己的同事借钱
[00:10:08 - 00:10:09] 然后给自己的父亲治病
[00:10:09 - 00:10:10] 后来父亲死了
[00:10:10 - 00:10:11] 那都是他的账
[00:10:11 - 00:10:12] 不应该是别人的账
[00:10:12 - 00:10:14] 我跟你说最糟糕的一种情况是什么
[00:10:14 - 00:10:17] 有人听到某个地方有高息
[00:10:17 - 00:10:18] 有那种高利息
[00:10:18 - 00:10:20] 他是真的好心
[00:10:20 - 00:10:21] 纯粹出于好心
[00:10:21 - 00:10:23] 把他所有的亲朋动员起来
[00:10:23 - 00:10:24] 大家都把钱给我
[00:10:24 - 00:10:26] 然后我去给那边
[00:10:26 - 00:10:27] 我去给咱们那个
[00:10:27 - 00:10:28] 极道那边去
[00:10:28 - 00:10:29] 你们借给我
[00:10:29 - 00:10:30] 我把它投进去
[00:10:30 - 00:10:32] 人家都把钱给他
[00:10:32 - 00:10:32] 但是在进去
[00:10:32 - 00:10:33] 主体是他
[00:10:33 - 00:10:34] 对
[00:10:34 - 00:10:36] 等到那边崩盘了
[00:10:36 - 00:10:37] 这些亲戚每天注意他问
[00:10:37 - 00:10:38] 你什么时候还钱
[00:10:38 - 00:10:39] 你什么时候还钱
[00:10:39 - 00:10:40] 他说
[00:10:40 - 00:10:42] 我不是帮你们带头的吗
[00:10:42 - 00:10:43] 人家说不是
[00:10:43 - 00:10:43] 我们是借给你
[00:10:43 - 00:10:44] 你借给你
[00:10:44 - 00:10:45] 你给我们利息
[00:10:45 - 00:10:48] 所以這種情況就如果你要一定要講清楚
[00:10:48 - 00:10:51] 我是帶大家比如說只有我有這種身份
[00:10:51 - 00:10:54] 那麼我帶大家把錢放在那兒
[00:10:54 - 00:10:55] 將來如果虧了
[00:10:55 - 00:10:57] 那麼你們跟公司要不要跟我一樣
[00:10:57 - 00:11:00] 你不能以你的名義把錢湊到一塊
[00:11:00 - 00:11:01] 你再投進去
[00:11:01 - 00:11:01] 那你就完了
[00:11:01 - 00:11:07] 所以說我們在整個如果說要發生這種借貸的這種情況下
[00:11:07 - 00:11:09] 一定要把借款的主體
[00:11:09 - 00:11:12] 爛天八道這方面一定要說
[00:11:12 - 00:11:13] 要多長個心眼
[00:11:13 - 00:11:17] 而且如果借钱给人一定要签一个借条
[00:11:17 - 00:11:21] 再亲的亲戚朋友都要签借条
[00:11:21 - 00:11:22] 对
[00:11:22 - 00:11:23] 而且就是我还要提醒大家一点
[00:11:23 - 00:11:27] 就是我曾经跟别人借过钱
[00:11:27 - 00:11:30] 但是那个是我的一个很好的朋友
[00:11:30 - 00:11:32] 因为他当时你跟他借钱的时候
[00:11:32 - 00:11:32] 我还很年轻
[00:11:32 - 00:11:34] 给我父母去买房
[00:11:34 - 00:11:36] 然后的话我差了点钱
[00:11:36 - 00:11:37] 然后的话跟他借钱
[00:11:37 - 00:11:38] 我那朋友说
[00:11:38 - 00:11:39] 雪峰你这个人很不错
[00:11:39 - 00:11:40] 他借了我钱
[00:11:40 - 00:11:41] 五万块钱
[00:11:41 - 00:11:42] 然后他让我写个切条
[00:11:42 - 00:11:46] 他让我写了线条,就借条,让我写线条,我写了
[00:11:46 - 00:11:50] 写了外后的话,他就更正了我关于写线条的方法
[00:11:50 - 00:11:53] 这个大家一定要注意,如果说你是借钱的那一方
[00:11:53 - 00:11:55] 一定要注意写线条方法,什么呢?
[00:11:55 - 00:11:59] 一道大写小写都写上
[00:11:59 - 00:12:01] 最好在录个视频
[00:12:01 - 00:12:04] 因为当时我在写那个线条的时候
[00:12:04 - 00:12:06] 杨老师你找我穿了一个什么样的低级错误吗?
[00:12:06 - 00:12:08] 我只写了一个小写
[00:12:08 - 00:12:10] 突然雪峰你看,你现在写的是五万
[00:12:10 - 00:12:12] 我随便给你加一个零
[00:12:12 - 00:12:16] 我虽然跟你加个两个,你都没话说
[00:12:16 - 00:12:19] 所以说你赶紧改过来,改成大写
[00:12:19 - 00:12:21] 然后大写的写一遍,小写的写一遍
[00:12:21 - 00:12:23] 当时我们还没有说可以录像的智能手机
[00:12:23 - 00:12:25] 所以他就当时也没录像
[00:12:25 - 00:12:27] 那人家让你写清他,你没喊生气吗?
[00:12:27 - 00:12:29] 怎么好的国际你,还让我写清他
[00:12:29 - 00:12:31] 没有,我觉得天气也,我觉得天气也
[00:12:31 - 00:12:35] 而且当时他借了我五万块钱
[00:12:35 - 00:12:36] 我最后还的是五万五
[00:12:36 - 00:12:37] 对,我会自己的
[00:12:37 - 00:12:39] 因为我这个人就是这样
[00:12:39 - 00:12:40] 我很少去跟人借钱
[00:12:40 - 00:12:41] 但是我只要借了钱
[00:12:41 - 00:12:43] 我会想到这个叫融资成本
[00:12:43 - 00:12:45] 这个在机组上讲叫融资成本
[00:12:45 - 00:12:48] 我会觉得人家把人家可能不借我这个钱
[00:12:48 - 00:12:50] 首先是现任七岁现在的钱也有用途的
[00:12:50 - 00:12:51] 对
[00:12:51 - 00:12:51] 所以说的话
[00:12:51 - 00:12:54] 我一般借五万我都是还五万五的
[00:12:54 - 00:12:55] 我是都是这样的
[00:12:55 - 00:12:56] 然后的话
[00:12:56 - 00:12:58] 但是我们现在都是非常非常好的朋友
[00:12:58 - 00:13:01] 而且我那个朋友现在他在事业做的也非常非常的大
[00:13:01 - 00:13:02] 但是我觉得这一点
[00:13:02 - 00:13:04] 我觉得当年我放过这样的错误
[00:13:04 - 00:13:04] 对
[00:13:04 - 00:13:05] 所以说我要提醒大家
[00:13:05 - 00:13:09] 总之希望大家在借钱还钱这个事上
[00:13:09 - 00:13:11] 还是那句话诚信最重要
[00:13:11 - 00:13:13] 人在做
[00:13:13 - 00:13:13] 天在看
[00:13:13 - 00:13:15] 法也在看
[00:13:15 - 00:13:16] 好吧
[00:13:16 - 00:13:17] 大家如果想跟别人借钱的话
[00:13:17 - 00:13:19] 你要自觉的给人家写借条
[00:13:19 - 00:13:21] 要自觉的写
[00:13:21 - 00:13:22] 不要说谁跟你要叫你写个借条
[00:13:22 - 00:13:23] 你就说什么
[00:13:23 - 00:13:25] 这哪里是朋友
[00:13:25 - 00:13:25] 不对的
[00:13:25 - 00:13:27] 人家肯借给你就很不错了
[00:13:27 - 00:13:28] 要主动写借条给人家
[00:13:28 - 00:13:28] 对
[00:13:28 - 00:13:29] 好
[00:13:29 - 00:13:30] 我们感谢我们杨老师
[00:13:30 - 00:13:31] 给大家分享了这么多
[00:13:31 - 00:13:35] 关于借钱的道理和法律知识
[00:13:35 - 00:13:36] 我们本期节目就是这样
[00:13:36 - 00:13:37] 咱们下期再见
[00:13:37 - 00:13:37] 谢谢
