BV号：BV1Tr4y1T7uq
标题：BV1Tr4y1T7uq
链接：https://www.bilibili.com/video/BV1Tr4y1T7uq
识别语言：zh
语言置信度：1
分段数：121
生成时间：2026-04-04 01:06:05

[00:00:00 - 00:00:04] 在上個視頻當中我們講的英國作家威廉恆麗赫德遜的文章當中
[00:02:20 - 00:02:22] 这老鼠怎么喜欢把毛啊
[00:02:22 - 00:02:24] 怎么喜欢把脸向那毛啊
[00:02:24 - 00:02:26] 结果这个老鼠这个羊口伤以后
[00:02:26 - 00:02:27] 继续收集柔软的东西
[00:02:27 - 00:02:29] 反正他就不打猫
[00:02:29 - 00:02:30] 脸上那个毛的主意了
[00:02:30 - 00:02:31] 终于有一天
[00:02:31 - 00:02:32] 这老鼠呢
[00:02:32 - 00:02:34] 生了12只小老鼠
[00:02:34 - 00:02:36] 农夫虽然无人无女
[00:02:36 - 00:02:38] 但是他有老公
[00:02:38 - 00:02:39] 他老公一看
[00:02:39 - 00:02:41] 你让老鼠在家里做
[00:02:41 - 00:02:41] 我卧的田
[00:02:41 - 00:02:42] 这还得了
[00:02:42 - 00:02:44] 这一会不成老鼠在家呢
[00:02:44 - 00:02:45] 农夫的老公呢
[00:02:45 - 00:02:46] 就立刻把这个老鼠
[00:02:46 - 00:02:47] 都给端出去
[00:02:47 - 00:02:48] 虽然说孩子没了
[00:02:48 - 00:02:49] 这老鼠也没有太难受
[00:02:49 - 00:02:51] 很快就从丧子之痛当中
[00:02:51 - 00:02:52] 恢复过来了
[00:02:52 - 00:02:54] 并且跟他的好朋友
[00:02:54 - 00:02:55] 就是这个猫呢
[00:02:55 - 00:02:56] 又重归于好
[00:02:56 - 00:02:58] 快乐的神河又开始了
[00:02:58 - 00:02:59] 但是作为一只老鼠
[00:02:59 - 00:03:00] 大家都知道哈
[00:03:00 - 00:03:02] 如果说老鼠的生育能力
[00:03:02 - 00:03:03] 它跟兔子比赛的话
[00:03:03 - 00:03:05] 让兔子一个月的时间
[00:03:05 - 00:03:07] 最后下的小点还得超过兔子
[00:03:07 - 00:03:08] 它过了一段时间
[00:03:08 - 00:03:10] 它就又怀孕了
[00:03:10 - 00:03:11] 它又怀孕呢
[00:03:11 - 00:03:12] 就又开始做窝
[00:03:12 - 00:03:13] 它又开始做窝呢
[00:03:13 - 00:03:14] 很不幸的是
[00:03:14 - 00:03:15] 它就又看上了
[00:03:15 - 00:03:16] 它的朋友
[00:03:16 - 00:03:18] 摸脸上的那些猫
[00:03:18 - 00:03:19] 算有了上次的经历
[00:03:19 - 00:03:20] 你觉得这一次
[00:03:20 - 00:03:22] 猫会把脸上的猫
[00:03:22 - 00:03:23] 让老鼠给拔掉
[00:03:23 - 00:03:24] 让它做窝吗
[00:03:24 - 00:03:26] 你自己买本书看一看吧
