BV号：BV1P741177xN
标题：BV1P741177xN
链接：https://www.bilibili.com/video/BV1P741177xN
识别语言：zh
语言置信度：1
分段数：2474
生成时间：2026-04-04 02:49:43

[00:00:00 - 00:00:03] 哈喽大家好
[00:02:26 - 00:02:27] 我还没有知道的
[00:02:28 - 00:02:29] 我还没有知道的
[00:02:29 - 00:02:30] 不是七七号大学
[00:02:30 - 00:02:31] 这个不
[00:02:31 - 00:02:32] 不
[00:02:33 - 00:02:34] 不是七七号大学
[00:02:34 - 00:02:38] 就是近现代中国第一所大学是哪个大学
[00:02:39 - 00:02:41] 近现代中国第一所大学是哪个大学
[00:02:42 - 00:02:44] 我看有没有回答对的
[00:02:44 - 00:02:45] 因为我这个
[00:02:45 - 00:02:47] 哎对有同学回答对了就是天津大学
[00:02:47 - 00:02:48] 叫天津大学
[00:02:48 - 00:02:51] 当时天津大学对第一个名字叫什么叫北洋学堂
[00:02:52 - 00:02:53] 叫北洋学堂
[00:02:53 - 00:02:55] 那么第二个大学是哪个学校呢
[00:02:55 - 00:02:56] 是叫做南洋大学
[00:02:56 - 00:02:57] 是南洋大学
[00:02:57 - 00:02:59] 然后的话是在上海
[00:02:59 - 00:03:01] 就是现在的上海交通大学
[00:03:01 - 00:03:03] 然后的话这个西安交通大学的前身
[00:03:03 - 00:03:05] 叫做南洋学堂
[00:03:05 - 00:03:07] 那么创拜人都是圣宣淮
[00:03:07 - 00:03:08] 创拜人都是圣宣淮
[00:03:08 - 00:03:10] 圣宣淮到底是谁呢
[00:03:10 - 00:03:12] 大家如果你是南方的
[00:03:12 - 00:03:14] 如果你是江苏的上海的
[00:03:14 - 00:03:16] 包括说北方的同学
[00:03:16 - 00:03:18] 如果你们将来到江苏来旅游
[00:03:18 - 00:03:20] 你会发现有一个
[00:03:20 - 00:03:23] 江苏有一个著名的红顶商人叫胡雪元
[00:03:23 - 00:03:25] 大家以后有兴趣可以在网上搜一下
[00:03:25 - 00:03:26] 胡雪元
[00:03:26 - 00:03:29] 胡雪元就是被圣宣淮给搞死的
[00:03:29 - 00:03:31] 这个人就是
[00:03:31 - 00:03:33] 怎么说呢
[00:03:33 - 00:03:34] 就是也是个当官的
[00:03:34 - 00:03:35] 然后的话呢
[00:03:35 - 00:03:37] 这个中日加五战争之后呢
[00:03:37 - 00:03:39] 就觉得说我们为什么中国打不过日本啊
[00:03:39 - 00:03:41] 就是因为教育的问题
[00:03:41 - 00:03:42] 然后的话呢
[00:03:42 - 00:03:43] 创办了这几所大学
[00:03:43 - 00:03:44] 包括像这个
[00:03:44 - 00:03:46] 北洋学堂天津大学
[00:03:46 - 00:03:47] 南洋学堂石海交大
[00:03:47 - 00:03:49] 包括后来的京师大学堂
[00:03:49 - 00:03:51] 就是现在的这个北京大学
[00:03:51 - 00:03:53] 包括后来因为各种各样的原因
[00:03:53 - 00:03:54] 创立的一些学校
[00:03:54 - 00:03:56] 比如说像这个
[00:03:58 - 00:04:01] 哪个哪个哪个哪个哪个
[00:04:01 - 00:04:03] 然后红索
[00:04:03 - 00:04:05] 然后包括像山西大学
[00:04:05 - 00:04:07] 山西大学
[00:04:07 - 00:04:09] 山西大学创立的背景也是比较好玩的
[00:04:09 - 00:04:11] 也不能叫比较好玩
[00:04:11 - 00:04:13] 山西大学创立的背景是这样的
[00:04:13 - 00:04:15] 就是当年呢
[00:04:15 - 00:04:17] 大家都知道这个八国联军
[00:04:17 - 00:04:19] 打中国
[00:04:19 - 00:04:21] 八国联军打中国他为什么打呢
[00:04:21 - 00:04:23] 是因为当时山西的这个巡府
[00:04:23 - 00:04:25] 山西的这个巡府呢
[00:04:25 - 00:04:27] 就是跟这个义和权
[00:04:27 - 00:04:29] 然后的话就是觉得义和权说
[00:04:29 - 00:04:31] 杀洋人这个思维是对的
[00:04:31 - 00:04:33] 然后的话呢在当时呢就是
[00:04:33 - 00:04:36] 就是帮助一合全杀了杀了大量的洋人
[00:04:36 - 00:04:37] 杀了大量的洋人
[00:04:37 - 00:04:39] 然后才导致八国联军去打这个中国
[00:04:40 - 00:04:41] 后来中国不是要赔款吗
[00:04:41 - 00:04:44] 把中国赔款赔款赔八国联军
[00:04:44 - 00:04:46] 其中那美国呀他就觉得说
[00:04:46 - 00:04:48] 我在战争当中没花那么多钱
[00:04:48 - 00:04:50] 但是我要的钱呢太多了
[00:04:51 - 00:04:52] 所以说他就决定了把
[00:04:53 - 00:04:56] 要来的这些赔款一部分就退给中国
[00:04:56 - 00:04:57] 就退给中国
[00:04:57 - 00:04:59] 那退给中国干嘛呢
[00:04:59 - 00:05:02] 然后当时这个传教室就分析
[00:05:02 - 00:05:05] 说这个中国为什么会发生沙洋人的这个事呢
[00:05:05 - 00:05:07] 是因为中国的教育太落后了
[00:05:08 - 00:05:09] 我们要帮助中国办教育
[00:05:09 - 00:05:12] 因为当时呢主要这个义和团的这个运动
[00:05:12 - 00:05:13] 沙洋人这个运动呢
[00:05:13 - 00:05:15] 主要是在这个山西
[00:05:15 - 00:05:17] 所以说就在山西呢
[00:05:17 - 00:05:19] 办了一所叫山西大学堂的一个学校
[00:05:19 - 00:05:21] 所以说这是山西大学的前身
[00:05:21 - 00:05:22] 当然还有
[00:05:22 - 00:05:24] 包括像河南大学是原始凯办的啊
[00:05:25 - 00:05:25] 等等等等
[00:05:25 - 00:05:26] 那么
[00:05:26 - 00:05:28] 这些学校的在抗人战争时间
[00:05:28 - 00:05:30] 在抗认战争时期呢
[00:05:30 - 00:05:32] 也都遭到了一些破坏
[00:05:32 - 00:05:34] 然后的话在抗认战争时期这些学校呢
[00:05:34 - 00:05:35] 基本上都在干嘛
[00:05:35 - 00:05:36] 都在吸签
[00:05:36 - 00:05:37] 都在吸签
[00:05:37 - 00:05:39] 其实在抗认战争之之前
[00:05:39 - 00:05:40] 在解放之前
[00:05:40 - 00:05:42] 中国的大学是有两批
[00:05:42 - 00:05:44] 一批是咱们国家办的
[00:05:44 - 00:05:45] 还有一批是什么办的
[00:05:46 - 00:05:47] 还有一批是教会办的
[00:05:47 - 00:05:48] 还有一批是教会办的
[00:05:48 - 00:05:50] 实际上教会办的这些学校
[00:05:50 - 00:05:52] 他比中国大学办的这些学校呢
[00:05:52 - 00:05:54] 都还要早一些
[00:05:54 - 00:05:55] 但是呢
[00:05:55 - 00:05:56] 在解放以后
[00:05:56 - 00:05:59] 我们把教会学校收为国有了
[00:05:59 - 00:06:00] 收为国有了
[00:06:00 - 00:06:01] 所以说的话呢
[00:06:01 - 00:06:03] 我们尽现在是中国第一所
[00:06:03 - 00:06:04] 自己办的大学
[00:06:04 - 00:06:05] 其实是北洋大学
[00:06:05 - 00:06:06] 那么经历了
[00:06:06 - 00:06:07] 主要就是经历了
[00:06:07 - 00:06:10] 成立和抗认战争的西迁
[00:06:10 - 00:06:12] 这么一个阶段的时间
[00:06:12 - 00:06:14] 那么第二个阶段是1952年
[00:06:14 - 00:06:16] 1952年院习大调整
[00:06:17 - 00:06:19] 1952年院习大调整的背景是什么呢
[00:06:19 - 00:06:22] 就是因为中国新中国刚刚成立嘛
[00:06:22 - 00:06:24] 然后国家的力量也都比较
[00:06:24 - 00:06:25] 也就比较弱
[00:06:25 - 00:06:28] 52年的时候我们还在打什么
[00:06:28 - 00:06:29] 还在打超级战争
[00:06:29 - 00:06:29] 对不对
[00:06:29 - 00:06:31] 然后整个国家的力量也都比较弱
[00:06:31 - 00:06:34] 当时我们急于从一个纯农业化的国家
[00:06:34 - 00:06:35] 变成一个纯工业化的国家
[00:06:35 - 00:06:37] 那么纯农业化的国家
[00:06:37 - 00:06:38] 变成一个纯工业化的国家
[00:06:38 - 00:06:41] 这个时候就要经历一个教育的大变革
[00:06:41 - 00:06:43] 那我们要向谁学习呢
[00:06:43 - 00:06:45] 向谁学习呢
[00:06:45 - 00:06:46] 新农国刚开始成立的时候
[00:06:46 - 00:06:48] 我们国家百费代兴百业代兴
[00:06:48 - 00:06:49] 全部向谁学习
[00:06:49 - 00:06:51] 像苏联老大哥学习
[00:06:51 - 00:06:52] 包括像教育体制
[00:06:52 - 00:06:53] 也像苏联老大哥学习
[00:06:53 - 00:06:57] 那苏联老大哥的教育體制是向誰學的呢
[00:06:57 - 00:06:59] 是向德國學的
[00:06:59 - 00:07:00] 是向德國學的
[00:07:00 - 00:07:02] 所以說在這裡面給大家推薦一本書
[00:07:02 - 00:07:04] 在這裡面給大家推薦一本書
[00:07:04 - 00:07:04] 就是
[00:07:06 - 00:07:08] 吳君老師所寫的大學之路
[00:07:08 - 00:07:10] 嚴重建議大家去看一下
[00:07:10 - 00:07:12] 大學之路吳君老師
[00:07:12 - 00:07:14] 編寫的大學之路一定要看
[00:07:15 - 00:07:17] 我個人覺得大家如果想上好你這個大學
[00:07:17 - 00:07:18] 將來想有更好的發展的話
[00:07:18 - 00:07:21] 一定要看這本書叫大學之路
[00:07:21 - 00:07:22] 那麼在大學之路當中呢
[00:07:22 - 00:07:27] 吴俊老师就告诉大家了说实际上全世界的两所大学啊
[00:07:27 - 00:07:28] 全世界的所有大学
[00:07:28 - 00:07:31] 全世界的所有大学分成两种教育模式
[00:07:31 - 00:07:33] 一种叫做纽曼式教育模式
[00:07:33 - 00:07:34] 一种叫红宝式教育模式
[00:07:34 - 00:07:36] 红宝式教育模式呢
[00:07:36 - 00:07:39] 它是一个专才台亚模式
[00:07:39 - 00:07:43] 红宝式教育模式最大的特点就是你上大学的时候
[00:07:43 - 00:07:44] 就要选一个专业
[00:07:44 - 00:07:46] 你要在这个专业上进行深入学习
[00:07:46 - 00:07:48] 4到5年
[00:07:48 - 00:07:51] 4到5年原来德国他本科5年
[00:07:51 - 00:07:54] 只要把那不最早的说咱们中国本科也是五年
[00:07:54 - 00:07:57] 我们要在一个专业上进行深入学习
[00:07:57 - 00:07:58] 所以说
[00:07:58 - 00:07:59] 那么
[00:07:59 - 00:08:02] 德国是把这个教育模式给搞明白的
[00:08:02 - 00:08:05] 那么为什么德国这个国家你看啊
[00:08:05 - 00:08:07] 工业革命发生在英国
[00:08:07 - 00:08:10] 那德国后来在欧洲越来越强
[00:08:10 - 00:08:13] 就得意于他这种高等教育模式
[00:08:13 - 00:08:16] 从农业国家迅速变为工业化国家
[00:08:16 - 00:08:18] 前苏联十月革命以后
[00:08:18 - 00:08:21] 想从农业国家变成工业化国家怎么办
[00:08:21 - 00:08:23] 学习德国
[00:08:23 - 00:08:26] 就前苏联在十位革命以后
[00:08:26 - 00:08:29] 高等教育模式就全部照搬了德国
[00:08:29 - 00:08:31] 所以说苏联工业发展也特别快
[00:08:31 - 00:08:33] 那后来中国成立以后
[00:08:33 - 00:08:35] 我们从农业国家变成工业国家怎么办
[00:08:35 - 00:08:38] 那么也要怎么样向苏联学习
[00:08:38 - 00:08:39] 所以说的话
[00:08:39 - 00:08:41] 52年的时候呢
[00:08:41 - 00:08:42] 苏联就派过来
[00:08:42 - 00:08:43] 所谓一个专家
[00:08:43 - 00:08:45] 帮中国搞这么一个院习大手军
[00:08:45 - 00:08:48] 然后院习大手军的一个最终的结果是什么呢
[00:08:48 - 00:08:49] 就是综合性大学
[00:08:49 - 00:08:51] 全部变为中研疫情运效
[00:08:51 - 00:08:53] 综合性大学全部变为中研疫情运效
[00:08:54 - 00:08:55] 原来啊
[00:08:55 - 00:08:56] 中国很多都是中研性的
[00:08:56 - 00:08:57] 综合大学的
[00:08:57 - 00:08:59] 比如像像像咱们弹幕所说
[00:08:59 - 00:09:01] 发的广西大学
[00:09:01 - 00:09:02] 广西大学在解放
[00:09:03 - 00:09:06] 在解放之前是一个非常非常好的一个综合性的大学
[00:09:06 - 00:09:08] 后来呢就是五二年院西大学校长
[00:09:09 - 00:09:11] 一顿合并和分拆
[00:09:11 - 00:09:12] 一顿合并和分拆
[00:09:13 - 00:09:17] 然后的话呢就是文科全面基本上就要灭亡
[00:09:17 - 00:09:18] 文科基本上全都灭
[00:09:18 - 00:09:20] 文科基本上全都灭了
[00:09:20 - 00:09:21] 像社会学这个学科
[00:09:21 - 00:09:22] 在52年以后
[00:09:22 - 00:09:24] 在中国的学科体制当中就没有了
[00:09:25 - 00:09:27] 然后法律呢
[00:09:27 - 00:09:28] 全国所有大学
[00:09:28 - 00:09:31] 所有大学的法律专业
[00:09:31 - 00:09:32] 集中到
[00:09:32 - 00:09:34] 想报法学的同学就知道了
[00:09:34 - 00:09:35] 叫五院四系
[00:09:35 - 00:09:36] 所有大学的法律专业
[00:09:36 - 00:09:38] 全中集中到五院四系
[00:09:38 - 00:09:40] 五个大学的法学院
[00:09:40 - 00:09:42] 五个政法大学
[00:09:42 - 00:09:44] 和四个大学的法学院
[00:09:44 - 00:09:44] 五院四系
[00:09:44 - 00:09:47] 然后各种工业大学就开始出来了
[00:09:47 - 00:09:49] 大家以后发现52年那个阶段啊
[00:09:49 - 00:09:52] 这个我说一个比较代表性的一个学校啊
[00:09:52 - 00:09:54] 就是大家如果说你们在网上看我的段子的话
[00:09:54 - 00:09:56] 我给你们讲过一个叫中央大学的学校
[00:09:56 - 00:09:58] 就是原来南京大学的前身
[00:09:58 - 00:10:00] 他分成了十几个学校对吧
[00:10:00 - 00:10:03] 呃我没有给大家讲过的一个叫浙江大学的学校
[00:10:03 - 00:10:06] 浙江大学52年之前是一个非常非常牛的学校
[00:10:06 - 00:10:09] 他被通为他被称为东方建桥
[00:10:09 - 00:10:11] 浙江大学原来被称为叫东方建桥
[00:10:11 - 00:10:13] 后来52年的时候院西大调整
[00:10:13 - 00:10:14] 呃院西大调整
[00:10:14 - 00:10:16] 院西大调整的时候怎么调整呢
[00:10:16 - 00:10:17] 这就大学
[00:10:17 - 00:10:21] 首先有一些非常优势的学科老师全部都给
[00:10:22 - 00:10:23] 都给了谁都给了负担
[00:10:24 - 00:10:24] 在
[00:10:25 - 00:10:28] 52年之前负担大学其实没有像现在这么牛
[00:10:29 - 00:10:32] 是52年院习调整以后负担大学才这么牛的
[00:10:33 - 00:10:36] 原来叫上海地区啊原来比较牛的
[00:10:36 - 00:10:39] 上海交大同济那都是比较牛的
[00:10:39 - 00:10:41] 同济都是比较牛的我说的同济的话
[00:10:42 - 00:10:45] 可能要要多多少少沾一下咱们现在这个疫情了
[00:10:45 - 00:10:47] 大家如果说你们关注这个疫情的话
[00:10:47 - 00:10:50] 你会发现武汉的有一个同济医学院
[00:10:50 - 00:10:52] 武汉有个同济医学院
[00:10:52 - 00:10:54] 武汉有个同济医学院
[00:10:54 - 00:10:55] 就是付出同济医院
[00:10:55 - 00:11:00] 同济医院在最近也是处在风口乱间上
[00:11:00 - 00:11:01] 对吧
[00:11:01 - 00:11:02] 处在风口乱间上
[00:11:02 - 00:11:05] 那这个同济其实原来不是湖北的
[00:11:05 - 00:11:06] 原来不是湖北的
[00:11:06 - 00:11:06] 同济原来是什么
[00:11:06 - 00:11:07] 原来是上海的
[00:11:07 - 00:11:09] 就是同济大学
[00:11:09 - 00:11:11] 同济大学最早的专业是医学
[00:11:11 - 00:11:14] 大家都知道现在同济大学比较强的专业
[00:11:14 - 00:11:16] 是土木啊,车辆啊
[00:11:16 - 00:11:17] 但其实同级大学最早
[00:11:17 - 00:11:19] 创立立校根本是医学
[00:11:19 - 00:11:21] 那么52年院习头的以后的话呢
[00:11:21 - 00:11:26] 为了支援华中六省的医疗事业发展
[00:11:26 - 00:11:30] 同级大学从上海搬到了
[00:11:30 - 00:11:33] 上同级大学的医学部从上海搬到了湖北
[00:11:33 - 00:11:35] 成立了现在的就是同级医学院
[00:11:35 - 00:11:36] 结果同级医学院呢
[00:11:36 - 00:11:38] 后来又在院校合并的时候
[00:11:38 - 00:11:40] 合并给了华中科技大学
[00:11:40 - 00:11:43] 所以说你会发现现在同级医学院叫
[00:11:43 - 00:11:46] 华中科技大学附属同级医学院
[00:11:47 - 00:11:49] 就同级大学医学院是同级大学医学院
[00:11:49 - 00:11:54] 不是同级医学院同级医学院是上华中科技大学附属同级医学院
[00:11:55 - 00:11:56] 听明白了吗
[00:11:56 - 00:11:57] 就是
[00:11:57 - 00:12:00] 那复旦原来其实在上海也不是
[00:12:00 - 00:12:01] 也不是那么特别牛的
[00:12:01 - 00:12:03] 后来五十年运气调整
[00:12:03 - 00:12:06] 把其他学校的好的老师全部调到复旦去了
[00:12:07 - 00:12:08] 全部调到复旦去了
[00:12:08 - 00:12:09] 有机会我们
[00:12:09 - 00:12:10] 线下讲座的时候
[00:12:10 - 00:12:12] 我再给你讲讲复旦大学这个小的历史
[00:12:12 - 00:12:14] 这个也都很好玩
[00:12:14 - 00:12:15] 都非常有意思
[00:12:15 - 00:12:18] 但是有些时候有些话不适合在直播当中讲
[00:12:18 - 00:12:19] 然后呢
[00:12:20 - 00:12:23] 浙江大学当时一部分老师就搬到了给了付责
[00:12:23 - 00:12:24] 给了付责以后
[00:12:24 - 00:12:26] 浙江大学在本地又分成了四个学校
[00:12:26 - 00:12:27] 分成哪四个学校呢
[00:12:27 - 00:12:29] 一个叫杭州大学
[00:12:29 - 00:12:31] 一个叫浙江一科大学
[00:12:31 - 00:12:32] 一个叫浙江农业大学
[00:12:32 - 00:12:34] 还有一个就是浙江大学
[00:12:34 - 00:12:37] 之后浙江大学变成这四个学校
[00:12:37 - 00:12:39] 一下就变成这四个学校
[00:12:39 - 00:12:41] 那么98年的浙江大学四校合一
[00:12:41 - 00:12:44] 又合并成为一个新的浙大
[00:12:44 - 00:12:45] 其实你会发现
[00:12:45 - 00:12:47] 52年浙大是1分4
[00:12:47 - 00:12:48] 那么98年的时候
[00:12:48 - 00:12:49] 又开始四合一
[00:12:49 - 00:12:51] 98年开始四合一
[00:12:51 - 00:12:52] 所以说大家你要知道
[00:12:53 - 00:12:55] 52年这是一个调整的时期
[00:12:55 - 00:12:57] 然后到了60年代的时候
[00:12:57 - 00:12:58] 中国高校开始第三轮调整
[00:12:58 - 00:12:59] 开始第三轮调整
[00:12:59 - 00:13:01] 那个调整叫做西线建设
[00:13:01 - 00:13:03] 什么叫西线建设呢
[00:13:03 - 00:13:05] 就是东边发展的比较好的学校
[00:13:05 - 00:13:08] 然后的话全部都往西边搬一搬
[00:13:08 - 00:13:12] 让西边可能内地高等教育资源
[00:13:12 - 00:13:13] 不是那么充分的省份
[00:13:13 - 00:13:15] 享受到一些这样的一些政策
[00:13:15 - 00:13:17] 第三阶段叫做新鲜建设
[00:13:17 - 00:13:20] 那么新鲜建设最有名的代表
[00:13:20 - 00:13:23] 那就是上海交大的班签
[00:13:23 - 00:13:25] 五六年的时候上海交大班签
[00:13:26 - 00:13:30] 五六年上海交大整体班签到了西安
[00:13:30 - 00:13:32] 就是现在的西安经济大学
[00:13:32 - 00:13:33] 而且当时是上海经济大学
[00:13:33 - 00:13:35] 搬到西安经济大学是比较牛
[00:13:35 - 00:13:38] 不是说用火车拉呀怎么递的
[00:13:38 - 00:13:43] 不是上海交大的同学跑步从上海跑到西安区
[00:13:43 - 00:13:45] 这个学校就这么板到西安区的
[00:13:45 - 00:13:46] 就是徒步过去的
[00:13:46 - 00:13:47] 非常的厉害
[00:13:47 - 00:13:48] 当然包括像哈工城
[00:13:48 - 00:13:51] 哈工城解体
[00:13:51 - 00:13:52] 然后的话
[00:13:52 - 00:13:53] 原来非常牛的
[00:13:53 - 00:13:56] 原来非常牛的一个学校
[00:13:56 - 00:13:56] 哈工城解体
[00:13:56 - 00:13:58] 然后的话解了一堆
[00:13:58 - 00:13:59] 解了一堆
[00:13:59 - 00:14:00] 然后的话
[00:14:00 - 00:14:01] 这是另外一个阶段
[00:14:01 - 00:14:03] 然后再一个阶段的就是90年代
[00:14:03 - 00:14:07] 随着21工程大学和985工程大学建设
[00:14:07 - 00:14:10] 随着21或985的建设
[00:14:10 - 00:14:16] 随着22和985的建设
[00:14:16 - 00:14:18] 然后的话呢就慢慢慢慢的
[00:14:18 - 00:14:19] 这个学校开始合并
[00:14:19 - 00:14:22] 大家以后发现基本上中国大学都在进行什么
[00:14:22 - 00:14:24] 都在进行合并
[00:14:24 - 00:14:25] 都在进行合并
[00:14:25 - 00:14:26] 然后的话呢
[00:14:26 - 00:14:27] 简单给大家讲一下
[00:14:27 - 00:14:29] 这些学校的历史
[00:14:29 - 00:14:30] 老师为什么要讲历史
[00:14:30 - 00:14:32] 你报志院的时候的话
[00:14:32 - 00:14:34] 你要看一下这个学校的历史
[00:14:34 - 00:14:35] 你报志院的时候
[00:14:35 - 00:14:36] 你要看一下这个学校的历史
[00:14:36 - 00:14:41] 你抱卷的话你要看一下这个学校的历史
[00:14:41 - 00:14:41] 对吧
[00:14:41 - 00:14:43] 多多时候说你要看一下这个学校的历史
[00:14:43 - 00:14:44] 然后的话呢
[00:14:44 - 00:14:47] 这个我们在选运校的时候的话
[00:14:47 - 00:14:48] 大家也要看一下这个学校的历史
[00:14:48 - 00:14:50] 要看一下这个小的历史
[00:14:50 - 00:14:51] 所以说给大家简单讲一下
[00:14:51 - 00:14:56] 中国几个大学的这个这个这个这个情况
[00:14:56 - 00:14:57] 中国大学的发展的情况
[00:14:57 - 00:14:59] 然后的话呢你说老师
[00:14:59 - 00:15:01] 那我现在我抱卷该怎么抱啊
[00:15:01 - 00:15:03] 实际上我跟大家说一下就是
[00:15:03 - 00:15:05] 志愿填报这个东西啊
[00:15:05 - 00:15:07] 各个省份是有各个省份的特点的
[00:15:07 - 00:15:09] 各个省份是个省份的特点的
[00:15:09 - 00:15:10] 其实我们今天这个讲座主题叫做
[00:15:10 - 00:15:11] 新高跑选科
[00:15:12 - 00:15:13] 以及志愿田报
[00:15:13 - 00:15:16] 现在目前咱们国家志愿田报的方法有很多
[00:15:16 - 00:15:18] 各个省份的也都不太一样
[00:15:18 - 00:15:21] 包括说从我高考那个时候走到现在
[00:15:21 - 00:15:24] 高考的志愿田报方法也发生了非常大的变化
[00:15:24 - 00:15:27] 你比如说我在上一次B站咱们直播的时候
[00:15:27 - 00:15:28] 我就给大家讲过
[00:15:28 - 00:15:30] 我当年高考报志愿的时候
[00:15:30 - 00:15:31] 我当年高考报志愿的时候
[00:15:32 - 00:15:34] 它是一种叫做阶梯志愿
[00:15:35 - 00:15:38] 以看谁把我的学校放在第一职员为优先
[00:15:38 - 00:15:40] 这是阶梯职员
[00:15:40 - 00:15:42] 然后后来改到了现在大陆数省份
[00:15:42 - 00:15:43] 用的最多的是什么呢
[00:15:43 - 00:15:45] 是平行职员
[00:15:46 - 00:15:47] 学校优先
[00:15:47 - 00:15:49] 专业服从条计
[00:15:49 - 00:15:51] 学校优先专业服从条计
[00:15:51 - 00:15:52] 那么
[00:15:52 - 00:15:54] 各个省份又发展出了各个省份
[00:15:54 - 00:15:55] 自己的特点
[00:15:55 - 00:15:57] 比如说江苏省
[00:15:57 - 00:15:58] 江苏省的话
[00:15:58 - 00:15:59] 大家都知道
[00:15:59 - 00:16:00] 他只考
[00:16:00 - 00:16:01] 主门三科
[00:16:01 - 00:16:02] 就是语文
[00:16:02 - 00:16:03] 数学
[00:16:03 - 00:16:03] 外语
[00:16:03 - 00:16:06] 然后复科算考察科
[00:16:07 - 00:16:08] 算等级
[00:16:08 - 00:16:09] 然后没有分
[00:16:09 - 00:16:11] 不像说现在新高考说等级复分
[00:16:11 - 00:16:13] 江苏省现在目前是有等级
[00:16:13 - 00:16:15] A加A
[00:16:16 - 00:16:18] B加B就是这种东西
[00:16:18 - 00:16:19] 叫等级
[00:16:19 - 00:16:21] 然后内蒙古高考
