BV号：BV1Lx411o7UA
标题：BV1Lx411o7UA
链接：https://www.bilibili.com/video/BV1Lx411o7UA
识别语言：zh
语言置信度：1
分段数：224
生成时间：2026-04-04 07:50:06

[00:00:00 - 00:00:02] 歡迎大家來到張老師課堂
[00:02:40 - 00:02:42] 那麼你很有可能上的是什麼
[00:02:42 - 00:02:45] 這個學校可能分最低的專業
[00:02:45 - 00:02:50] 那你要看一下這個分最低的專業你到底能不能接受
[00:02:50 - 00:02:53] 比如像有些學校有這麼一個專業
[00:02:53 - 00:02:57] 叫做隨土保持與荒謬化防治
[00:02:57 - 00:02:59] 野生動物自然某居管理
[00:02:59 - 00:03:03] 那有的家長和口中覺得說這種專業將來可能不好找工作
[00:03:03 - 00:03:06] 那麼他帶這個專業的學校你在沖的時候
[00:03:06 - 00:03:11] 就要想一想你萬一被調集到了這個專業你該怎麼辦
[00:03:11 - 00:03:15] 畢竟我們選什麼專業我們上什麼專業
[00:03:15 - 00:03:17] 跟我们的兴趣是有关系的
[00:03:17 - 00:03:19] 你对他都不感兴趣
[00:03:19 - 00:03:21] 你说你上大学怎么学的好啊
[00:03:24 - 00:03:27] 说到这里很多同学就比较迷茫了
[00:03:27 - 00:03:30] 说张老师我也不知道我对这个专业到底喜不喜欢
[00:03:30 - 00:03:31] 因为我比较迷茫
[00:03:31 - 00:03:33] 也不知道自己将来能干啥
[00:03:33 - 00:03:35] 也不知道自己将来想干啥
[00:03:35 - 00:03:37] 那遇到这种情况你也不要慌
[00:03:37 - 00:03:39] 你可以东路跨客搜索高考
[00:03:39 - 00:03:41] 进入到我们的高考频道
[00:03:41 - 00:03:45] 在我们的高考频道当中有很多关于性格和职业的一个测评
[00:03:45 - 00:03:48] 比如说像霍兰德职业测评
[00:03:48 - 00:03:49] NBTI的职业测评
[00:03:49 - 00:03:51] 那么大家可以通过这些测试
[00:03:51 - 00:03:54] 来找到自己的兴趣和爱好
[00:03:54 - 00:03:57] 来找到自己适合干什么样的行业
[00:03:57 - 00:03:59] 成为什么样的职业
[00:03:59 - 00:04:01] 那么大家可以根据自己的爱好
[00:04:01 - 00:04:02] 来选择专业
[00:04:02 - 00:04:04] 毕竟您是要了解的自己
[00:04:04 - 00:04:07] 才能更好的规划人生
[00:04:10 - 00:04:12] 当然有些时候我们在选择
[00:04:12 - 00:04:13] 院校和专业的时候
[00:04:13 - 00:04:14] 也不能完全的
[00:04:14 - 00:04:16] 去靠所谓的兴趣来进行选取
[00:04:16 - 00:04:18] 比如像有些专业
[00:04:18 - 00:04:21] 在商大学期间是很耗费金钱的
[00:04:21 - 00:04:23] 咱们家这个条件到底能不能支撑
[00:04:23 - 00:04:24] 对吧
[00:04:24 - 00:04:26] 包括像地狱的选择
[00:04:26 - 00:04:26] 对吧
[00:04:26 - 00:04:27] 你比如说我之前讲过那个例子
[00:04:27 - 00:04:29] 你说一个南方小姑娘
[00:04:29 - 00:04:30] 你到我们大东北去
[00:04:30 - 00:04:32] 到哈尔滨去上了一个大学
[00:04:32 - 00:04:32] 对吧
[00:04:32 - 00:04:33] 也许这个大学很好
[00:04:33 - 00:04:35] 但是你这个南方人
[00:04:35 - 00:04:37] 你到东北你能不能适应
[00:04:37 - 00:04:37] 对吧
[00:04:37 - 00:04:39] 东北这个冷的不是说
[00:04:39 - 00:04:41] 南方人你们能想象到那种冷
[00:04:41 - 00:04:42] 真的
[00:04:42 - 00:04:44] 你说万一说你到哈尔滨去
[00:04:44 - 00:04:44] 对吧
[00:04:44 - 00:04:45] 再给你冻个帽了
[00:04:45 - 00:04:46] 对吧
[00:04:46 - 00:04:46] 在严重哪里
[00:04:46 - 00:04:48] 给你冻休学了
[00:04:48 - 00:04:49] 得不成事啊
[00:04:49 - 00:04:50] 而且還有些時候呢
[00:04:50 - 00:04:51] 你說老師
[00:04:51 - 00:04:53] 我是合學金融學專業
[00:04:53 - 00:04:54] 我將來報好的時候
[00:04:54 - 00:04:55] 一定要報好金融學專業嗎
[00:04:55 - 00:04:58] 這個我說過要看你的分數
[00:04:58 - 00:05:00] 你的這個位次
[00:05:00 - 00:05:01] 你能不能報
[00:05:01 - 00:05:01] 你比如說張老師
[00:05:01 - 00:05:03] 我覺得我想報金融學
[00:05:03 - 00:05:05] 那個性格測試也測出來了
[00:05:05 - 00:05:07] 我是比較適合學金融學的
[00:05:07 - 00:05:08] 但是你在報的時候
[00:05:08 - 00:05:10] 你也不管三七二十一你就報
[00:05:10 - 00:05:12] 你得看一下金融學
[00:05:12 - 00:05:14] 你報的這個學校
[00:05:14 - 00:05:16] 它的位次是多少位次
[00:05:16 - 00:05:18] 你的位次是多少位次
[00:05:18 - 00:05:19] 分差是多少分
[00:05:19 - 00:05:21] 这个你得看清楚
[00:05:21 - 00:05:23] 这种数据是非常重要的
[00:05:23 - 00:05:24] 我刚才跟大家说过
[00:05:24 - 00:05:27] 我们在报职院的时候要通应充
[00:05:27 - 00:05:28] 稳一稳 保一保
[00:05:28 - 00:05:30] 在学校的角度是这样
[00:05:30 - 00:05:32] 在专业的角度也是这样
[00:05:32 - 00:05:34] 你报这个学校
[00:05:34 - 00:05:35] 那哪些专业分数高
[00:05:35 - 00:05:36] 哪些专业分数低
[00:05:36 - 00:05:38] 这个你得了解
[00:05:38 - 00:05:39] 这种数据准备起来
[00:05:39 - 00:05:42] 说实话确实是比较麻烦
[00:05:42 - 00:05:44] 因为毕竟大家都想报一个所谓的
[00:05:44 - 00:05:45] 好的志愿嘛
[00:05:45 - 00:05:46] 不过这些你也不用担心
[00:05:46 - 00:05:48] 夸克也已经都给你解决了
[00:05:48 - 00:05:52] 给予往年院校专业的录取分析线
[00:05:52 - 00:05:55] 夸克科学的给你预测哪些学校是可以填爆的
[00:05:55 - 00:05:59] 分为保底志愿、稳妥志愿和可冲击志愿
[00:05:59 - 00:06:05] 三个档次帮你智能填爆
[00:06:05 - 00:06:08] 好有些同学和家长在选择志愿的时候
[00:06:08 - 00:06:09] 会犯一个毛病
[00:06:09 - 00:06:12] 就是他也不管这个专业他到底喜不喜欢
[00:06:12 - 00:06:14] 将来能不能学的进去
[00:06:14 - 00:06:17] 总之他就听说说这个专业将来挣钱多
[00:06:17 - 00:06:19] 啊前景比较好
[00:06:19 - 00:06:20] 他就抱这个专业
[00:06:20 - 00:06:23] 其实我觉得完全没有必要这样抱
[00:06:23 - 00:06:23] 为什么呀
[00:06:23 - 00:06:25] 因为你一个本科的毕业生啊
[00:06:25 - 00:06:26] 说实话
[00:06:26 - 00:06:29] 将来你的工资也搞不到哪里去
[00:06:29 - 00:06:31] 所以说大家不要一味的去追求前景
[00:06:31 - 00:06:32] 你想有些专业呢
[00:06:32 - 00:06:34] 还得继续深造
[00:06:34 - 00:06:36] 啊这个大家一定要去注意一下
[00:06:36 - 00:06:37] 那么还有一些同学呢
[00:06:37 - 00:06:38] 可能这一次高考啊
[00:06:38 - 00:06:40] 考的不是特别的理想
[00:06:40 - 00:06:41] 也经常呢
[00:06:41 - 00:06:41] 在网上问我说
[00:06:41 - 00:06:44] 张老师我一般要去复读啊什么的
[00:06:44 - 00:06:45] 其实关于复读这个事儿
[00:06:45 - 00:06:48] 我觉得不一定是所有人都适合的
[00:06:48 - 00:06:50] 关键是看你这一次高考
[00:06:50 - 00:06:54] 到底是有没有考出自己的水平
[00:06:54 - 00:06:58] 如果你觉得平时你的模考成绩还是比较好的
[00:06:58 - 00:07:00] 但是这次高考可能是发挥市场
[00:07:00 - 00:07:02] 没有发挥出你平时的水平的话
[00:07:02 - 00:07:03] 我个人建议
[00:07:03 - 00:07:05] 此时你可以去选择复读
[00:07:05 - 00:07:07] 但如果说你这次就是考的
[00:07:07 - 00:07:10] 就是你正常的水平的话
[00:07:10 - 00:07:11] 你已经尽力了
[00:07:11 - 00:07:11] 对吧
[00:07:11 - 00:07:14] 那我觉得可能你再来一年提高的可能性
[00:07:14 - 00:07:16] 也不是特别的大
[00:07:16 - 00:07:19] 关键不同的人确实是不一样的
[00:07:19 - 00:07:23] 以上就是张老师在志愿填爆这方面给大家的一些小建议
[00:07:23 - 00:07:24] 还剩一句话
[00:07:24 - 00:07:25] 气氛考三分爆
[00:07:25 - 00:07:27] 大家在志愿填爆的时候
[00:07:27 - 00:07:29] 一定要认真仔细一些
[00:07:29 - 00:07:31] 当然大家如果有任何问题的话
[00:07:31 - 00:07:34] 或者说想了解更多高考志愿填爆知识的话
[00:07:34 - 00:07:36] 大家也可以来夸克找我
[00:07:36 - 00:07:39] 夸克APP在信息搜索和浏览的时候
[00:07:39 - 00:07:40] 速度也比较快
[00:07:40 - 00:07:41] 界面的也比较简洁
[00:07:41 - 00:07:43] 看起来是很舒服的
[00:07:43 - 00:07:47] 在夸克有张老师比较详尽的志愿填爆的系列课程
[00:07:47 - 00:07:50] 大家有问题的话也可以来向我提问
[00:07:50 - 00:07:52] 张老师在夸克等着大家
[00:07:52 - 00:07:57] 最后祝愿大家早日收到自己理想院校的通知书
[00:07:57 - 00:07:57] 加油
