BV号：BV1za4y1a7Nd
标题：BV1za4y1a7Nd
链接：https://www.bilibili.com/video/BV1za4y1a7Nd
识别语言：zh
语言置信度：1
分段数：159
生成时间：2026-04-04 01:43:06

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职员填冒当中
[00:02:58 - 00:02:58] 对吧
[00:02:58 - 00:03:00] 从南边的长江
[00:03:00 - 00:03:02] 一直到我们东北的嫩江
[00:03:02 - 00:03:04] 全都是在大洪水
[00:03:04 - 00:03:07] 确实98年那年水在印象非常非常的深
[00:03:07 - 00:03:08] 我们首先要除害
[00:03:08 - 00:03:09] 然后还有新利
[00:03:09 - 00:03:10] 什么叫新利呢
[00:03:10 - 00:03:14] 我们能不能把水资源变成对我们有利的资源
[00:03:14 - 00:03:15] 对不对
[00:03:15 - 00:03:19] 所以说根据我们目的和服务的对象不同
[00:03:19 - 00:03:22] 水利工程又被分为了这样的几个方向
[00:03:22 - 00:03:25] 水利工程是一个大的学科
[00:03:25 - 00:03:27] 它被分成了几个方向
[00:03:27 - 00:03:31] 其中防治水灾的叫做防洪工程
[00:03:31 - 00:03:33] 比如说我们修建一些低霸
[00:03:33 - 00:03:33] 对吧
[00:03:33 - 00:03:34] 我们修建一些低霸
[00:03:34 - 00:03:35] 这个叫做防洪工程
[00:03:35 - 00:03:38] 那么防治旱澇海服务于农业生产的
[00:03:38 - 00:03:41] 叫做农田水利工程
[00:03:41 - 00:03:42] 叫做农田水利工程
[00:03:42 - 00:03:44] 那么江水转为电能的
[00:03:44 - 00:03:49] 这是我们最最重要的叫水利水电工程
[00:03:49 - 00:03:50] 就水利水电工程
[00:03:50 - 00:03:52] 包括说我们现在大家都知道的
[00:03:52 - 00:03:54] 咱们中国的几个非常著名的选择站
[00:03:54 - 00:03:55] 比如像三峡
[00:03:55 - 00:03:56] 比如像三峡
[00:03:56 - 00:03:57] 比如像什么
[00:03:57 - 00:03:58] 比如像三文峡
[00:03:58 - 00:03:59] 对吧
[00:03:59 - 00:04:00] 这种这样的水能战
[00:04:00 - 00:04:01] 当然还有各种港的水能战
[00:04:01 - 00:04:02] 我们现在
[00:04:02 - 00:04:03] 在一带一路的时候
[00:04:03 - 00:04:04] 也在怎么样
[00:04:04 - 00:04:07] 也在帮助国外去修建一些水能战
[00:04:07 - 00:04:10] 那么新建或者改造港口与航道的
[00:04:10 - 00:04:12] 航道与港口工程
[00:04:12 - 00:04:14] 这个是我们近两年
[00:04:14 - 00:04:17] 在整个全世界都非常重要的一个专业
[00:04:17 - 00:04:19] 因为大家经常会听到这样的一句话
[00:04:19 - 00:04:20] 叫什么
[00:04:20 - 00:04:20] 叫什么
[00:04:20 - 00:04:21] 不动港
[00:04:21 - 00:04:22] 对吧
[00:04:22 - 00:04:23] 北方不动港
[00:04:23 - 00:04:25] 包括像什么深水港
[00:04:25 - 00:04:26] 潜水港
[00:04:26 - 00:04:27] 因为你深水港的话
[00:04:27 - 00:04:29] 就可以进一些大型的船只
[00:04:29 - 00:04:29] 潜水港的话
[00:04:29 - 00:04:30] 不好意思
[00:04:30 - 00:04:32] 你要太大的船进来以后的话
[00:04:32 - 00:04:33] 那个水特别的浅
[00:04:34 - 00:04:34] 对不对
[00:04:34 - 00:04:35] 你这个船一进来
[00:04:35 - 00:04:36] 你都进不来
[00:04:36 - 00:04:38] 因为有的船吃水深度比较高
[00:04:38 - 00:04:39] 对吧
[00:04:39 - 00:04:42] 我们能不能把这种潜水港给改成深水港
[00:04:42 - 00:04:45] 原来可能我们这边停不了太大的船
[00:04:45 - 00:04:48] 如果说大规模的货物的话
[00:04:48 - 00:04:49] 只能先运到别的地方
[00:04:49 - 00:04:51] 再开车运过来
[00:04:51 - 00:04:54] 如果说这个船因为船运的成本相对比较低
[00:04:54 - 00:04:57] 如果这个船能够直接运到我们港口来的话
[00:04:57 - 00:05:00] 我们不就成了一个物流集散中心了吗
[00:05:00 - 00:05:03] 所以说你会发现现在咱们国家的潜水港都在怎么样
[00:05:03 - 00:05:07] 努力在在座这方面的工作把潜水港给改成深水港
[00:05:07 - 00:05:08] 所以说的话像这样的
[00:05:08 - 00:05:12] 港口与航道工程现在也是非常重要的一个方向
