BV号：BV1FL4y1T7SX
标题：BV1FL4y1T7SX
链接：https://www.bilibili.com/video/BV1FL4y1T7SX
识别语言：zh
语言置信度：1
分段数：140
生成时间：2026-04-03 19:12:33

[00:00:00 - 00:00:03] 大家好 我上了学习变得更快乐的张学峰老师
[00:00:03 - 00:00:05] 马上就要考试了
[00:01:40 - 00:01:42] 但是他决定不了你最终的高度
[00:01:42 - 00:01:43] 因为后面还有两个阶段
[00:01:43 - 00:01:44] 第二呢
[00:01:44 - 00:01:46] 就是我们说的叫上大学
[00:01:46 - 00:01:47] 有的人上大学呢
[00:01:47 - 00:01:48] 就天天玩了
[00:01:48 - 00:01:49] 因为我们东北话讲就彻毒了
[00:01:49 - 00:01:50] 对吧
[00:01:50 - 00:01:51] 那有的人上大学呢
[00:01:51 - 00:01:52] 就历经图志对吧
[00:01:52 - 00:01:54] 就是一定要努力学习
[00:01:54 - 00:01:56] 一定要考到更好需要的严惊双
[00:01:56 - 00:01:58] 或者说我一定要在大学当中去充实自己
[00:01:58 - 00:02:01] 那第三个阶段的就是你未来工作的阶段
[00:02:01 - 00:02:01] 对吧
[00:02:01 - 00:02:04] 那你在工作当中你有没有领导的思维
[00:02:04 - 00:02:05] 你有没有这种老板的思维
[00:02:05 - 00:02:07] 你在工作当中你的情商怎么样
[00:02:07 - 00:02:08] 你会遇到什么样的人
[00:02:08 - 00:02:10] 会遇到什么样的事
[00:02:10 - 00:02:11] 你在做这个事的时候的话
[00:02:11 - 00:02:14] 你到底付出了怎样的心血等等等等
[00:02:14 - 00:02:16] 所以说高考的话
[00:02:16 - 00:02:18] 只是你人生的一个阶段
[00:02:18 - 00:02:20] 而并非说决定你一生的东西
[00:02:20 - 00:02:22] 你说的重要吗
[00:02:22 - 00:02:22] 它很重要
[00:02:22 - 00:02:23] 它决定你的起点
[00:02:23 - 00:02:25] 你说的不重要
[00:02:25 - 00:02:28] 他也确实没有想象当中的那么重要
[00:02:28 - 00:02:29] 因为在这个社会上
[00:02:29 - 00:02:31] 很多很多人都是属于那种可能高考
[00:02:31 - 00:02:34] 没有考成那些所谓的日美人效
[00:02:34 - 00:02:35] 什么21985青花北大
[00:02:35 - 00:02:37] 但是人家在这个社会上混的怎么样
[00:02:37 - 00:02:39] 也是非常非常不错的
[00:02:39 - 00:02:41] 所以说大家你就不要想那么多
[00:02:41 - 00:02:42] 放下你的思想包袱
[00:02:42 - 00:02:43] 去展现你自己
[00:02:43 - 00:02:46] 你这个考试的目的不是为了要考名校
[00:02:46 - 00:02:47] 不是为了要考高分
[00:02:47 - 00:02:49] 你考试的目的是要向所有的人
[00:02:49 - 00:02:52] 展现你高中三年的学习成果
[00:02:52 - 00:02:54] 各位看我的表演吧
[00:02:54 - 00:02:59] 我今天要把我高中三階所学的东西全部都给发挥出来
[00:02:59 - 00:03:02] 但行好事莫问前程
[00:03:02 - 00:03:03] 不管考好考不好
[00:03:03 - 00:03:05] 不管将来报志愿报到哪里
[00:03:05 - 00:03:06] 学了什么样的专业
[00:03:06 - 00:03:07] 你一定要坚信
[00:03:07 - 00:03:10] 一切都是最好的安排
[00:03:10 - 00:03:11] 高考以后的话
[00:03:11 - 00:03:12] 该放松放松
[00:03:12 - 00:03:13] 然后把志愿呢
[00:03:13 - 00:03:14] 好好地去整理一下
[00:03:14 - 00:03:15] 去规划一下
[00:03:15 - 00:03:16] 上大学的时候呢
[00:03:16 - 00:03:18] 一定要去好好学习
[00:03:18 - 00:03:19] 记住不管什么专业
[00:03:19 - 00:03:20] 不管什么学校
[00:03:20 - 00:03:22] 还有他开设的这个道理
[00:03:22 - 00:03:24] 只要你认真努力好好学
[00:03:24 - 00:03:27] 相信我皇天不負努力人
[00:03:27 - 00:03:29] 當年哥也沒說考得多好
[00:03:29 - 00:03:30] 但現在怎麼樣
[00:03:30 - 00:03:32] 這麼混蛋也還不錯嘛對不對
[00:03:32 - 00:03:33] 所以說的話
[00:03:33 - 00:03:35] 我就是一個很典型的案例
[00:03:35 - 00:03:36] 祝願各位考生
[00:03:36 - 00:03:38] 能夠在考場上的時候
[00:03:38 - 00:03:40] 發揮出自己的能力
[00:03:40 - 00:03:41] 還是那句話
[00:03:41 - 00:03:42] 出的全會
[00:03:42 - 00:03:43] 懵的全對
[00:03:43 - 00:03:45] 祝大家前程四盡
[00:03:45 - 00:03:47] 金把習明
