BV号：BV1bb411V7bT
标题：BV1bb411V7bT
链接：https://www.bilibili.com/video/BV1bb411V7bT
识别语言：zh
语言置信度：1
分段数：250
生成时间：2026-04-04 08:14:52

[00:00:00 - 00:00:02] 大家好 我是小学习变得更合了的张雪峰老师
[00:00:02 - 00:00:08] 在2003年的9月份重庆的农民古先泉家中发生了一个非常非常不好的事情
[00:01:32 - 00:01:33] 好 大家好
[00:01:33 - 00:01:37] 哎,杨老师,咱们古人说叫杀人者成命啊
[00:01:37 - 00:01:38] 对吧
[00:01:38 - 00:01:39] 那么在咱们中国的法律当中
[00:01:39 - 00:01:42] 杀人的人是不是一定要去成命呢?
[00:01:42 - 00:01:43] 不一定
[00:01:43 - 00:01:44] 不一定是吧?
[00:01:44 - 00:01:44] 对
[00:01:44 - 00:01:46] 那在什么情况下可能会
[00:01:46 - 00:01:48] 就是法律是会侵犯它呢?
[00:01:48 - 00:01:50] 这个地方啊
[00:01:50 - 00:01:53] 牵扯到我们刑法的一个非常重要的基本原则
[00:01:53 - 00:01:57] 叫罪则刑相适应原则
[00:01:57 - 00:01:57] 罪则刑相适应
[00:01:57 - 00:02:02] 就是犯罪,责任,刑罚相适应
[00:02:02 - 00:02:03] 他的意思是什么呢?
[00:02:03 - 00:02:06] 你給人家判刑的時候既要考慮罪
[00:02:06 - 00:02:08] 還要考慮責
[00:02:08 - 00:02:09] 那麼罪就是什麼呢
[00:02:09 - 00:02:10] 他幹了啥
[00:02:10 - 00:02:12] 對 你是故意殺人啊
[00:02:12 - 00:02:13] 還是道歉呢
[00:02:13 - 00:02:16] 責就是你這個人怎麼樣
[00:02:16 - 00:02:19] 你這個人的人身危險性大不大
[00:02:19 - 00:02:20] 那就換句話說
[00:02:20 - 00:02:21] 就是你的責任就是說
[00:02:21 - 00:02:23] 在這個事情當中
[00:02:23 - 00:02:24] 你要承擔多少責任
[00:02:24 - 00:02:26] 或者說這個事他怪不怪你
[00:02:26 - 00:02:27] 還是說你肆意為之
[00:02:27 - 00:02:28] 要考慮這個事
[00:02:28 - 00:02:29] 是這樣
[00:02:29 - 00:02:30] 我們這個地方的責
[00:02:30 - 00:02:32] 其實還主要不是這個意思
[00:02:32 - 00:02:35] 就是根據你在這個中間的表現
[00:02:35 - 00:02:36] 事情怪不怪你呀
[00:02:36 - 00:02:38] 你到底怎麼做的呀
[00:02:38 - 00:02:42] 根據這個表現我們來推斷
[00:02:42 - 00:02:45] 你這個人再次犯罪的可能性
[00:02:45 - 00:02:46] 有多大
[00:02:46 - 00:02:47] 這個叫人身危險性
[00:02:47 - 00:02:49] 那像在本案當中的話
[00:02:49 - 00:02:50] 這個古先拳啊
[00:02:50 - 00:02:52] 他是因為這個古蒙蒙
[00:02:52 - 00:02:54] 這個要強姦他的妻子
[00:02:54 - 00:02:56] 然後的話他去找這個古蒙蒙理論
[00:02:56 - 00:02:59] 那麼按理來說的話是不是要可以適應這個呢
[00:02:59 - 00:02:59] 對
[00:02:59 - 00:03:00] 他是這樣
[00:03:00 - 00:03:03] 首先啊,他股先权行为不是正当防卫
[00:03:03 - 00:03:06] 因为他不是发生在他妻子被前几天当时
[00:03:06 - 00:03:08] 他就在晚上去找人家理论去了
[00:03:08 - 00:03:10] 所以正当防卫肯定不是
[00:03:10 - 00:03:14] 但是呢,这个杀人和人家在街上多看了
[00:03:14 - 00:03:15] 你一眼就把人家杀掉了
[00:03:15 - 00:03:16] 一样不一样
[00:03:16 - 00:03:16] 那肯定不一样
[00:03:16 - 00:03:19] 所以这个案子发生之后呢
[00:03:19 - 00:03:20] 股先权就被抓走了
[00:03:20 - 00:03:24] 然后呢,他们村有五百多个村民
[00:03:24 - 00:03:28] 联名到公安局、到检察院
[00:03:28 - 00:03:32] 后来到法院去要求把古先权放回来
[00:03:32 - 00:03:34] 哎 他杀的人
[00:03:34 - 00:03:37] 但是大家不是说侵犯要求给他放回来
[00:03:37 - 00:03:39] 要求放回来 为什么呢
[00:03:39 - 00:03:41] 那个死者是个村霸
[00:03:41 - 00:03:44] 在他们村已经称王称霸很久了
[00:03:44 - 00:03:47] 把他们村至少40个人逼得背景立下
[00:03:47 - 00:03:48] 我的天
[00:03:48 - 00:03:49] 然后呢
[00:03:49 - 00:03:51] 这不自由银额吗
[00:03:51 - 00:03:52] 但是你也不能白白杀人家
[00:03:52 - 00:03:54] 对不对
[00:03:54 - 00:03:59] 然後當地就給古先權指派了一個法律援助的律師
[00:03:59 - 00:04:01] 來給他進行辯護
[00:04:01 - 00:04:03] 那麼後來法院就認定說
[00:04:03 - 00:04:06] 雖然古先權的行為構成故意殺人罪
[00:04:06 - 00:04:11] 但是他是因為妻子受到了這種侮辱
[00:04:11 - 00:04:13] 然後到他們家去之後
[00:04:13 - 00:04:15] 跟他堂弟理論的時候
[00:04:15 - 00:04:18] 這個堂弟又堅決的不認錯
[00:04:18 - 00:04:23] 而且還先揮權打了古先權一拳
[00:04:23 - 00:04:25] 所以認為他的人身危險性
[00:04:25 - 00:04:28] 也就是再次犯了的可能性是非常小的
[00:04:28 - 00:04:31] 所以認為是可以重慶進行處罰
[00:04:31 - 00:04:34] 那最後這個案子是怎麼判的
[00:04:34 - 00:04:36] 是這樣的先給你普個法
[00:04:36 - 00:04:39] 你是不是一般人都覺得只要是故意殺人
[00:04:39 - 00:04:41] 最少也得判個無期
[00:04:41 - 00:04:44] 對啊我覺得你看我們原來說殺人者長命嘛
[00:04:44 - 00:04:46] 那故意殺人的話呢
[00:04:46 - 00:04:48] 可能就是大多數的人可能認為是
[00:04:48 - 00:04:49] 就是直接要死刑了
[00:04:49 - 00:04:51] 但是我覺得你看啊
[00:04:51 - 00:04:53] 假如說像您剛才說的這些情節
[00:04:53 - 00:04:55] 因為他的妻子受到了侮辱啊
[00:04:55 - 00:04:56] 或者怎麼樣的
[00:04:56 - 00:04:57] 然後他是一個惡霸
[00:04:57 - 00:04:57] 或者怎麼樣的
[00:04:57 - 00:05:00] 那可能就是判個無期
[00:05:00 - 00:05:01] 自己也算是撿情
[00:05:01 - 00:05:02] 就很好了對不對
[00:05:02 - 00:05:04] 我也確實是沒有給他判死刑嘛
[00:05:05 - 00:05:06] 我算無期也算是刑判了
[00:05:06 - 00:05:08] 那這個案子當中最後是怎麼判的
[00:05:09 - 00:05:11] 判得出乎你的想像
[00:05:11 - 00:05:13] 是這樣首先咱們刑法
[00:05:13 - 00:05:16] 他是對故意殺人的他是有兩黨的法定性
[00:05:17 - 00:05:18] 通常那一黨是從
[00:05:18 - 00:05:20] 十年到死刑
[00:05:20 - 00:05:21] 十年到死刑是一样
[00:05:21 - 00:05:22] 对 然后第二档
[00:05:22 - 00:05:24] 他说情节较轻的
[00:05:24 - 00:05:26] 处三年以上
[00:05:26 - 00:05:28] 十年以下有期徒刑
[00:05:28 - 00:05:30] 然后他们给他判了三年
[00:05:30 - 00:05:33] 而且还判了缓刑
[00:05:33 - 00:05:35] 缓刑就是不用坐牢了
[00:05:35 - 00:05:37] 然后他们全村的人
[00:05:37 - 00:05:40] 敲鑼打鼓地把他接回家了
[00:05:40 - 00:05:42] 然后还给法院送了一块扁
[00:05:42 - 00:05:43] 公众联名
[00:05:43 - 00:05:45] 也就是说
[00:05:45 - 00:05:47] 在本案当中就股权权
[00:05:47 - 00:05:49] 相当于就是说判缓刑嘛
[00:05:49 - 00:05:49] 就是
[00:05:50 - 00:05:51] 没有说直接去敦建育
[00:05:51 - 00:05:53] 用群众的话说
[00:05:53 - 00:05:53] 这就没事了
[00:05:54 - 00:05:56] 就等于没事了
[00:05:56 - 00:05:59] 哎呦看来啊就是怎么说呢
[00:05:59 - 00:06:00] 杀人长命这个事啊
[00:06:01 - 00:06:03] 在咱们中国的法律执行的实际过程当中
[00:06:04 - 00:06:05] 还真不一定去
[00:06:05 - 00:06:07] 所谓的就是杀人就一定要去长命
[00:06:07 - 00:06:09] 也要看这个案情去怎么发展对
[00:06:09 - 00:06:10] 我们在量刑的时候呢
[00:06:10 - 00:06:13] 一定是不能光考虑这个杀人这个
[00:06:14 - 00:06:14] 最本身
[00:06:15 - 00:06:16] 还要看为什么杀
[00:06:16 - 00:06:18] 殺了之後的表現怎麼樣
[00:06:18 - 00:06:19] 還要看這個行為人
[00:06:19 - 00:06:22] 人身危險性
[00:06:22 - 00:06:22] 他的責任
[00:06:22 - 00:06:24] 那楊老師你看我們電視台中最後
[00:06:24 - 00:06:26] 這個古千泉是判了緩刑
[00:06:26 - 00:06:28] 因為他殺了一個所謂的這個村霸
[00:06:28 - 00:06:29] 對吧
[00:06:29 - 00:06:30] 那照這麼說的話
[00:06:30 - 00:06:31] 假如說我
[00:06:31 - 00:06:34] 我們當地也有這麼一個惡霸
[00:06:34 - 00:06:36] 我就想替我們當地的人民衝擊口氣
[00:06:36 - 00:06:38] 我就找了一個理由
[00:06:38 - 00:06:39] 比如說我對他進行挑釁
[00:06:39 - 00:06:40] 對吧
[00:06:40 - 00:06:41] 然後這個惡霸他的本性使然
[00:06:41 - 00:06:42] 他可能對我攻擊
[00:06:42 - 00:06:44] 然後我就把他也殺了
[00:06:44 - 00:06:46] 我是不是也可以判缓刑为民屠害啊
[00:06:46 - 00:06:47] 不能
[00:06:47 - 00:06:48] 这不能是吧
[00:06:48 - 00:06:49] 你
[00:06:49 - 00:06:50] 小张
[00:06:50 - 00:06:53] 你是不是老想着要犯法啊
[00:06:53 - 00:06:55] 不是我不是说要犯法啊
[00:06:55 - 00:06:59] 因为我看到这个案子当中就是说这个股仙泉他去这个
[00:07:00 - 00:07:01] 就是也不能说叫故意啊
[00:07:02 - 00:07:04] 他这个跟我刚才说那个性质不一样啊
[00:07:04 - 00:07:05] 就是
[00:07:05 - 00:07:10] 他这个就是他去杀掉了这么一个人然后的话最后呢就是法律给他重新判举
[00:07:10 - 00:07:11] 给他判了缓刑
[00:07:11 - 00:07:14] 那我想说的是如果说有类似的情况
[00:07:14 - 00:07:16] 或者说
[00:07:16 - 00:07:18] 万一有人他可能就是
[00:07:18 - 00:07:20] 看到这个案子以后的话
[00:07:20 - 00:07:22] 他可能想办法去做一些坏事
[00:07:22 - 00:07:23] 这个
[00:07:23 - 00:07:25] 所以说
[00:07:25 - 00:07:27] 就是你不能没有任何理由的时候
[00:07:27 - 00:07:28] 我看你不顺眼
[00:07:28 - 00:07:30] 我看你是个村霸
[00:07:30 - 00:07:32] 我就直接把你出包暗粮了
[00:07:32 - 00:07:33] 这个不可以的
[00:07:33 - 00:07:36] 他还是有一个发展的过程
[00:07:36 - 00:07:37] 但是你看理论上来讲
[00:07:37 - 00:07:39] 我因为我原来是我没有案底的
[00:07:39 - 00:07:39] 对吧
[00:07:39 - 00:07:43] 那我去再次危害社会的可能性也不大呀
[00:07:43 - 00:07:45] 你莫名其妙是
[00:07:45 - 00:07:47] 就算你不是莫名其妙吧
[00:07:47 - 00:07:49] 你抱着除暴安良的想法去杀一个人
[00:07:50 - 00:07:51] 你这个社会危害性就很大了
[00:07:52 - 00:07:53] 如果你对谁不满
[00:07:53 - 00:07:55] 你应该去请求法律来解决
[00:07:55 - 00:07:56] 不能自己用私刑
[00:07:57 - 00:07:59] 所以这种情况呢
[00:07:59 - 00:08:01] 如果你出去你说我看谁不顺眼
[00:08:01 - 00:08:02] 杨老师说了
[00:08:02 - 00:08:03] 可以除暴安良
[00:08:03 - 00:08:05] 你把人除了
[00:08:05 - 00:08:06] 你是要坐牢的
[00:08:07 - 00:08:07] 总之啊
[00:08:07 - 00:08:08] 人在做天在看
[00:08:08 - 00:08:10] 壞人一定會受到懲罰
[00:08:10 - 00:08:11] 這話是對的
[00:08:11 - 00:08:13] 用不著你去替天行道
[00:08:13 - 00:08:14] 那我們本期節目就是這樣
[00:08:14 - 00:08:16] 咱們下期節目再見
[00:08:16 - 00:08:17] 謝謝大家
