BV号：BV1As411L7hT
标题：BV1As411L7hT
链接：https://www.bilibili.com/video/BV1As411L7hT
识别语言：zh
语言置信度：1
分段数：281
生成时间：2026-04-04 10:12:24

[00:00:00 - 00:00:02] 我这个志愿到底该如何添
[00:02:40 - 00:02:41] 我是那种成文稳重型人
[00:02:41 - 00:02:42] 对不对
[00:02:42 - 00:02:42] 那你选择老一
[00:02:42 - 00:02:44] 那老一就是成文稳重型人
[00:02:44 - 00:02:44] 所以说
[00:02:44 - 00:02:47] 还得是跟你自己的兴趣爱好
[00:02:47 - 00:02:48] 和你外来的发展
[00:02:48 - 00:02:50] 这个路径是有关系的
[00:02:50 - 00:02:50] 所以说的话
[00:02:50 - 00:02:52] 你单纯比较两个大学
[00:02:52 - 00:02:52] 哪个更好
[00:02:52 - 00:02:54] 是没有意义的
[00:02:54 - 00:02:56] 观念看你自己想学什么
[00:02:56 - 00:02:59] 适合你的内告才是最对的
[00:03:03 - 00:03:05] 除了选院校这个难题以外
[00:03:05 - 00:03:07] 可能另外一个做让大家头疼的问题
[00:03:07 - 00:03:10] 就是该选一个怎样的专业了
[00:03:10 - 00:03:12] 尤其是有的时候你分还不够
[00:03:12 - 00:03:13] 对吧
[00:03:13 - 00:03:15] 可能上了一些所谓新一的大学
[00:03:15 - 00:03:18] 和新一的专业就有点有余了
[00:03:18 - 00:03:18] 说庄老师
[00:03:18 - 00:03:21] 我到底是该选一个所谓好大学的一般专业
[00:03:21 - 00:03:21] 对吧
[00:03:21 - 00:03:23] 还是选一个我想上的专业
[00:03:23 - 00:03:25] 这个对我加班发展会更好一些
[00:03:25 - 00:03:26] 即使这个大学可能
[00:03:26 - 00:03:29] 没有你想象当中那么理想
[00:03:29 - 00:03:30] 其实我想说啊
[00:03:30 - 00:03:31] 大家你在选择的时候
[00:03:31 - 00:03:33] 首先要看你自己是哪一个level
[00:03:33 - 00:03:34] 对吧
[00:03:34 - 00:03:35] 你看你自己的一个
[00:03:35 - 00:03:36] 大概这个分数啊
[00:03:36 - 00:03:38] 是一个什么样的一个层次
[00:03:38 - 00:03:39] 加上这个你买车也是一个道理啊
[00:03:39 - 00:03:40] 就是比如说
[00:03:40 - 00:03:42] 你这一个预算十万多块钱
[00:03:42 - 00:03:42] 对吧
[00:03:42 - 00:03:43] 你是跑到赛斯店
[00:03:43 - 00:03:44] 你说我只能奔驰说
[00:03:44 - 00:03:45] 我想买奔驰
[00:03:45 - 00:03:45] 嗯
[00:03:45 - 00:03:46] 你说对了
[00:03:46 - 00:03:48] 你也就你想买奔驰
[00:03:48 - 00:03:48] 知道吧
[00:03:48 - 00:03:49] 你的分不够
[00:03:49 - 00:03:51] 那么有些人可能会给你各种刚才建议说
[00:03:51 - 00:03:51] 哎呀
[00:03:51 - 00:03:52] 没关系
[00:03:52 - 00:03:53] 你上一个
[00:03:53 - 00:03:55] 这个自己不喜欢的专业
[00:03:55 - 00:03:55] 也都无所谓
[00:03:55 - 00:03:56] 对吧
[00:03:56 - 00:03:56] 能怎麼樣的
[00:03:56 - 00:03:58] 但其實我想跟你說的是
[00:03:58 - 00:03:59] 專業這方面
[00:03:59 - 00:04:02] 你最好是依照自己的興趣來
[00:04:02 - 00:04:03] 那些所謂的熱門專業
[00:04:03 - 00:04:05] 他將來在你畢業的時候
[00:04:05 - 00:04:07] 你真的他不一定就熱門了
[00:04:07 - 00:04:08] 再加上那些熱門專業
[00:04:08 - 00:04:10] 其實看起來很明顯好
[00:04:10 - 00:04:13] 可能真的沒有你想像中那麼光鮮
[00:04:13 - 00:04:16] 你比如說去年在他們全國
[00:04:16 - 00:04:17] 就是有很多很多的熱門專業
[00:04:17 - 00:04:19] 像比如說像法律
[00:04:19 - 00:04:20] 法學對吧
[00:04:20 - 00:04:23] 再比如像什麼漢語文字學等等等等
[00:04:23 - 00:04:24] 就是這些專業
[00:04:24 - 00:04:26] 你会发现在文科专业当中排名层次是非常高的
[00:04:26 - 00:04:28] 大家都很想学这样的专业
[00:04:28 - 00:04:30] 但实际就业情况是怎样的
[00:04:30 - 00:04:32] 比如像法律这些专业
[00:04:32 - 00:04:35] 他就在中国的专业当中有这么一个很尴尬的地位
[00:04:35 - 00:04:36] 他首先第一呢
[00:04:36 - 00:04:37] 就业对口率是特别低的
[00:04:37 - 00:04:38] 什么意思
[00:04:38 - 00:04:40] 就是学这个专业基本上都不干这个
[00:04:40 - 00:04:40] 第二呢
[00:04:40 - 00:04:41] 很尴尬
[00:04:41 - 00:04:44] 他就业率也几乎是最低的
[00:04:44 - 00:04:47] 所以说你这个专业他所谓的好
[00:04:47 - 00:04:48] 你真的就去适合嘛
[00:04:48 - 00:04:49] 真的不一定
[00:04:49 - 00:04:51] 说说你给你买车是一个道理
[00:04:51 - 00:04:51] 知道吧
[00:04:51 - 00:04:52] 你跟他这么说
[00:04:52 - 00:04:53] 我喜欢乐业
[00:04:53 - 00:04:53] 对不对
[00:04:53 - 00:04:54] 那你就去买月益嘛
[00:04:54 - 00:04:57] 对吧 我不管多少钱一算 我都去买月益
[00:04:57 - 00:04:58] 我没钱的时候买个便宜点的
[00:04:58 - 00:05:00] 好一点我买有钱我买个贵一点的
[00:05:00 - 00:05:01] 对吧
[00:05:01 - 00:05:02] 那老师我现在喜欢空间大一点的
[00:05:02 - 00:05:04] 那你买个房车呀
[00:05:04 - 00:05:05] 房车大呀
[00:05:05 - 00:05:05] 对不对呢
[00:05:05 - 00:05:06] 我有钱买个贵点的
[00:05:06 - 00:05:07] 没钱买个便宜点的
[00:05:07 - 00:05:08] 对吧
[00:05:08 - 00:05:09] 那老师我想大声一点
[00:05:09 - 00:05:10] 你买个什么朗意啊
[00:05:10 - 00:05:11] 宝来啊
[00:05:11 - 00:05:12] 都可以对吧
[00:05:12 - 00:05:13] 那当然年轻人可能喜欢
[00:05:13 - 00:05:14] 宝来的多一些
[00:05:14 - 00:05:14] 对吧
[00:05:14 - 00:05:15] 为什么
[00:05:15 - 00:05:16] 他年轻时尚
[00:05:16 - 00:05:16] 对吧
[00:05:16 - 00:05:17] 那你去去卖宝来
[00:05:17 - 00:05:18] 所以说的话
[00:05:18 - 00:05:20] 他就跟你買車是一個道理
[00:05:20 - 00:05:22] 看你自己的想學什麼
[00:05:22 - 00:05:23] 對吧
[00:05:23 - 00:05:25] 你自己是一個什麼樣的人
[00:05:25 - 00:05:26] 然後的話呢
[00:05:26 - 00:05:28] 你就去選擇一個什麼樣的專業
[00:05:28 - 00:05:30] 畢竟興趣是最大的老師
[00:05:34 - 00:05:35] 前兩天呢
[00:05:35 - 00:05:36] 有一個公司的老闆
[00:05:36 - 00:05:39] 在談到他田包志願的時候呢
[00:05:39 - 00:05:40] 說了這樣一句話
[00:05:40 - 00:05:42] 他說他當年在田包志願的時候
[00:05:42 - 00:05:44] 只添了北京和上海
[00:05:44 - 00:05:46] 他認為只有北京和上海呢
[00:05:46 - 00:05:49] 才能代表咱們中國發展的最先進的力量
[00:05:49 - 00:05:53] 在北京和上海才能够实现他自己人生的理想
[00:05:53 - 00:05:56] 结果他这个评论还居然上了微博的热搜
[00:05:56 - 00:05:58] 然后很多朋友就问我说
[00:05:58 - 00:05:59] 张老师那我给孩子听过这个时候
[00:05:59 - 00:06:01] 是不是一定要去添大城市
[00:06:01 - 00:06:04] 实际上我给大家在添院校的时候
[00:06:04 - 00:06:06] 我也会首先跟大家说
[00:06:06 - 00:06:08] 我说你们一定要优先选择城市
[00:06:08 - 00:06:12] 但是大城市并不是我最主要推荐的
[00:06:12 - 00:06:13] 我的原话是什么呢
[00:06:13 - 00:06:15] 同学你是和怎样的城市
[00:06:15 - 00:06:17] 你就去怎样的城市
[00:06:17 - 00:06:18] 首先北京上海
[00:06:18 - 00:06:20] 像深圳廣州這種大城市的話
[00:06:20 - 00:06:22] 它不適合所有人
[00:06:22 - 00:06:22] 知道嗎
[00:06:22 - 00:06:24] 它不適合所有人
[00:06:24 - 00:06:25] 它適合是什麼樣的人
[00:06:25 - 00:06:27] 它適合的是像我這樣的人
[00:06:27 - 00:06:29] 我是什麼樣的人呢
[00:06:29 - 00:06:29] 第一
[00:06:29 - 00:06:31] 你得特別能吃苦
[00:06:31 - 00:06:32] 你要吃不了苦的話
[00:06:32 - 00:06:33] 你就不要列這麼大領事
[00:06:33 - 00:06:34] 第二
[00:06:34 - 00:06:35] 你對我夢想
[00:06:35 - 00:06:36] 你別胡說八道
[00:06:36 - 00:06:37] 說我的未來的夢想是什麼
[00:06:37 - 00:06:41] 我要成為我們班艦隊會的最好的那個人
[00:06:41 - 00:06:41] 對吧
[00:06:41 - 00:06:42] 我讓那個女生不喜歡我
[00:06:42 - 00:06:43] 灰死你
[00:06:43 - 00:06:44] 是吧
[00:06:44 - 00:06:45] 那你是這樣的想法的話
[00:06:45 - 00:06:46] 那你就老了
[00:06:46 - 00:06:47] 你就你就該考
[00:06:47 - 00:06:49] 大城市就好大城市
[00:06:49 - 00:06:51] 因為就大城市才能問成你的夢想
[00:06:51 - 00:06:53] 但你給我你那句話不是的呀
[00:06:53 - 00:06:54] 你比如每一年呢
[00:06:54 - 00:06:55] 不管是在高考的手上
[00:06:55 - 00:06:56] 是在考年的時候
[00:06:56 - 00:06:58] 都有這樣一幫同學給我發這樣的私信
[00:06:58 - 00:06:59] 說張老師
[00:06:59 - 00:07:00] 哎呀做一個女人
[00:07:00 - 00:07:01] 是不是
[00:07:01 - 00:07:02] 我這一輩子的想法很簡單
[00:07:02 - 00:07:03] 我覺得我這一輩子
[00:07:03 - 00:07:05] 找個愛我的男人生個可愛的baby
[00:07:05 - 00:07:06] 讓他傻狗
[00:07:06 - 00:07:08] 啊我覺得做女人挺好
[00:07:08 - 00:07:08] 對吧
[00:07:08 - 00:07:10] 我覺得這也挺好啊
[00:07:10 - 00:07:11] 就沒什麼不好的
[00:07:11 - 00:07:12] 對吧
[00:07:12 - 00:07:13] 你比如說我們總說一句話叫什麼
[00:07:13 - 00:07:15] 就不在陳某龍報發
[00:07:15 - 00:07:16] 就在陳某龍面往
[00:07:16 - 00:07:16] 對吧
[00:07:16 - 00:07:18] 那你們家孩子 你
[00:07:19 - 00:07:22] 你在大城市里邊你是爆發了這種還是滅亡的那種
[00:07:23 - 00:07:23] 你要想明白
[00:07:24 - 00:07:26] 那大城市有的人混得好 那有的人可能就
[00:07:27 - 00:07:28] 真的可能就很累
[00:07:29 - 00:07:31] 你得想明白你是哪一種人
[00:07:31 - 00:07:32] 這一點很重要
[00:07:32 - 00:07:34] 尤其是我跟你說同學
[00:07:34 - 00:07:36] 就是不管你選的大城市還是選的小城市
[00:07:36 - 00:07:36] 你要堅信
[00:07:37 - 00:07:38] 自己這個選擇就是對的
[00:07:38 - 00:07:41] 總之關於高考天報支援這個事
[00:07:41 - 00:07:42] 大家一定要去慎重
[00:07:42 - 00:07:44] 那麼你不管報什麼樣的學校
[00:07:44 - 00:07:45] 報什麼樣的專業
[00:07:45 - 00:07:48] 最好在报之前应该先去了解一下
[00:07:48 - 00:07:50] 了解清楚了你报的心理才有底
[00:07:50 - 00:07:53] 最后中央大家都有一个完美的愿望和专业
