BV号：BV1z4411N77X
标题：BV1z4411N77X
链接：https://www.bilibili.com/video/BV1z4411N77X
识别语言：zh
语言置信度：1
分段数：516
生成时间：2026-04-04 08:02:21

[00:00:04 - 00:00:07] 大家好,我上学习院的更快乐的张雪峰老师
[00:04:24 - 00:04:30] 就是关于平均一个教授
[00:04:30 - 00:04:38] 他能对多少学生
[00:04:38 - 00:04:39] 什么意思呢
[00:04:39 - 00:04:41] 就是如果说有的学校
[00:04:41 - 00:04:42] 比如像清华北大
[00:04:42 - 00:04:43] 清华北大
[00:04:43 - 00:04:45] 他每年招生的人数是非常有限的
[00:04:45 - 00:04:47] 像比如说中国科技大学
[00:04:47 - 00:04:48] 每年招生人数非常有限
[00:04:48 - 00:04:51] 中国科技大学每年的招的本科生
[00:04:51 - 00:04:52] 其实是不到多少人的
[00:04:52 - 00:04:54] 是不到2000人的
[00:04:54 - 00:04:55] 是不到2000人的
[00:04:56 - 00:04:57] 这是中国科技大学
[00:04:57 - 00:05:01] 但是中国科技大学的教授对水平是非常高的
[00:05:01 - 00:05:07] 因为中科大本身就是中科院下属的这么一个大学
[00:05:07 - 00:05:09] 本身就是中科院办的
[00:05:09 - 00:05:13] 所以说你会发现在中科大有很多的院士
[00:05:13 - 00:05:15] 有很多很多的教授
[00:05:16 - 00:05:17] 那么你想想
[00:05:17 - 00:05:18] 这么多院士这么多教授
[00:05:18 - 00:05:22] 他只针对不到2000人去给他们讲课
[00:05:22 - 00:05:26] 那么如果说我们按照说一个教授对多少学生
[00:05:26 - 00:05:28] 那对的学生越少的话
[00:05:28 - 00:05:29] 说明什么
[00:05:29 - 00:05:32] 说明这个教授在这个学生的身上的经历呢
[00:05:32 - 00:05:34] 那可能就给的越多嘛
[00:05:34 - 00:05:34] 那这样的
[00:05:34 - 00:05:35] 最后学生的话
[00:05:35 - 00:05:37] 他就能从这个教授身上
[00:05:37 - 00:05:39] 或者甚至从这个院士的身上
[00:05:39 - 00:05:41] 能学到很多很多的东西
[00:05:41 - 00:05:44] 但是如果说你把这个东西作为主要排名因素的话
[00:05:44 - 00:05:46] 那政大就会很吃亏啊
[00:05:46 - 00:05:47] 为什么呢
[00:05:47 - 00:05:48] 因为郑州大学每届
[00:05:48 - 00:05:49] 大概能招收1万多人
[00:05:51 - 00:05:52] 招收1万多人
[00:05:52 - 00:05:54] 而整个学校的院士呢
[00:05:54 - 00:05:55] 说实话是不到10个的
[00:05:55 - 00:05:57] 如果加上松平院士的话
[00:05:57 - 00:05:58] 肯定是超过10个
[00:05:58 - 00:06:00] 那加上自己培养的
[00:06:00 - 00:06:02] 就是郑州大学自己培养的院士的话
[00:06:02 - 00:06:03] 应该是不超过10个的
[00:06:03 - 00:06:08] 那如果说你把这个比例调得非常的高
[00:06:08 - 00:06:11] 那我的母校就比较吃亏
[00:06:11 - 00:06:13] 那如果你把这个比例调得非常高的话
[00:06:13 - 00:06:15] 那像中科大战的学校的话
[00:06:15 - 00:06:17] 它就会比较占据优势
[00:06:17 - 00:06:19] 大家明白我说的话了吗
[00:06:19 - 00:06:22] 但如果说你把另外一个因素给放进去
[00:06:22 - 00:06:23] 那什么因素呢
[00:06:23 - 00:06:25] 说校园面积大小
[00:06:25 - 00:06:27] 校园面积大小说越大的学校
[00:06:27 - 00:06:29] 就代表着它越好
[00:06:29 - 00:06:32] 我把这个因素比重放的稍微高一些
[00:06:32 - 00:06:33] 那这样的话呢
[00:06:33 - 00:06:34] 我们学校就会相对比较占用是
[00:06:34 - 00:06:36] 因为正大很大
[00:06:36 - 00:06:36] 知道吧
[00:06:36 - 00:06:37] 正大是非常的大
[00:06:37 - 00:06:39] 也包括很多
[00:06:39 - 00:06:41] 很多去正大这个参观过的同学
[00:06:41 - 00:06:43] 都会有这样的一个感受
[00:06:43 - 00:06:45] 当年我带着我的一个朋友啊
[00:06:45 - 00:06:47] 就是说带他去看看我的母校
[00:06:47 - 00:06:48] 然后我们开车进去的
[00:06:48 - 00:06:50] 然后的话出来以后的话
[00:06:50 - 00:06:51] 我这个朋友就跟我说说
[00:06:51 - 00:06:53] 老张我跟你说幸亏我们是开车进去的
[00:06:54 - 00:06:55] 如果走路的话
[00:06:55 - 00:06:56] 得把我们给走死
[00:06:56 - 00:06:58] 因为挣大确实是非常非常的大
[00:06:58 - 00:06:59] 整个校园面积非常的大
[00:06:59 - 00:07:02] 那如果你把这个因素放到很大的话
[00:07:02 - 00:07:04] 那挣大就占便宜
[00:07:04 - 00:07:07] 那如果你把一个教授或者是一个院士
[00:07:07 - 00:07:08] 对多少学生那个因素放到很大的话
[00:07:09 - 00:07:11] 那这个就会相对比较怎么样
[00:07:11 - 00:07:13] 相对比较就是我们学校就比较吃亏
[00:07:13 - 00:07:16] 所以说现在因为我们没有一个
[00:07:17 - 00:07:18] 所谓的标准
[00:07:18 - 00:07:23] 说那一个学校它到底好不好我们排名的时候我们到底是该中
[00:07:23 - 00:07:27] 这个老师的论文还是该中学生的毕业生的质量
[00:07:27 - 00:07:28] 什么叫学生毕业生的质量比如说
[00:07:29 - 00:07:32] 这个本科毕业10年以后有多少人能共值世界企业500强
[00:07:32 - 00:07:35] 对吧那中国的富豪榜当中
[00:07:35 - 00:07:38] 前500人当中那我这个学校大概能占几个
[00:07:38 - 00:07:41] 那如果你把这个因素给往里加的话
[00:07:42 - 00:07:46] 对吧那有的学校可能就对吧像杭州十分大学出了一个马铃对吧
[00:07:46 - 00:07:49] 那说这个毕业生校友的个人财富
[00:07:49 - 00:07:51] 对吧 那你要这么比的话
[00:07:51 - 00:07:54] 对吧 那就会有很多学校怎么样
[00:07:54 - 00:07:56] 去刻意的为了迎合排名
[00:07:56 - 00:07:59] 而去怎么样 而去创造这个东西
[00:07:59 - 00:08:00] 你比如刚才我们所说的
[00:08:00 - 00:08:01] 就是校园面积大
[00:08:01 - 00:08:04] 如果我们这个排名体系里面得分比较高的话
[00:08:04 - 00:08:07] 那各个学校为了能够使自己的排名靠前
[00:08:07 - 00:08:10] 非常简单 我扩建校园就完了嘛 对吗
[00:08:10 - 00:08:12] 所以说你这个排名啊
[00:08:12 - 00:08:15] 因为大家看的排名各种各样的
[00:08:15 - 00:08:17] 有的排名是这个比中大
[00:08:17 - 00:08:18] 有的排名是那个比中大
[00:08:18 - 00:08:20] 所以说你会经常发现
[00:08:20 - 00:08:22] 就是不同的排名
[00:08:22 - 00:08:23] 你会发现这一个学校的位次
[00:08:23 - 00:08:25] 差别会非常的大
[00:08:25 - 00:08:27] 所以说有些时候这个排名
[00:08:27 - 00:08:28] 你说它可信不可信
[00:08:28 - 00:08:31] 这个也没法说它
[00:08:31 - 00:08:33] 可信度到底有多大
[00:08:33 - 00:08:36] 但是它还是有一定的这种可信度的
[00:08:36 - 00:08:37] 另外的话
[00:08:37 - 00:08:39] 大家一定要注意一个误区
[00:08:39 - 00:08:39] 什么误区
[00:08:39 - 00:08:42] 就是排名靠前的学校
[00:08:42 - 00:08:45] 他真的不等于说工作好找
[00:08:45 - 00:08:47] 然后的话将来挣钱多
[00:08:47 - 00:08:49] 这个事是不画等号的
[00:08:50 - 00:08:51] 很多家长就说张老师
[00:08:51 - 00:08:53] 其实我们给孩子选约校选专业
[00:08:53 - 00:08:55] 也非常简单的一个想法
[00:08:55 - 00:08:58] 就是希望将他孩子工作好找
[00:08:58 - 00:08:59] 挣钱又多
[00:08:59 - 00:09:01] 但是学校排名高低
[00:09:01 - 00:09:03] 真的跟你说的这个事
[00:09:03 - 00:09:05] 它完全是没关系的
[00:09:05 - 00:09:06] 真的是没关系的
[00:09:06 - 00:09:08] 尤其是像有些专业的排名
[00:09:08 - 00:09:09] 真的是没关系的
[00:09:09 - 00:09:10] 你比如说举个例子
[00:09:10 - 00:09:10] 说张老师
[00:09:10 - 00:09:12] 我现在我想让我的孩儿得学一个专业
[00:09:12 - 00:09:13] 这个专业叫做金融学
[00:09:15 - 00:09:17] 这个专业叫做金融学
[00:09:17 - 00:09:18] 你说对
[00:09:18 - 00:09:19] 还得学金融学非常好
[00:09:19 - 00:09:20] 那你说张老师
[00:09:20 - 00:09:21] 我现在可以看金融学的排名
[00:09:22 - 00:09:23] 金融学的排名比较靠前的
[00:09:23 - 00:09:25] 有一个学校叫做西南财经大学
[00:09:25 - 00:09:28] 金融学排名是非常非常靠前的
[00:09:28 - 00:09:30] 那么清华大学
[00:09:30 - 00:09:31] 这个学校的金融学
[00:09:31 - 00:09:33] 它从排名的角度来讲
[00:09:33 - 00:09:36] 它是不足西南财经大学的金融学的
[00:09:37 - 00:09:38] 但你说
[00:09:38 - 00:09:41] 那我千万大学我最后我接同学有找工作
[00:09:41 - 00:09:45] 我的工资就一定会比新南产阶大学同学要低吗
[00:09:45 - 00:09:46] 这不一定
[00:09:46 - 00:09:48] 这个当然是不一定的
[00:09:48 - 00:09:50] 然后的话包括像有一些学校
[00:09:50 - 00:09:52] 你说他学校盘铭靠前的学校
[00:09:52 - 00:09:54] 他有的时候因为找工作这个东西
[00:09:54 - 00:09:56] 大家一定要考虑到一个因素
[00:09:56 - 00:09:57] 叫做地域因素
[00:09:57 - 00:09:59] 因为各地的消费水平
[00:09:59 - 00:10:00] 它不一样
[00:10:00 - 00:10:01] 各地的消费水平
[00:10:01 - 00:10:02] 它是不一样的
[00:10:02 - 00:10:05] 我不知道大家有没有喜欢去旅游的
[00:10:05 - 00:10:07] 包括说同学们有没有在高中期间
[00:10:07 - 00:10:10] 有机会去全国不同城市的话去感受一下
[00:10:10 - 00:10:13] 那你会发现在小县城的一个消费水平
[00:10:13 - 00:10:15] 跟在一个省会级别
[00:10:15 - 00:10:17] 跟在北京的消费水平的级别
[00:10:17 - 00:10:20] 它是完全不一样的
[00:10:20 - 00:10:21] 它是完全不一样的
[00:10:21 - 00:10:22] 你比如说你在北京
[00:10:22 - 00:10:23] 因为我经常在北京混
[00:10:23 - 00:10:24] 你在北京
[00:10:24 - 00:10:27] 你想吃一碗10块钱以内的面
[00:10:28 - 00:10:31] 这在北京是一个很难很难的事情
[00:10:31 - 00:10:31] 知道吧
[00:10:31 - 00:10:33] 但是你想吃一个10块钱以内的面
[00:10:33 - 00:10:35] 这个你在下面的一些小县城
[00:10:35 - 00:10:37] 包括说像一些普通的城市
[00:10:37 - 00:10:39] 这都是有可能的
[00:10:39 - 00:10:40] 所以说你会发现
[00:10:40 - 00:10:42] 他会根据他的消费水平
[00:10:42 - 00:10:43] 比如说当地的物价
[00:10:43 - 00:10:44] 那么最有
[00:10:44 - 00:10:46] 还有可能叫当地的房价
[00:10:46 - 00:10:47] 对吧
[00:10:47 - 00:10:48] 他都会有挂钩
[00:10:48 - 00:10:49] 当地的生活成本
[00:10:49 - 00:10:50] 他都会挂钩
[00:10:50 - 00:10:51] 所以说你说的工资
[00:10:51 - 00:10:52] 挣钱多不多
[00:10:52 - 00:10:54] 这个东西跟学校排名有什么关系
[00:10:54 - 00:10:56] 其实没有什么特别大的关系
[00:10:56 - 00:10:58] 我觉得一个好的大学应该怎么样
[00:10:58 - 00:10:59] 他应该有他
[00:10:59 - 00:11:02] 比较好的一个生活环境
[00:11:03 - 00:11:05] 你比如说学校的是不是在市区
[00:11:05 - 00:11:07] 对吧 还是在郊区
[00:11:07 - 00:11:08] 因为有的学校现在说实话
[00:11:08 - 00:11:10] 搬郊区搬得越搬越远
[00:11:10 - 00:11:12] 这个当年我是有所体会的
[00:11:12 - 00:11:14] 就是大家一定要看清楚
[00:11:14 - 00:11:16] 这个学校它的地方到底在哪里
[00:11:16 - 00:11:18] 如果说有的是在省会有的不在省会
[00:11:18 - 00:11:19] 那它在省会的话
[00:11:19 - 00:11:20] 它是不是在郊区
[00:11:20 - 00:11:21] 还是在什么地方
[00:11:21 - 00:11:22] 大家最好是
[00:11:22 - 00:11:23] 因为现在地图这个东西
[00:11:23 - 00:11:25] 大家你手机都可以看得到
[00:11:25 - 00:11:25] 对吧
[00:11:25 - 00:11:26] 你可以看一下
[00:11:26 - 00:11:28] 你像当年我在上正大的时候
[00:11:28 - 00:11:31] 我们是郑州大学新校区的第二届学生
[00:11:31 - 00:11:31] 所以说
[00:11:31 - 00:11:35] 就是那个时候郑州大学新校区还是比较荒的
[00:11:35 - 00:11:37] 我们学校门口就两趟公交车
[00:11:37 - 00:11:38] 一个68一个72
[00:11:38 - 00:11:38] 我的天
[00:11:38 - 00:11:40] 每次我们出门的时候
[00:11:40 - 00:11:41] 不管是出去还是回来
[00:11:41 - 00:11:42] 那都是这么回来的
[00:11:42 - 00:11:42] 知道吧
[00:11:42 - 00:11:44] 就是被人挤到门上
[00:11:44 - 00:11:45] 没办法
[00:11:45 - 00:11:46] 当然现在好多了
[00:11:46 - 00:11:47] 当然现在好多了
[00:11:47 - 00:11:48] 但是有的学校
[00:11:48 - 00:11:50] 他可能真的刚搬到一个行小区
[00:11:50 - 00:11:53] 就相对比较荒凉一些
[00:11:53 - 00:11:55] 那孩子他将来上学
[00:11:55 - 00:11:56] 包括说同学们
[00:11:56 - 00:11:57] 你将来你上学以后的话
[00:11:57 - 00:11:58] 你会发现你出去构构雾
[00:11:59 - 00:12:00] 包括说出去做个兼职
[00:12:00 - 00:12:01] 出去玩什么的
[00:12:01 - 00:12:04] 都不是那么很方便
[00:12:04 - 00:12:07] 所以说大家一定要看一下相关的地理位置
[00:12:07 - 00:12:11] 我觉得首先学校要给大家创造一个很好的学习环境
[00:12:11 - 00:12:12] 对吧
[00:12:12 - 00:12:14] 那如果说我连一个学习环境都没有
[00:12:14 - 00:12:17] 那我夏天的时候我要把心思用在怎么去避暑
[00:12:18 - 00:12:18] 对吧
[00:12:18 - 00:12:20] 比如现在很多大学都炒着要装空调
[00:12:20 - 00:12:20] 对吧
[00:12:20 - 00:12:22] 有的学校很多学校是没有空调的
[00:12:23 - 00:12:25] 那说炒着要装空调
[00:12:25 - 00:12:26] 那你说为什么学生要炒
[00:12:26 - 00:12:29] 不是说现在的孩子他多么安逸
[00:12:29 - 00:12:31] 而是说你说那么酷热的环境
[00:12:31 - 00:12:32] 你让我去安心学习
[00:12:32 - 00:12:34] 我怎么可能按心下来学习
[00:12:34 - 00:12:34] 对吧
[00:12:34 - 00:12:36] 那么包括说住宿条件
[00:12:36 - 00:12:37] 对吧
[00:12:37 - 00:12:39] 那首先给大家创造一个很好的学习
[00:12:39 - 00:12:40] 条件
[00:12:40 - 00:12:41] 然后的话
[00:12:41 - 00:12:44] 老师一定要去用心的去教
[00:12:44 - 00:12:47] 你不能说出现各种各样的问题
[00:12:47 - 00:12:48] 因为大家以后上大大学以后
[00:12:48 - 00:12:49] 你会发现
[00:12:49 - 00:12:51] 有很多很多很多教学上面的问题
[00:12:51 - 00:12:53] 因为我们这个视频可能会公开
[00:12:53 - 00:12:55] 所以说我们就不具体去说哪些学校
[00:12:55 - 00:12:56] 然后曾经出现过哪些问题
[00:12:56 - 00:12:58] 这都是过去的事情
[00:12:58 - 00:12:58] 所以说的话
[00:12:58 - 00:13:00] 我觉得一个好的学校
[00:13:00 - 00:13:02] 要给学生创造一个好的学习环境
[00:13:02 - 00:13:03] 那么另外的话呢
[00:13:03 - 00:13:05] 你自己老师在教授的时候
[00:13:05 - 00:13:07] 一定要去用心去教学生
[00:13:07 - 00:13:10] 我觉得这样的学校就算是一个比较好的学校了
[00:13:10 - 00:13:13] 那如果说大家心都过我的话
[00:13:13 - 00:13:14] 争取
[00:13:14 - 00:13:16] 那么从明年后年的话
[00:13:16 - 00:13:18] 我可能也自己弄出一个高校保排名出来
[00:13:18 - 00:13:19] 这都说不准
[00:13:19 - 00:13:20] 这都说不准
[00:13:20 - 00:13:21] 然后的话呢
[00:13:21 - 00:13:23] 现在目前大家看到的中国的大学排名
[00:13:23 - 00:13:24] 其实呢
[00:13:25 - 00:13:27] 大多数都是一个学术水平
[00:13:27 - 00:13:29] 他都是一个学术水平
[00:13:29 - 00:13:30] 会站得比较重
[00:13:30 - 00:13:33] 那这个学术水平站得比较重说的是什么意思
[00:13:33 - 00:13:34] 就给大家解释一下
[00:13:34 - 00:13:36] 就是这个学术水平
[00:13:36 - 00:13:38] 咱们大多数的排名是依照的是
[00:13:38 - 00:13:40] 老师发表论文的水平
[00:13:40 - 00:13:42] 老师发表论文的水平
[00:13:42 - 00:13:45] 因为你要知道教授在学校里边能干两个事情
[00:13:45 - 00:13:47] 一个事情就是教学生
[00:13:47 - 00:13:48] 另外一个事情干嘛呢
[00:13:48 - 00:13:50] 就是写论文做科研
[00:13:50 - 00:13:51] 那我做这个科研以后的话
[00:13:51 - 00:13:52] 我要有一个科研成果
[00:13:52 - 00:13:54] 我这个有科研成果
[00:13:54 - 00:13:56] 那我这个科研成果是高还是低
[00:13:56 - 00:13:58] 是拿什么来衡量的呢
[00:13:58 - 00:14:01] 是拿这个老师所写的论文发表的
[00:14:01 - 00:14:03] 期刊级别来衡量的
[00:14:03 - 00:14:05] 有的期刊级别高
[00:14:05 - 00:14:06] 有的级别期刊低
[00:14:06 - 00:14:08] 假如说我这一个学校
[00:14:08 - 00:14:09] 我这一个老师
[00:14:09 - 00:14:10] 我这一个乐器的老师
[00:14:10 - 00:14:12] 我这个专业的老师
[00:14:12 - 00:14:14] 我一年出10篇高质量的论文
[00:14:14 - 00:14:16] 可能比另外一个学校
[00:14:16 - 00:14:18] 除100篇低质量的论文
[00:14:18 - 00:14:19] 平分体系还要高一些
[00:14:19 - 00:14:21] 比如说这个玩意就跟大家
[00:14:21 - 00:14:23] 平时你去搞事情
[00:14:23 - 00:14:25] 播习文是一样的
[00:14:25 - 00:14:27] 比如说你现在搞了一个事情
[00:14:27 - 00:14:28] 然后你搞这个事情很大
[00:14:29 - 00:14:30] 大到什么程度
[00:14:30 - 00:14:31] 中央电视台新闻联播再播
[00:14:31 - 00:14:34] 假如说你已经干到了新闻联播这个级别
[00:14:34 - 00:14:35] 你说你现在搞这个事情
[00:14:35 - 00:14:36] 新闻联播这个级别
[00:14:36 - 00:14:38] 那好了我就给你集10分
[00:14:38 - 00:14:39] 你说新闻联播没播
[00:14:40 - 00:14:40] 最后哪播的呢
[00:14:40 - 00:14:43] 说这个是省级电视台播的
[00:14:43 - 00:14:44] 那省级电视台播的话我就给你弄
[00:14:44 - 00:14:45] 我给你集8分
[00:14:46 - 00:14:49] 那地级市第二台播的我就给你集6分
[00:14:49 - 00:14:51] 对吧 现电视台播的我就给你集4分
[00:14:51 - 00:14:53] 那村电视台播的我就给你集2分
[00:14:53 - 00:14:54] 知道了吧
[00:14:54 - 00:14:56] 那么我们现在这个老师所写的论文
[00:14:56 - 00:14:59] 他们的论文发表在不同的期刊
[00:14:59 - 00:15:02] 他们搞事情发表在不同的期刊上
[00:15:02 - 00:15:03] 有的期刊分数高
[00:15:03 - 00:15:04] 有的期刊分数低
[00:15:04 - 00:15:05] 有的期刊分数更低
[00:15:05 - 00:15:06] 对吧
[00:15:06 - 00:15:07] 那我这一个专业
[00:15:07 - 00:15:10] 所有的老师这一年之内所写的论文的
[00:15:10 - 00:15:12] 级分总和
[00:15:12 - 00:15:14] 那谁排名靠前
[00:15:14 - 00:15:16] 我就学术水平高一些
[00:15:16 - 00:15:19] 所以说有些时候我们现在看到的一些专业排名
[00:15:19 - 00:15:21] 包括说一些学校排名
[00:15:21 - 00:15:22] 他最后体现的是什么
[00:15:22 - 00:15:26] 最后体现的是老师写论文的水平的高级
[00:15:26 - 00:15:29] 而不是说我最后交出来这个学生
[00:15:29 - 00:15:30] 我能不能好找工作
[00:15:30 - 00:15:31] 能不能挣更多的钱
[00:15:31 - 00:15:33] 跟那个是没关系的
[00:15:33 - 00:15:35] 他只是老师学术水平的高低
[00:15:35 - 00:15:37] 当然学术水平高
[00:15:37 - 00:15:38] 他一定是好事
[00:15:38 - 00:15:38] 对吧
[00:15:38 - 00:15:42] 但是他可能真的他不太能够说明问题
[00:15:42 - 00:15:45] 所以我们这几个课总结出了一个结论
[00:15:45 - 00:15:49] 就是将排名靠近的大学相比角的意义
[00:15:49 - 00:15:50] 其实并不大
[00:15:50 - 00:15:53] 因为有些时候经常有同学问我这样的一个问题
[00:15:53 - 00:15:54] 说张老师
[00:15:54 - 00:15:56] 我问一下就是清华好还是北大好
[00:15:56 - 00:15:59] 当然你问这个问题的同学肯定很有实力了
[00:15:59 - 00:16:00] 但我觉得你真的没有意义
[00:16:00 - 00:16:01] 为什么
[00:16:01 - 00:16:03] 清华好的专业北大比喻上
[00:16:03 - 00:16:06] 北大好的专业清华他也比不了
[00:16:06 - 00:16:08] 因为不同学校的话
[00:16:08 - 00:16:09] 在他当地也好
[00:16:09 - 00:16:11] 还是说在自己的专业领域也好
[00:16:11 - 00:16:13] 都有他自己的特点
[00:16:13 - 00:16:16] 那么你去问一些排名比较靠近的学校
[00:16:16 - 00:16:18] 其实是没有什么特别大
[00:16:18 - 00:16:19] 意义的实际意义的
[00:16:19 - 00:16:23] 这个要看你自己的一些具体的一个选择
