BV号：BV1vT4y1E7NV
标题：BV1vT4y1E7NV
链接：https://www.bilibili.com/video/BV1vT4y1E7NV
识别语言：zh
语言置信度：1
分段数：244
生成时间：2026-04-04 01:36:46

[00:00:04 - 00:00:07] 这是一个教你怎么在高考的志愿填冒当中
[00:03:02 - 00:03:04] 去拍個片吧
[00:03:04 - 00:03:06] 大電影會派進有各種鋼的醫療儀器
[00:03:06 - 00:03:08] 那麼它其實主要幹的是什麼呢
[00:03:08 - 00:03:09] 要造醫療儀器
[00:03:09 - 00:03:12] 但是你製造這個醫療儀器
[00:03:12 - 00:03:14] 那你肯定要具備一些所謂的什麼
[00:03:14 - 00:03:16] 像機械方面的知識
[00:03:16 - 00:03:17] 電子方面的知識
[00:03:17 - 00:03:19] 像計算機方面的知識
[00:03:19 - 00:03:21] 像信息方面的知識
[00:03:21 - 00:03:22] 當然你更要具備什麼呢
[00:03:22 - 00:03:26] 更要具備一些醫學和生物方面的知識
[00:03:26 - 00:03:26] 因為大電影要知道
[00:03:26 - 00:03:28] 它醫方面是製造醫療器械
[00:03:28 - 00:03:29] 另外一方面還有什麼呢
[00:03:29 - 00:03:30] 叫做生物醫學工程領域
[00:03:30 - 00:03:32] 那什麼叫生物醫學工程領域呢
[00:03:32 - 00:03:34] 再給大家舉一個簡單的例子
[00:03:34 - 00:03:35] 比如說
[00:03:35 - 00:03:37] 如果說現在有這麼一個病人
[00:03:37 - 00:03:38] 大家都知道這個心臟
[00:03:38 - 00:03:40] 它是有這樣的一個
[00:03:40 - 00:03:41] 它的一個
[00:03:41 - 00:03:42] 就怎麼說呢
[00:03:42 - 00:03:44] 它的一個使用期
[00:03:45 - 00:03:46] 它這個使用期要看什麼
[00:03:46 - 00:03:47] 你心臟跳的快不快
[00:03:47 - 00:03:49] 那假如說現在有這樣的一個心臟病人
[00:03:50 - 00:03:51] 它置換了一個什麼樣的
[00:03:51 - 00:03:53] 叫人工心臟
[00:03:53 - 00:03:54] 我不知道大家聽說過沒有
[00:03:54 - 00:03:55] 我們現在這個心臟
[00:03:55 - 00:03:57] 可以置換這個人工心臟
[00:03:57 - 00:03:59] 那麼這個人工心臟
[00:03:59 - 00:03:59] 但是你会发现
[00:04:00 - 00:04:01] 他要植入到我们的体内
[00:04:01 - 00:04:04] 他不能对我们人体造成什么样的影响
[00:04:04 - 00:04:06] 因为毕竟我们植入人工心脏是为了活命的
[00:04:06 - 00:04:07] 对吧
[00:04:07 - 00:04:09] 然后的话不能对我们人体造成什么样的
[00:04:09 - 00:04:10] 影响
[00:04:10 - 00:04:11] 然后的话他还得比较怎么样
[00:04:11 - 00:04:12] 耐用
[00:04:12 - 00:04:15] 不能说隔一段时间你不是说骑车
[00:04:15 - 00:04:17] 而说隔一段时间出了问题了
[00:04:17 - 00:04:18] 我们去修过车
[00:04:18 - 00:04:19] 你说你这个人体对吧
[00:04:19 - 00:04:19] 人工心脏
[00:04:19 - 00:04:20] 你等他出问题
[00:04:20 - 00:04:21] 你再修他
[00:04:21 - 00:04:22] 你估计你也快没了
[00:04:22 - 00:04:23] 对吧
[00:04:23 - 00:04:23] 你也快死了
[00:04:24 - 00:04:25] 那怎么办呢
[00:04:25 - 00:04:27] 那到底用什么样的材料
[00:04:27 - 00:04:29] 來製作這個人工心臟
[00:04:29 - 00:04:32] 那這個人工心臟從工程學的角度來講
[00:04:32 - 00:04:34] 怎麼能夠適用我們人體這個環境
[00:04:34 - 00:04:34] 這個是什麼呢
[00:04:34 - 00:04:36] 這個也是生物醫學工程領域
[00:04:36 - 00:04:37] 但大家你發現了嗎
[00:04:37 - 00:04:39] 它跟醫療器械就不是一回事了
[00:04:39 - 00:04:42] 那你要非把說這個人工心臟給它
[00:04:42 - 00:04:43] 也算是醫療器械
[00:04:43 - 00:04:46] 那是每個人可能對這個東西的看法不一樣
[00:04:46 - 00:04:47] 但是你會發現它就是什麼
[00:04:47 - 00:04:49] 純粹的叫生物醫學工程領域
[00:04:49 - 00:04:51] 那我們除了人工心臟以外
[00:04:51 - 00:04:53] 我們可能在人體當中
[00:04:53 - 00:04:55] 我們有各種各樣的比如說關節
[00:04:55 - 00:04:58] 比如说关节比如原来说
[00:04:58 - 00:05:01] 孙斌说把这个兵鼓给的挖了
[00:05:01 - 00:05:02] 然后这个人就缺了
[00:05:02 - 00:05:05] 现在的话我们可以有什么都可以用人工的
[00:05:05 - 00:05:07] 你会发现什么各种各样的钢钉
[00:05:07 - 00:05:09] 说人的腿可能断了
[00:05:09 - 00:05:10] 我们也打个钢钉
[00:05:10 - 00:05:11] 这个钢钉
[00:05:11 - 00:05:14] 这个钢到底用什么样的材料
[00:05:14 - 00:05:14] 对吧
[00:05:14 - 00:05:16] 你肯定它中间是一个合金
[00:05:16 - 00:05:17] 对吧
[00:05:17 - 00:05:19] 那什么金属来合比较合适
[00:05:19 - 00:05:20] 等等等等
[00:05:20 - 00:05:23] 只要是能用这种工程领域
[00:05:23 - 00:05:24] 那么高科技的领域
[00:05:24 - 00:05:28] 来解决我们生物医学方面问题的
[00:05:28 - 00:05:29] 这种的话
[00:05:29 - 00:05:31] 我们都把它叫做生物医学工程
[00:05:31 - 00:05:31] 而大家就发现
[00:05:31 - 00:05:33] 我给你接收了这么多以后的话
[00:05:33 - 00:05:34] 它涉及到了什么
[00:05:34 - 00:05:36] 涉及到了几乎方方面面的东西
[00:05:36 - 00:05:37] 你可不发现它有材料居然也有
[00:05:37 - 00:05:39] 我们之前讲相关专业的时候
[00:05:39 - 00:05:41] 可能像电子信息
[00:05:41 - 00:05:44] 电路这些东西它可能是相关
[00:05:44 - 00:05:45] 但是你会发现电子信息
[00:05:45 - 00:05:46] 电路这种专业
[00:05:46 - 00:05:47] 它跟材料可能没什么关系
[00:05:47 - 00:05:48] 但是在我们生物医学工程
[00:05:48 - 00:05:49] 领域里边怎么样
[00:05:49 - 00:05:50] 材料也有
[00:05:51 - 00:05:51] 对吧
[00:05:51 - 00:05:52] 材料也有
[00:05:52 - 00:05:53] 然后的话你会发现什么
[00:05:53 - 00:05:55] 相關的電子也有
[00:05:55 - 00:05:56] 計算機也有
[00:05:56 - 00:05:57] 軟件也有
[00:05:57 - 00:05:58] 通信也有
[00:05:58 - 00:05:59] 甚至大家如果說
[00:05:59 - 00:06:01] 你看過相關的一些文章的話
[00:06:02 - 00:06:05] 其實包括說我們心臟的一些
[00:06:05 - 00:06:06] 一些東西
[00:06:06 - 00:06:08] 包括一些心臟的起伯器
[00:06:08 - 00:06:09] 心臟大腸手術等等
[00:06:09 - 00:06:11] 其實它都是可以用軟件
[00:06:12 - 00:06:13] 電腦來控制的
[00:06:13 - 00:06:15] 比如說我剛才說的那個話題
[00:06:15 - 00:06:16] 你植入到一個人工形象
[00:06:16 - 00:06:18] 在你自己的身體裡邊
[00:06:18 - 00:06:19] 中間
[00:06:19 - 00:06:22] 磁場的變化會對人工形象
[00:06:22 - 00:06:23] 有什麼樣的影響
[00:06:23 - 00:06:26] 畢竟關乎到我們人的性命
[00:06:26 - 00:06:26] 對吧
[00:06:26 - 00:06:29] 畢竟我們研究這種東西是為了救命的
[00:06:29 - 00:06:29] 所以說的話
[00:06:29 - 00:06:31] 它的整個研究領域的話怎麼樣的
[00:06:31 - 00:06:34] 就要非常非常的高精尖
[00:06:34 - 00:06:36] 所以說我們剛才說的它什麼
[00:06:36 - 00:06:38] 一門高度綜合的交叉學科
[00:06:38 - 00:06:40] 我們介紹了這麼多專業
[00:06:40 - 00:06:41] 你會發現很多專業叫什麼
[00:06:41 - 00:06:42] 叫交叉學科
[00:06:42 - 00:06:44] 但你會發現很少專業叫什麼
[00:06:44 - 00:06:47] 叫高度綜合的交叉學科
[00:06:47 - 00:06:48] 所以說的話
[00:06:48 - 00:06:49] 這個專業真的
[00:06:49 - 00:06:51] 我個人覺得是非常非常有發展前景的
[00:06:51 - 00:06:53] 尤其是新冠疫情以后
[00:06:54 - 00:06:58] 我们势必要对各种这样的医疗气泻也好
[00:06:58 - 00:07:01] 还是说健康这方面的需求的产品也好
[00:07:01 - 00:07:04] 一定会有一个非常高的一个需求的
[00:07:04 - 00:07:05] 一定会有这样的需求的
[00:07:05 - 00:07:06] 所以说这个专业
[00:07:06 - 00:07:08] 我真的觉得是属于那种
[00:07:08 - 00:07:09] 没人抱的专业里边
[00:07:09 - 00:07:10] 真的非常好的
[00:07:10 - 00:07:12] 所以说我给你放到十大冷门
[00:07:12 - 00:07:13] 他虽然说冷门
[00:07:13 - 00:07:16] 但是这个专业真的很好
[00:07:16 - 00:07:17] 没有那么专业
[00:07:17 - 00:07:18] 调到这个专业很闹心
[00:07:18 - 00:07:19] 不要闹心
[00:07:19 - 00:07:19] 非常好的一个专业
[00:07:20 - 00:07:21] 那么这个专业将来能干吗
[00:07:21 - 00:07:23] 字幕製作人Zither Harp
