BV号：BV117411p7Dy
标题：BV117411p7Dy
链接：https://www.bilibili.com/video/BV117411p7Dy
识别语言：zh
语言置信度：1
分段数：400
生成时间：2026-04-04 03:13:44

[00:00:02 - 00:00:06] 我先问一下您当时是怎么想起来说
[00:04:27 - 00:04:30] 他们对于几倍来的职业成长的路径
[00:04:30 - 00:04:31] 都不是很了解
[00:04:31 - 00:04:33] 包括说有一些小学医的学生
[00:04:33 - 00:04:35] 比如说他说老师我现在生高中
[00:04:35 - 00:04:36] 我是小学医的
[00:04:36 - 00:04:37] 但是我不知道
[00:04:37 - 00:04:37] 我从一个高中生
[00:04:37 - 00:04:39] 到一个真正的医生
[00:04:39 - 00:04:41] 是个路径是怎样的
[00:04:41 - 00:04:42] 一个路径
[00:04:42 - 00:04:44] 其实医生这个行业
[00:04:44 - 00:04:45] 刚才您说了
[00:04:45 - 00:04:47] 就是他的学习路程很长
[00:04:47 - 00:04:49] 我们是一个中生学习的职业
[00:04:49 - 00:04:51] 因为医他不光是
[00:04:51 - 00:04:53] 他跟很多学科都有交叉
[00:04:53 - 00:04:55] 那么随着这些学科的发展
[00:04:55 - 00:04:57] 像新的药品出来了
[00:04:57 - 00:04:59] 新的治疗技术出来了
[00:04:59 - 00:05:01] 新的检查设备出来等等等等
[00:05:01 - 00:05:02] 那你就要跟着它发展
[00:05:02 - 00:05:03] 跟着它走
[00:05:03 - 00:05:05] 所以我们是一个不断学习
[00:05:05 - 00:05:05] 不断成长
[00:05:05 - 00:05:07] 持续学习的一个学科
[00:05:07 - 00:05:09] 那一辈子都要学习我们
[00:05:09 - 00:05:11] 那你像大多数的科室的话
[00:05:11 - 00:05:13] 现在三甲医院都比较高
[00:05:13 - 00:05:14] 我是这个学历
[00:05:14 - 00:05:15] 对的
[00:05:15 - 00:05:16] 然后的话
[00:05:16 - 00:05:17] 这可能如果他这个医院
[00:05:17 - 00:05:18] 不是三甲的话
[00:05:18 - 00:05:21] 可能他的要求可能略微低一点
[00:05:21 - 00:05:23] 我记得你像我们在读本科
[00:05:23 - 00:05:25] 我是林三届的本科
[00:05:25 - 00:05:26] 我们在读本科的时候
[00:05:26 - 00:05:30] 那个时候你本科医学院本科学生毕业还能去县医院
[00:05:30 - 00:05:33] 是我们那个时候还可以去县医院
[00:05:33 - 00:05:35] 但是现在县医院都进不了了
[00:05:35 - 00:05:38] 是吧现在都得是硕士
[00:05:38 - 00:05:41] 对然后你要进三家医院的话都得是至少博士
[00:05:41 - 00:05:42] 都得是博士
[00:05:42 - 00:05:45] 但点我我从一个毕业生啊我到医院里边来
[00:05:45 - 00:05:47] 我上了我就能去看病人吗
[00:05:47 - 00:05:48] 我现在就能当一个医生
[00:05:48 - 00:05:50] 不会的不会的对对对
[00:05:50 - 00:05:53] 不会的因为我觉得不光是医啊
[00:05:53 - 00:05:56] 任何行业都是这样医可能更加的特殊一些
[00:05:56 - 00:05:56] 研究一些
[00:05:56 - 00:05:57] 对
[00:05:57 - 00:05:59] 就是你理论书本上学的理论的东西
[00:05:59 - 00:06:01] 它要实践
[00:06:01 - 00:06:02] 但是这个实践它是有个过程的
[00:06:02 - 00:06:04] 不是说我照搬着书
[00:06:04 - 00:06:05] 我就能看病了
[00:06:05 - 00:06:06] 我就能做手术了
[00:06:06 - 00:06:06] 不会的
[00:06:06 - 00:06:08] 因为人体也很复杂
[00:06:08 - 00:06:09] 疾病也在变化
[00:06:09 - 00:06:10] 同样一个病
[00:06:10 - 00:06:11] 同样一个症状
[00:06:11 - 00:06:13] 可能背后的疾病是不一样的
[00:06:13 - 00:06:14] 同样一个病
[00:06:14 - 00:06:15] 表现在不同人身上
[00:06:15 - 00:06:17] 可能它最终的表现
[00:06:17 - 00:06:19] 呈现出来的也不完全一样
[00:06:19 - 00:06:21] 所以你不可能按照书本上去做
[00:06:21 - 00:06:22] 那一般医生呢
[00:06:22 - 00:06:24] 他可能要经过
[00:06:24 - 00:06:27] 目前来说他要有三年的朱元一的归赔
[00:06:27 - 00:06:32] 他要进行全方位的全面的医疗培训
[00:06:32 - 00:06:33] 临床培训
[00:06:33 - 00:06:35] 也就是说你内外富儿
[00:06:35 - 00:06:37] 眼科什么病理科
[00:06:37 - 00:06:40] 麻醉科都要进行培训
[00:06:40 - 00:06:42] 你都要知道
[00:06:42 - 00:06:44] 我知道本科的时候他可能会有轮换科学
[00:06:44 - 00:06:47] 他硕士的时候他已经定了方向来的盐
[00:06:47 - 00:06:49] 不是我刚才说的是归赔的时候
[00:06:49 - 00:06:50] 三年归赔
[00:06:50 - 00:06:52] 朱元一归赔的时候
[00:06:52 - 00:06:54] 那硕士的时候其实他是有方向的
[00:06:54 - 00:06:55] 对 一定有方向的
[00:06:55 - 00:06:56] 对 他是有方向的
[00:06:56 - 00:06:57] 比如说互产科
[00:06:57 - 00:07:01] 我硕士我可能读一个互产科的一个硕士学类
[00:07:01 - 00:07:02] 对 对 对
[00:07:02 - 00:07:03] 那在从复科或产科当中
[00:07:03 - 00:07:06] 我再去选一个更加细的一个方向
[00:07:06 - 00:07:07] 你比如说产科
[00:07:07 - 00:07:11] 我可能选一种病来做研究
[00:07:11 - 00:07:12] 或者是复科
[00:07:12 - 00:07:15] 我选一种病或者一种手术术士
[00:07:15 - 00:07:17] 我来做研究都是可以的
[00:07:17 - 00:07:18] 那么在这个之前
[00:07:18 - 00:07:20] 实际上你会经历本科毕业
[00:07:20 - 00:07:23] 然后进行要么你就直接考研
[00:07:23 - 00:07:25] 对吧考研读硕士
[00:07:25 - 00:07:27] 那这时候其实你一点临床阶任都没有
[00:07:27 - 00:07:28] 那你说是毕业了
[00:07:28 - 00:07:30] 仍然要进行三年之远一培训
[00:07:30 - 00:07:33] 现在是专所是可以的
[00:07:33 - 00:07:34] 就是学所现在得经历
[00:07:34 - 00:07:36] 但是专所现在是直接就可以了
[00:07:36 - 00:07:38] 应该直接能够做医生
[00:07:38 - 00:07:41] 对就是他专所他现在是咱们医学的研究生
[00:07:41 - 00:07:42] 现在不是分两种
[00:07:42 - 00:07:42] 对对对
[00:07:42 - 00:07:43] 一种叫做学术型研究生
[00:07:43 - 00:07:44] 对学术型
[00:07:44 - 00:07:46] 一种叫做专业型临床型
[00:07:46 - 00:07:48] 临床型那种就是可以直接
[00:07:48 - 00:07:49] 对但他是他带
[00:07:49 - 00:07:54] 他也是应该也要有一个培训的过程
[00:07:54 - 00:07:55] 培养的过程
[00:07:55 - 00:07:55] 对
[00:07:55 - 00:07:56] 他才能进入临床
[00:07:56 - 00:07:57] 进入临床
[00:07:57 - 00:07:58] 你做一线医生
[00:07:58 - 00:08:01] 最低的最基本的那一级医生
[00:08:01 - 00:08:02] 那么这一级医生
[00:08:02 - 00:08:04] 你是没有独立的
[00:08:04 - 00:08:06] 去给病人下诊断
[00:08:06 - 00:08:08] 或者是给病人做一些的
[00:08:08 - 00:08:11] 这个下一些的治疗的一些方案
[00:08:11 - 00:08:12] 是没有的
[00:08:12 - 00:08:14] 没有这个权密的
[00:08:14 - 00:08:16] 一定是在上级医生的指导下
[00:08:16 - 00:08:17] 然后让你带着
[00:08:17 - 00:08:19] 有點像師傅帶徒弟那種感覺
[00:08:19 - 00:08:22] 醫療行業還是有一點點這個
[00:08:22 - 00:08:24] 逐漸的讓你瞭解疾病是什麼樣的
[00:08:24 - 00:08:26] 各種病什麼樣的
[00:08:26 - 00:08:28] 他的體徵和症狀
[00:08:28 - 00:08:29] 怎麼來相符
[00:08:29 - 00:08:31] 怎麼去分析這個疾病
[00:08:31 - 00:08:33] 怎麼樣去做出診斷
[00:08:33 - 00:08:34] 正確的判斷
[00:08:34 - 00:08:35] 然後根據這個判斷
[00:08:35 - 00:08:36] 怎麼給他開出一個
[00:08:36 - 00:08:38] 正確的一個治療的方案
[00:08:38 - 00:08:39] 藥物也好 手術也好
[00:08:39 - 00:08:40] 有的時候我就有一個問題
[00:08:40 - 00:08:43] 比如說我去一個醫院
[00:08:43 - 00:08:45] 去看一個醫生
[00:08:45 - 00:08:47] 街上有那種叫主人醫師
[00:08:47 - 00:08:48] 副主任醫師
[00:08:48 - 00:08:50] 然后这个是怎么评的
[00:08:50 - 00:08:53] 主任医师 副主任医师他都属于高级支撑
[00:08:53 - 00:08:57] 那么副主任医师之上就是主任医师了
[00:08:57 - 00:08:59] 那我假如我博士到了某一个医院
[00:08:59 - 00:09:00] 我刚开始是副主任医师吗
[00:09:00 - 00:09:01] 不会的
[00:09:01 - 00:09:04] 你博士刚毕业他等同于主治医
[00:09:04 - 00:09:08] 硕士毕业他等同于你的这个高年住院医
[00:09:08 - 00:09:10] 你得要从前申请主治医
[00:09:10 - 00:09:12] 但是你申请主治医的年限
[00:09:12 - 00:09:14] 可能比本科要短
[00:09:14 - 00:09:15] 要短一下
[00:09:15 - 00:09:18] 你博士申请副主任医师
[00:09:18 - 00:09:21] 主任医师可能的年限也会短一点
[00:09:21 - 00:09:22] 但是它是有要求的
[00:09:22 - 00:09:24] 你比如林床
[00:09:24 - 00:09:25] 他要有文章
[00:09:25 - 00:09:26] 要有你专业性的文章
[00:09:26 - 00:09:29] 你比如说我考搞副产科的
[00:09:29 - 00:09:31] 你是搞产科的还是搞副科的
[00:09:31 - 00:09:33] 你要在你这个专业上要有相关的文章
[00:09:33 - 00:09:35] 各个医院要求不太一样
[00:09:35 - 00:09:37] 一般来说都是要求这种
[00:09:37 - 00:09:39] 国家级的核心杂志
[00:09:39 - 00:09:42] 核心杂志至少两篇 三篇
[00:09:42 - 00:09:46] 另外呢 还有就是你要有一些的这个课题
[00:09:46 - 00:09:48] 那他课题的这个级别不一样
[00:09:48 - 00:09:52] 哎 那你像他平时在医院工作就快忙了
[00:09:52 - 00:09:52] 别人那么多
[00:09:52 - 00:09:57] 然后他还要再去搞这种您说的这种课题
[00:09:57 - 00:09:57] 对
[00:09:57 - 00:09:58] 然后他不搞课题
[00:09:58 - 00:09:59] 因为他可能就是比如说他不搞课题
[00:09:59 - 00:10:00] 他说他去啊 对吧
[00:10:00 - 00:10:01] 是的 是的
[00:10:01 - 00:10:02] 没有文章啊 写出来
[00:10:02 - 00:10:04] 你就这个条件不能满足就是不行的
[00:10:04 - 00:10:05] 啊
[00:10:05 - 00:10:08] 那么其次呢 也更重要的是呢
[00:10:08 - 00:10:10] 就是说看你临床的经历
[00:10:10 - 00:10:14] 臨床的經驗你要有特殊搶救病例
[00:10:14 - 00:10:16] 有一定病例的這種積累
[00:10:16 - 00:10:19] 那麼還有一個現場的一個答辯
[00:10:19 - 00:10:21] 它會有一個專家委員會
[00:10:21 - 00:10:23] 現場就你的這些的文章
[00:10:23 - 00:10:26] 就你的這些的過往的職業經歷
[00:10:26 - 00:10:29] 它會問你相關的一些臨床的一些問題
[00:10:29 - 00:10:31] 或者是病例或者是什麼
[00:10:31 - 00:10:32] 這樣來謹慎
[00:10:32 - 00:10:34] 從副主任醫師進升到主帝
[00:10:34 - 00:10:36] 主任醫師在網上還有嗎
[00:10:36 - 00:10:36] 主任醫師在網上
[00:10:36 - 00:10:38] 我們教授他是分了
[00:10:38 - 00:10:41] 一级教授二级教授第一个教授才是分的
[00:10:41 - 00:10:43] 但是主人一师我们临床就是
[00:10:43 - 00:10:46] 就是这个主人一师就是这种贼眼
[00:10:46 - 00:10:49] 我的天 我觉得好麻烦
[00:10:49 - 00:10:51] 如果要学起来的话
[00:10:51 - 00:10:53] 真的可能要很长很长很长的时间
[00:10:53 - 00:10:55] 但是怎么说呢
[00:10:55 - 00:10:58] 我觉得医生也是让人非常非常尊敬的
[00:10:58 - 00:11:00] 谢谢
[00:11:00 - 00:11:01] 我经常也跟你说
[00:11:01 - 00:11:02] 我说你们将来啊
[00:11:02 - 00:11:06] 记住这个社会上的都是人脉很重要
[00:11:06 - 00:11:09] 其中一个最重要的人脉是什么呢
[00:11:09 - 00:11:10] 医院
[00:11:10 - 00:11:10] 医生
[00:11:10 - 00:11:12] 我说你人你会生病
[00:11:12 - 00:11:13] 你家人会生病
[00:11:13 - 00:11:14] 对不对
[00:11:14 - 00:11:15] 在你医院里边你认识一个医生
[00:11:15 - 00:11:16] 咱不说说
[00:11:16 - 00:11:18] 我们可能中间找什么方便
[00:11:18 - 00:11:19] 是你认识一个医生以后的话
[00:11:19 - 00:11:21] 你有一些症状
[00:11:21 - 00:11:23] 他就可以通过他的经验
[00:11:23 - 00:11:24] 去给你一些建议
[00:11:24 - 00:11:26] 给你一些这样的指导
[00:11:26 - 00:11:28] 真的可能就会挽救你家人的生病
[00:11:28 - 00:11:29] 所以说
[00:11:29 - 00:11:30] 像学医的同学
[00:11:30 - 00:11:31] 认证而道愿吧
[00:11:31 - 00:11:32] 好吧
[00:11:32 - 00:11:33] 我们也感谢我们的网友人员
[00:11:33 - 00:11:33] 长得过
[00:11:33 - 00:11:35] 跟我们介绍这么多关于
[00:11:35 - 00:11:37] 医生近生的这么一个
[00:11:37 - 00:11:39] 虽然我做本科教育和研究生教育
[00:11:39 - 00:11:41] 但是我真的不知道你怎么一步一步生生
[00:11:41 - 00:11:43] 生生的主人是这个级别
[00:11:43 - 00:11:44] 所以说的话
[00:11:44 - 00:11:45] 感谢王院长
[00:11:45 - 00:11:47] 我们接受了这么多关于医院
[00:11:47 - 00:11:48] 近生的这方面的事情
[00:11:48 - 00:11:49] 咱们本期节目就是这样
[00:11:49 - 00:11:50] 咱们下期节目再见
[00:11:50 - 00:11:51] 谢谢大家
[00:11:52 - 00:11:56] 说这种学医
[00:11:56 - 00:11:58] 什么全人学医
[00:11:58 - 00:11:59] 天打雷劈
[00:11:59 - 00:12:02] 那我可能觉得是不是跟
[00:12:02 - 00:12:04] 现在社会上一些不是很好
[00:12:04 - 00:12:06] 一些的现象啊
[00:12:06 - 00:12:08] 一些误导可能有关系
