BV号：BV144411Z7kg
标题：BV144411Z7kg
链接：https://www.bilibili.com/video/BV144411Z7kg
识别语言：zh
语言置信度：1
分段数：333
生成时间：2026-04-04 07:22:01

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪,冯老师
[00:01:24 - 00:01:27] 欢迎大家收看本期的法律其实很好玩
[00:01:27 - 00:01:29] 我们本期请到的法律专家依然是我们的
[00:01:29 - 00:01:31] 严图教育的千元老师
[00:01:31 - 00:01:32] 我们的严雅侠老师
[00:01:32 - 00:01:33] 杨老师给大家打个招呼
[00:01:33 - 00:01:34] 好 大家好
[00:01:34 - 00:01:35] 杨老师
[00:01:35 - 00:01:39] 这个中间它有一个叫犯罪未遂和犯罪预备
[00:01:39 - 00:01:41] 这个犯罪未遂和犯罪预备
[00:01:41 - 00:01:43] 那在亮行的时候有什么差别吗
[00:01:43 - 00:01:46] 我先跟你讲预备和未遂有什么差别
[00:01:46 - 00:01:46] 好
[00:01:46 - 00:01:47] 就说是这样的
[00:01:47 - 00:01:50] 犯罪预备就是犯罪预备了
[00:01:50 - 00:01:52] 就是为犯罪做准备
[00:01:52 - 00:01:53] 做准备
[00:01:53 - 00:01:57] 比如说他法条说叫准备工具制造条件
[00:01:57 - 00:01:57] 磨刀
[00:01:58 - 00:01:59] 跟踪被害人
[00:01:59 - 00:02:03] 或者想辦法讓被害人一個人單獨加班
[00:02:03 - 00:02:05] 孤身行走 創造條件
[00:02:05 - 00:02:07] 這個就叫預備
[00:02:07 - 00:02:08] 然後開始實施
[00:02:08 - 00:02:10] 那麼就進入實行階段
[00:02:10 - 00:02:12] 進入實行階段以後
[00:02:12 - 00:02:15] 如果沒有達到繼水的結果就叫未水
[00:02:15 - 00:02:18] 那什麼就開始實施啊
[00:02:18 - 00:02:19] 你問得很專業
[00:02:19 - 00:02:22] 我們的法考的法術的學生
[00:02:22 - 00:02:24] 最痛苦的就是要辯認
[00:02:24 - 00:02:26] 到底是開始實施了沒有
[00:02:26 - 00:02:27] 比如說我舉個例子
[00:02:27 - 00:02:31] 比如说今天我们弄死一个我的头人
[00:02:31 - 00:02:33] 假如我有一个头人 我弄死他
[00:02:33 - 00:02:34] 然后的话我就磨刀
[00:02:34 - 00:02:36] 磨刀这算是什么
[00:02:36 - 00:02:37] 这算是准备
[00:02:37 - 00:02:38] 准备 是吧
[00:02:38 - 00:02:39] 我刀磨完了以后的话
[00:02:39 - 00:02:43] 我拿了一个刀就明黄黄的在他面前晃一晃
[00:02:43 - 00:02:46] 就威胁他 你看 对吧
[00:02:46 - 00:02:48] 你说不说不说我就弄死你
[00:02:48 - 00:02:50] 还不还钱 不还钱我就弄死你
[00:02:50 - 00:02:51] 这个是
[00:02:51 - 00:02:53] 这个你如果是要杀人的话
[00:02:53 - 00:02:55] 还是属于预备
[00:02:55 - 00:02:56] 这个都还预备
[00:02:56 - 00:02:59] 我都拿着刀 准备要捅他了
[00:02:59 - 00:02:59] 这我还有预备
[00:02:59 - 00:03:01] 你不是在那还晃吗
[00:03:01 - 00:03:02] 预备
[00:03:02 - 00:03:03] 这都是预备是吧
[00:03:03 - 00:03:04] 你要
[00:03:04 - 00:03:06] 如果你说要晃
[00:03:06 - 00:03:07] 要要扎的时候
[00:03:07 - 00:03:08] 这个就算实实了
[00:03:08 - 00:03:09] 你如果在这晃说
[00:03:09 - 00:03:10] 给不给钱
[00:03:10 - 00:03:11] 给不给钱
[00:03:11 - 00:03:12] 这是预备
[00:03:12 - 00:03:12] 这是预备
[00:03:12 - 00:03:13] 对
[00:03:13 - 00:03:14] 这都是预备
[00:03:14 - 00:03:14] 对
[00:03:14 - 00:03:15] 如果对方说不给
[00:03:16 - 00:03:17] 你就一刀子进去
[00:03:17 - 00:03:20] 这一刀子进去的时候就叫实行
[00:03:20 - 00:03:21] 那这个
[00:03:21 - 00:03:22] 那你像这本案当中
[00:03:22 - 00:03:24] 他也没有这么明显说拿刀
[00:03:24 - 00:03:25] 或者怎么样的
[00:03:25 - 00:03:26] 他就是这个徐某宝
[00:03:26 - 00:03:29] 他的老婆瞪瞪就是绑在车上
[00:03:29 - 00:03:31] 甚至中间还剪了两块大石头
[00:03:31 - 00:03:32] 说准备是把他老婆撑下去
[00:03:32 - 00:03:34] 那这个是预备还是未遂
[00:03:35 - 00:03:37] 这个案例其实是这样的
[00:03:37 - 00:03:39] 当时就说这个案例出来之后
[00:03:39 - 00:03:43] 这个群众都觉得应该已经是未遂
[00:03:43 - 00:03:44] 为什么大家认为已经进入实行阶段了
[00:03:44 - 00:03:47] 他在跟咱们一般的模特有点不一样在哪
[00:03:48 - 00:03:49] 他妻子当然是裸睡
[00:03:49 - 00:03:52] 然后就等于说他妻子没有任何反抗能力的
[00:03:52 - 00:03:57] 赤裸的他把他手脚用提锡铁丝绑好了绑好了
[00:03:57 - 00:03:58] 就塞在编织带里面
[00:03:58 - 00:04:00] 然后这样的一个情况
[00:04:00 - 00:04:02] 把这个人放到后座上
[00:04:02 - 00:04:04] 那么大家觉得这个时候这个人
[00:04:04 - 00:04:06] 李死亡已经非常近了是不是
[00:04:06 - 00:04:07] 只要抓起来就能扔下去
[00:04:07 - 00:04:07] 对呀
[00:04:07 - 00:04:08] 对吧
[00:04:08 - 00:04:11] 所以当时他的律师也是说
[00:04:11 - 00:04:12] 认为这是一个预备
[00:04:12 - 00:04:16] 但是法院的最后是认定是一个未遂
[00:04:16 - 00:04:20] 然后当时我看到这个案子也很感兴趣
[00:04:20 - 00:04:22] 后来请教了好几个刑法学的专家
[00:04:22 - 00:04:23] 你猜专家什么意见
[00:04:24 - 00:04:25] 专家
[00:04:25 - 00:04:26] 你什么意见
[00:04:27 - 00:04:28] 我觉得那个女的
[00:04:28 - 00:04:31] 如果是专家的亲戚的话
[00:04:31 - 00:04:32] 她肯定是往未随了说
[00:04:33 - 00:04:35] 但是跟她没亲戚关系的话
[00:04:35 - 00:04:36] 他们可能会说
[00:04:36 - 00:04:36] 预备
[00:04:37 - 00:04:39] 你不能这样想专家
[00:04:39 - 00:04:40] 专家是专家
[00:04:40 - 00:04:43] 专家是以理论为依据的
[00:04:43 - 00:04:44] 这个是这样
[00:04:44 - 00:04:46] 就是说当时我们其实包括我自己
[00:04:46 - 00:04:49] 我都觉得说预备有点太便宜的家伙了
[00:04:49 - 00:04:50] 你知道吧
[00:04:50 - 00:04:52] 因为马上就要死人的样子
[00:04:52 - 00:04:54] 你还说他是预备
[00:04:54 - 00:04:56] 但是根据我们刑法的理论
[00:04:56 - 00:04:58] 这个确实是一个预备
[00:04:58 - 00:05:00] 都准备到这份上还是预备
[00:05:00 - 00:05:00] 对
[00:05:00 - 00:05:02] 因为他毕竟还是说
[00:05:02 - 00:05:04] 把这个人放在后座上
[00:05:04 - 00:05:06] 他还没有进行一个我们叫做
[00:05:06 - 00:05:08] 类型性的杀人行为
[00:05:08 - 00:05:10] 什么叫类型性的杀人行为呢
[00:05:10 - 00:05:11] 就是在身体当中伤害
[00:05:12 - 00:05:15] 就是能够直接置人死亡
[00:05:15 - 00:05:17] 我们的专业说法叫能够对
[00:05:17 - 00:05:20] 法医造成直接的侵害
[00:05:20 - 00:05:23] 就说你这个行为下你能够直接侵犯这个法义
[00:05:23 - 00:05:24] 比如你拿着刀围着人转圈
[00:05:24 - 00:05:26] 你不可能把人转死对不对
[00:05:27 - 00:05:28] 他可能转肚
[00:05:28 - 00:05:29] 对吧
[00:05:29 - 00:05:31] 但你不可能把人转死对吧
[00:05:31 - 00:05:33] 但是你用刀扎的时候
[00:05:33 - 00:05:35] 这下能把人扎死
[00:05:35 - 00:05:37] 所以对于这个案子来讲
[00:05:37 - 00:05:39] 这个位随要到什么时候
[00:05:39 - 00:05:42] 抓起来往河内扔了那一瞬间
[00:05:42 - 00:05:44] 你知道这个案子我最佩服谁
[00:05:45 - 00:05:46] 我就可能佩服那个邓某
[00:05:46 - 00:05:47] 我也是
[00:05:47 - 00:05:50] 你想他手脚被人家捆住
[00:05:50 - 00:05:51] 然后又装在编织带里面
[00:05:51 - 00:05:55] 他说他在路上就把手脚铁丝已经松开了
[00:05:55 - 00:05:57] 然后到那他发现他老公下车了
[00:05:57 - 00:05:59] 他觉得有期望用牙齿
[00:06:00 - 00:06:01] 把编织带咬开了
[00:06:02 - 00:06:03] 爬出来的
[00:06:03 - 00:06:05] 那你看相当于您的意思
[00:06:05 - 00:06:07] 就是专家认为他是
[00:06:08 - 00:06:08] 预备
[00:06:08 - 00:06:09] 对
[00:06:09 - 00:06:11] 然后的话但是法院判的是
[00:06:11 - 00:06:12] 未遂
[00:06:12 - 00:06:13] 而且我跟你讲
[00:06:13 - 00:06:15] 就是当时我把这个案子发到我的微博上
[00:06:15 - 00:06:17] 说专家认为是预备
[00:06:17 - 00:06:18] 我那个微博的下一批人
[00:06:18 - 00:06:22] 说专家我要把你这样杀一下你看怎么样
[00:06:22 - 00:06:24] 真是因为我觉得你看比如说我们看里面休记
[00:06:24 - 00:06:27] 这帮妖精不是总想吃唐僧吗
[00:06:27 - 00:06:27] 对呀
[00:06:27 - 00:06:30] 你说我要把唐僧给煮熟了
[00:06:30 - 00:06:30] 对
[00:06:30 - 00:06:32] 因为唐朝只有没有别的办法
[00:06:32 - 00:06:33] 对呀
[00:06:33 - 00:06:34] 然后的话呢
[00:06:34 - 00:06:37] 你看他把唐僧抓住洗干净对吧
[00:06:37 - 00:06:39] 葱姜蒜腌好对吧
[00:06:39 - 00:06:41] 水烧开对吧
[00:06:41 - 00:06:45] 然后把唐僧给扒光放锅边
[00:06:45 - 00:06:47] 这都是预备
[00:06:47 - 00:06:47] 你觉得呢
[00:06:47 - 00:06:50] 从刚才你说的法学律人员
[00:06:50 - 00:06:51] 认为这都是预备
[00:06:52 - 00:06:54] 就说你把唐僧绑在锅边对不对
[00:06:54 - 00:06:56] 还没放进去吧
[00:06:56 - 00:06:56] 对还没扔
[00:06:56 - 00:06:58] 只要没放之前
[00:06:58 - 00:06:59] 就是预备
[00:07:00 - 00:07:00] 我的天
[00:07:00 - 00:07:03] 那预备和未遂在做过量形的时候有什么差别
[00:07:03 - 00:07:04] 有很大区别的
[00:07:05 - 00:07:07] 就是首先从法律上讲
[00:07:07 - 00:07:11] 他说对预备是可以从轻减轻免除处罚
[00:07:11 - 00:07:14] 然后对于未遂可以从轻减轻处罚
[00:07:14 - 00:07:15] 好像没有免除
[00:07:15 - 00:07:16] 没有免除
[00:07:16 - 00:07:18] 然后都是重庆减轻
[00:07:18 - 00:07:20] 但是预备就会非常轻
[00:07:20 - 00:07:25] 然后卫髓有的时候几乎可以和继髓一样
[00:07:25 - 00:07:27] 甚至有的时候情节特别恶劣的时候
[00:07:27 - 00:07:30] 即使卫髓也会判跟继髓一样的
[00:07:30 - 00:07:33] 那这个就是给他预定成了一个
[00:07:33 - 00:07:36] 就是这个做案的判的是按照故意杀人罪
[00:07:36 - 00:07:36] 卫髓判的
[00:07:36 - 00:07:37] 对
[00:07:37 - 00:07:38] 最后判了五年
[00:07:40 - 00:07:41] 那我有一个问题
[00:07:41 - 00:07:44] 比如说我要是说跟人打架
[00:07:44 - 00:07:45] 我跟人打架
[00:07:45 - 00:07:46] 我跟人打架比如说
[00:07:46 - 00:07:48] 我就这么打他
[00:07:48 - 00:07:49] 这个是故意伤害对吧
[00:07:49 - 00:07:50] 对
[00:07:50 - 00:07:52] 但如果说我打的时候
[00:07:52 - 00:07:54] 我这个脑子就不转了
[00:07:54 - 00:07:55] 我说脑子转得太快了
[00:07:55 - 00:07:56] 我一把打
[00:07:56 - 00:07:57] 我说打死你
[00:07:57 - 00:07:58] 打死你
[00:07:58 - 00:07:59] 这个是按故意伤害盘
[00:07:59 - 00:08:00] 还是按故意杀人盘
[00:08:00 - 00:08:03] 因为我中间我说的这句话
[00:08:03 - 00:08:05] 这是按故意伤害人物
[00:08:05 - 00:08:08] 这个我们还不完全看你说了什么
[00:08:08 - 00:08:10] 要看你手底下的动作
[00:08:10 - 00:08:11] 如果你说我打死你
[00:08:11 - 00:08:12] 然后呢
[00:08:12 - 00:08:15] 然后呢这个手呢就对人家头啊 胸啊
[00:08:15 - 00:08:16] 这种关键部位打
[00:08:16 - 00:08:18] 那我最后就会定你故意杀人
[00:08:19 - 00:08:21] 但如果你说我打死你打哪里
[00:08:21 - 00:08:22] 打死你打死你
[00:08:22 - 00:08:24] 就在这个两边打
[00:08:24 - 00:08:26] 人家中间这个部位你都不去
[00:08:26 - 00:08:27] 我最终也只定你故意伤害
[00:08:28 - 00:08:31] 就是主客官相一致
[00:08:31 - 00:08:32] 不光是你说了什么
[00:08:32 - 00:08:34] 还要看你的行为
[00:08:34 - 00:08:36] 你比如一般如果像他特别恨说
[00:08:36 - 00:08:37] 我打死你打死你
[00:08:37 - 00:08:39] 可能根本就不讲究哪个部位
[00:08:39 - 00:08:40] 就打得很胸
[00:08:40 - 00:08:41] 就大概就是说比如说我
[00:08:41 - 00:08:43] 我把你这个人真的往死里打
[00:08:43 - 00:08:45] 你没说我要打死你
[00:08:45 - 00:08:46] 这也是故意杀人
[00:08:46 - 00:08:47] 你真的有误性
[00:08:47 - 00:08:49] 就说我哪怕不说
[00:08:49 - 00:08:51] 我就不说什么
[00:08:51 - 00:08:52] 但是我下的是死手
[00:08:52 - 00:08:54] 那也是定故意杀人的
[00:08:54 - 00:08:55] 重要的是看行为
[00:08:55 - 00:08:57] 反正我觉得就是不管说
[00:08:57 - 00:08:58] 你像这个案子
[00:08:58 - 00:08:59] 他是犯罪预备也好
[00:08:59 - 00:09:01] 还是犯罪未遂也好
[00:09:01 - 00:09:02] 你总归还是要受到
[00:09:02 - 00:09:03] 法律的这种惩罚的
[00:09:03 - 00:09:04] 对
[00:09:04 - 00:09:05] 所以说我觉得有问题吗
[00:09:05 - 00:09:07] 我们可以好好说
[00:09:08 - 00:09:10] 我们干嘛要看这些
[00:09:10 - 00:09:11] 乱七八糟的事情
[00:09:11 - 00:09:11] 对吧
[00:09:11 - 00:09:12] 而且的话
[00:09:12 - 00:09:13] 还给这些法律专家
[00:09:13 - 00:09:15] 尤其是给我们法朔和司法
[00:09:15 - 00:09:17] 考试的考生们造成
[00:09:17 - 00:09:18] 各种各样的困难
[00:09:18 - 00:09:20] 我估计可能类似的案子
[00:09:20 - 00:09:20] 在我们考试当中
[00:09:20 - 00:09:21] 也是经常出现
[00:09:21 - 00:09:22] 对
[00:09:22 - 00:09:23] 这是我们非常重要的考点
[00:09:23 - 00:09:24] 非常重要
[00:09:24 - 00:09:26] 而且类似的案例非常多
[00:09:26 - 00:09:26] 是吧
[00:09:26 - 00:09:27] 就混淆
[00:09:27 - 00:09:29] 看起来特别可怕的一种预备
[00:09:29 - 00:09:30] 然后问你是什么
[00:09:30 - 00:09:32] 那这个简直不是
[00:09:32 - 00:09:33] 那你看我们刚才这个案子当中
[00:09:33 - 00:09:34] 法官认为他是未遂
[00:09:34 - 00:09:36] 然后法学专家认为他是预备
[00:09:36 - 00:09:37] 对
[00:09:37 - 00:09:39] 那这个案子如果说出在
[00:09:39 - 00:09:40] 在司法考试或者是法术当中
[00:09:40 - 00:09:42] 答案应该是
[00:09:42 - 00:09:43] 预备
[00:09:43 - 00:09:44] 预备
[00:09:46 - 00:09:48] 就根据理论纯粹理论的角度讲
[00:09:48 - 00:09:49] 它就是个预备
[00:09:51 - 00:09:53] 学法律的孩子们太顾了
[00:09:53 - 00:09:56] 这种东西真的就是老百姓
[00:09:56 - 00:09:58] 你觉得老百姓学法律的人
[00:09:58 - 00:10:00] 他可能都不一定能够训练
[00:10:00 - 00:10:02] 所以需要训练
[00:10:02 - 00:10:04] 所以说要上我们杨老师的课
[00:10:05 - 00:10:07] 好 那我们本期节目的就是这样
[00:10:07 - 00:10:11] 感谢杨老师给我们解答了这么一个犯罪预备和犯罪卫水的问题
[00:10:11 - 00:10:12] 大家还是放平心态
[00:10:12 - 00:10:13] 好好过我们的生活
[00:10:13 - 00:10:14] 对不对
[00:10:14 - 00:10:15] 好我们本期节目就是这样
[00:10:15 - 00:10:16] 咱们下期节目再见
[00:10:16 - 00:10:17] 谢谢大家
