BV号：BV1VE411t7H1
标题：BV1VE411t7H1
链接：https://www.bilibili.com/video/BV1VE411t7H1
识别语言：zh
语言置信度：1
分段数：308
生成时间：2026-04-04 05:48:33

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪峰老师
[00:03:13 - 00:03:14] 我說我不是被你嚇死的嗎
[00:03:14 - 00:03:15] 他說不是啊
[00:03:15 - 00:03:18] 你是自己心臟病發作死亡的呀
[00:03:18 - 00:03:20] 你的死亡原因是你的心臟病發作呀
[00:03:20 - 00:03:23] 他們就說從法律上講
[00:03:23 - 00:03:25] 他就是認為跟你的想法是一樣的
[00:03:25 - 00:03:27] 比如说作为患者来讲
[00:03:27 - 00:03:29] 你是有知情权的
[00:03:29 - 00:03:30] 然后我跟你讲这个
[00:03:30 - 00:03:31] 你得了什么病
[00:03:31 - 00:03:33] 这是我应该讲的
[00:03:33 - 00:03:34] 这是我的义务
[00:03:34 - 00:03:35] 还有像你讲那种情况
[00:03:35 - 00:03:36] 如果有一个病人说
[00:03:36 - 00:03:37] 你不告诉我
[00:03:37 - 00:03:38] 我就不吃
[00:03:38 - 00:03:40] 那么你如果如实告诉他
[00:03:40 - 00:03:41] 他反而给吓死了
[00:03:41 - 00:03:42] 你说我们医生要不要成谈咱人
[00:03:42 - 00:03:43] 而且就是你比如说
[00:03:43 - 00:03:44] 我再给你举个例子
[00:03:44 - 00:03:46] 比如说你要这么说的话
[00:03:46 - 00:03:48] 比如说我今天我给学生没啥事
[00:03:48 - 00:03:50] 我原来我做过一档讲鬼故事的节目
[00:03:50 - 00:03:52] 我不知道
[00:03:52 - 00:03:54] 我原来我做过一档讲鬼故事的节目
[00:03:54 - 00:03:57] 然後我給學生講鬼故事
[00:03:57 - 00:03:58] 然後他聽我講鬼故事
[00:03:58 - 00:03:59] 他嚇死了
[00:03:59 - 00:04:00] 那我講鬼故事
[00:04:00 - 00:04:01] 是不是要承擔責任
[00:04:01 - 00:04:02] 那你自己還聽的
[00:04:02 - 00:04:04] 那你怎麼還能怪我呢
[00:04:04 - 00:04:04] 對吧
[00:04:04 - 00:04:05] 那你要這麼說的話
[00:04:05 - 00:04:07] 那怎麼辦
[00:04:07 - 00:04:09] 這個咱們以前講那個
[00:04:09 - 00:04:10] 前幾期節目裡有一個叫
[00:04:10 - 00:04:12] 被害人自陷風險
[00:04:12 - 00:04:13] 對
[00:04:13 - 00:04:15] 就你自己來聽我的鬼故事
[00:04:15 - 00:04:17] 我講的太好了
[00:04:17 - 00:04:18] 你至於把你嚇死了
[00:04:18 - 00:04:19] 那我不負責任
[00:04:19 - 00:04:20] 然後所以同樣的
[00:04:20 - 00:04:21] 就是咱們剛講那個話
[00:04:21 - 00:04:23] 在你最開始的安心介紹
[00:04:23 - 00:04:24] 有一個詞很重要
[00:04:24 - 00:04:27] 就是有的患者他自己就是玻璃心的
[00:04:27 - 00:04:31] 你自己玻璃心的 那麼從情理上講
[00:04:31 - 00:04:36] 從情理上講 我這個醫生可以保護一下你的玻璃心
[00:04:36 - 00:04:38] 給你講的委婉一點
[00:04:38 - 00:04:41] 或者你這個人是不適合告知病情真實情況的
[00:04:41 - 00:04:42] 我就不告訴你
[00:04:42 - 00:04:46] 但實際上嚴格來講 人家患者是有個知情權的
[00:04:46 - 00:04:48] 你應該保障你的知情權
[00:04:48 - 00:04:52] 所以這個地方其實有一個情理和法理的這種衝撞的問題
[00:04:52 - 00:04:55] 這個衝撞 像這種患者 像這個人
[00:04:55 - 00:04:57] 他的醫生就應該告訴護士說
[00:04:57 - 00:05:00] 這個患者情況比較特殊 你不能跟他說實話
[00:05:00 - 00:05:04] 這樣 如果說患者這個護士不小心說了實話
[00:05:04 - 00:05:07] 這就有點問題 但是也只是有一點問題
[00:05:07 - 00:05:11] 他達不到那種就是我要給你賠償的這種程度
[00:05:11 - 00:05:16] 我聽說好像是在這個所謂的醫療事務處理項目當中
[00:05:16 - 00:05:18] 好像有一條 專門說這個
[00:05:18 - 00:05:19] 怎么说的
[00:05:19 - 00:05:20] 他说这个我看他的资料说
[00:05:20 - 00:05:23] 这个医师职业法当中26条规定说
[00:05:23 - 00:05:25] 医务人员应当将患者的病情
[00:05:25 - 00:05:28] 医疗硕士 医疗风险等如实高手患者
[00:05:28 - 00:05:31] 但医务人员在向患者及其家属接受病情的时候
[00:05:31 - 00:05:34] 应当逃避避免对患者产生不利后果
[00:05:34 - 00:05:36] 那是不是说
[00:05:36 - 00:05:40] 在职业医师法第26条这个规定当中
[00:05:40 - 00:05:41] 那因为有这么一条
[00:05:41 - 00:05:44] 那患者就可以拿着这一团去找医院
[00:05:44 - 00:05:46] 要赔偿呢
[00:05:46 - 00:05:48] 他這個醫師法他這麼說了
[00:05:48 - 00:05:49] 請問你
[00:05:49 - 00:05:51] 我如實告訴你的病情
[00:05:51 - 00:05:54] 我怎麼保證產生不產生不利後果
[00:05:54 - 00:05:56] 對吧有的人可能
[00:05:56 - 00:05:58] 你就得了癌症我怎麼跟你說
[00:05:58 - 00:06:00] 我怎麼說能不產生不利後果
[00:06:00 - 00:06:02] 他那個話其實他這個法條有問題
[00:06:02 - 00:06:03] 他不能說
[00:06:03 - 00:06:05] 等於我不清楚這個是不是法條原文啊
[00:06:05 - 00:06:08] 就說他不能說避免產生不利後果
[00:06:08 - 00:06:10] 應該說盡量減少不利後果
[00:06:10 - 00:06:12] 你只能這麼說
[00:06:12 - 00:06:14] 你因為你只要告訴人家有個病
[00:06:14 - 00:06:15] 他就有不利後果
[00:06:15 - 00:06:16] 它怎么能没有
[00:06:16 - 00:06:18] 对 而且还有那种就是
[00:06:18 - 00:06:18] 你像这个
[00:06:18 - 00:06:20] 你这法条就是不现实的
[00:06:20 - 00:06:21] 你只能说减少
[00:06:21 - 00:06:24] 这个你看这个还稍微说实话
[00:06:24 - 00:06:25] 人这个病确实挺严重的
[00:06:25 - 00:06:26] 爱中啊
[00:06:26 - 00:06:27] 对肺炎
[00:06:27 - 00:06:28] 这个原来我不知道你见不见过
[00:06:28 - 00:06:30] 也让我看过一个视频
[00:06:30 - 00:06:31] 我回头可以把这个视频解进去
[00:06:31 - 00:06:33] 就是那个晕真的
[00:06:33 - 00:06:35] 我不知道你见不见过那种晕真的
[00:06:35 - 00:06:35] 然后有那种
[00:06:35 - 00:06:36] 也知道晕真的
[00:06:36 - 00:06:37] 就大老爷们那种
[00:06:37 - 00:06:38] 然后说话那个真
[00:06:38 - 00:06:39] 还没扎呢
[00:06:39 - 00:06:39] 你知道吗
[00:06:39 - 00:06:40] 就自己也见晕真
[00:06:40 - 00:06:41] 吓死了
[00:06:41 - 00:06:42] 吓死了
[00:06:42 - 00:06:44] 然后你根本就还没有扎呢
[00:06:44 - 00:06:45] 但是就开始疼
[00:06:45 - 00:06:47] 然后的话你说你给他扎肩吧
[00:06:47 - 00:06:49] 他害怕他躲
[00:06:49 - 00:06:51] 你也得硬扎吧他也可能吓死
[00:06:51 - 00:06:53] 那我怎么办对吧
[00:06:53 - 00:06:55] 但是确实其实
[00:06:55 - 00:06:57] 这个医疗事故处理条例当中
[00:06:57 - 00:06:59] 包括医事接验法当中都我这样的规定
[00:06:59 - 00:07:01] 那既然有这样的规定了
[00:07:01 - 00:07:03] 我是不是可以这么理解
[00:07:03 - 00:07:06] 就是医院愿意陪你呢
[00:07:06 - 00:07:08] 是人家愿意陪你
[00:07:08 - 00:07:09] 人家不陪你呢
[00:07:09 - 00:07:11] 你拿他去法院告你也没有用
[00:07:11 - 00:07:12] 我是不是可以这么理解
[00:07:12 - 00:07:13] 对
[00:07:13 - 00:07:19] 就能夠說那話 陪你是情分 不是義務 不陪我不違法
[00:07:19 - 00:07:21] 你看我覺得我民法的老師講得非常好
[00:07:21 - 00:07:26] 他說 我給你講這個病情 我只要沒有誇大
[00:07:26 - 00:07:29] 沒有特別的來嚇唬你 我就沒有誇大
[00:07:29 - 00:07:32] 如實的告訴你病情 那麼我就正常的履職行為
[00:07:32 - 00:07:35] 就履行我的職責 正常履職行為
[00:07:35 - 00:07:39] 但是我們剛才講了 醫師法也說你要避免不利後果
[00:07:39 - 00:07:41] 這個話不夠準確 應該儘量減少不利後果
[00:07:41 - 00:07:44] 但这个呢主要从情理的角度来讲
[00:07:44 - 00:07:45] 从情理角度来讲
[00:07:45 - 00:07:46] 所以
[00:07:46 - 00:07:47] 也就是说
[00:07:47 - 00:07:48] 就算这个
[00:07:49 - 00:07:49] 家属去
[00:07:50 - 00:07:51] 所谓的法院
[00:07:51 - 00:07:52] 告
[00:07:52 - 00:07:53] 没有意义
[00:07:53 - 00:07:57] 对因为我没有威胁你我没有吓唬你我没有夸大你的病
[00:07:57 - 00:08:00] 我就是实话我就是如实的告诉你那我愿意陪你的话那就是完全是
[00:08:01 - 00:08:02] 就像补偿咱们叫补偿
[00:08:03 - 00:08:04] 陪偿就是你做错了要陪偿
[00:08:05 - 00:08:06] 补偿就是
[00:08:06 - 00:08:09] 我虽然没有做错但是呢我觉得你也确实
[00:08:09 - 00:08:10] 情况有点那个
[00:08:10 - 00:08:13] 值得同情 我補償你一些錢
[00:08:13 - 00:08:15] 有些時候說實話
[00:08:15 - 00:08:19] 怎麼說話 包括說怎麼去跟人交流
[00:08:19 - 00:08:21] 不同 包括說一些不好的事情
[00:08:21 - 00:08:24] 要不怎麼說 說話是一文藝一說
[00:08:24 - 00:08:27] 而且說良言一句三東暖
[00:08:27 - 00:08:29] 這就是這樣的 所以說我覺得
[00:08:29 - 00:08:31] 怎麼說呢
[00:08:31 - 00:08:35] 雖然我們的結論是不該賠 但是
[00:08:35 - 00:08:38] 還是要注意一下 包括說現在像我聽說
[00:08:38 - 00:08:40] 因为我很多朋友做医生的
[00:08:40 - 00:08:43] 我听说他们有的时候医院会专门组织医生
[00:08:43 - 00:08:46] 去参加这种就是关于医疗事务处理条例
[00:08:46 - 00:08:49] 包括像职业医师法相关这种法律的一些
[00:08:49 - 00:08:50] 培训
[00:08:50 - 00:08:51] 学习 培训
[00:08:51 - 00:08:53] 包括我现在我发现除了说
[00:08:53 - 00:08:55] 我们要学习这些什么处理条例
[00:08:55 - 00:08:56] 职业医师法
[00:08:56 - 00:08:59] 甚至说在一些语言沟通上
[00:08:59 - 00:09:02] 可能也要给他们做一些相应的培训
[00:09:02 - 00:09:04] 不是说你不该告诉我
[00:09:04 - 00:09:06] 而是说咱们怎么能够更好的
[00:09:06 - 00:09:07] 对 怎么更好
[00:09:07 - 00:09:10] 但是我初始化我看完這個愛麗以後的話
[00:09:10 - 00:09:12] 我真的挺同情的一些醫生的
[00:09:12 - 00:09:13] 怎麼都錯
[00:09:13 - 00:09:18] 真的是大家要對整個社會的醫生要更加的理解
[00:09:18 - 00:09:19] 真的太難了
[00:09:19 - 00:09:21] 要不怎麼說現在很多時候我們做高爾治院田貓
[00:09:21 - 00:09:24] 有這麼一句話叫勸人學醫天大零批
[00:09:24 - 00:09:25] 你知道吧
[00:09:25 - 00:09:27] 這個真的是太難了
[00:09:27 - 00:09:29] 你以後還是要多勸優秀學生學醫
[00:09:29 - 00:09:31] 不然以後等我們自己生病了
[00:09:31 - 00:09:32] 誰來看
[00:09:32 - 00:09:32] 是
[00:09:32 - 00:09:34] 但是確確實實
[00:09:34 - 00:09:35] 我希望在一些法律上的話
[00:09:35 - 00:09:36] 我覺得要對醫生
[00:09:36 - 00:09:37] 加強保護
[00:09:37 - 00:09:40] 對 你違法行為 你當然要去處罰
[00:09:40 - 00:09:43] 但是真的要對這些就是服上的醫生
[00:09:43 - 00:09:44] 加強保護
[00:09:44 - 00:09:46] 而不要讓那些所謂的依鬧啊
[00:09:46 - 00:09:47] 咱倆的報導去
[00:09:47 - 00:09:50] 在醫療事故的陣地上也要更寬容
[00:09:50 - 00:09:52] 真是 老百姓也要注意的就是說
[00:09:52 - 00:09:55] 有些時候你要對一些醫生有一些寬容的心
[00:09:55 - 00:09:56] 對
[00:09:56 - 00:09:58] 像這個樣子 我覺得就
[00:09:59 - 00:10:02] 明明是你家人自己剝立心 對不對
[00:10:02 - 00:10:03] 你還要去告人家醫院
[00:10:03 - 00:10:04] 對 真人人沒法說
[00:10:04 - 00:10:08] 所以說希望給大家看一看這樣的一個案子
[00:10:08 - 00:10:11] 希望大家對醫生有更多的理解
[00:10:11 - 00:10:13] 真的好好感謝你們好不好
[00:10:13 - 00:10:14] 那好我們下期節目就是這樣
[00:10:14 - 00:10:15] 咱們下期節目再見
[00:10:15 - 00:10:16] 好 謝謝大家
[00:10:16 - 00:10:17] 再見
