BV号：BV1a7411t7Nv
标题：BV1a7411t7Nv
链接：https://www.bilibili.com/video/BV1a7411t7Nv
识别语言：zh
语言置信度：1
分段数：255
生成时间：2026-04-04 03:07:16

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪峰老师
[00:04:02 - 00:04:04] 这个人他有这一个300万的房
[00:04:04 - 00:04:06] 他在外面欠了300万
[00:04:06 - 00:04:09] 但是他用别人帮他担保
[00:04:09 - 00:04:12] 然后去借了300万
[00:04:12 - 00:04:14] 那如果他要把这300万卖了
[00:04:14 - 00:04:16] 是先还这个300万
[00:04:16 - 00:04:18] 还是先还别人替他担保的300万
[00:04:18 - 00:04:20] 对我要帮这个担保人
[00:04:20 - 00:04:22] 我要帮担保人保证他的利益
[00:04:22 - 00:04:24] 我有没有这种义务对不对
[00:04:24 - 00:04:25] 对没有
[00:04:25 - 00:04:26] 那我这个房子卖了
[00:04:26 - 00:04:27] 应该先还钱
[00:04:27 - 00:04:30] 首先来讲你现在欠银行的钱
[00:04:30 - 00:04:31] 如果你想给银行还
[00:04:31 - 00:04:32] 你就给银行还
[00:04:32 - 00:04:35] 因为这个房子不是你抵押
[00:04:35 - 00:04:36] 不是你押给银行
[00:04:36 - 00:04:38] 押给银行是另外一个
[00:04:38 - 00:04:39] 所以如果你把这个房子卖了
[00:04:39 - 00:04:41] 你不想给银行还
[00:04:41 - 00:04:42] 想给别人先还
[00:04:42 - 00:04:43] 可以的
[00:04:43 - 00:04:44] 这个房子上面没有抵押
[00:04:44 - 00:04:45] 可以这么说
[00:04:45 - 00:04:46] 咱们说个最无耻的
[00:04:46 - 00:04:49] 我现在把我手里的钱全部还给了
[00:04:49 - 00:04:51] 另外一个朋友的债
[00:04:51 - 00:04:52] 然后到银行来
[00:04:52 - 00:04:52] 跟我要钱的时候
[00:04:52 - 00:04:53] 一毛钱都没有
[00:04:53 - 00:04:54] 怎么办
[00:04:54 - 00:04:54] 你抵押
[00:04:54 - 00:04:55] 执行他的房子吗
[00:04:55 - 00:04:56] 他不是有房子吗
[00:04:56 - 00:04:57] 可以有你起了这种程度
[00:04:57 - 00:04:59] 你要我问你这个问题就是说什么呢
[00:04:59 - 00:05:00] 就刚才您说说
[00:05:00 - 00:05:01] 你看我这么大资产
[00:05:01 - 00:05:03] 我还不上你那点钱吗对吧
[00:05:03 - 00:05:05] 那如果说刚才像您说的这种情况
[00:05:05 - 00:05:06] 那真的就是一个鬼
[00:05:06 - 00:05:08] 对对对这个话就在对了
[00:05:08 - 00:05:09] 我都可以给你补还
[00:05:09 - 00:05:10] 我就哪怕有这么多
[00:05:10 - 00:05:11] 我也可以给你补还
[00:05:11 - 00:05:12] 就是我有一个朋友
[00:05:12 - 00:05:13] 他真的就是这样的
[00:05:13 - 00:05:16] 就是借了我们好多人钱
[00:05:16 - 00:05:19] 但是我以为他整个标地是30万
[00:05:19 - 00:05:20] 但是我后来我才知道
[00:05:20 - 00:05:24] 他是跟每一个借钱的人都误解了30万
[00:05:24 - 00:05:26] 我当时以为他总共要借30万
[00:05:26 - 00:05:27] 我说这样我给你出10万
[00:05:27 - 00:05:31] 因为其实我估计他这个钱是回不来的
[00:05:31 - 00:05:33] 我猜是这个人说我特别是好的朋友
[00:05:33 - 00:05:36] 我觉得我们之间的友情值着10万块钱
[00:05:36 - 00:05:38] 我拿着10万块钱我值着10万块钱
[00:05:38 - 00:05:39] 你知道吧我没有问题
[00:05:39 - 00:05:43] 然后我觉得他还有20万是可能跟别人凑一凑
[00:05:43 - 00:05:44] 那能谎过来谎过来谎过来
[00:05:44 - 00:05:45] 这10万块钱我也不打损药了
[00:05:45 - 00:05:46] 知道吧
[00:05:46 - 00:05:48] 但是后来我才知道我认识了很多
[00:05:48 - 00:05:51] 就我们之间都被他借了
[00:05:51 - 00:05:53] 然后的话
[00:05:53 - 00:05:55] 后来他说我有钱就还你
[00:05:55 - 00:05:56] 我有钱就还你
[00:05:56 - 00:05:59] 后来我一看他在外面得借了就几百万了
[00:05:59 - 00:06:02] 我说老哥这10万块钱
[00:06:02 - 00:06:04] 我这10万块钱你有就还
[00:06:04 - 00:06:06] 没有我也不会给你要
[00:06:06 - 00:06:07] 你先挤的别人
[00:06:07 - 00:06:09] 因为我听说我其他的朋友是借
[00:06:09 - 00:06:11] 你带给他借的这30
[00:06:11 - 00:06:11] 哎呦
[00:06:11 - 00:06:13] 因为他跟你说说我有钱还
[00:06:13 - 00:06:15] 他真的不一定说
[00:06:15 - 00:06:16] 你看我这么多加上
[00:06:16 - 00:06:17] 我还还换不上你这钱吗
[00:06:17 - 00:06:19] 他真的不一定只有你这事
[00:06:19 - 00:06:20] 你不知道他的背后的情况
[00:06:20 - 00:06:21] 对
[00:06:21 - 00:06:22] 而且这个又说另一个
[00:06:22 - 00:06:24] 咱们刚才讲说不要随便给人担保
[00:06:24 - 00:06:26] 第二,不要隨便給人借錢
[00:06:26 - 00:06:28] 我跟你們說一句特別難聽的話
[00:06:28 - 00:06:30] 你拿著錢給對方
[00:06:30 - 00:06:32] 只要錢到對方手裡
[00:06:32 - 00:06:33] 對方一離開你
[00:06:33 - 00:06:35] 或者從賬上你一轉給對方
[00:06:35 - 00:06:36] 對方就是大爺
[00:06:36 - 00:06:37] 你就是孫子
[00:06:37 - 00:06:38] 因為你就要跟他說
[00:06:38 - 00:06:39] 把我的錢給我吧
[00:06:39 - 00:06:41] 求求你把我的錢還我
[00:06:41 - 00:06:42] 他說對不起被我花掉了
[00:06:42 - 00:06:44] 哎呀,這咱們就成這樣了
[00:06:44 - 00:06:44] 哈哈哈哈
[00:06:44 - 00:06:48] 總之就是大家不要輕易給人擔保
[00:06:48 - 00:06:50] 也不要輕易去
[00:06:50 - 00:06:52] 尤其是不是那麼很熟的人
[00:06:52 - 00:06:54] 很熟的人也不行
[00:06:54 - 00:06:56] 除非你打算这个很熟的人
[00:06:56 - 00:06:59] 你比如有人给自己的哥哥做生意
[00:06:59 - 00:07:00] 他给哥哥担保
[00:07:00 - 00:07:01] 拿自己家房子担保的
[00:07:01 - 00:07:03] 除非你打算你哥哥还不上了
[00:07:03 - 00:07:05] 你家的他房子不要了
[00:07:05 - 00:07:07] 贡献给你哥哥你们三口住马路上去
[00:07:07 - 00:07:09] 你做好了这种住马路的打算
[00:07:09 - 00:07:11] 你再给你哥哥担保
[00:07:11 - 00:07:14] 真的法律人就是这么冷静
[00:07:14 - 00:07:14] 好吧
[00:07:15 - 00:07:16] 我们感谢杨老师的冷静
[00:07:16 - 00:07:18] 我们本期节目就是这样
[00:07:18 - 00:07:19] 大家也冷静一下
[00:07:19 - 00:07:20] 反正我得先去冷静冷静的
[00:07:20 - 00:07:22] 咱们下期节目再见
[00:07:22 - 00:07:23] 谢谢
[00:07:23 - 00:07:23] 拜拜
[00:07:24 - 00:07:26] 字幕by索兰娅
