BV号：BV1LE411h7XV
标题：BV1LE411h7XV
链接：https://www.bilibili.com/video/BV1LE411h7XV
识别语言：zh
语言置信度：1
分段数：404
生成时间：2026-04-04 05:55:06

[00:00:02 - 00:00:05] 看起来是没魔灵了
[00:04:17 - 00:04:19] 因为可能你也
[00:04:19 - 00:04:20] 也不怎么运动
[00:04:20 - 00:04:20] 对了
[00:04:20 - 00:04:21] 半年之后
[00:04:21 - 00:04:22] 因为这个腿
[00:04:22 - 00:04:24] 你是打着石膏的
[00:04:24 - 00:04:27] 然后就是在拆下来的时候
[00:04:27 - 00:04:29] 这边的腿和胳膊一样细
[00:04:29 - 00:04:31] 这边还是原来的那条腿
[00:04:31 - 00:04:32] 是吧
[00:04:32 - 00:04:33] 所以我的天太惨了
[00:04:33 - 00:04:35] ES不但上过春了
[00:04:35 - 00:04:38] 而且的话还这个上过CD
[00:04:38 - 00:04:40] 而且还有一项基因私实际记录
[00:04:40 - 00:04:41] 啊是的是的
[00:04:41 - 00:04:42] 咱们基因私实际记录
[00:04:42 - 00:04:45] 这个这个花生花生的锈手基因私实际记录
[00:04:45 - 00:04:47] 我们挑战的项目是一分钟
[00:04:47 - 00:04:48] 蹦床靠拦的
[00:04:48 - 00:04:50] 呃靠近的个数
[00:04:50 - 00:04:53] 对这一项基因私的实际记录
[00:04:53 - 00:04:55] 就是在一分钟之内
[00:04:55 - 00:04:56] 五个人
[00:04:56 - 00:04:58] 然后连续
[00:04:58 - 00:05:00] 完成蹦床靠拦
[00:05:00 - 00:05:01] 然后靠近的个数
[00:05:01 - 00:05:05] 我们当时靠了大概是47个
[00:05:05 - 00:05:06] 17个
[00:05:06 - 00:05:07] 对,一分钟
[00:05:07 - 00:05:09] 一秒钟
[00:05:09 - 00:05:10] 多一丢丢
[00:05:10 - 00:05:12] 就靠近一个
[00:05:12 - 00:05:14] 所以大家的节奏是很快的
[00:05:14 - 00:05:16] 就是刷刷刷的
[00:05:16 - 00:05:18] 就是连续不断的去
[00:05:18 - 00:05:19] 扣完了就走
[00:05:19 - 00:05:20] 扣完就走
[00:05:20 - 00:05:20] 扣完就走
[00:05:20 - 00:05:21] 检球在街上
[00:05:21 - 00:05:23] 然后边排队去扣
[00:05:23 - 00:05:24] 幸亏你们玩的相同
[00:05:24 - 00:05:25] 不是没找我
[00:05:25 - 00:05:26] 找我的话
[00:05:26 - 00:05:27] 我扣完以后
[00:05:27 - 00:05:28] 咋不然不能来两个
[00:05:28 - 00:05:29] 跳个几秒钟
[00:05:29 - 00:05:30] 哥哥你拍个照
[00:05:30 - 00:05:31] 我在
[00:05:31 - 00:05:32] 比较帅
[00:05:32 - 00:05:32] 对呀
[00:05:32 - 00:05:34] 那如果现在有一个年轻人
[00:05:34 - 00:05:36] 他可能对华盛牧场战权感兴趣的话
[00:05:36 - 00:05:40] 你是否建议他从业呢
[00:05:41 - 00:05:43] 我们欢迎任何人加入我们
[00:05:44 - 00:05:47] 我就问的问题有点诡异
[00:05:47 - 00:05:48] 其实确实是比较危险
[00:05:48 - 00:05:50] 但是因为我们是在体育大学里边
[00:05:50 - 00:05:53] 专面像这些就是有体育基础的学生
[00:05:53 - 00:05:56] 所以他们其实来加入我们
[00:05:57 - 00:05:58] 相手都比较快
[00:05:58 - 00:06:00] 相对于就是普通人
[00:06:00 - 00:06:02] 他们会进步的更快一些
[00:06:02 - 00:06:05] 所以其实也并没有想象那么可怕
[00:06:05 - 00:06:06] 对
[00:06:06 - 00:06:11] 有的人可能来的这个玩的几次就走了
[00:06:11 - 00:06:12] 嗯
[00:06:12 - 00:06:13] 也有这样的
[00:06:13 - 00:06:15] 这放下你也高我我可能就是这样
[00:06:15 - 00:06:18] 高我我可能就是这样
[00:06:18 - 00:06:21] 就是扣下来
[00:06:21 - 00:06:22] 赶紧但是跨上挂一会
[00:06:22 - 00:06:23] 对
[00:06:23 - 00:06:24] 太多照片了
[00:06:24 - 00:06:24] 对对
[00:06:24 - 00:06:25] 下次不来了
[00:06:25 - 00:06:26] 想一想就可以了
[00:06:26 - 00:06:27] 有很多这样的
[00:06:27 - 00:06:28] 是吧
[00:06:28 - 00:06:29] 他们自己来的其实实际上规划
[00:06:29 - 00:06:30] 大概是什么样的
[00:06:30 - 00:06:31] 首先是这样
[00:06:31 - 00:06:33] 我组建这个团队啊
[00:06:33 - 00:06:35] 我最开始自己是一个小朋友的时候
[00:06:35 - 00:06:36] 我在我自己就在玩
[00:06:36 - 00:06:38] 但是慢慢我们队员越来越多了
[00:06:38 - 00:06:41] 也有很多家长去反对自己的孩子
[00:06:41 - 00:06:43] 跟着我一起玩
[00:06:43 - 00:06:43] 哦
[00:06:43 - 00:06:45] 就是你就是那种
[00:06:45 - 00:06:46] 我这种
[00:06:46 - 00:06:47] 别再说闭门啊
[00:06:47 - 00:06:48] 就是那种
[00:06:48 - 00:06:49] 对
[00:06:49 - 00:06:51] 然后觉得我我是一个坏哥哥
[00:06:51 - 00:06:54] 然后把这些小朋友都带上了一条不归路
[00:06:54 - 00:06:55] 嗯
[00:06:55 - 00:06:58] 所以其实我自己心里边对这件事也挺介意的
[00:06:58 - 00:06:59] 然后我就想
[00:06:59 - 00:07:03] 怎么样能够首先让大家更少的去受伤
[00:07:03 - 00:07:04] 同时呢
[00:07:04 - 00:07:08] 去干我们这个这个运动能够更体面
[00:07:08 - 00:07:11] 更让别人认可
[00:07:11 - 00:07:14] 甚至让他的家长觉得我是以我自己的孩子为傲
[00:07:14 - 00:07:15] 对
[00:07:15 - 00:07:17] 而不是说觉得这是不顾正业啊
[00:07:17 - 00:07:18] 请你再来一半
[00:07:18 - 00:07:20] 就是瞎搞
[00:07:20 - 00:07:20] 所以呢
[00:07:20 - 00:07:21] 在一五年
[00:07:21 - 00:07:22] 就是毕业之后
[00:07:22 - 00:07:24] 我成年了两年
[00:07:24 - 00:07:26] 然后组建了自己的公司
[00:07:26 - 00:07:28] 前期的一些
[00:07:28 - 00:07:32] 老的员工都是我的表演队的队员
[00:07:32 - 00:07:36] 他们在毕业之后跟着我一起来到了公司
[00:07:36 - 00:07:39] 我们最开始还是以表演为主
[00:07:39 - 00:07:42] 后来慢慢的我们也去拓展了一些其他的业务
[00:07:42 - 00:07:43] 比如说我们会做一些赛事
[00:07:43 - 00:07:48] 刚刚咱们提到的这些赛事的执行服务
[00:07:48 - 00:07:50] 比如说我公司
[00:07:50 - 00:07:52] 我经常可能会跟别的公司去一起打比赛
[00:07:52 - 00:07:55] 这个组织比赛我需要你们能给我做什么的
[00:07:55 - 00:07:57] 有多个球队参加的这种比赛
[00:07:57 - 00:07:59] 它需要一些儀式感的東西
[00:07:59 - 00:08:03] 它需要一些現場的包裝和一些對外的呈現
[00:08:03 - 00:08:07] 可能我們會邀請一些比較有名的主持人
[00:08:07 - 00:08:09] 去調動一下現場的觀眾
[00:08:09 - 00:08:12] 我們可能會邀請一些好的節目
[00:08:12 - 00:08:13] 比如說類似我們這個
[00:08:13 - 00:08:17] 或者是其他的比較適合在
[00:08:17 - 00:08:19] 籃球場上是呈現的節目
[00:08:19 - 00:08:22] 另外還有一些比較大規模的這種比賽
[00:08:22 - 00:08:25] 可能我們需要在現場去做一些LED的屏
[00:08:25 - 00:08:27] 做一些A字板
[00:08:27 - 00:08:30] 然后dtr广告板
[00:08:30 - 00:08:32] 甚至说每个球队
[00:08:32 - 00:08:33] 谁是多少号码
[00:08:33 - 00:08:35] 谁的尺码是多少
[00:08:35 - 00:08:38] 这些可能我们都给前期进行大量的统计工作
[00:08:38 - 00:08:39] 准备工作
[00:08:39 - 00:08:41] 有那种有钱的公司说
[00:08:41 - 00:08:42] 哎 你看我这个队
[00:08:42 - 00:08:43] 我是不是要定个统一的对付
[00:08:43 - 00:08:43] 对
[00:08:43 - 00:08:45] 我要定个统一对付的话
[00:08:45 - 00:08:46] 那你这个队员身材是什么样
[00:08:46 - 00:08:47] 我这个队是身材是什么样
[00:08:47 - 00:08:48] 对吧
[00:08:48 - 00:08:50] 是是是是是这个这个矮肥员
[00:08:50 - 00:08:52] 是为了身材对吧
[00:08:52 - 00:08:53] 那可能统一的来去队对付
[00:08:53 - 00:08:54] 然后印上个号码
[00:08:54 - 00:08:55] 我印上个什么东西的
[00:08:55 - 00:08:58] 这几个来做是你们可以去做的
[00:08:58 - 00:08:58] 对我们都可以
[00:08:58 - 00:09:01] 而且甚至说我们接触的一些就是比较
[00:09:02 - 00:09:03] 级别比较高的
[00:09:03 - 00:09:05] 就是涉及到一些国际赛事
[00:09:05 - 00:09:05] 哦你买
[00:09:05 - 00:09:07] 你可以组国际赛事
[00:09:07 - 00:09:12] 对我们做过就是非法国际蓝莲的三组三的大师赛
[00:09:12 - 00:09:12] 哦
[00:09:12 - 00:09:14] 对还有他的世界总决赛
[00:09:14 - 00:09:15] 世界总决赛
[00:09:15 - 00:09:16] 在中国
[00:09:16 - 00:09:18] 中国赛趋势你们在做
[00:09:18 - 00:09:18] 不是
[00:09:18 - 00:09:21] 他是把最后的总决赛放到了中国
[00:09:21 - 00:09:24] 那有没有就是那种你们越来越来越来越来越加长
[00:09:24 - 00:09:24] 别来说
[00:09:24 - 00:09:25] 不要跟我们明气玩
[00:09:25 - 00:09:26] 前点说
[00:09:26 - 00:09:26] 哎
[00:09:26 - 00:09:27] 这可能你玩的
[00:09:27 - 00:09:29] 其实家长也很现实
[00:09:29 - 00:09:30] 最早
[00:09:30 - 00:09:32] 最早我们给队员
[00:09:32 - 00:09:33] 就是发劳务的时候
[00:09:33 - 00:09:35] 可能很少的钱
[00:09:35 - 00:09:35] 嗯
[00:09:36 - 00:09:37] 就家长会觉得
[00:09:37 - 00:09:38] 第一是因为你钱少
[00:09:38 - 00:09:39] 对
[00:09:39 - 00:09:41] 第二是因为你可能比较危险
[00:09:41 - 00:09:41] 对
[00:09:41 - 00:09:42] 然后
[00:09:42 - 00:09:45] 第三可能是家长有倾向于找这种
[00:09:45 - 00:09:46] 体制内的工作的
[00:09:46 - 00:09:47] 可能会相对不稳定
[00:09:47 - 00:09:48] 但是现在呢
[00:09:49 - 00:09:49] 呃
[00:09:49 - 00:09:52] 我们给队员的这种整个的暴动
[00:09:52 - 00:09:53] 待遇各方面
[00:09:53 - 00:09:56] 是远远高于任何一个大学老师
[00:09:56 - 00:09:57] 哎呦很远
[00:09:57 - 00:09:58] 对你这是你说这句话的时候
[00:09:58 - 00:10:01] 你在趁着镜头非常自信的做一遍
[00:10:01 - 00:10:02] 我们现在公司啊
[00:10:02 - 00:10:04] 给这个人工的待遇
[00:10:04 - 00:10:05] 是远远的
[00:10:05 - 00:10:06] 啊不能太嚣张
[00:10:06 - 00:10:07] 不能太嚣张是吧
[00:10:07 - 00:10:08] 对对对
[00:10:08 - 00:10:09] 这这这不是吹牛
[00:10:09 - 00:10:09] 这是真的
[00:10:09 - 00:10:10] 就是呃
[00:10:10 - 00:10:11] 所以正因为是这样
[00:10:11 - 00:10:13] 我们能给我们自己的
[00:10:13 - 00:10:15] 留下来的靠谱的员工
[00:10:15 - 00:10:17] 然后给他们一些这个
[00:10:17 - 00:10:19] 至少是从收入上的一些保障的时候
[00:10:19 - 00:10:21] 不太低于同龄人
[00:10:21 - 00:10:23] 对 真的是不太低于同仁人
[00:10:23 - 00:10:25] 然后所以家长才会觉得
[00:10:25 - 00:10:26] 哎 你这个事靠谱
[00:10:26 - 00:10:27] 是个正事
[00:10:27 - 00:10:28] 是个正事
[00:10:28 - 00:10:28] 对吧
[00:10:28 - 00:10:32] 说不定哪天就是在组织一些什么大比赛的时候
[00:10:32 - 00:10:36] 然后说不定自己的家的孩子居然是其中的一个服务意愿
[00:10:36 - 00:10:36] 是
[00:10:36 - 00:10:37] 是
[00:10:37 - 00:10:37] 很自豪
[00:10:37 - 00:10:38] 其实有很明显的电话
[00:10:38 - 00:10:41] 原来发了一份就发点在空中扣篮的照片
[00:10:41 - 00:10:43] 到后来大家随着自己
[00:10:43 - 00:10:48] 月历年龄和这种自己的成熟的程度的这种变化
[00:10:48 - 00:10:50] 在发照片都是大机关
[00:10:50 - 00:10:53] 赛场整个搭建的这种氛围的照片
[00:10:53 - 00:10:57] 最后的工作的场景大的合影
[00:10:57 - 00:11:01] 然后包括一些这种赛事对外宣传的一些意义
[00:11:01 - 00:11:04] 可能我们这些小朋友在妈妈成长的过程中
[00:11:04 - 00:11:07] 自己想去表现的东西也不一样了
[00:11:07 - 00:11:10] 家长会感觉可能在跟随我们成长的过程中
[00:11:10 - 00:11:12] 也是越来越成熟
[00:11:12 - 00:11:15] 越来越觉得能够接受
[00:11:15 - 00:11:18] 跟着我们一起去做这件事
[00:11:18 - 00:11:20] 王明老师不是个坏哥哥
[00:11:20 - 00:11:21] 那是一个非常好的大哥
[00:11:21 - 00:11:22] 我希望是个好哥
[00:11:22 - 00:11:25] 但是其实我希望通过我们今天这种节目呢
[00:11:25 - 00:11:27] 能够告诉我看我们这个视频的朋友
[00:11:27 - 00:11:28] 一呢
[00:11:28 - 00:11:30] 就是如果说你对这个花石蓝球感兴趣的话呢
[00:11:30 - 00:11:31] 你是可以来加入这个团体
[00:11:31 - 00:11:33] 未来你是用你成长空间的
[00:11:33 - 00:11:34] 第二呢
[00:11:34 - 00:11:36] 就是大家有些时候在做事情的时候真的
[00:11:36 - 00:11:38] 不能说是说你走一步看一步
[00:11:38 - 00:11:41] 而是你走一步要可能看很远
[00:11:41 - 00:11:41] 是
[00:11:41 - 00:11:43] 我未来的成长空间呀
[00:11:43 - 00:11:45] 十月生亚过一会呀
[00:11:45 - 00:11:46] 大概是怎么回事
[00:11:46 - 00:11:47] 对对对
[00:11:47 - 00:11:48] 所以说的话我们做什么事呢
[00:11:48 - 00:11:49] 得坚持
[00:11:49 - 00:11:50] 坚持
[00:11:50 - 00:11:51] 持之以恒
[00:11:51 - 00:11:51] 对
[00:11:51 - 00:11:53] 然后有短期的目标
[00:11:53 - 00:11:54] 也要有长期的目标
[00:11:54 - 00:11:56] 但是我觉得最关键的一点
[00:11:56 - 00:11:57] 就是
[00:11:58 - 00:12:01] 我一直没被当成一个坏哥哥
[00:12:01 - 00:12:03] 也是因为我不像我自己
[00:12:03 - 00:12:04] 变成了一个
[00:12:04 - 00:12:05] 就是纯粹的老板
[00:12:06 - 00:12:06] 而是
[00:12:07 - 00:12:11] 能够从头到尾的对我的这些兄弟们负责
[00:12:11 - 00:12:11] 对
[00:12:11 - 00:12:14] 带领大家一起干自己喜欢干的行业
[00:12:14 - 00:12:15] 喜欢干的事
[00:12:15 - 00:12:16] 对不对
[00:12:16 - 00:12:17] 我们这么喜欢篮球
[00:12:17 - 00:12:18] 甚至为篮球受了伤
[00:12:18 - 00:12:21] 那么如果我们把它当成终身职业的话
[00:12:21 - 00:12:23] 我们可以把它当成终身职业
[00:12:23 - 00:12:24] 是的
[00:12:24 - 00:12:25] 好
[00:12:25 - 00:12:26] 我们感谢王老师
[00:12:26 - 00:12:27] 经常跟我们分享了这么多
[00:12:27 - 00:12:30] 未来篮球行业职业成长的话题
[00:12:30 - 00:12:32] 我们本期节目就是这样
[00:12:32 - 00:12:33] 咱们下期节目再见
[00:12:33 - 00:12:34] 谢谢大家
