BV号：BV1FE411e7KQ
标题：BV1FE411e7KQ
链接：https://www.bilibili.com/video/BV1FE411e7KQ
识别语言：zh
语言置信度：1
分段数：389
生成时间：2026-04-04 05:33:49

[00:00:02 - 00:00:04] 现在买师是你的人买二组的锅吗
[00:01:36 - 00:01:39] 来让二手市场的交易增加
[00:01:39 - 00:01:41] 你之前一年挣50万
[00:01:41 - 00:01:42] 第二年你成80万
[00:01:42 - 00:01:44] 你家里有再多的包
[00:01:44 - 00:01:45] 你不会把它拿出来卖的
[00:01:45 - 00:01:46] 对
[00:01:46 - 00:01:48] 但是如果你挣50万
[00:01:48 - 00:01:50] 你明年可能就40万的时候
[00:01:50 - 00:01:52] 你会发现你越看那些包
[00:01:52 - 00:01:53] 你越觉得别扭
[00:01:53 - 00:01:53] 对
[00:01:53 - 00:01:55] 当年我咋就没想下来这
[00:01:55 - 00:01:55] 对
[00:01:55 - 00:01:56] 那我就把它卖了
[00:01:56 - 00:01:59] 它就变成了二手交易里边的卖家
[00:01:59 - 00:02:00] 那买家是什么
[00:02:00 - 00:02:03] 我之前经济状况好的时候
[00:02:03 - 00:02:04] 我花1万块钱买一个新的
[00:02:04 - 00:02:06] 但是你要知道这个人啊
[00:02:06 - 00:02:08] 往高处走简单
[00:02:08 - 00:02:09] 往低处走难
[00:02:09 - 00:02:11] 有减育生意有奢入
[00:02:11 - 00:02:12] 所以他怎么办
[00:02:12 - 00:02:15] 我之前买新的LVGOOT1W
[00:02:15 - 00:02:17] 那我现在没有那么多的经济
[00:02:17 - 00:02:19] 我那我也得买二手
[00:02:19 - 00:02:20] 对
[00:02:20 - 00:02:21] 所以我当时研究发现
[00:02:21 - 00:02:23] 就是在那个时候
[00:02:24 - 00:02:25] 日本是极速增长
[00:02:25 - 00:02:26] 在90年代的时候
[00:02:26 - 00:02:28] 在经济增长方半的时候
[00:02:28 - 00:02:32] 那我觉得我们接下来的经济增长
[00:02:32 - 00:02:33] 一定还会增长的
[00:02:33 - 00:02:33] 不错
[00:02:33 - 00:02:35] 但是相较于前几年
[00:02:35 - 00:02:37] 他可能会稍微的慢一些
[00:02:37 - 00:02:38] 那也就是在这个时长里
[00:02:38 - 00:02:44] 像我刚才说的买卖双方的这种愿意拿出来交易和参与交易的人会越来越多
[00:02:44 - 00:02:47] 这个也是我对市场的一个个人的判断吧
[00:02:47 - 00:02:50] 对 而且我觉得就是说像有些人啊
[00:02:50 - 00:02:55] 他一旦说他买了第一只所谓的这个设置品包包或者其他设置品
[00:02:55 - 00:02:57] 他这东西会上瘾的
[00:02:57 - 00:02:57] 嗯
[00:02:57 - 00:02:59] 他真的会上瘾的
[00:02:59 - 00:03:00] 他这个上瘾的第一方面呢
[00:03:00 - 00:03:03] 他就是说自己已经背惯了这种可能品质好
[00:03:03 - 00:03:06] 或者说是背出了这种更高级的感觉
[00:03:06 - 00:03:07] 对
[00:03:07 - 00:03:09] 我整一只LV包包出去
[00:03:09 - 00:03:10] 外边人一看
[00:03:10 - 00:03:11] 这人不错
[00:03:11 - 00:03:12] 一看叔叔就不低
[00:03:12 - 00:03:14] 背了一个LV包包
[00:03:14 - 00:03:14] 然后的话
[00:03:14 - 00:03:15] 他可能看了我们这个节目
[00:03:15 - 00:03:16] 他拉拉拉链
[00:03:16 - 00:03:17] 哎
[00:03:17 - 00:03:18] 真的
[00:03:18 - 00:03:19] 哈哈哈哈
[00:03:19 - 00:03:20] 有这个可能
[00:03:20 - 00:03:20] 对吧
[00:03:20 - 00:03:21] 还有这个可能对吧
[00:03:21 - 00:03:23] 然后的话在第一天背的这个包
[00:03:23 - 00:03:24] 有后的话呢
[00:03:24 - 00:03:26] 哎大家如果说他今年再不买一个新的
[00:03:26 - 00:03:27] 大家会觉得
[00:03:27 - 00:03:28] 你看这人他买的这包
[00:03:28 - 00:03:29] 就这类的装逼的
[00:03:29 - 00:03:29] 也有可能
[00:03:29 - 00:03:30] 是吧
[00:03:30 - 00:03:30] 嗯
[00:03:30 - 00:03:31] 要是拍着装逼的
[00:03:31 - 00:03:31] 那可能就是哎
[00:03:31 - 00:03:33] 我就再买第二个或者第三个对
[00:03:33 - 00:03:34] 再加上现在有些时候
[00:03:34 - 00:03:36] 你看在咱们中国呢
[00:03:36 - 00:03:36] 可能很多年轻人
[00:03:36 - 00:03:38] 他要买房
[00:03:38 - 00:03:39] 他已经不如中产阶级
[00:03:39 - 00:03:40] 但是他一方面要买房
[00:03:40 - 00:03:43] 一方面他可能还想有一些其他的
[00:03:43 - 00:03:44] 品质生品
[00:03:44 - 00:03:45] 品质生活的花销
[00:03:45 - 00:03:47] 那这个时候他可能
[00:03:47 - 00:03:49] 他可能更需求买房
[00:03:49 - 00:03:51] 孩子就要以这方面特别刚需的情况下
[00:03:51 - 00:03:54] 那可能再改变自己的这种品质需求的时候
[00:03:54 - 00:03:54] 对
[00:03:54 - 00:03:57] 可能会选择这种二手的这种设置品
[00:03:57 - 00:03:57] 对吧
[00:03:57 - 00:03:59] 拿出去也不留人
[00:03:59 - 00:04:00] 对不对
[00:04:00 - 00:04:04] 而且尤其是一般我们做的调研发现什么
[00:04:04 - 00:04:07] 我买设置品第一支包的时候
[00:04:07 - 00:04:10] 80%的人都会买一支新的
[00:04:11 - 00:04:13] 而用过了新的人
[00:04:14 - 00:04:17] 当他想要把这包卖出去的时候
[00:04:17 - 00:04:19] 他就会发现变质的很大
[00:04:19 - 00:04:22] 越是老鸟越知道我要买的
[00:04:22 - 00:04:24] 还是要买一个二手是最好的
[00:04:24 - 00:04:26] 我这样不喜欢我再卖
[00:04:26 - 00:04:27] 我也赔不了多少钱
[00:04:27 - 00:04:30] 我之前看过一特别有意思的漫画里边讲的是什么
[00:04:30 - 00:04:33] 叫精致女孩的生活
[00:04:34 - 00:04:36] 里边是以一个什么来开头的呢
[00:04:36 - 00:04:38] 就是我买了一只LV的包包
[00:04:39 - 00:04:41] 我以前出去以后
[00:04:41 - 00:04:42] 我就早上洗一个头
[00:04:42 - 00:04:43] 吹干了就出去了
[00:04:43 - 00:04:45] 但是我背上LV之后
[00:04:45 - 00:04:47] 我不能这么打扮我自己
[00:04:47 - 00:04:48] 我得把我的头分动得精致一点
[00:04:48 - 00:04:50] 我要磨磨滋加油
[00:04:50 - 00:04:51] 我要换个一个高跟鞋
[00:04:51 - 00:04:52] 我要穿一个连运裙
[00:04:52 - 00:04:53] 说你买了试着品之后
[00:04:53 - 00:04:56] 你会发现你这个人整体的
[00:04:56 - 00:04:58] 都会感觉我要更加重视我的
[00:04:58 - 00:05:01] 所以你一旦倒这边的时候
[00:05:01 - 00:05:02] 你就不会再往后退了
[00:05:02 - 00:05:05] 所以他如果经济出现一些问题
[00:05:05 - 00:05:09] 或者说他更考虑的是经济性价比的话
[00:05:09 - 00:05:11] 更多的第二支第三支开始
[00:05:11 - 00:05:13] 就会大多数人开始在选择二少
[00:05:13 - 00:05:14] 对
[00:05:14 - 00:05:16] 但是这个行业它是一个行业
[00:05:16 - 00:05:19] 它行业其实有很多的相关的产业
[00:05:19 - 00:05:19] 比如说我觉得
[00:05:19 - 00:05:21] 你像如果它是皮具的话
[00:05:21 - 00:05:23] 它相关的奢侈品皮具护理
[00:05:23 - 00:05:24] 对不对
[00:05:24 - 00:05:26] 然后包括奢侈品的一些修复
[00:05:26 - 00:05:29] 比如拉链如果是有损坏的话
[00:05:29 - 00:05:29] 一个什么办
[00:05:29 - 00:05:33] 包括像我们这种就是奢侈品代这种真伪的这种奖定
[00:05:33 - 00:05:36] 那如果说这个市场越来越成熟的话
[00:05:36 - 00:05:39] 那相关行业的人才也应该是叙车辆越来越大的
[00:05:39 - 00:05:40] 对
[00:05:40 - 00:05:43] 这个也是我比较想讨论的一个话题
[00:05:43 - 00:05:48] 因为这个毕竟您的这边的这个有很多的学生会关注这个
[00:05:48 - 00:05:52] 其实我们可以往前回想一下
[00:05:52 - 00:05:54] 目前有很多还是高收入的人群
[00:05:54 - 00:05:59] 他们其实当时都是在大学里边选到了一个比较火的专业
[00:05:59 - 00:06:00] 对对对
[00:06:00 - 00:06:02] 借着互联网的时候一下就起来
[00:06:02 - 00:06:05] 那其实我也是给这个
[00:06:05 - 00:06:07] 在就是看节目的各位
[00:06:07 - 00:06:08] 一个意见就是
[00:06:08 - 00:06:12] 其实未来的咱们中国的奢侈品和二手奢侈品的交易这个市场
[00:06:12 - 00:06:16] 应该是一个比较大的一个机会
[00:06:16 - 00:06:17] 交易量大了
[00:06:17 - 00:06:19] 它里边一定必不可少
[00:06:19 - 00:06:21] 因为单价太高了
[00:06:21 - 00:06:22] 相关配套
[00:06:22 - 00:06:24] 你摩拜坐完车谁火
[00:06:24 - 00:06:26] 自行车工厂
[00:06:26 - 00:06:28] 那你要是坐二手奢侈品交易的
[00:06:28 - 00:06:31] 一万块钱咱俩在网上互相不认识
[00:06:31 - 00:06:32] 我卖你买
[00:06:32 - 00:06:32] 你敢卖吗
[00:06:32 - 00:06:35] 最后的话你会发现是支付平台
[00:06:35 - 00:06:35] 对
[00:06:35 - 00:06:38] 所以其实最需求的就是
[00:06:38 - 00:06:40] 我能来保证这个东西
[00:06:40 - 00:06:41] 鉴定的
[00:06:41 - 00:06:43] 鉴定人才是极缺的
[00:06:43 - 00:06:44] 那它有没有就
[00:06:44 - 00:06:44] 就例子
[00:06:44 - 00:06:46] 它比如说有没有一些基础要求
[00:06:46 - 00:06:47] 你不需要任何
[00:06:47 - 00:06:49] 你只要有逻辑四位能力
[00:06:49 - 00:06:50] 然后你的脑
[00:06:50 - 00:06:53] 就是如果唯一的就是你的记忆力
[00:06:53 - 00:06:54] 那刚才说我想问一下
[00:06:54 - 00:06:55] 现在目前在咱们中国啊
[00:06:55 - 00:06:57] 国内就是合格的这种
[00:06:57 - 00:07:02] 说这个能叫的上见定师的人目前在全中国啊
[00:07:02 - 00:07:03] 不超过50人
[00:07:03 - 00:07:05] 不超过50人
[00:07:05 - 00:07:06] 一般人都不会想到的
[00:07:06 - 00:07:09] 但是事实上就是不超过50人
[00:07:09 - 00:07:10] 不超过50人
[00:07:10 - 00:07:14] 一个省都喝不了力牙
[00:07:14 - 00:07:15] 对
[00:07:15 - 00:07:17] 你像北京和上海上的城市
[00:07:17 - 00:07:18] 对吧
[00:07:18 - 00:07:19] 像广州成都啊
[00:07:19 - 00:07:20] 这种经济包裹上
[00:07:20 - 00:07:21] 苏州这种经济发展好多城市
[00:07:21 - 00:07:23] 那肯定不够啊
[00:07:23 - 00:07:24] 所以你看
[00:07:24 - 00:07:25] 我接下来才会告诉你
[00:07:25 - 00:07:27] 我接下来才会告诉你
[00:07:27 - 00:07:27] 为什么
[00:07:27 - 00:07:29] 这不是人在你们公司多多好
[00:07:29 - 00:07:30] 我们公司有16个
[00:07:31 - 00:07:32] 你们公司有16个
[00:07:32 - 00:07:33] 对
[00:07:33 - 00:07:34] 下来三分之一
[00:07:34 - 00:07:34] 对
[00:07:35 - 00:07:36] 是这样
[00:07:36 - 00:07:36] 就是为什么我说
[00:07:36 - 00:07:38] 能称得上鉴定师的连50人都不到
[00:07:38 - 00:07:39] 有合格的
[00:07:39 - 00:07:40] 是因为
[00:07:40 - 00:07:40] 你看
[00:07:40 - 00:07:43] 咱们在国内光做二手商家
[00:07:43 - 00:07:45] 能看包鉴定的人
[00:07:45 - 00:07:46] 就有几千人
[00:07:47 - 00:07:50] 然后稍微不是那么多品牌
[00:07:50 - 00:07:50] 都懂
[00:07:50 - 00:07:52] 只懂某几个品牌的人
[00:07:52 - 00:07:53] 又有几千人
[00:07:53 - 00:07:53] 上万人了
[00:07:53 - 00:07:54] 其实有这么多
[00:07:54 - 00:07:56] 但是我为什么说叫建灵
[00:07:56 - 00:07:57] 他们不叫建灵师
[00:07:57 - 00:07:59] 是因为他们从早晨10点店里
[00:07:59 - 00:08:02] 店门打开到晚上关门
[00:08:02 - 00:08:04] 每天去微信跟客户聊
[00:08:04 - 00:08:08] 他们90%的时间是用来跟客户沟通
[00:08:08 - 00:08:10] 你这个包我多少钱收你呢
[00:08:10 - 00:08:11] 这个包我多少钱卖给你
[00:08:11 - 00:08:12] 它很划算
[00:08:12 - 00:08:13] 它的主要时间在这
[00:08:13 - 00:08:16] 它每天的唯一的一小点的时间是干嘛呢
[00:08:16 - 00:08:18] 这个包发过来我看的是真的还是假的
[00:08:18 - 00:08:20] 所以它不能叫建灵师
[00:08:20 - 00:08:21] 它不是一个商业系的
[00:08:21 - 00:08:23] 它不是一个职业建灵师
[00:08:23 - 00:08:24] 职业建灵师是什么
[00:08:24 - 00:08:27] 我上午10点打卡上班
[00:08:27 - 00:08:28] 到晚上7点下班
[00:08:28 - 00:08:30] 我每天的工作只有一件事
[00:08:30 - 00:08:32] 就是见定
[00:08:32 - 00:08:34] 这个才叫专职的见定式
[00:08:34 - 00:08:34] 我问一个
[00:08:34 - 00:08:37] 就是可能如果说想从业这方面
[00:08:37 - 00:08:39] 人家一个很关心的问题
[00:08:39 - 00:08:41] 这个一年能省多少钱
[00:08:41 - 00:08:43] 应该是60到100万
[00:08:43 - 00:08:44] 60到100万
[00:08:44 - 00:08:45] 对
[00:08:45 - 00:08:47] 我没有记错
[00:08:47 - 00:08:48] 您上一次跟我说
[00:08:48 - 00:08:52] 如果通过图片是50块钱一次
[00:08:52 - 00:08:53] 对吧
[00:08:53 - 00:08:56] 然后给你优过来是200一次
[00:08:56 - 00:08:56] 对
[00:08:56 - 00:08:58] 那你再说这个60万都100万的时候
[00:08:58 - 00:08:59] 我算了一下
[00:08:59 - 00:09:01] 我们假如说这个人他这一年鉴定的
[00:09:01 - 00:09:04] 都是实力给你把东西优过来的话
[00:09:04 - 00:09:06] 200块钱一个
[00:09:06 - 00:09:10] 那一年他得鉴定大概2500个左右
[00:09:10 - 00:09:11] 很少
[00:09:12 - 00:09:15] 一年2500
[00:09:15 - 00:09:20] 那相当于他每个月要有200多
[00:09:20 - 00:09:23] 我们每天就得有将近10个活
[00:09:23 - 00:09:28] 我们现在每天的订单量
[00:09:28 - 00:09:29] 比您刚才说2500要少一点
[00:09:29 - 00:09:31] 2500少一点
[00:09:31 - 00:09:32] 一天的渐量量
[00:09:32 - 00:09:35] 所以其实我们的渐量量还是挺大的
[00:09:35 - 00:09:37] 市场需求还是很高的
[00:09:37 - 00:09:38] 想要入行怎么入行呢
[00:09:38 - 00:09:40] 入行的话首先还是要正规的
[00:09:40 - 00:09:42] 去找一个机构去商客
[00:09:42 - 00:09:43] 要培训
[00:09:43 - 00:09:44] 对一定是要培训的
[00:09:44 - 00:09:47] 有没有学校开设专业的
[00:09:47 - 00:09:48] 据我所知的是
[00:09:48 - 00:09:52] 现在咱们对外经贸大学那边有一个奢侈品研究中心
[00:09:52 - 00:09:56] 他们有一个奢侈品管理的一个硕士课程
[00:09:56 - 00:09:59] 在这个课程里边会涉及到奢侈品的珠宝
[00:09:59 - 00:10:02] 香包这些所有的一个鉴定
[00:10:02 - 00:10:03] 这些都会包含在内
[00:10:03 - 00:10:07] 这个也是现在我们大的院校里面
[00:10:07 - 00:10:08] 唯一的这么一个
[00:10:08 - 00:10:10] 这个宫中很枯燥的
[00:10:10 - 00:10:12] 你每天面对的就是这些
[00:10:12 - 00:10:13] 你要寄所有的这些钉子
[00:10:13 - 00:10:16] 这个尺寸它里面是什么工艺
[00:10:16 - 00:10:17] 你要寄很多的要败下来
[00:10:17 - 00:10:21] 而且我发现这个东西不但要记下来它之前的
[00:10:21 - 00:10:23] 而且还有记录它今年最新的
[00:10:23 - 00:10:26] 所以这一行我们讲究的是什么呢
[00:10:26 - 00:10:27] 干到老学到老
[00:10:27 - 00:10:29] 你在我们这儿学了一周之后
[00:10:29 - 00:10:31] 你就开始要看东西了
[00:10:31 - 00:10:32] 看东西
[00:10:32 - 00:10:33] 你如果学完一周
[00:10:33 - 00:10:34] 你再也不看了
[00:10:34 - 00:10:35] 完了
[00:10:35 - 00:10:37] 你过一个月之后
[00:10:37 - 00:10:38] 你就记不清楚要干
[00:10:38 - 00:10:42] 因为你得就我教你成法怎么算了
[00:10:42 - 00:10:43] 你是不是得做练习题
[00:10:43 - 00:10:43] 对对对
[00:10:43 - 00:10:44] 你不做练习题肯定没什么
[00:10:44 - 00:10:46] 所以毕业完了以后
[00:10:46 - 00:10:47] 好好的看东西
[00:10:47 - 00:10:48] 而且每年都有心体
[00:10:48 - 00:10:52] 而且你每年都会有心体
[00:10:52 - 00:10:53] 你一年不学
[00:10:53 - 00:10:55] 今年的东西你就不明白了
[00:10:55 - 00:10:56] 刚才说您说这个
[00:10:56 - 00:10:58] 培训你们培训多少钱来着
[00:10:58 - 00:10:59] 16000
[00:10:59 - 00:10:59] 16000
[00:10:59 - 00:11:01] 对当时你说贵
[00:11:01 - 00:11:01] 对
[00:11:01 - 00:11:03] 哎我16000就相当于
[00:11:03 - 00:11:05] 如果16000我是一个初级建设师
[00:11:05 - 00:11:06] 然后的话我就可以在你们公司找一个
[00:11:06 - 00:11:08] 大概年薪10万的工具
[00:11:08 - 00:11:09] 对差不多
[00:11:09 - 00:11:09] 嗯
[00:11:09 - 00:11:10] 哎呀挺值得呀
[00:11:10 - 00:11:14] 但是前提是我们还在招人的情况下
[00:11:14 - 00:11:15] 我们也需要考核
[00:11:15 - 00:11:17] 包括这个人不只是能力问题
[00:11:17 - 00:11:19] 还有包括人品性格
[00:11:19 - 00:11:20] 对对对
[00:11:20 - 00:11:20] 肯不肯吃过
[00:11:20 - 00:11:21] 综合的这个
[00:11:21 - 00:11:23] 然后好的我们也会留下来
[00:11:23 - 00:11:24] 先听好了
[00:11:24 - 00:11:26] 我觉得真的大家如果说将来
[00:11:26 - 00:11:28] 我们在大学毕业就业的时候
[00:11:28 - 00:11:32] 如果说你觉得没有自己太适合的行业
[00:11:32 - 00:11:33] 然后呢
[00:11:33 - 00:11:34] 你又对奢侈品这个行业呢
[00:11:34 - 00:11:36] 比较感兴趣
[00:11:36 - 00:11:37] 想去了解
[00:11:37 - 00:11:38] 甚至想去重新的话
[00:11:38 - 00:11:40] 我真觉得大家可以跟张老师
[00:11:40 - 00:11:42] 好好的学习一下
[00:11:42 - 00:11:44] 也希望咱们中国也因为
[00:11:44 - 00:11:45] 市场越来越大,对吧
[00:11:45 - 00:11:47] 真的希望我们中国设置品市场能够越来越好
[00:11:47 - 00:11:51] 用越来越多合格的设置品的鉴定师
[00:11:51 - 00:11:52] 能够跟着张老师后边
[00:11:52 - 00:11:55] 那个年薪60万多100万
[00:11:55 - 00:11:55] 是吧
[00:11:55 - 00:11:57] 好,那我们本期节目的就是这样
[00:11:57 - 00:11:59] 感谢张老师的分享
[00:11:59 - 00:12:00] 咱们下期节目再见
