BV号：BV1Fo4y1J7EB
标题：BV1Fo4y1J7EB
链接：https://www.bilibili.com/video/BV1Fo4y1J7EB
识别语言：zh
语言置信度：1
分段数：100
生成时间：2026-04-03 15:04:39

[00:00:00 - 00:00:02] 今天我们来介绍一下中国农业大学
[00:02:26 - 00:02:31] 国内深造这波去双一流大学和顶尖科研机构的占97%
[00:02:31 - 00:02:34] 出国深造这一波去世界顶尖高校的也有90%多
[00:02:34 - 00:02:37] 中国农业大学毕业生主要去向有国家机关
[00:02:37 - 00:02:38] 国有企事业单位
[00:02:38 - 00:02:39] 国际组织
[00:02:39 - 00:02:41] 世界企务百强等等
[00:02:41 - 00:02:42] 那中国农大学啥亮点呢
[00:02:42 - 00:02:44] 院士名师都开课
[00:02:44 - 00:02:45] 物联网探终合
[00:02:45 - 00:02:47] 大食物观
[00:02:47 - 00:02:48] 见赏葡萄酒
[00:02:48 - 00:02:50] 香商应有敬佑
[00:02:50 - 00:02:52] 体育老师竟是世界冠军
[00:02:52 - 00:02:53] 网红图副馆
[00:02:53 - 00:02:54] 京城高校第一师堂
[00:02:54 - 00:02:57] 二里庄影视基地那都是标签的
[00:02:57 - 00:02:58] 总之呢
[00:02:58 - 00:02:59] 学习生活丰富多彩
[00:02:59 - 00:03:01] 发展空间非常广
[00:03:01 - 00:03:01] 实力呢
[00:03:01 - 00:03:02] 排名靠前
[00:03:02 - 00:03:04] 排养质量排名靠前
[00:03:04 - 00:03:05] 科研实力学科实力
[00:03:05 - 00:03:06] 生造率
[00:03:06 - 00:03:06] 推免率
[00:03:06 - 00:03:07] 就业率
[00:03:07 - 00:03:09] 指标都是在全国前20
[00:03:09 - 00:03:10] 但由于对于
[00:03:10 - 00:03:11] 浓大的误解
[00:03:11 - 00:03:12] 招生分数呢
[00:03:12 - 00:03:14] 相对来讲偏低
[00:03:14 - 00:03:15] 第三方评估的
[00:03:15 - 00:03:16] 毕业生质量呢
[00:03:16 - 00:03:17] 排名全国第17
[00:03:17 - 00:03:19] 物超所指使強烈推薦到
