BV号：BV1XsDpYQE2E
标题：BV1XsDpYQE2E
链接：https://www.bilibili.com/video/BV1XsDpYQE2E
识别语言：zh
语言置信度：1
分段数：100
生成时间：2026-04-03 07:45:51

[00:00:00 - 00:00:02] 就是我这个成绩如果考不上北大的话
[00:01:00 - 00:01:03] 这个过程经历了将近小20年
[00:01:03 - 00:01:04] 十五六年左右
[00:01:04 - 00:01:06] 那为什么说
[00:01:06 - 00:01:07] 青梅素早就发现了
[00:01:07 - 00:01:09] 福莱明早就发现了青梅素
[00:01:09 - 00:01:10] 但最后打到人身体里
[00:01:10 - 00:01:12] 给人真正治好一个人的时候
[00:01:12 - 00:01:14] 是在1943年1944年的事
[00:01:14 - 00:01:16] 就是因为当时我们知道有这么一个东西
[00:01:16 - 00:01:18] 它能够为人类
[00:01:18 - 00:01:20] 所谓的就是抗感染
[00:01:20 - 00:01:20] 做贡献
[00:01:20 - 00:01:22] 但是不知道该如何大规模生产它
[00:01:22 - 00:01:25] 当年培养一只青梅素的培养液
[00:01:25 - 00:01:28] 要一整个游泳池
[00:01:28 - 00:01:29] 那么我发现青梅素
[00:01:29 - 00:01:32] 它是一个化学事物的领域当中
[00:01:32 - 00:01:33] 非常重要的一个事情
[00:01:33 - 00:01:34] 但是我发现完这个东西
[00:01:34 - 00:01:37] 我把它当成一个要打到人身体里
[00:01:37 - 00:01:38] 这个就是要化工
[00:01:38 - 00:01:41] 这就是理学和工学的差别
[00:01:41 - 00:01:43] 所以说你将来所谓想就业这一块的话
[00:01:43 - 00:01:45] 就要有一个问题就是
[00:01:45 - 00:01:48] 你要当一个非常优秀的化学家
[00:01:48 - 00:01:52] 去探索人类没有知道的一些化学物质
[00:01:52 - 00:01:54] 还是想去做化工
[00:01:54 - 00:01:56] 或者说是想去做这方面的应用
[00:01:56 - 00:02:00] 我现在希望特别把这个研究成果大规模的生产
[00:02:00 - 00:02:03] 应用到我们的实际生活场景当中
[00:02:03 - 00:02:03] 问题来了
[00:02:03 - 00:02:07] 你是想当化学家探索人类未知的化学领域
[00:02:07 - 00:02:10] 还是想把人类已经探索有的化学领域
[00:02:10 - 00:02:12] 应用到我们的实际生活当中
[00:02:12 - 00:02:13] 你要哪一个
[00:02:13 - 00:02:16] 我个人是更想去探索
[00:02:16 - 00:02:21] 而且也确实化学现在主要就是在考一些论文上的东西
[00:02:21 - 00:02:22] 如果是探索的话
[00:02:22 - 00:02:25] 你化学相机就尽量报一些像北大
[00:02:25 - 00:02:27] 布丹这种叫文理综可性院校
[00:02:27 - 00:02:28] 因为这种学校
[00:02:28 - 00:02:30] 它是专门给你做研究的
[00:02:30 - 00:02:31] 专门做探索的
[00:02:31 - 00:02:31] 懂吗
[00:02:31 - 00:02:32] 就是所有的学校
[00:02:32 - 00:02:33] 你比如说北大和清华
[00:02:33 - 00:02:35] 它就有两个非常重要的差别
[00:02:35 - 00:02:37] 北大是一个文理综可性院校
[00:02:37 - 00:02:39] 它的理科特别强
[00:02:39 - 00:02:39] 清华呢
[00:02:39 - 00:02:41] 它理科其实没有那么强
[00:02:41 - 00:02:42] 但是它的工学非常强
[00:02:42 - 00:02:45] 所以说像清华上交大这种学校
[00:02:45 - 00:02:47] 它的强级
[00:02:47 - 00:02:49] 其实没有那么基础
[00:02:49 - 00:02:50] 它不是为了搞科研
[00:02:50 - 00:02:51] 它是为了搞应用
[00:02:51 - 00:02:53] 而且北大布丹这种学校的话
[00:02:53 - 00:02:53] 它搞科研的话
[00:02:53 - 00:02:55] 就是基本上从科研
[00:02:55 - 00:02:57] 它就是所谓的在这个位置领域里边去探索
[00:02:58 - 00:02:58] 所以说的话
[00:02:58 - 00:03:00] 你在报强级的时候的话
[00:03:00 - 00:03:00] 你也尽量报一些
[00:03:00 - 00:03:01] 让我们李宗宏先来说
[00:03:01 - 00:03:03] 而不要报一些功课抢凑
[00:03:03 - 00:03:03] 能明白了吗
