BV号：BV1cYtGz4ELa
标题：BV1cYtGz4ELa
链接：https://www.bilibili.com/video/BV1cYtGz4ELa
识别语言：zh
语言置信度：1
分段数：115
生成时间：2026-04-03 04:22:38

[00:00:00 - 00:00:01] 我想欧阳这个底牌子
[00:01:28 - 00:01:32] 家长你要知道口供前提求件是你这个专业得有岗
[00:01:32 - 00:01:34] 否则你报国无门知道吧
[00:01:34 - 00:01:35] 我知道了
[00:01:35 - 00:01:37] 这个主要的方向就考研了
[00:01:37 - 00:01:40] 对看你能不能去换个专业什么的
[00:01:40 - 00:01:41] 或者说是你如果
[00:01:41 - 00:01:42] 你当时你最想上的专业是什么
[00:01:42 - 00:01:44] 将大最后的专业是机械
[00:01:44 - 00:01:46] 像全子像机械也不行
[00:01:46 - 00:01:49] 最后的专业上是不像车辆工程发力许的
[00:01:49 - 00:01:50] 车辆工程
[00:01:50 - 00:01:52] 车辆工程不也是属于机械大力吗
[00:01:52 - 00:01:55] 那你看你自己上大一的时候能不能去转业
[00:01:55 - 00:01:55] 能转业的话
[00:01:55 - 00:01:57] 就转转业转不了转业的话
[00:01:57 - 00:01:58] 就该考验考验呗
[00:01:58 - 00:01:59] 转业是不是要多学一年
[00:01:59 - 00:02:00] 不是
[00:02:00 - 00:02:00] 是的
[00:02:00 - 00:02:02] 你只要你大一阶段你成绩好
[00:02:02 - 00:02:03] 你可以转转业
[00:02:03 - 00:02:04] 你不用多学一年
[00:02:04 - 00:02:05] 大家你要知道
[00:02:05 - 00:02:06] 为什么说有的学校
[00:02:06 - 00:02:08] 它基本上大一它是转转业
[00:02:08 - 00:02:09] 你大二就不能转了
[00:02:09 - 00:02:10] 因为所有的专业
[00:02:10 - 00:02:12] 你要知道理工力专业
[00:02:12 - 00:02:14] 大一的课程几乎是相通的
[00:02:14 - 00:02:15] 大一我们都学一些什么
[00:02:15 - 00:02:17] 大一我们都学的是一些
[00:02:17 - 00:02:18] 像高等数学
[00:02:18 - 00:02:19] 大学物理
[00:02:19 - 00:02:20] 现金代数
[00:02:20 - 00:02:21] 概率统计
[00:02:21 - 00:02:22] 我们大一学的都是这些东西
[00:02:22 - 00:02:25] 然后有的学校是大一上学期结束以后
[00:02:25 - 00:02:27] 根据你大一上学期的成绩
[00:02:27 - 00:02:28] 来进行转转业考核的
[00:02:28 - 00:02:30] 那你如果是这样子的话
[00:02:30 - 00:02:31] 你大一上学期
[00:02:31 - 00:02:33] 你没有学什么其他的专业课
[00:02:33 - 00:02:33] 家长
[00:02:33 - 00:02:35] 比如说你现在是环境设备工程
[00:02:35 - 00:02:36] 你最后错老师
[00:02:36 - 00:02:38] 我转到车辆工程
[00:02:38 - 00:02:40] 你这两个专业大一阶段的专业课
[00:02:40 - 00:02:41] 有可能是一样的
[00:02:41 - 00:02:42] 因为你都是理工科
[00:02:42 - 00:02:43] 你都是通用的
[00:02:43 - 00:02:46] 结果你上到了大二大三的时候
[00:02:46 - 00:02:47] 人家已经开始上专业课了
[00:02:47 - 00:02:48] 你再转过来
[00:02:48 - 00:02:50] 那你可能就已经晚了
[00:02:50 - 00:02:52] 所以说你大一努力去学习转业
[00:02:52 - 00:02:55] 是不受任何所謂你這個主要影響的
[00:02:55 - 00:02:56] 聽明白了嗎
[00:02:56 - 00:02:57] 聽清楚你知道的
