BV号：BV1KJ411z73P
标题：BV1KJ411z73P
链接：https://www.bilibili.com/video/BV1KJ411z73P
识别语言：zh
语言置信度：1
分段数：257
生成时间：2026-04-04 05:03:58

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 有这么一个案子 说的是一个犯罪协议人假
[00:00:05 - 00:00:08] 16岁 他有一天在高速公路
[00:00:08 - 00:00:11] 旁边山上就玩 突然发现高速公路那边
[00:00:11 - 00:00:13] 行驶过来一辆奔驰车 假就想起来
[00:00:13 - 00:00:16] 自己的父亲就是被奔驰车给撞死的
[00:02:10 - 00:02:13] 那麼一般來講就說希望的我們就叫直接故意
[00:02:13 - 00:02:15] 放任就叫間接故意
[00:02:15 - 00:02:17] 那麼像本案的這種情況
[00:02:17 - 00:02:20] 就是說它拿了一個石子就往奔車上扔
[00:02:20 - 00:02:22] 它就是要往奔車上扔的
[00:02:22 - 00:02:25] 而且它就是往擋風玻璃上扔的
[00:02:25 - 00:02:27] 它就是往擋風玻璃上扔的
[00:02:27 - 00:02:30] 它的目的就是說想要把擋風玻璃砸碎
[00:02:30 - 00:02:32] 就说让他们去花钱去修车
[00:02:33 - 00:02:35] 这个16岁的小孩儿这个也
[00:02:35 - 00:02:36] 那么高速攻略
[00:02:36 - 00:02:38] 你把挡风玻璃给砸碎
[00:02:38 - 00:02:39] 那可不是修车的事啊
[00:02:39 - 00:02:41] 那会没想到那么多嘛
[00:02:41 - 00:02:42] 在这种情况就说
[00:02:42 - 00:02:44] 经常碰到这种案例
[00:02:44 - 00:02:45] 当时人就会说
[00:02:45 - 00:02:46] 我是过师的
[00:02:47 - 00:02:48] 对 我没想那么干
[00:02:48 - 00:02:49] 就跟有的时候我们原来
[00:02:49 - 00:02:50] 头顿干的说
[00:02:50 - 00:02:50] 我砸一个人
[00:02:50 - 00:02:51] 我没想砸死的
[00:02:51 - 00:02:52] 我这样教训他
[00:02:52 - 00:02:52] 对吧
[00:02:52 - 00:02:53] 对呀
[00:02:53 - 00:02:54] 他说我没有想这么多
[00:02:54 - 00:02:55] 但是
[00:02:55 - 00:02:56] 你
[00:02:56 - 00:02:57] 就像你说你已经16岁了
[00:02:57 - 00:02:59] 一个高速行驶的汽车
[00:02:59 - 00:03:02] 打他的這個擋風玻璃會有什麼危害
[00:03:02 - 00:03:04] 他是知道的 擋風玻璃會碎
[00:03:04 - 00:03:05] 他說這個是知道的
[00:03:05 - 00:03:08] 那麼他所不知道只說會發生這麼大的危害結果
[00:03:08 - 00:03:10] 但是對於擋風玻璃會碎
[00:03:10 - 00:03:12] 它其實是瞭解的
[00:03:12 - 00:03:15] 所以這種我們時間中其實沒有按過時來定的
[00:03:15 - 00:03:17] 都是按照這個故意的
[00:03:17 - 00:03:20] 而且但是這個就叫間接故意
[00:03:20 - 00:03:23] 就包括你知道有重慶的拉汽車方向盤
[00:03:23 - 00:03:25] 那個按的記憶點 搶方向盤
[00:03:25 - 00:03:27] 結果最後司機直接就那個方向
[00:03:27 - 00:03:29] 大幅度地就跨到馬路對面
[00:03:29 - 00:03:30] 最後衝到江裡去了
[00:03:30 - 00:03:31] 記得吧
[00:03:31 - 00:03:33] 那個女的後來也死掉了
[00:03:33 - 00:03:35] 如果她活著她肯定會說
[00:03:35 - 00:03:37] 我怎麼會想著要把車弄進去嗎
[00:03:37 - 00:03:40] 但是這種我們都是按監界故意來定的
[00:03:40 - 00:03:42] 所以首先第一個
[00:03:42 - 00:03:44] 我們現在就不再定她過世犯罪
[00:03:44 - 00:03:45] 然後第二
[00:03:45 - 00:03:47] 她把那個擋風玻璃就算砸碎了
[00:03:47 - 00:03:49] 那麼這個是一個故意毀壞財物
[00:03:49 - 00:03:50] 故意毀壞財物
[00:03:50 - 00:03:53] 但這個行為同時危害了公共安全
[00:03:53 - 00:03:56] 那麼把這種咱們叫做想象進合
[00:03:56 - 00:04:00] 想像進行就一個行為又是危害公共安全的行為
[00:04:00 - 00:04:01] 又是毀壞財務的行為
[00:04:01 - 00:04:02] 想像進行
[00:04:02 - 00:04:04] 那麼這種想像進行我們一般怎麼處理呢
[00:04:04 - 00:04:05] 責以重罪
[00:04:05 - 00:04:06] 責以重罪
[00:04:06 - 00:04:07] 對
[00:04:07 - 00:04:09] 就是說你這個行為它有兩個危害結果嗎
[00:04:09 - 00:04:10] 車壞了
[00:04:10 - 00:04:11] 人死了
[00:04:11 - 00:04:13] 車壞的事情我就不追究你了
[00:04:13 - 00:04:15] 我就追究你人死了這個事情
[00:04:15 - 00:04:17] 然後人死了這個事情定什麼呢
[00:04:17 - 00:04:20] 又回到跟咱們前面的節目有點像的地方
[00:04:20 - 00:04:22] 就是我定破壞交通工具罪
[00:04:22 - 00:04:25] 還是定以危險方法危害公共安全罪
[00:04:25 - 00:04:25] 對
[00:04:25 - 00:04:27] 就是你破壞的工具也是一個危險方法
[00:04:27 - 00:04:28] 危害公共安全
[00:04:28 - 00:04:29] 咱們前面講說這種叫
[00:04:29 - 00:04:31] 大的包一個小的叫法條競合
[00:04:31 - 00:04:32] 大包小的
[00:04:32 - 00:04:34] 那麼誰優先你還有沒有印象
[00:04:34 - 00:04:36] 那肯定是這個你具體有具體的事情
[00:04:36 - 00:04:38] 叫特別法優先
[00:04:38 - 00:04:40] 法條競合特別好有些
[00:04:40 - 00:04:43] 所以這個人就要定他破壞交通工具罪
[00:04:43 - 00:04:44] 破壞交通工具罪
[00:04:44 - 00:04:45] 就是你在高速
[00:04:45 - 00:04:48] 他騎車亮型上跟那個罪是比較像的
[00:04:48 - 00:04:49] 基本上是一樣的
[00:04:49 - 00:04:52] 就是你在高速行駛的這種工路上
[00:04:52 - 00:04:55] 在這個汽車的高速行駛
[00:04:55 - 00:04:56] 你对了汽车打的话
[00:04:56 - 00:04:59] 大家都知道像飞鸟飞机撞鸟就特别可怕
[00:04:59 - 00:05:00] 跟那个是一样的
[00:05:00 - 00:05:01] 它一瞬间就会撤回人了
[00:05:01 - 00:05:03] 所以飞是非常坏的
[00:05:03 - 00:05:07] 最后它给它定的叫做破坏交通工具罪
[00:05:07 - 00:05:08] 但是在量型上
[00:05:08 - 00:05:11] 因为它造成了所谓的重大的伤亡
[00:05:11 - 00:05:13] 然后的话其实量型是很重的
[00:05:13 - 00:05:15] 要是满了18的话
[00:05:15 - 00:05:16] 都有可能判死刑的
[00:05:16 - 00:05:18] 现在因为只有16岁
[00:05:18 - 00:05:20] 所以会判得相对轻一点
[00:05:20 - 00:05:21] 相对稍微轻一点
[00:05:21 - 00:05:21] 对吧
[00:05:21 - 00:05:22] 所以说的话就是大家你要知道
[00:05:22 - 00:05:26] 有些行为不是说你以为
[00:05:26 - 00:05:29] 很多人以为我就是个恶作剧
[00:05:29 - 00:05:32] 但它最后的结果是非常严重的
[00:05:32 - 00:05:35] 对 你不要说我以为是怎么样
[00:05:35 - 00:05:39] 然后我以为它不会所谓造成一个很严重的后果
[00:05:39 - 00:05:43] 但是拜托 尤其是像十六岁成年人以后了
[00:05:43 - 00:05:44] 都已经快成年了
[00:05:44 - 00:05:45] 包括说可能看我们这个节目的
[00:05:45 - 00:05:48] 很多人都是大学生 以成年人
[00:05:48 - 00:05:50] 那有的时候你再跟大家开玩笑的时候的话
[00:05:50 - 00:05:52] 一定要注意开温效的这种
[00:05:52 - 00:05:53] 对
[00:05:53 - 00:05:53] 这个度
[00:05:53 - 00:05:54] 这个分寸
[00:05:54 - 00:05:56] 这个分寸很重要
[00:05:56 - 00:05:57] 有的时候你像比如说我们上大学的时候
[00:05:57 - 00:05:59] 经常有那种就比如说
[00:05:59 - 00:06:00] 你自行车
[00:06:00 - 00:06:02] 我把你个亲心
[00:06:02 - 00:06:02] 对吧
[00:06:02 - 00:06:03] 然后的话或怎样的
[00:06:03 - 00:06:05] 或者说是以其他的一些方式
[00:06:05 - 00:06:07] 但是你要真的要想明白
[00:06:07 - 00:06:09] 你像高速公路上这种行为
[00:06:09 - 00:06:11] 大家千万千万不要去
[00:06:11 - 00:06:13] 去尝试
[00:06:13 - 00:06:15] 包括说后来就是还有很多案子
[00:06:15 - 00:06:17] 就是比如说酒鸭
[00:06:17 - 00:06:19] 很多人以为说我酒鸭
[00:06:19 - 00:06:20] 我就是一个酒鸭
[00:06:20 - 00:06:22] 对不对 我那我最后犯的是一个酒家
[00:06:22 - 00:06:24] 但是你一旦酒家危害了公安权
[00:06:24 - 00:06:30] 比如说这个前一季的马沙拉地有一个河南马沙拉地的那个案子
[00:06:30 - 00:06:31] 对吧
[00:06:31 - 00:06:33] 就是他说他可能就是说被逮到以后
[00:06:33 - 00:06:34] 可能说我就是一个酒家
[00:06:34 - 00:06:35] 然后我也没有想到
[00:06:35 - 00:06:37] 那女孩子估计就终身在老里了
[00:06:37 - 00:06:38] 对
[00:06:38 - 00:06:39] 还有啊张老师
[00:06:39 - 00:06:40] 因为咱们俩都做这个考研的
[00:06:40 - 00:06:41] 考研辅导
[00:06:41 - 00:06:43] 我有个事要跟大家再提醒一下
[00:06:43 - 00:06:44] 就像这个酒家
[00:06:44 - 00:06:45] 你如果喝多了
[00:06:45 - 00:06:48] 你自己不知道达到最佳的程度的话
[00:06:48 - 00:06:49] 你就判行了呀
[00:06:49 - 00:06:49] 对
[00:06:49 - 00:06:51] 判刑了很多高校是不要的
[00:06:52 - 00:06:53] 因为受刑是处分了
[00:06:53 - 00:06:54] 有一个小伙子跟我讲
[00:06:54 - 00:06:56] 他是运气特别好
[00:06:56 - 00:06:57] 被查出来是78.2
[00:06:57 - 00:06:58] 你知道80
[00:06:58 - 00:06:59] 他一丢丢了
[00:06:59 - 00:07:00] 80不就够了吗
[00:07:00 - 00:07:01] 他就命特别好78.2
[00:07:02 - 00:07:03] 但假如那天多一点点呢
[00:07:04 - 00:07:06] 那他这辈子考研梦就没了
[00:07:06 - 00:07:07] 这个很重要的
[00:07:07 - 00:07:08] 对
[00:07:08 - 00:07:09] 所以说大家千万不要就是说
[00:07:10 - 00:07:10] 抱着一种所谓的
[00:07:10 - 00:07:11] 矫性的心态
[00:07:11 - 00:07:13] 或者说是我以为
[00:07:13 - 00:07:15] 你以为你以为的
[00:07:15 - 00:07:16] 就是你以为的吗
[00:07:16 - 00:07:17] 真的不一定
[00:07:17 - 00:07:19] 你要想到他后边
[00:07:19 - 00:07:23] 更严重的一个后果有可能造成的一个最坏的后果
[00:07:23 - 00:07:25] 对 甚至付出的是一生的代价
[00:07:25 - 00:07:26] 对 行事责任也好
[00:07:26 - 00:07:28] 还是一生的代价也好
[00:07:28 - 00:07:30] 这个大家一定要去多想一点点
[00:07:30 - 00:07:33] 千万不要说像这个小孩一样说
[00:07:33 - 00:07:35] 我所谓的想报复就报复
[00:07:35 - 00:07:36] 看情况 开玩笑
[00:07:36 - 00:07:38] 一定要注意尺度
[00:07:38 - 00:07:38] 好吧
[00:07:38 - 00:07:42] 那我们感谢杨老师本期给大家分享的这么多的一个法律的知识
[00:07:42 - 00:07:43] 咱们本期节目就是这样
[00:07:43 - 00:07:44] 咱们下期节目再见
[00:07:44 - 00:07:45] 谢谢大家
[00:07:45 - 00:07:46] 再见
