BV号：BV1Mt411L7o2
标题：BV1Mt411L7o2
链接：https://www.bilibili.com/video/BV1Mt411L7o2
识别语言：zh
语言置信度：1
分段数：395
生成时间：2026-04-04 07:37:05

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪峰老师
[00:05:31 - 00:05:34] 然后咱们本案这种情况确确实实
[00:05:34 - 00:05:37] 胡同公安从95年到2017年
[00:05:37 - 00:05:39] 一直没有发现犯罪嫌疑
[00:05:39 - 00:05:40] 就不知道是谁干的
[00:05:40 - 00:05:41] 确实没有发现
[00:05:41 - 00:05:43] 连是谁干都不知道
[00:05:43 - 00:05:46] 一直到2017年用咱们最新的外町技术
[00:05:46 - 00:05:49] 就是复兮家族检验技术
[00:05:49 - 00:05:50] 才把它查出来
[00:05:50 - 00:05:51] 它这个复兮家族检验技术
[00:05:51 - 00:05:53] 就是说当时可能这两把犯罪嫌疑人
[00:05:53 - 00:05:56] 在犯罪现场可能是留下了一些
[00:05:56 - 00:05:58] 他有那个烟头
[00:05:58 - 00:05:59] 可能就是有一个烟头
[00:05:59 - 00:06:00] 人头上面有唾沫吗
[00:06:00 - 00:06:01] 有这个唾沫有这个DNA
[00:06:01 - 00:06:03] 但是当时我不知道这个DNA是谁
[00:06:03 - 00:06:05] 我没有锁定分的新人
[00:06:05 - 00:06:06] 但我因为我不知道这个DNA是谁的
[00:06:06 - 00:06:07] 对吧
[00:06:07 - 00:06:07] 对对对
[00:06:07 - 00:06:09] 然后的话到一新年的时候有这个东西
[00:06:09 - 00:06:10] 有新技术了以后
[00:06:10 - 00:06:13] 把他的家族的人的DNA刚好找到了
[00:06:13 - 00:06:15] 然后就把他找到了
[00:06:15 - 00:06:17] 那么这样找到之后
[00:06:17 - 00:06:19] 其中有一个人都当了作家了
[00:06:19 - 00:06:21] 安徽省很有名的作家
[00:06:21 - 00:06:22] 我的天啊
[00:06:22 - 00:06:24] 还获得过安徽省的文学最高奖
[00:06:24 - 00:06:25] 我的天
[00:06:25 - 00:06:26] 但是呢
[00:06:26 - 00:06:27] 就是他们这个是这样
[00:06:27 - 00:06:29] 如果按照咱们干的那个标准
[00:06:29 - 00:06:32] 他们确实是我们公安20年
[00:06:32 - 00:06:34] 没有发现犯罪嫌疑人
[00:06:34 - 00:06:36] 然后我们的最常诉讼追诉失效
[00:06:36 - 00:06:37] 就是20年
[00:06:37 - 00:06:39] 那么他本该不能被追诉
[00:06:39 - 00:06:41] 但是你是不是很气愤
[00:06:41 - 00:06:42] 对呀
[00:06:42 - 00:06:43] 你杀人呀
[00:06:43 - 00:06:43] 四个人还有个小孩
[00:06:43 - 00:06:47] 把人家旅馆的老板的妻子
[00:06:47 - 00:06:49] 老板的孙子三个人杀掉
[00:06:49 - 00:06:50] 把一个住店的客人杀掉
[00:06:50 - 00:06:51] 四条命
[00:06:51 - 00:06:52] 对
[00:06:52 - 00:06:53] 这种人如果放掉了
[00:06:53 - 00:06:54] 我们是不是觉得
[00:06:54 - 00:06:56] 太不公平是不是
[00:06:56 - 00:07:01] 所以咱们国家的刑法当年在追诉时效的部分
[00:07:01 - 00:07:02] 是有一个小口子的
[00:07:02 - 00:07:06] 就是如果法律最高刑是无期徒刑死刑的
[00:07:06 - 00:07:08] 注意了只有无期徒刑死刑的
[00:07:08 - 00:07:09] 那么经过20年
[00:07:09 - 00:07:13] 如果认为必须追诉的
[00:07:13 - 00:07:17] 应当报请最高人民检察院核准
[00:07:17 - 00:07:18] 这句话意思就是
[00:07:18 - 00:07:21] 如果过了20年我还要追
[00:07:21 - 00:07:23] 那么我去报最高检给我批
[00:07:23 - 00:07:24] 最高检同意了
[00:07:24 - 00:07:26] 我就可以继续追
[00:07:26 - 00:07:29] 那么通常你可以想一下一般什么案子
[00:07:29 - 00:07:31] 我们会去报最高检去申请
[00:07:31 - 00:07:33] 你看这个案子当时我们在接受案情里也说过了
[00:07:33 - 00:07:37] 是从建国时期到它发生那个命案那段时间
[00:07:37 - 00:07:40] 是胡鲁发生的最大的杀人案
[00:07:40 - 00:07:40] 对
[00:07:40 - 00:07:42] 因为我们也说胡鲁警方
[00:07:42 - 00:07:44] 就是说成为他们心头的一块大使
[00:07:44 - 00:07:44] 对
[00:07:44 - 00:07:47] 就是最大的一个案子都一直没破
[00:07:47 - 00:07:51] 所以通常来讲就是这种杀人案
[00:07:51 - 00:07:53] 而且是比较残忍的杀人案
[00:07:53 - 00:07:54] 比如说手段特别残忍
[00:07:54 - 00:07:56] 或者影响机器恶劣的
[00:07:56 - 00:07:57] 影响机器恶劣的
[00:07:57 - 00:07:59] 这种一般公安会一直坚持破案
[00:07:59 - 00:08:00] 一直破一直破
[00:08:00 - 00:08:02] 破了之后
[00:08:02 - 00:08:03] 就把他那个
[00:08:03 - 00:08:05] 去向最高人民检察院
[00:08:05 - 00:08:06] 就一层一层报
[00:08:06 - 00:08:07] 请最高人民检察院
[00:08:07 - 00:08:08] 核准
[00:08:08 - 00:08:11] 那么就可以追溯他
[00:08:11 - 00:08:11] 好
[00:08:11 - 00:08:13] 那我就再问一个问题
[00:08:13 - 00:08:15] 就是一说到这个追溯的这个问题
[00:08:15 - 00:08:17] 这个我就想起个很有意思的事
[00:08:17 - 00:08:19] 就是这个借钱还钱那个事
[00:08:19 - 00:08:20] 没办的
[00:08:20 - 00:08:21] 我记得对
[00:08:21 - 00:08:23] 好像原来里边有什么一个说法
[00:08:23 - 00:08:23] 就比如说姜总说
[00:08:23 - 00:08:25] 我跟你借钱了
[00:08:25 - 00:08:27] 我给你借了三毛钱
[00:08:27 - 00:08:28] 假如你借给我了
[00:08:28 - 00:08:29] 到时候借
[00:08:29 - 00:08:30] 借
[00:08:30 - 00:08:32] 假如你借给我了
[00:08:32 - 00:08:34] 借给我了以后的话
[00:08:34 - 00:08:36] 我很长时间我就不还
[00:08:36 - 00:08:37] 我就不还
[00:08:37 - 00:08:39] 那关于还钱这个事情
[00:08:39 - 00:08:40] 好像我记得
[00:08:40 - 00:08:41] 民法当中好像有一个规定说
[00:08:41 - 00:08:42] 好像过了一定的年限
[00:08:42 - 00:08:44] 就好像就不算了
[00:08:44 - 00:08:46] 我记得好像是两年是吗
[00:08:46 - 00:08:47] 是这样的
[00:08:47 - 00:08:49] 就说这个叫诉讼时效
[00:08:49 - 00:08:50] 原来咱们规定是两年
[00:08:50 - 00:08:51] 就说
[00:08:51 - 00:08:53] 比如我跟你当时约了的
[00:08:53 - 00:08:55] 咱们在18年的3月份
[00:08:55 - 00:08:56] 你得给我还钱
[00:08:56 - 00:08:57] 那么然后呢
[00:08:57 - 00:08:59] 等18年3月份到期
[00:08:59 - 00:09:00] 你给我不还
[00:09:00 - 00:09:02] 我在两年的期限内
[00:09:02 - 00:09:05] 我向你去要这个钱
[00:09:05 - 00:09:06] 然后你不还
[00:09:06 - 00:09:07] 我向法院去起诉
[00:09:07 - 00:09:10] 法院会保证我能够获得胜诉
[00:09:10 - 00:09:13] 但是如果我过了两年以后
[00:09:13 - 00:09:14] 我再去起诉
[00:09:14 - 00:09:15] 法院说 sorry
[00:09:15 - 00:09:17] 你来得太晚了
[00:09:17 - 00:09:18] 你在你的权力上睡觉
[00:09:18 - 00:09:19] 睡得太晚了
[00:09:19 - 00:09:21] 你来我也不保证你了
[00:09:21 - 00:09:22] 但是现在你稍等
[00:09:22 - 00:09:24] 现在已经变成三年了
[00:09:24 - 00:09:26] 新的那个民法总策
[00:09:26 - 00:09:29] 就是保护我们这个借借借人的利益
[00:09:29 - 00:09:31] 对延长了一年三年
[00:09:32 - 00:09:33] 但是像你说这种情况呢
[00:09:33 - 00:09:35] 是说可能五年之后
[00:09:35 - 00:09:37] 直接就那个
[00:09:38 - 00:09:40] 连三年都过了怎么办
[00:09:40 - 00:09:41] 我教你一个办法
[00:09:42 - 00:09:43] 这样的你看
[00:09:43 - 00:09:45] 你呢给他发一个微信
[00:09:45 - 00:09:47] 然后微信上说
[00:09:47 - 00:09:48] 不对是我给你发微信
[00:09:48 - 00:09:50] 现在还不错
[00:09:50 - 00:09:53] 我给你发一个微信说张老师
[00:09:53 - 00:09:55] 我最近确实需要钱
[00:09:55 - 00:09:57] 您看我借我的3万块钱
[00:09:57 - 00:09:58] 是不是该给我还了
[00:09:58 - 00:09:59] 都后几年了
[00:09:59 - 00:10:02] 好几年是不是该给我还了
[00:10:02 - 00:10:02] 你回忆就说
[00:10:02 - 00:10:04] 我最近手头也紧
[00:10:04 - 00:10:05] 稍微等等还你
[00:10:05 - 00:10:06] 其实是干什么的
[00:10:06 - 00:10:07] 我承认了
[00:10:07 - 00:10:08] 不
[00:10:08 - 00:10:10] 就你本意就是骗我的对不对
[00:10:10 - 00:10:11] 也没得还给我还的
[00:10:11 - 00:10:13] 就说我手头也紧等一等吧
[00:10:13 - 00:10:16] 但是这个东西我拿来就是什么
[00:10:16 - 00:10:18] 表示你承认了
[00:10:18 - 00:10:19] 我的钱
[00:10:19 - 00:10:22] 然后呢 我呢这个可以继续跟你要
[00:10:22 - 00:10:23] 他这个叫什么呢
[00:10:23 - 00:10:25] 叫做你对你的那个
[00:10:25 - 00:10:27] 本来我已经给你我已经过期了嘛
[00:10:27 - 00:10:29] 但是现在的你放弃了
[00:10:29 - 00:10:31] 这个诉讼时效制度对你的保护
[00:10:31 - 00:10:32] 就说你自己的一个放弃
[00:10:32 - 00:10:33] 就说债务人
[00:10:33 - 00:10:35] 债务人放弃的愿意给人家还钱了
[00:10:35 - 00:10:36] 这种情况下
[00:10:36 - 00:10:40] 我拿这个微信的这个记录
[00:10:40 - 00:10:41] 或者我给你打电话
[00:10:41 - 00:10:42] 我录音
[00:10:42 - 00:10:44] 然后拿这个东西到法院去说看
[00:10:44 - 00:10:47] 昨天他还承认欠我的钱
[00:10:47 - 00:10:51] 这样追溯时效,而诉讼时效就可以重新严长
[00:10:51 - 00:10:54] 我可以重新跟你再要三年前
[00:10:54 - 00:10:56] 是这样的
[00:10:56 - 00:10:57] 所以说的话我觉得就是
[00:10:57 - 00:10:59] 像这些借钱的人
[00:10:59 - 00:11:01] 就是怎么去保护自己的权益
[00:11:01 - 00:11:03] 大家一定要去想办法
[00:11:03 - 00:11:04] 债权人
[00:11:04 - 00:11:05] 不是债务人
[00:11:05 - 00:11:07] 债权人借出去的这些人
[00:11:07 - 00:11:08] 对
[00:11:08 - 00:11:09] 所以说大家一定要去学会保护自己的
[00:11:09 - 00:11:10] 这样的一个权益
[00:11:10 - 00:11:13] 另外的话就是那些所谓的犯罪分子
[00:11:13 - 00:11:15] 也千万不要所谓的去掉以清心
[00:11:15 - 00:11:18] 如果说已经锁定你了,你跑不了
[00:11:18 - 00:11:21] 就算没锁定你,你要是犯罪事比较大的话
[00:11:21 - 00:11:24] 那我说像最高人民检察院去申请
[00:11:24 - 00:11:27] 严长时间你也跑不了
[00:11:27 - 00:11:31] 对对对,所以犯罪之后最好的办法就是马上去自首
[00:11:31 - 00:11:34] 能够获得一个比较轻的处罚
[00:11:34 - 00:11:38] 而且如果真的要坐牢,牢坐完之后
[00:11:38 - 00:11:41] 自己就可以安心过剩下的日子
[00:11:41 - 00:11:45] 如果你跑,你这一生像那个人都成了作家了
[00:11:45 - 00:11:46] 不还是被抓走了吗
[00:11:46 - 00:11:46] 就是
[00:11:46 - 00:11:47] 对吧
[00:11:47 - 00:11:49] 你说这有这能力当年你干这事
[00:11:49 - 00:11:50] 看
[00:11:50 - 00:11:51] 哈哈哈
[00:11:51 - 00:11:51] 是呀
[00:11:51 - 00:11:51] 好了
[00:11:51 - 00:11:53] 那我们本期节目就是这样
[00:11:53 - 00:11:56] 咱们下期节目继续讨论那些法律的案子
[00:11:56 - 00:11:57] 我们下期节目再见
[00:11:57 - 00:11:57] 谢谢
[00:11:57 - 00:11:58] 再见
