BV号：BV1zx411y7Dh
标题：BV1zx411y7Dh
链接：https://www.bilibili.com/video/BV1zx411y7Dh
识别语言：zh
语言置信度：1
分段数：266
生成时间：2026-04-04 13:25:24

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:01:01 - 00:01:02] 而且你会发现这帮人
[00:01:02 - 00:01:03] 社会地位还高
[00:01:03 - 00:01:05] 最关键的是这帮人还有喊手机
[00:01:05 - 00:01:06] 是不是
[00:01:06 - 00:01:07] 这就是你们很多人
[00:01:07 - 00:01:08] 当老师的一个最多的原因对吧
[00:01:08 - 00:01:10] 但是同学读博是这个事儿
[00:01:10 - 00:01:12] 其实说实话,确实女工学比较多
[00:01:12 - 00:01:14] 而且我也建议各位女工学
[00:01:14 - 00:01:16] 你们现在找工作的时候,找一些比较稳定的工作
[00:01:16 - 00:01:18] 包括什么,随便就跟我说,说说张老师
[00:01:18 - 00:01:20] 你看,我们师班的大学嘛,对不对
[00:01:20 - 00:01:22] 那将来毕业后的话,可能有两个出路
[00:01:22 - 00:01:24] 第一头成功的,去工办
[00:01:24 - 00:01:26] 工办,对吧,工与学校
[00:01:26 - 00:01:28] 第二呢,像我们这种,我们叫培训提供
[00:01:28 - 00:01:30] 社会上很多像我们这种培训提供,对不对
[00:01:30 - 00:01:32] 然后有的人就跟我说张老师
[00:01:32 - 00:01:34] 那你做过去,鼓励效果比较好,而且培训提供比较好
[00:01:34 - 00:01:36] 我会给大家试分大声解释一下
[00:01:36 - 00:01:37] 如果说同学
[00:01:37 - 00:01:39] 你是比较追求稳定的
[00:01:39 - 00:01:40] 你去公办校
[00:01:40 - 00:01:42] 女生我个人对适合公办校
[00:01:42 - 00:01:44] 男生比较适合公办校
[00:01:44 - 00:01:45] 为什么
[00:01:45 - 00:01:46] 排阵区过当公务的话
[00:01:46 - 00:01:47] 基本上的话
[00:01:47 - 00:01:48] 这就是把女人当男人
[00:01:48 - 00:01:49] 男人当成公务
[00:01:49 - 00:01:50] 你看到我了吗
[00:01:50 - 00:01:52] 那是公保
[00:01:52 - 00:01:53] 每天都要到处跑
[00:01:53 - 00:01:55] 每两天换一个兵委学校
[00:01:55 - 00:01:57] 这是我现在的生活状态
[00:01:57 - 00:01:58] 但是女同学的话
[00:01:58 - 00:01:59] 为什么说你们需要找一些
[00:01:59 - 00:02:00] 比较稳定的工作呢
[00:02:00 - 00:02:02] 因为你现在必项怎么样
[00:02:02 - 00:02:03] 结婚成分还不够
[00:02:03 - 00:02:05] 如果这个的话,你能要留到本命一切
[00:02:05 - 00:02:06] 能不能?
[00:02:06 - 00:02:08] 另外的话,给各位就业的落实之举啊
[00:02:08 - 00:02:10] 我们的女朋友可以一个建议一下
[00:02:10 - 00:02:11] 你们一个一个就不愿
[00:02:11 - 00:02:12] 只要你们的掌握做得好
[00:02:12 - 00:02:12] 就几个人
[00:02:12 - 00:02:13] 有一种情况下
[00:02:13 - 00:02:15] 万万不要去炮炮
[00:02:15 - 00:02:15] 知道吗?
[00:02:15 - 00:02:16] 男人去几个人
[00:02:16 - 00:02:17] 你老婆将来掌握做得好
[00:02:17 - 00:02:17] 有一种情况下
[00:02:17 - 00:02:19] 万万不要去炮炮
[00:02:19 - 00:02:20] 因为这种小传说
[00:02:20 - 00:02:21] 没有人会要你的
[00:02:21 - 00:02:21] 叫什么?
[00:02:21 - 00:02:23] 已婚未育
[00:02:23 - 00:02:25] 知道了什么叫已婚未育吗?
[00:02:25 - 00:02:26] 结了婚未生孩子
[00:02:26 - 00:02:27] 千万不要去炮炮
[00:02:27 - 00:02:28] 没有人会要你的
[00:02:28 - 00:02:28] 知道吗?
[00:02:28 - 00:02:30] 这个能理解吗?
[00:02:30 - 00:02:31] 你来生孩子了
[00:02:31 - 00:02:32] 知道吗
[00:02:32 - 00:02:33] 真的看见了生孩子了
[00:02:33 - 00:02:33] 知道吗
[00:02:33 - 00:02:34] 同学你想啊
[00:02:34 - 00:02:36] 你是一个老板你认识的
[00:02:36 - 00:02:36] 人吗
[00:02:36 - 00:02:37] 来了你单位没两个月
[00:02:37 - 00:02:38] 怀孕了
[00:02:38 - 00:02:39] 回家生孩子是吗
[00:02:39 - 00:02:40] 啊
[00:02:40 - 00:02:41] 你给别人生孩子
[00:02:41 - 00:02:42] 我得你八千
[00:02:43 - 00:02:43] 行不行吗
[00:02:43 - 00:02:45] 你生的也不是我的孩子
[00:02:45 - 00:02:45] 啊
[00:02:45 - 00:02:47] 好不认什么孩子了多个月的
[00:02:47 - 00:02:48] 回来没两个月
[00:02:48 - 00:02:48] 不干了
[00:02:48 - 00:02:49] 我说你干什么不干了
[00:02:49 - 00:02:50] 哎呀
[00:02:50 - 00:02:51] 我要回家带孩子
[00:02:51 - 00:02:52] 给别人带不放心
[00:02:52 - 00:02:53] 我为了这孩子
[00:02:53 - 00:02:54] 放弃我的事业
[00:02:54 - 00:02:56] 你放心你事业我怎么办
[00:02:56 - 00:02:57] 你来了一年啥也没干
[00:02:57 - 00:02:58] 生了个孩子跑了
[00:02:58 - 00:02:59] 觉得合适吗
[00:02:59 - 00:03:00] 对不对
[00:03:00 - 00:03:02] 所以于是男朋友一般不要上来人的
[00:03:02 - 00:03:03] 知道吗
[00:03:03 - 00:03:04] 所以总觉得我告诉你
[00:03:04 - 00:03:05] 你看我们男朋友我也不要上来人
[00:03:05 - 00:03:06] 我有自己的公司
[00:03:06 - 00:03:07] 我在北京
[00:03:07 - 00:03:08] 我的公司在北京
[00:03:08 - 00:03:09] 只要我在单位
[00:03:09 - 00:03:10] 发下来面试是个女的
[00:03:10 - 00:03:11] 我还怕她就能放进来
[00:03:11 - 00:03:12] 你知道吧
[00:03:12 - 00:03:13] 我都是亲自面试的
[00:03:13 - 00:03:14] 而且我面试语说
[00:03:14 - 00:03:15] 我们的第一个问题都一模一样
[00:03:15 - 00:03:17] 你有没有男朋友
[00:03:17 - 00:03:18] 知道吧
[00:03:18 - 00:03:19] 我多没这个问题
[00:03:19 - 00:03:20] 你有没有男朋友
[00:03:20 - 00:03:21] 你有没有男朋友
[00:03:21 - 00:03:22] 你有没有男朋友
[00:03:22 - 00:03:23] 你会误会
[00:03:23 - 00:03:24] 知道吧
[00:03:24 - 00:03:25] 老板女的真的干啥呀
[00:03:25 - 00:03:26] 想多了
[00:03:26 - 00:03:27] 想多了
[00:03:27 - 00:03:28] 你有没有男朋友
[00:03:28 - 00:03:29] 你有没有男朋友
[00:03:29 - 00:03:30] 也有
[00:03:30 - 00:03:31] 有几个
[00:03:32 - 00:03:33] 可是好多啊
[00:03:33 - 00:03:34] 我就喜欢这样
[00:03:35 - 00:03:36] 你们知道非常吗
[00:03:36 - 00:03:38] 他感情不稳定
[00:03:38 - 00:03:40] 短时间之内不会结婚是孩子
[00:03:41 - 00:03:41] 这样的话
[00:03:41 - 00:03:42] 同学我就该放进用他
[00:03:42 - 00:03:43] 该开养的陪他
[00:03:43 - 00:03:44] 我们明白了吧
[00:03:44 - 00:03:45] 所以我们一定要记住
[00:03:45 - 00:03:45] 各位女同学
[00:03:45 - 00:03:47] 你们现在在做工作的时候
[00:03:47 - 00:03:48] 你们现在在做工作的时候
[00:03:48 - 00:03:50] 用人单位一定会问这些问题的
[00:03:50 - 00:03:50] 知道吧
[00:03:50 - 00:03:51] 看得无意
[00:03:51 - 00:03:52] 识得故意同学
[00:03:52 - 00:03:54] 他一定会问你有没有男同学
[00:03:54 - 00:03:54] 知道吧
[00:03:54 - 00:03:56] 记住这个问题的中学答案是什么
[00:03:56 - 00:03:57] 没有
[00:03:57 - 00:03:57] 知道吗
[00:03:57 - 00:03:58] 没有呢!
[00:03:58 - 00:03:59] 想不叫男朋友?
[00:03:59 - 00:04:00] 我还小
[00:04:00 - 00:04:02] 没有男朋友,知道吧?
[00:04:02 - 00:04:03] 我可以说同学
[00:04:03 - 00:04:04] 如果说
[00:04:04 - 00:04:06] 你要是把这个问题的答案回答很有的话
[00:04:06 - 00:04:08] 你这个工作就不是你的了
[00:04:08 - 00:04:09] 知道吗?
[00:04:09 - 00:04:10] 要是凭什么我有男朋友
[00:04:10 - 00:04:11] 人家工作待会就不要我
[00:04:11 - 00:04:12] 我帮你分析一下工作
[00:04:12 - 00:04:13] 如果说你有男朋友的话
[00:04:13 - 00:04:15] 因为那边肯定会考虑这个问题
[00:04:15 - 00:04:16] 你啥时候解释
[00:04:16 - 00:04:18] 啥时候解释
[00:04:18 - 00:04:18] 对吧?
[00:04:18 - 00:04:20] 我把你排阳起来了
[00:04:20 - 00:04:21] 现在我把你看到移动了高度
[00:04:21 - 00:04:23] 你这个工作无人景地
[00:04:23 - 00:04:24] 结果你回家收卡在去了
[00:04:24 - 00:04:25] 怎么办?
[00:04:25 - 00:04:27] 因为那边肯定会考虑这个问题的
[00:04:27 - 00:04:27] 对吧?
[00:04:27 - 00:04:30] 但同學如果說你找了一家大型的公司
[00:04:30 - 00:04:31] 比如說給大家幾個簡單的例子
[00:04:31 - 00:04:32] 什麼聖經銀行
[00:04:32 - 00:04:35] 是吧銀行大家就想去對不對
[00:04:35 - 00:04:37] 結果讓的時候導致一個單位叫聖經銀行
[00:04:37 - 00:04:38] 現在同學好了
[00:04:38 - 00:04:40] 他要再單東開個盆行派你過去
[00:04:40 - 00:04:42] 你有男朋友的話要不要派你過去
[00:04:42 - 00:04:43] 你男朋友在大臉
[00:04:43 - 00:04:45] 你到單東去了好假貨同學
[00:04:45 - 00:04:46] 你們兩個一地
[00:04:46 - 00:04:48] 你要是萬一接下兩項你接下不了
[00:04:48 - 00:04:49] 怎麼辦
[00:04:49 - 00:04:51] 你萬一不幹了我白照皮你了白培養你了
[00:04:51 - 00:04:52] 你們來吧
[00:04:52 - 00:04:54] 說同學你先睡一句話我沒有男朋友
[00:04:54 - 00:04:56] 先把工作機會給拿到處裡
[00:04:56 - 00:04:57] 先把二分給拿到手裡 明白嗎
[00:04:57 - 00:04:58] 到時候你去不去
[00:04:58 - 00:05:00] 你可不可以來你那邊商量一下嘛 對不對
[00:05:00 - 00:05:01] 到底去不去 不去
[00:05:01 - 00:05:02] 那就不去嘛
[00:05:02 - 00:05:03] 老闆你打個話
[00:05:03 - 00:05:04] 你咋不來呢
[00:05:04 - 00:05:05] 剛搞了一個
[00:05:06 - 00:05:07] 那你就結了嘛 對不對
[00:05:07 - 00:05:08] 後來我們在那邊
[00:05:08 - 00:05:10] 也會遇到我也不要了
[00:05:10 - 00:05:10] 知道嗎
[00:05:10 - 00:05:11] 有一次上午當
[00:05:11 - 00:05:12] 有一次也身邊是一個大姐夫
[00:05:12 - 00:05:13] 大姐你結婚了沒有
[00:05:13 - 00:05:15] 哎呀 孩子都用了
[00:05:15 - 00:05:17] 不是 把你孩子躲大了呀
[00:05:17 - 00:05:18] 把孩子五歲
[00:05:18 - 00:05:19] 這不送幼兒園了嘛
[00:05:19 - 00:05:20] 下班也活得花幼兒園
[00:05:20 - 00:05:21] 把孩子結婚加個班
[00:05:21 - 00:05:23] 哎 我覺得挺好的 對吧
[00:05:23 - 00:05:24] 沒過兩個月 二天
[00:05:24 - 00:05:27] 我就觉得我上当了知道吧
[00:05:27 - 00:05:29] 好了我们在那照片的时候呢
[00:05:29 - 00:05:30] 照片女生可以
[00:05:30 - 00:05:32] 能力没限制 年龄有限制知道吧
[00:05:32 - 00:05:33] 我们那边的照片女生的时候
[00:05:33 - 00:05:35] 二数对以内 四数对以上
[00:05:35 - 00:05:37] 二数对一半不会怀孕生孩子
[00:05:37 - 00:05:38] 对吧 四屏在上
[00:05:38 - 00:05:40] 你还能怀孕 我怎么认呢
[00:05:40 - 00:05:43] 对不对 你牛逼还不行吗
[00:05:43 - 00:05:44] 对不对
[00:05:44 - 00:05:49] 我们单位就是
[00:05:49 - 00:05:50] 两个月之前有个大姐
[00:05:50 - 00:05:52] 四十帮我
[00:05:52 - 00:05:55] 知道吧 孩子都大学毕业了
[00:05:55 - 00:05:57] 我跟她老公在家里哭过这个
[00:05:59 - 00:06:00] 太厉害了
[00:06:01 - 00:06:03] 真的我跟她们两个老子在这儿留了两个月
[00:06:04 - 00:06:05] 你们都吃啥呀
[00:06:07 - 00:06:08] 身体那么好
[00:06:09 - 00:06:11] 说要就要说怀就怀的
[00:06:12 - 00:06:14] 那什么养生节目请你们去算了对不对
[00:06:15 - 00:06:16] 你们最牛逼的是吧
