BV号：BV1CE411o7AZ
标题：BV1CE411o7AZ
链接：https://www.bilibili.com/video/BV1CE411o7AZ
识别语言：zh
语言置信度：1
分段数：403
生成时间：2026-04-04 06:23:02

[00:00:02 - 00:00:04] 当飞行员的话得具备哪些条件和数据
[00:07:36 - 00:07:37] 尽量坐大飞机
[00:07:37 - 00:07:37] 为什么
[00:07:37 - 00:07:38] 都稳的
[00:07:38 - 00:07:40] 在这个有气流的时候
[00:07:40 - 00:07:41] 它不怎么晃
[00:07:41 - 00:07:42] 我自己骑身体验也是这样
[00:07:42 - 00:07:44] 小飞机可能晃得消费
[00:07:44 - 00:07:44] 小飞厉害一些
[00:07:44 - 00:07:45] 对吧
[00:07:45 - 00:07:46] 但大飞机它毕竟大
[00:07:46 - 00:07:48] 就跟我们开大车一样
[00:07:48 - 00:07:48] 对不对
[00:07:48 - 00:07:49] 你开个大卡车
[00:07:49 - 00:07:50] 你来回开车
[00:07:50 - 00:07:51] 倒车什么入库
[00:07:51 - 00:07:52] 什么都不方便
[00:07:52 - 00:07:53] 您的经验来讲
[00:07:53 - 00:07:54] 大飞机难开
[00:07:54 - 00:07:55] 还是小飞机难开
[00:07:55 - 00:07:57] 大家觉得稳是很舒适
[00:07:57 - 00:07:58] 很很安全
[00:07:58 - 00:07:59] 但是实际上
[00:07:59 - 00:08:00] 我举一个例子
[00:08:00 - 00:08:01] 在这个
[00:08:02 - 00:08:05] 就是某巨无外最大的这个民航客机
[00:08:05 - 00:08:07] 实际上他当时
[00:08:07 - 00:08:09] 运营的这个几条航线
[00:08:09 - 00:08:10] 从北京出发的
[00:08:10 - 00:08:11] 比如说到迪拜的
[00:08:11 - 00:08:12] 比如说到法兰克福的
[00:08:13 - 00:08:14] 如果告诉乘客
[00:08:14 - 00:08:16] 在中间这个飞机有问题
[00:08:16 - 00:08:18] 一个备降点都没有
[00:08:18 - 00:08:20] 我相信很多乘客就不会觉得他安全
[00:08:20 - 00:08:22] 然后他质量越大
[00:08:22 - 00:08:24] 他的这个惯性就越大
[00:08:24 - 00:08:25] 如果说长度不够的话
[00:08:25 - 00:08:26] 他就要冲出去了
[00:08:26 - 00:08:27] 对
[00:08:27 - 00:08:28] 所以说一旦有问题
[00:08:28 - 00:08:30] 他就只能带伤返回
[00:08:30 - 00:08:32] 或者带伤继续前进
[00:08:32 - 00:08:32] 哎呦
[00:08:32 - 00:08:34] 那可真危险了
[00:08:34 - 00:08:36] 有的时候我坐飞机的时候
[00:08:36 - 00:08:39] 我就特别对一个人很感兴趣
[00:08:39 - 00:08:39] 不是你们飞机上来
[00:08:39 - 00:08:41] 是地形人员
[00:08:41 - 00:08:43] 我发现这个飞机在推出的时候
[00:08:43 - 00:08:44] 然后的话会有个地形人员
[00:08:44 - 00:08:45] 一直跟着飞机
[00:08:45 - 00:08:45] 然后的话呢
[00:08:45 - 00:08:46] 他在旁边站
[00:08:46 - 00:08:48] 然后拿个白白的一个什么线
[00:08:48 - 00:08:49] 然后哎
[00:08:49 - 00:08:51] 我觉得那个我特别有感觉
[00:08:51 - 00:08:52] 我想问一下
[00:08:52 - 00:08:53] 地形人员是干嘛的
[00:08:53 - 00:08:56] 他首先在这个飞机推出的时候
[00:08:56 - 00:08:59] 他就是您看见的地形人员和几个您可能看不见的
[00:08:59 - 00:09:01] 他们去共同保障这个飞机的
[00:09:01 - 00:09:03] 在这个推动的时候
[00:09:03 - 00:09:05] 不会碰到两边的东西
[00:09:05 - 00:09:07] 到侧用户员外倒倒
[00:09:07 - 00:09:08] 对 您观察非常仔细
[00:09:08 - 00:09:10] 就是他手里会拿一个东西
[00:09:10 - 00:09:13] 那个实际上是飞机上的安全销
[00:09:13 - 00:09:15] 就是机长有责任去看一眼
[00:09:15 - 00:09:17] 他确实把这个东西拔下来了
[00:09:17 - 00:09:21] 这就证明这个飞机的一些操控面都不会有任何问题
[00:09:21 - 00:09:23] 之前就曾经发生过空弹
[00:09:23 - 00:09:25] 就是因为这个安全销实际上插上去以后
[00:09:25 - 00:09:28] 就有点像汽车的那个方向盘锁一样
[00:09:28 - 00:09:29] 但它没有那么明显
[00:09:29 - 00:09:33] 假如说有一个隐藏的这个方向盘锁
[00:09:33 - 00:09:35] 您不知道一下开上高速了
[00:09:35 - 00:09:37] 发现那个时候想打方向的时候动不了
[00:09:37 - 00:09:39] 这个就非常可怕
[00:09:39 - 00:09:43] 所以它必须拿在手里带一个白色的或红色的腰子
[00:09:43 - 00:09:45] 然后举起来给机辆看一下
[00:09:45 - 00:09:46] 哦
[00:09:46 - 00:09:48] 这是双方的一个确认
[00:09:48 - 00:09:50] 所以说我觉得这个王老师这个人很不厚的
[00:09:50 - 00:09:51] 你知道吧
[00:09:51 - 00:09:53] 你这刚开始的时候我说了半天
[00:09:53 - 00:09:54] 我说这个做飞行员什么标准
[00:09:54 - 00:09:55] 好假话
[00:09:55 - 00:09:57] 你给我讲要懂那个要懂那个
[00:09:57 - 00:09:58] 要回那个要回那个
[00:09:58 - 00:10:00] 有这要求我那要求
[00:10:00 - 00:10:04] 其实我发现开飞机这个东西应该是一个技术活
[00:10:04 - 00:10:06] 这个玩意也应该是有跟开车似的
[00:10:06 - 00:10:08] 有的人可能所谓的开的好
[00:10:08 - 00:10:09] 有的人可能开的不好
[00:10:09 - 00:10:12] 比如说我了解到好像世界上很多孔蛋
[00:10:12 - 00:10:17] 都是因为飞行员的价实可能操作不当才导致的
[00:10:17 - 00:10:20] 很遗憾对您说的对
[00:10:20 - 00:10:22] 就是因为飞行员本身的原因
[00:10:22 - 00:10:22] 对不对
[00:10:22 - 00:10:25] 所以说的话我觉得真的有志于说
[00:10:25 - 00:10:28] 想做飞行员的这些朋友或者同学
[00:10:28 - 00:10:30] 就是千万不要把这个事想得
[00:10:30 - 00:10:31] 他说的那么简单
[00:10:31 - 00:10:32] 说是个人就行
[00:10:32 - 00:10:32] 你得会说话
[00:10:32 - 00:10:34] 你开车能开车就能开飞机
[00:10:34 - 00:10:36] 但是你在整个学习的过程当中
[00:10:36 - 00:10:37] 你在积累的经验过程当中
[00:10:37 - 00:10:39] 它是一个就像于我们打游戏
[00:10:39 - 00:10:40] 你说慢慢打过来练习
[00:10:40 - 00:10:42] 随着你时间越长
[00:10:42 - 00:10:43] 你的经验越丰富
[00:10:43 - 00:10:44] 你的经验越丰富
[00:10:44 - 00:10:46] 你在遇到一些应急情况的时候
[00:10:46 - 00:10:47] 你的操作
[00:10:47 - 00:10:50] 你的选择才可能越正确
[00:10:50 - 00:10:51] 保证人家政客的安全
[00:10:51 - 00:10:53] 也保证你们自己的安全
[00:10:53 - 00:10:54] 所以说大家如果说
[00:10:54 - 00:10:57] 有志于在这方面做发展的话
[00:10:57 - 00:10:59] 一定要我觉得就是要认真真地学习
[00:10:59 - 00:11:02] 另外我觉得还应该有一颗大心脏
[00:11:02 - 00:11:04] 这一点非常非常的重要
[00:11:04 - 00:11:05] 因为说实话
[00:11:05 - 00:11:07] 你不管开车也好还是开笔记也好
[00:11:07 - 00:11:09] 真的有可能会遇到的一个
[00:11:09 - 00:11:11] 所谓的意外情况
[00:11:11 - 00:11:12] 千万不能晃
[00:11:12 - 00:11:13] 没错
[00:11:13 - 00:11:14] 对
[00:11:14 - 00:11:15] 所以说陈卓
[00:11:15 - 00:11:16] 所以说你看王老师往这一坐
[00:11:16 - 00:11:17] 陈卓
[00:11:17 - 00:11:20] 我这一看就是要这样的人开飞机
[00:11:20 - 00:11:20] 说实话
[00:11:20 - 00:11:22] 我不放心
[00:11:22 - 00:11:23] 我这样的人开飞机
[00:11:23 - 00:11:25] 王老师你放心吧
[00:11:25 - 00:11:27] 我觉得如果您成为了一个飞行员
[00:11:27 - 00:11:28] 在飞行的时候
[00:11:28 - 00:11:31] 也会让人非常放心
[00:11:32 - 00:11:33] 感谢王老师
[00:11:33 - 00:11:35] 那我们本期节目的也非常谢谢
[00:11:35 - 00:11:36] 王老师能跟我们讲了这么多
[00:11:36 - 00:11:37] 成为飞行员
[00:11:37 - 00:11:39] 以及飞行当中的一些经验
[00:11:39 - 00:11:40] 咱们本期节目就是这样
[00:11:40 - 00:11:42] 咱们下期节目再见
[00:11:42 - 00:11:43] 谢谢大家
