BV号：BV1Wh4y1g7qh
标题：BV1Wh4y1g7qh
链接：https://www.bilibili.com/video/BV1Wh4y1g7qh
识别语言：zh
语言置信度：1
分段数：151
生成时间：2026-04-03 14:21:55

[00:00:00 - 00:00:06] 张老师 你怎么了
[00:00:06 - 00:00:07] 看看这些智园甜猫的妖言
[00:02:01 - 00:02:02] 这么能测你
[00:02:02 - 00:02:04] 你怎么不去买彩票啊你
[00:02:04 - 00:02:06] 志愿方案重点是充很稳
[00:02:06 - 00:02:08] 把的志愿不用担心
[00:02:08 - 00:02:09] 保啊
[00:02:09 - 00:02:11] 就像那房子的利机
[00:02:11 - 00:02:13] 保证你志愿不至于他房
[00:02:13 - 00:02:15] 你就这么自信的充文保比例
[00:02:15 - 00:02:16] 设置的就很合理吗
[00:02:16 - 00:02:18] 高清仇一台元的计算机类
[00:02:18 - 00:02:19] 计算机类呢
[00:02:19 - 00:02:20] 就有一个面儿宽
[00:02:20 - 00:02:21] 进可攻 退可收
[00:02:21 - 00:02:22] 各行各业呢
[00:02:22 - 00:02:23] 其实对计算机专业
[00:02:23 - 00:02:24] 都有需求
[00:02:24 - 00:02:27] 这么好必然非常绝
[00:02:27 - 00:02:28] 想远离三岁岁的时长挑战
[00:02:28 - 00:02:30] 一定要持续学习
[00:02:30 - 00:02:31] 技术过程
[00:02:31 - 00:02:32] 小学学 评价密集的金融学
[00:02:32 - 00:02:34] 未来从事金融行业好不好
[00:02:34 - 00:02:36] 和你大学金融学专业学的好不好
[00:02:36 - 00:02:38] 不一定成正比
[00:02:38 - 00:02:40] 金融行业极其吃人脉资源
[00:02:40 - 00:02:42] 所以说别听着他高大上
[00:02:42 - 00:02:44] 就觉得学了他就能压严密
[00:02:44 - 00:02:44] 你啊
[00:02:44 - 00:02:45] 学什么都比他强的
[00:02:45 - 00:02:46] 新闻长波类
[00:02:46 - 00:02:47] 能学
[00:02:47 - 00:02:50] 但是我个人真的不推荐优先考虑什么
[00:02:50 - 00:02:51] 像新船这种文科类转业
[00:02:51 - 00:02:53] 缺少很强的技术壁垒
[00:02:53 - 00:02:55] 全国思维用别的法式
[00:02:55 - 00:02:57] 也能够掌握
[00:02:57 - 00:03:00] 法学毕业生写出来的法律新闻、法律自媒体
[00:03:00 - 00:03:03] 很可能比新传毕业生做得更加纯别
[00:03:03 - 00:03:05] 一确人学就可以来踢得一选
[00:03:05 - 00:03:06] 你能走那都都寂寞
[00:03:06 - 00:03:08] 持续学到博士才能做
[00:03:08 - 00:03:10] 别看着同学们早钻前来你就眼红了
[00:03:10 - 00:03:13] 三十五岁以后才是你持续迈向事业
[00:03:13 - 00:03:16] 心颠峰的时候越牢越吃香
[00:03:16 - 00:03:17] 一确人学就会高管得法学类
[00:03:17 - 00:03:19] 法学类每年都是文科专业里边
[00:03:19 - 00:03:20] 热门的报考专业
[00:03:20 - 00:03:23] 技能口供、招聘岗位也不少
[00:03:23 - 00:03:24] 又好从业
[00:03:24 - 00:03:27] 干的好的确实挺正前
[00:03:27 - 00:03:29] 法学的难关除了考研
[00:03:29 - 00:03:33] 还有通过了不到的百分之二十的法律职业资格证
[00:03:33 - 00:03:34] 大家也有心理想没有
[00:03:34 - 00:03:35] 四大天空生贺还财
[00:03:35 - 00:03:38] 说他们天空是因为这些专业对人才的雕嘴
[00:03:38 - 00:03:40] 才要求稍微高一点
[00:03:40 - 00:03:42] 本科毕业以后想找个高端一点的工作
[00:03:42 - 00:03:43] 确实有点困难
[00:03:43 - 00:03:45] 但是只要你肯学习
[00:03:45 - 00:03:47] 那一定就有机会成为期确人
[00:03:47 - 00:03:48] 对 按取他的艺术设计位
[00:03:48 - 00:03:52] 很多底层的设计岗位确实是可能会被AI取得
[00:03:52 - 00:03:53] 但是涉及到艺术的层面
[00:03:53 - 00:03:57] 人的艺术审美不可能被员工整理所取代
[00:03:57 - 00:03:58] 脑台商客夕阳章阳会计学
[00:03:58 - 00:04:00] 会计中一些重复性的工作
[00:04:00 - 00:04:02] 比如说基础财务核算或者是初纳
[00:04:02 - 00:04:05] 很容易被硬接生甚至是AI给取代
[00:04:05 - 00:04:07] 但是走到管理会计阶段
[00:04:07 - 00:04:10] 你懂预算管理 懂资产管理
[00:04:10 - 00:04:11] 会数据分析
[00:04:11 - 00:04:13] 在网上有融资能力
[00:04:13 - 00:04:14] 懂怎么帮公司上市
[00:04:14 - 00:04:16] 那就是整个行业内的相波波了
[00:04:16 - 00:04:18] 各种企业抢没有
[00:04:18 - 00:04:21] 至于填补选专业真的不能考道听图书
[00:04:21 - 00:04:24] 光是本科就有14個學科門類
[00:04:24 - 00:04:25] 792個專業
[00:04:25 - 00:04:26] 像夸克APP
[00:04:26 - 00:04:29] 高校專業的高考志願填報助手
[00:04:29 - 00:04:31] 不僅能查大學查專業
[00:04:31 - 00:04:34] 還能科學推薦出文保志願參考方案
[00:04:34 - 00:04:37] 最近每天晚上都有我和多位資深的志願專家
[00:04:37 - 00:04:38] 在線直播大議
[00:04:38 - 00:04:40] 而且所有功能全免費
[00:04:40 - 00:04:42] 高考選志院上夸克APP
