BV号：BV1Pt411n7Vu
标题：BV1Pt411n7Vu
链接：https://www.bilibili.com/video/BV1Pt411n7Vu
识别语言：zh
语言置信度：1
分段数：428
生成时间：2026-04-04 07:33:59

[00:00:00 - 00:00:02] 大家好,我是上学习变得更快乐的张雪芳老师
[00:01:50 - 00:01:52] 所以说我只是犯了交通赵事罪
[00:01:52 - 00:01:55] 那么像本案当中往往的这一系列的行为
[00:01:55 - 00:01:57] 它是属于故意杀人类
[00:01:57 - 00:01:58] 还是属于交通照顾罪
[00:01:58 - 00:02:01] 这就是我们本期要讨论的案子
[00:02:10 - 00:02:10] 大家好
[00:02:10 - 00:02:12] 我是让学习变得更快乐的张雪芳老师
[00:02:12 - 00:02:14] 欢迎大家收看本期的法律气词
[00:02:14 - 00:02:14] 很好玩
[00:02:14 - 00:02:17] 我们本期请到的嘉宾依然是我们研途教育的
[00:02:17 - 00:02:18] 千元老师
[00:02:18 - 00:02:19] 我们的颜雅祥老师
[00:02:19 - 00:02:20] 杨老师跟大家打个招呼
[00:02:20 - 00:02:21] 嗨 大家好
[00:02:21 - 00:02:22] 杨老师
[00:02:22 - 00:02:24] 像我们这个案子刚开始的时候
[00:02:24 - 00:02:26] 他其实确实是一个交通照顾罪
[00:02:26 - 00:02:27] 然后的话
[00:02:27 - 00:02:30] 他把受害人夹抹就给撞伤了
[00:02:30 - 00:02:32] 然后的话,蒋某可能也是一直在流血
[00:02:32 - 00:02:35] 但是他没有采取其他的办法
[00:02:35 - 00:02:37] 就是直接把蒋某抱到车上
[00:02:37 - 00:02:43] 转了好像得有四个半小时才把他送到医院
[00:02:43 - 00:02:44] 还是住院部还是不是急诊部
[00:02:44 - 00:02:46] 是送到了住院部
[00:02:46 - 00:02:48] 那他这个到底是一个过失
[00:02:48 - 00:02:51] 就是故意杀人还是说这个一个叫做过失
[00:02:51 - 00:02:51] 对
[00:02:51 - 00:02:53] 好的,这个问题很好
[00:02:53 - 00:02:55] 这个问题就牵扯到咱们刑法中
[00:02:55 - 00:02:58] 对于犯罪有两种主观心态
[00:02:58 - 00:03:02] 聯儂主管心他一種叫故意一種叫過失
[00:03:02 - 00:03:06] 那麼過失又分兩種疏忽大意的過失和過於自信的過失
[00:03:06 - 00:03:10] 疏忽大意就是說我應當遇見到但是我沒有遇見到
[00:03:10 - 00:03:13] 過於自信我已經遇見到但我親信能夠避免
[00:03:13 - 00:03:19] 那麼這兩種過失共同特徵反對危害結果的發生
[00:03:19 - 00:03:21] 反對死亡結果的發生
[00:03:21 - 00:03:23] 那麼故意是什麼?
[00:03:23 - 00:03:27] 故意是說明知這個行為會發生危害社會的結果
[00:03:27 - 00:03:29] 并且希望或者放任
[00:03:29 - 00:03:30] 那么这有两个词
[00:03:30 - 00:03:31] 希望或者放任
[00:03:31 - 00:03:32] 咱们圣妇中讲的
[00:03:32 - 00:03:34] 直接故意和间接故意
[00:03:35 - 00:03:37] 直接故意就是我用刀子扎你
[00:03:37 - 00:03:38] 我追求你的死亡
[00:03:38 - 00:03:39] 这个就叫希望
[00:03:39 - 00:03:40] 第二种情况就说
[00:03:40 - 00:03:42] 我放任你的死亡
[00:03:42 - 00:03:44] 那么不管他是追求还是放任
[00:03:44 - 00:03:46] 他可以统一到一个词叫什么
[00:03:46 - 00:03:47] 不反对
[00:03:47 - 00:03:48] 不反对
[00:03:48 - 00:03:49] 不反对
[00:03:49 - 00:03:51] 那么我们认定这个王某的行为
[00:03:51 - 00:03:52] 是交通照事
[00:03:52 - 00:03:54] 还是故意杀人就取决于什么
[00:03:54 - 00:03:57] 他是否反对受害人的死亡
[00:03:57 - 00:03:58] 我个少
[00:03:58 - 00:03:58] 是吧
[00:03:58 - 00:04:01] 他像这个表达的非常准确
[00:04:01 - 00:04:03] 他说我其实是反对的
[00:04:03 - 00:04:03] 为什么
[00:04:03 - 00:04:05] 你看我都送出漫天
[00:04:05 - 00:04:06] 我是不是给他送到医院去了
[00:04:06 - 00:04:07] 对
[00:04:07 - 00:04:07] 对
[00:04:07 - 00:04:08] 他自己是这么说的
[00:04:08 - 00:04:08] 对
[00:04:08 - 00:04:10] 反映在他对我判定的时候的话
[00:04:10 - 00:04:11] 或者说是检查员
[00:04:11 - 00:04:12] 在给他提起公诉的时候
[00:04:12 - 00:04:13] 那为什么说
[00:04:13 - 00:04:14] 他是一个护士杀人
[00:04:14 - 00:04:15] 对
[00:04:15 - 00:04:16] 我是送到医院去了
[00:04:16 - 00:04:17] 那为什么说是故意杀人
[00:04:17 - 00:04:18] 他就讲
[00:04:18 - 00:04:20] 他说我是救人不当
[00:04:20 - 00:04:21] 救人不当
[00:04:21 - 00:04:22] 我就只是一个
[00:04:22 - 00:04:23] 我是反对的
[00:04:23 - 00:04:24] 就像你刚讲的
[00:04:24 - 00:04:26] 但是他怎么反对了
[00:04:26 - 00:04:27] 他把人撞了之后
[00:04:27 - 00:04:29] 他打包点电话的没有
[00:04:29 - 00:04:30] 你要确实没有
[00:04:30 - 00:04:32] 他送人去医院了没有
[00:04:32 - 00:04:32] 嗯
[00:04:32 - 00:04:33] 这个
[00:04:33 - 00:04:34] 最后是送了吗
[00:04:34 - 00:04:35] 最后的
[00:04:35 - 00:04:36] 有个发展过程是什么
[00:04:36 - 00:04:38] 就是他18点30分把人撞了
[00:04:38 - 00:04:38] 对对对
[00:04:38 - 00:04:40] 18点52分
[00:04:40 - 00:04:43] 他就从那个307国道就出来了
[00:04:43 - 00:04:43] 对对对
[00:04:43 - 00:04:45] 出来呢进入了一个恶图克前棋
[00:04:45 - 00:04:45] 对对对
[00:04:45 - 00:04:47] 已经进了这个棋的这个程
[00:04:47 - 00:04:49] 程区的这个棋就相当于限了
[00:04:49 - 00:04:49] 对对对
[00:04:49 - 00:04:50] 进了这个县城了
[00:04:50 - 00:04:52] 在里面呆了两个小时
[00:04:52 - 00:04:54] 他又出来开车往盐川
[00:04:54 - 00:04:57] 他在这两个小时里面干嘛了
[00:04:57 - 00:04:58] 去了一次医院没有
[00:04:58 - 00:05:00] 没有
[00:05:00 - 00:05:03] 然后呢这个中间其实他还经过过一个
[00:05:03 - 00:05:04] 县城
[00:05:04 - 00:05:06] 就是说他经过了好几个能够
[00:05:06 - 00:05:08] 究竟送人去医院的地方
[00:05:08 - 00:05:09] 他都没去
[00:05:09 - 00:05:11] 对而且的话我觉得什么呢他又不像说是
[00:05:11 - 00:05:12] 其他的你
[00:05:12 - 00:05:15] 你看不到的或遇见不到的那种伤害啊比如说
[00:05:16 - 00:05:20] 他刚开始装完以后有内伤对有内伤比如说刚开始装完以后的话你看着好像是没什么事
[00:05:20 - 00:05:22] 但是突然过了一会儿以后
[00:05:22 - 00:05:25] 受害人可能是因为自己心有余迹
[00:05:25 - 00:05:26] 突然心脏病死了
[00:05:26 - 00:05:28] 这个你是遇见不到的
[00:05:28 - 00:05:32] 但是最后我们会发现他那个死亡原因是失血
[00:05:32 - 00:05:34] 也就是说你是看见他流血的
[00:05:34 - 00:05:37] 你最起码一点点的说我别的治不了
[00:05:37 - 00:05:38] 我给他包拉一下是能吗
[00:05:38 - 00:05:39] 对
[00:05:39 - 00:05:40] 这是最起码的
[00:05:40 - 00:05:42] 但是他没有
[00:05:42 - 00:05:42] 他一直耗
[00:05:42 - 00:05:43] 耗了人家
[00:05:43 - 00:05:46] 到最后就是到11点零七分的时候
[00:05:46 - 00:05:48] 才把这个人送到了医院
[00:05:48 - 00:05:49] 而且像你刚才讲的
[00:05:49 - 00:05:53] 他不是给他送到门诊或者急诊说你们来救一下这个人
[00:05:53 - 00:05:57] 不是 他扔在了医院的门诊大厅那个地方
[00:05:57 - 00:05:58] 住院部的大厅
[00:05:58 - 00:05:59] 然后就跑了
[00:05:59 - 00:06:01] 然后过了那么20分钟
[00:06:01 - 00:06:03] 大家才发现了这个人
[00:06:03 - 00:06:05] 他并没有真的把他送去救诊
[00:06:05 - 00:06:07] 所以这个
[00:06:07 - 00:06:11] 检察院就认为这个人是一个故意杀人
[00:06:11 - 00:06:13] 然后就诉到法院 理由就是什么
[00:06:13 - 00:06:15] 就是刚才这个过程年也论证了
[00:06:15 - 00:06:18] 他其实是放任别人的死亡
[00:06:18 - 00:06:18] 放任
[00:06:18 - 00:06:19] 但是检察院
[00:06:19 - 00:06:21] 诉到法院去以后
[00:06:21 - 00:06:23] 法院就认定是故意杀人
[00:06:23 - 00:06:26] 然后认定为那个间接故意
[00:06:26 - 00:06:26] 判了10年
[00:06:26 - 00:06:27] 判了10年
[00:06:27 - 00:06:29] 就是这个人最后是以故意杀人罪
[00:06:29 - 00:06:30] 以故意杀人判10年
[00:06:30 - 00:06:32] 你以为这事就完了吗
[00:06:33 - 00:06:34] 我觉得
[00:06:35 - 00:06:36] 我个人觉得
[00:06:38 - 00:06:40] 按照我们平时老百姓对于故意杀人的理解
[00:06:41 - 00:06:42] 杀人要常用
[00:06:42 - 00:06:43] 对吧
[00:06:43 - 00:06:45] 你就算说你不是说
[00:06:45 - 00:06:47] 直接把这个人给恶意来给杀了的
[00:06:47 - 00:06:48] 但是你最后毕竟是
[00:06:48 - 00:06:50] 虽然说不至于说
[00:06:50 - 00:06:52] 说你直接就给死刑吧
[00:06:52 - 00:06:54] 但我觉得你死缓啊
[00:06:54 - 00:06:55] 或者说是无期啊
[00:06:55 - 00:06:56] 对吧
[00:06:56 - 00:06:58] 十年
[00:06:58 - 00:06:59] 素有点低啊
[00:06:59 - 00:06:59] 我觉得
[00:06:59 - 00:07:00] 他这个就这样就说
[00:07:00 - 00:07:01] 那个法院呢
[00:07:01 - 00:07:02] 就认定他认为
[00:07:02 - 00:07:04] 他是一个间接股院
[00:07:04 - 00:07:05] 就意思说他不追求
[00:07:05 - 00:07:06] 他只是一个放任
[00:07:06 - 00:07:06] 所以呢
[00:07:06 - 00:07:08] 就判了十年
[00:07:08 - 00:07:10] 被害人的家属
[00:07:10 - 00:07:11] 到法院没什么意见
[00:07:11 - 00:07:13] 检察院不干
[00:07:13 - 00:07:14] 检察院不干
[00:07:14 - 00:07:15] 检察院呢
[00:07:15 - 00:07:17] 当庭就说我要抗诉
[00:07:17 - 00:07:18] 这个是直接故意
[00:07:18 - 00:07:20] 他的理由是什么呢
[00:07:20 - 00:07:22] 说你有那么多次机会进医院
[00:07:22 - 00:07:23] 你不进
[00:07:23 - 00:07:25] 你是把人活活耗死的
[00:07:25 - 00:07:28] 简直还要认为他是故意要把人拖死
[00:07:28 - 00:07:28] 其实我说实话
[00:07:28 - 00:07:32] 他那两个小时到内蒙古的那个县就是什么恶河拖鞋期
[00:07:32 - 00:07:36] 你说那两个小时干嘛去了嘛对吧
[00:07:36 - 00:07:37] 不知道啊
[00:07:37 - 00:07:38] 在那待了两个小时
[00:07:38 - 00:07:40] 他不把人家送到县医院去
[00:07:40 - 00:07:42] 然后又出去以后又搞两个小时
[00:07:42 - 00:07:44] 这样总共四个半小时
[00:07:44 - 00:07:46] 那么这个事情就说医生
[00:07:46 - 00:07:47] 不是这个判下来了吗
[00:07:47 - 00:07:49] 这个检察院说我要抗诉
[00:07:49 - 00:07:54] 然后就由他们的人民市市一级的检察院抗诉
[00:07:54 - 00:07:55] 抗到了中级人民法院
[00:07:55 - 00:07:58] 抗完了中级人民法院说维持原判
[00:07:58 - 00:08:00] 还没完
[00:08:00 - 00:08:04] 这个检察院就憋着劲儿飞了把这个人搞到一个特别重不可
[00:08:04 - 00:08:05] 然后右膀上提
[00:08:05 - 00:08:08] 最后是自治区一级的检察院
[00:08:08 - 00:08:13] 就用咱们普通的省检察院向省高院提起抗诉
[00:08:13 - 00:08:17] 然后最后一次的开庭就是省检察院和省高院
[00:08:17 - 00:08:18] 他们开的
[00:08:18 - 00:08:20] 然后省高院说维持院
[00:08:20 - 00:08:21] 还是有维持院
[00:08:21 - 00:08:22] 这个地方呢
[00:08:22 - 00:08:24] 就是他最后还认为是一个间接故意
[00:08:24 - 00:08:26] 这地方其实你仔细思考
[00:08:26 - 00:08:27] 省高院有一点
[00:08:27 - 00:08:29] 我觉得还可以肯定的地方
[00:08:29 - 00:08:33] 就是在这种间接故意和直接故意
[00:08:33 - 00:08:35] 不是那种特别明确的拿刀的对的
[00:08:35 - 00:08:37] 就是要扎实为止的
[00:08:37 - 00:08:38] 不是特别明显的时候
[00:08:38 - 00:08:42] 他采取了有利于被告人的
[00:08:42 - 00:08:43] 相对于从轻的
[00:08:43 - 00:08:45] 對被告人有利的一個認定
[00:08:45 - 00:08:48] 這個應該說是我們刑法的一個叫千億刑
[00:08:48 - 00:08:50] 千虛的牽
[00:08:50 - 00:08:51] 壓抑的意
[00:08:51 - 00:08:52] 千億刑
[00:08:52 - 00:08:54] 意思就是說刑法要盡量的少用
[00:08:54 - 00:08:56] 給人判刑
[00:08:56 - 00:08:58] 如果在證據有存疑的時候
[00:08:58 - 00:09:00] 那麼盡量
[00:09:00 - 00:09:01] 不是盡量
[00:09:01 - 00:09:02] 如果證據存疑
[00:09:02 - 00:09:03] 只能按你
[00:09:03 - 00:09:04] 能夠認定的
[00:09:04 - 00:09:06] 輕的證據來認定
[00:09:06 - 00:09:07] 那麼法院就認為說
[00:09:07 - 00:09:09] 這個地方它雖然拖著它
[00:09:09 - 00:09:10] 雖然它一直在流血
[00:09:10 - 00:09:12] 但是它和那種直接要
[00:09:12 - 00:09:13] 希望扎死它
[00:09:13 - 00:09:14] 还有区别
[00:09:14 - 00:09:16] 所以他最终是按间接故意来认定的
[00:09:16 - 00:09:18] 但是
[00:09:18 - 00:09:19] 无论怎么讲
[00:09:19 - 00:09:21] 他这个行为已经不是
[00:09:21 - 00:09:22] 交通中是
[00:09:22 - 00:09:23] 对不是过失犯罪
[00:09:23 - 00:09:24] 已经是
[00:09:24 - 00:09:26] 这个故意犯罪了
[00:09:26 - 00:09:27] 那你看这个案子当中
[00:09:27 - 00:09:29] 我觉得比较好玩的一个事情
[00:09:29 - 00:09:30] 就是说
[00:09:30 - 00:09:31] 这个刚才您有说
[00:09:31 - 00:09:32] 就是检察院他一直在抗诉
[00:09:32 - 00:09:33] 一直就觉得说
[00:09:33 - 00:09:34] 我这个
[00:09:34 - 00:09:35] 你判的太轻
[00:09:35 - 00:09:36] 对吧
[00:09:36 - 00:09:37] 我就一定要
[00:09:37 - 00:09:39] 就是相对更加严厉的去
[00:09:39 - 00:09:40] 去判断分析嫌疑人
[00:09:40 - 00:09:41] 那你像我们当中
[00:09:41 - 00:09:42] 就是这个刑法当中
[00:09:42 - 00:09:43] 有很多很多的罪啊
[00:09:43 - 00:09:46] 他其实是一个所谓的一个刑事案件
[00:09:46 - 00:09:49] 那这个时候的话就是检察院要提起这个公诉对吧
[00:09:49 - 00:09:54] 那有没有这种情况下就是所谓叫什么民不举关不丢
[00:09:54 - 00:09:56] 就比如说其实我我中间我是犯了一些罪的
[00:09:56 - 00:10:01] 但是可能这个这个人间受害者都没说要告我
[00:10:01 - 00:10:03] 虽然说我是触犯了一些刑法
[00:10:03 - 00:10:05] 但是你检察院你就不能提起公诉
[00:10:05 - 00:10:07] 有没有这样的情况有是吧
[00:10:07 - 00:10:09] 那什么样的行为什么样的情况
[00:10:09 - 00:10:11] 就是检察院你想告我
[00:10:11 - 00:10:12] 人说不告也就不告
[00:10:12 - 00:10:13] 有的 有的
[00:10:13 - 00:10:14] 这个叫做
[00:10:14 - 00:10:15] 亲告罪
[00:10:15 - 00:10:17] 亲 亲自的亲
[00:10:17 - 00:10:20] 就是我被害人才有权力决定告
[00:10:20 - 00:10:21] 还是不告
[00:10:21 - 00:10:23] 那我们刑法里面有什么呢
[00:10:23 - 00:10:24] 这个虐待
[00:10:24 - 00:10:25] 虐待
[00:10:25 - 00:10:26] 这个
[00:10:26 - 00:10:28] 侮辱 侮辱 诽谤
[00:10:28 - 00:10:29] 暴力干涉婚姻自由
[00:10:29 - 00:10:31] 还有一个亲战罪
[00:10:31 - 00:10:32] 这五个罪叫做
[00:10:32 - 00:10:34] 这个亲告罪
[00:10:34 - 00:10:35] 比如一个老太太被儿子虐待的
[00:10:35 - 00:10:36] 要死要死的
[00:10:36 - 00:10:37] 然后警察说来
[00:10:37 - 00:10:39] 我帮你把儿子抓起来
[00:10:39 - 00:10:40] 我太太说NO
[00:10:40 - 00:10:42] 我自己的儿子怎么能被你们抓走呢
[00:10:42 - 00:10:43] 我被他绝代死我愿意
[00:10:44 - 00:10:45] 警察就没有办法
[00:10:45 - 00:10:46] 那我再举个例子啊
[00:10:46 - 00:10:47] 比如说
[00:10:47 - 00:10:48] 我们公司
[00:10:48 - 00:10:49] 假如说我们公司
[00:10:50 - 00:10:52] 然后的话呢有这么一个员工
[00:10:53 - 00:10:55] 然后的话他可能去贪污了
[00:10:55 - 00:10:58] 可能用植物的方便来贪污公司的这个钱对吧
[00:10:58 - 00:11:02] 那像这个罪的话我说我公司来讲的话我也可以来决定
[00:11:02 - 00:11:03] 告或者是不告
[00:11:05 - 00:11:06] 这个罪叫植物侵战罪
[00:11:06 - 00:11:07] 植物侵战罪
[00:11:07 - 00:11:09] 植物侵战罪就是你们是非国有公司吗
[00:11:09 - 00:11:10] 对对对
[00:11:10 - 00:11:11] 那叫植物侵战罪
[00:11:11 - 00:11:12] 如果是国有公司就叫贪污罪
[00:11:12 - 00:11:16] 这个植物侵战罪和贪污罪都不是侵告罪
[00:11:16 - 00:11:19] 侵告罪就刚才我说的那五个
[00:11:19 - 00:11:20] 如果说
[00:11:20 - 00:11:23] 你刚才不是有个侵战是
[00:11:23 - 00:11:25] 有一个那个侵战和植物侵战
[00:11:25 - 00:11:27] 还不太一样
[00:11:27 - 00:11:29] 植物侵战跟贪污是一样的
[00:11:29 - 00:11:30] 侵战的是什么
[00:11:30 - 00:11:31] 地上有个东西
[00:11:31 - 00:11:32] 我捡了
[00:11:32 - 00:11:34] 比如说张老师你有个特别大的钻戒
[00:11:34 - 00:11:35] 我在地上捡了
[00:11:35 - 00:11:36] 后来你通过监控查到了
[00:11:36 - 00:11:38] 杨老师还我的钻戒
[00:11:38 - 00:11:40] 我说sorry 从来没见过
[00:11:40 - 00:11:43] 然后这个如果能够证明我拿了你的大钻戒
[00:11:43 - 00:11:44] 我不还你
[00:11:44 - 00:11:48] 在行法上就可以定一个罪 亲战罪
[00:11:48 - 00:11:51] 这个和我贪污公司的财产是不一样的
[00:11:51 - 00:11:54] 然后刚才那个职务亲战假设
[00:11:54 - 00:11:57] 现在你们公司老板发现这个问题了
[00:11:57 - 00:11:59] 然后这个员工
[00:11:59 - 00:12:00] 觉得这个员工还好
[00:12:00 - 00:12:01] 一向中心更够
[00:12:01 - 00:12:04] 临时有点糊涂了
[00:12:04 - 00:12:05] 决定不告
[00:12:05 - 00:12:07] 结果这是下午被公安局知道了
[00:12:08 - 00:12:09] 公安说不行
[00:12:09 - 00:12:11] 我一定要抓他
[00:12:11 - 00:12:12] 这个时候你们保得住吗
[00:12:12 - 00:12:13] 保不住
[00:12:13 - 00:12:14] 这种事也保不住的
[00:12:15 - 00:12:17] 对于刑事案件
[00:12:17 - 00:12:18] 不许私下和解的
[00:12:19 - 00:12:20] 通常情况是不许你私下和解的
[00:12:21 - 00:12:21] 如果构成了犯罪
[00:12:22 - 00:12:22] 就是那种重罪
[00:12:23 - 00:12:24] 现在有些女孩子被强奸了
[00:12:24 - 00:12:25] 后来对方给了很多钱
[00:12:26 - 00:12:27] 女孩子说算了我不告了
[00:12:27 - 00:12:29] 但是如果公安已经知道了
[00:12:29 - 00:12:30] 那么这个时候
[00:12:30 - 00:12:32] 是必须要追究刑是责任的
[00:12:32 - 00:12:35] 你不能有你当事人决定想告就告不想告就不告
[00:12:35 - 00:12:37] 但对于相对比较轻的
[00:12:37 - 00:12:38] 可能判三年以下的
[00:12:38 - 00:12:40] 那么有的时候和解有一定的作用
[00:12:40 - 00:12:44] 但是对于重罪是必须由咱们公安机关来决定的
[00:12:44 - 00:12:46] 哦我了解了
[00:12:46 - 00:12:48] 所以说的话有些时候就是
[00:12:48 - 00:12:49] 怎么说呢
[00:12:49 - 00:12:50] 如果说万一啊
[00:12:50 - 00:12:53] 就是希望如果大家能看到这个
[00:12:53 - 00:12:55] 就是遇到这种交通招式以后
[00:12:55 - 00:12:57] 就是发现这个受害人可能会有流血
[00:12:57 - 00:13:00] 或者说有他可能会去死亡的这个结果
[00:13:00 - 00:13:02] 我们一定不能放任
[00:13:02 - 00:13:04] 否则的话就从球头招式变成了
[00:13:04 - 00:13:05] 对对对
[00:13:05 - 00:13:10] 好,那我们本期节目就是这样,感谢杨老师给我们的解答,咱们下期节目再见,谢谢
