BV号：BV1Eq4y1a7jd
标题：BV1Eq4y1a7jd
链接：https://www.bilibili.com/video/BV1Eq4y1a7jd
识别语言：zh
语言置信度：1
分段数：140
生成时间：2026-04-03 19:53:40

[00:00:00 - 00:00:02] 来 我们给大家讲一下外语类
[00:00:02 - 00:00:05] 外语类 文理兼招的一个专业
[00:00:05 - 00:00:06] 文理兼招的一个专业
[00:03:02 - 00:03:03] Amharayu
[00:03:03 - 00:03:04] 来问问大家
[00:03:04 - 00:03:07] Amharayu是哪个国家的人在说
[00:03:07 - 00:03:08] 老师
[00:03:08 - 00:03:11] Amharagu你真聪明没有这个国家对吧
[00:03:11 - 00:03:14] 哪个国家的人在说这种Amharayu
[00:03:14 - 00:03:17] 哪个国家的人在说这种个方语对吧
[00:03:17 - 00:03:19] 所以说这种东西大家你要知道
[00:03:19 - 00:03:21] 这种东西你要知道它叫微语种
[00:03:21 - 00:03:23] 它叫微语种
[00:03:23 - 00:03:25] 这种专业我告诉你开设那边是要很少
[00:03:25 - 00:03:27] 一般说一样只有一个人要开车
[00:03:27 - 00:03:29] 每个学校北外
[00:03:29 - 00:03:31] 但是北外开这种专业经常是什么
[00:03:31 - 00:03:33] 它不是说每年都招手
[00:03:33 - 00:03:34] 而是怎么样
[00:03:34 - 00:03:35] 它可能怎么样
[00:03:35 - 00:03:37] 可能两年招三个人
[00:03:37 - 00:03:39] 或者三年招四个人
[00:03:39 - 00:03:39] 知道吧
[00:03:39 - 00:03:41] 招的人非常的少
[00:03:41 - 00:03:42] 那它主要做什么呢
[00:03:43 - 00:03:44] 专老师
[00:03:44 - 00:03:46] 外语一它可以做经贸
[00:03:46 - 00:03:48] 但是你会发现我们跟这些国家
[00:03:49 - 00:03:51] 它的经贸额度其实不是很大
[00:03:51 - 00:03:52] 其实最重要的是什么
[00:03:52 - 00:03:53] 它是做外交
[00:03:53 - 00:03:56] 所以说北京外国有大学对自己的定位
[00:03:56 - 00:03:59] 从来不是说北外是一个翻译人才的邀岚
[00:03:59 - 00:04:00] 北外是什么
[00:04:00 - 00:04:01] 是外交家的邀岚
[00:04:01 - 00:04:01] 对吧
[00:04:01 - 00:04:03] 是外交家的邀岚
[00:04:03 - 00:04:04] 所以说英语
[00:04:04 - 00:04:05] 外国语类
[00:04:05 - 00:04:06] 我们一般情况下就说
[00:04:06 - 00:04:07] 分成这样传统外语
[00:04:07 - 00:04:09] 小语种和微语种
[00:04:09 - 00:04:10] 我们我给它定概念
[00:04:10 - 00:04:12] 我一般是给它定这三个概念
