BV号：BV1M44y117AJ
标题：BV1M44y117AJ
链接：https://www.bilibili.com/video/BV1M44y117AJ
识别语言：zh
语言置信度：1
分段数：625
生成时间：2026-04-03 22:56:19

[00:00:03 - 00:00:22] 我不是完全因为说你没有北京户口
[00:02:08 - 00:02:09] 你先我说
[00:02:09 - 00:02:09] 行
[00:02:09 - 00:02:10] 那我来
[00:02:10 - 00:02:11] 哎
[00:02:11 - 00:02:12] 那我给你
[00:02:12 - 00:02:13] 你刚才让你问你
[00:02:13 - 00:02:14] 不问
[00:02:14 - 00:02:15] 你给你
[00:02:15 - 00:02:15] 你先说
[00:02:15 - 00:02:18] 我看你这话合作万写的
[00:02:18 - 00:02:19] 这个记忆一遇
[00:02:19 - 00:02:20] 我不太以后进行考研
[00:02:20 - 00:02:22] 我可以来来来来
[00:02:22 - 00:02:23] 他就是学理的
[00:02:23 - 00:02:24] 然后现在就是
[00:02:24 - 00:02:26] 大约是两万五六左右
[00:02:26 - 00:02:27] 我跟你说
[00:02:27 - 00:02:29] 中学业同学学几点
[00:02:29 - 00:02:29] 但是
[00:02:29 - 00:02:36] 我服务不了那么多人
[00:02:36 - 00:02:37] 我是武量
[00:02:37 - 00:02:41] 2021年3月底从嶺夏来到苏州
[00:02:41 - 00:02:42] 加入张雪芬老师团队
[00:02:42 - 00:02:45] 担任高考志愿天堡指导师
[00:02:45 - 00:02:49] 我换了一个赛道从寅川来到了苏州
[00:02:49 - 00:02:51] 就在我们那个圈子里面
[00:02:51 - 00:02:52] 在嶺夏那个圈子里面
[00:02:52 - 00:02:54] 就我认为这个天花板太浅了
[00:02:54 - 00:02:56] 每个月我的业绩都是寅川地业
[00:02:56 - 00:02:59] 最年轻且晋升速度最快的一个校长
[00:02:59 - 00:03:01] 所有人都很看好我
[00:03:01 - 00:03:03] 没有人比我的专业都更强
[00:03:03 - 00:03:05] 其实我的天花板还有我的这个目标
[00:03:05 - 00:03:07] 就是庄学分老师本人
[00:03:07 - 00:03:08] 庄学分本分
[00:03:08 - 00:03:09] 行行行
[00:03:09 - 00:03:11] 那就等会我把课程介绍给您发过去
[00:03:11 - 00:03:14] 我是齐焱微信吴亮老师
[00:03:15 - 00:03:17] 等到17年的6月份开始看房子
[00:03:17 - 00:03:19] 当时在营川买了第一套
[00:03:19 - 00:03:21] 到18年的年底
[00:03:22 - 00:03:23] 又买了第二套房子
[00:03:23 - 00:03:24] 等到20年的时候
[00:03:24 - 00:03:25] 以为又买了第三套
[00:03:25 - 00:03:27] 如果说是我们同学就
[00:03:28 - 00:03:30] 他们买的房我就要买两套
[00:03:30 - 00:03:31] 他们买了车
[00:03:31 - 00:03:32] 我就要把我车换了
[00:03:32 - 00:03:34] 我就换成大家最好的
[00:03:34 - 00:03:36] 然后如果他们要再买房的号码
[00:03:36 - 00:03:37] 那我就买更大的
[00:03:37 - 00:03:40] 我希望作为我们同学里边
[00:03:40 - 00:03:41] 我是最好的那一个
[00:03:41 - 00:03:41] 来吧
[00:03:41 - 00:03:43] 三天买房这分割微博的原话
[00:03:43 - 00:03:46] 计划在两到三年左右的时候
[00:03:46 - 00:03:48] 我们这里面的优秀员工是可以达到百万的
[00:03:48 - 00:03:51] 苏州的房价三百万一套
[00:03:51 - 00:03:52] 它按全款算的
[00:03:52 - 00:03:53] 没按贷款算
[00:03:53 - 00:03:55] 就算下来一年一百万
[00:03:55 - 00:03:56] 那你足够努力的话
[00:03:56 - 00:03:58] 这个事确实是可以的
[00:03:58 - 00:04:01] 这个真的不是说一个花大饼的一个东西
[00:04:01 - 00:04:03] 剪掉跑剪掉四套重量
[00:04:03 - 00:04:09] 帅烈
[00:04:13 - 00:04:14] 这边什么
[00:04:14 - 00:04:15] 这边不是转模干这个的
[00:04:15 - 00:04:16] 嗯
[00:04:16 - 00:04:17] 你得了这个什么
[00:04:17 - 00:04:18] 那个
[00:04:19 - 00:04:20] 那个
[00:04:20 - 00:04:22] 张老师跟我拍视频的那个背书
[00:04:22 - 00:04:23] 在那边
[00:04:23 - 00:04:24] 在那边
[00:04:24 - 00:04:25] 嗯
[00:04:25 - 00:04:25] 来
[00:04:25 - 00:04:25] 来
[00:04:28 - 00:04:28] 各位见证大家好
[00:04:28 - 00:04:30] 我是张雪峰老师
[00:04:30 - 00:04:31] 无量老师呢
[00:04:31 - 00:04:32] 是我们风雪教育的志愿田贸老师
[00:04:32 - 00:04:34] 经过我的系统训练
[00:04:34 - 00:04:35] 在高贺志愿田贸方面
[00:04:35 - 00:04:37] 无量老师已经达到了我对于
[00:04:37 - 00:04:39] 是一位填爆老師的邀請回標準
[00:04:39 - 00:04:42] 下面有請吳老師為大家做專業的分享
[00:04:44 - 00:04:46] 各位家長大家好
[00:04:46 - 00:04:48] 我是來自孫學未來的吳亮老師
[00:04:48 - 00:04:50] 就是之前大家看到我跟張老師的背書了吧
[00:04:51 - 00:04:53] 因為我們所有的服務基本上都是一線上為主
[00:04:54 - 00:04:56] 然後呢就是家長包括我們現象的機構的話
[00:04:56 - 00:04:58] 在跟我們抹黑或者說是在
[00:04:58 - 00:05:00] 說的時候說你沒有假的
[00:05:00 - 00:05:02] 一個視頻也可以是PS的對吧
[00:05:02 - 00:05:06] 那其實我們所有的張老師的認證視頻只有一份
[00:05:06 - 00:05:10] 大家不用太去疑虑这个问题吧
[00:05:10 - 00:05:12] 那注意点 天报做得越做越甜
[00:05:13 - 00:05:14] 这些专业又要选
[00:05:14 - 00:05:16] 学校的了解度也是有一定的问题
[00:05:16 - 00:05:18] 那我们接下来先
[00:05:18 - 00:05:19] 河南省整个的注意点天报
[00:05:19 - 00:05:20] 逻辑先给大家整理办
[00:05:20 - 00:05:22] 那这个是高考
[00:05:22 - 00:05:25] 河南省的一个天报的一个表
[00:05:25 - 00:05:26] 注意点表
[00:05:26 - 00:05:28] 每个专业选择了
[00:05:29 - 00:05:31] 你们家孩子经过大纸四年时
[00:05:31 - 00:05:33] 然后在做的时候就发现
[00:05:33 - 00:05:36] 跟我们预想的不太一样
[00:05:36 - 00:05:38] 跟张学分老师在一座比较的话
[00:05:38 - 00:05:39] 这个反差有点大
[00:05:39 - 00:05:40] 比较心态一出来
[00:05:40 - 00:05:42] 自己的心态就崩了
[00:05:42 - 00:05:50] 我们三对一的价格是13999
[00:05:50 - 00:05:52] 您之前看没看过张老师的视频
[00:05:58 - 00:05:59] 他应该是没时间
[00:05:59 - 00:06:01] 他不可能有那个时间的
[00:06:01 - 00:06:06] 对 因为他现在不是从北京来到苏州了吗
[00:06:06 - 00:06:08] 比如说你好 我们是分学未来的
[00:06:08 - 00:06:09] 没听过啊
[00:06:09 - 00:06:12] 但你要说张雪藤老师您听过吗
[00:06:12 - 00:06:17] 就很多的家长就说我们追刚老师已经两三年了
[00:06:17 - 00:06:19] 如果他能本身给我填职院的话
[00:06:19 - 00:06:20] 钱不是问题
[00:06:20 - 00:06:21] 你说五万还是十万
[00:06:21 - 00:06:21] 没有问题
[00:06:21 - 00:06:23] 我买他三个小时让他帮我提
[00:06:23 - 00:06:31] 一定要借
[00:06:31 - 00:06:32] 充电
[00:06:32 - 00:06:33] 小老师
[00:06:33 - 00:06:34] 小老师
[00:06:34 - 00:06:36] 你好老乡
[00:06:36 - 00:06:38] 麻烦你了
[00:06:38 - 00:06:38] 没 没 没
[00:06:38 - 00:06:40] 特意笨你来的
[00:06:40 - 00:06:41] 我知道
[00:06:41 - 00:06:43] 你杭州跑这也两个小时呢
[00:06:43 - 00:06:43] 对吧
[00:06:43 - 00:06:44] 几个小时没关系
[00:06:44 - 00:06:46] 就主要是看你
[00:06:46 - 00:06:47] 见个女生开心吧
[00:06:47 - 00:06:48] 谢谢
[00:06:48 - 00:06:50] 除余计他这次的数学能考一半
[00:06:50 - 00:06:51] 应该120左右
[00:06:52 - 00:06:53] 没有数学
[00:06:53 - 00:06:54] 没有离弃了
[00:06:54 - 00:06:55] 所以说的话
[00:06:55 - 00:06:56] 数学专业是个好专业
[00:06:56 - 00:06:58] 跟数学相关的专业
[00:06:58 - 00:06:58] 首先的话就是
[00:06:58 - 00:06:59] 数学的本货专业里边
[00:06:59 - 00:07:01] 有一个叫数学与应用数学
[00:07:01 - 00:07:02] 还有一个叫西西与计算科学
[00:07:02 - 00:07:03] 西西与计算科学
[00:07:03 - 00:07:04] 它其实也是数学
[00:07:04 - 00:07:05] 然后的话
[00:07:05 - 00:07:06] 跟数学比较相关的话
[00:07:06 - 00:07:08] 像统计学和应用统计学
[00:07:08 - 00:07:09] 这都是比较好的专业
[00:07:09 - 00:07:11] 但是关键看孩子到处说分
[00:07:11 - 00:07:13] 能不能发挥得稍微好一点
[00:07:13 - 00:07:15] 那物理不选没关系的
[00:07:15 - 00:07:16] 没关系的
[00:07:16 - 00:07:19] 就是哦他没有选物理是吧
[00:07:19 - 00:07:19] 对啊
[00:07:20 - 00:07:21] 所以我们现在讲的时候
[00:07:21 - 00:07:23] 就你当年选课有多疯狂
[00:07:23 - 00:07:24] 现在报考就多迷茫
[00:07:24 - 00:07:25] 你你你
[00:07:25 - 00:07:26] 我个人觉得现在我们所有的业务
[00:07:26 - 00:07:28] 确实是建立在我的品牌上
[00:07:29 - 00:07:30] 确实是
[00:07:30 - 00:07:31] 我今天关注一下
[00:07:31 - 00:07:33] 老乡老乡
[00:07:33 - 00:07:34] 我又新来自我
[00:07:34 - 00:07:34] 谢谢老师
[00:07:34 - 00:07:35] 干嘛
[00:07:35 - 00:07:35] 谢谢
[00:07:35 - 00:07:36] 谢谢
[00:07:36 - 00:07:37] 谢谢
[00:07:44 - 00:07:46] 我去找他
[00:07:54 - 00:07:55] 爸爸在换衣服吗
[00:07:55 - 00:07:56] 你换衣服就行
[00:07:56 - 00:07:57] 谢谢妈妈
[00:07:57 - 00:07:59] 一起选择茶
[00:07:59 - 00:08:01] 一下真的是给你的礼物
[00:08:01 - 00:08:02] 哎呀呀呀
[00:08:02 - 00:08:03] 这是给我的礼物啊
[00:08:07 - 00:08:08] 哦
[00:08:08 - 00:08:09] 这是小茶
[00:08:09 - 00:08:10] 哎呀
[00:08:11 - 00:08:12] 你不是吃了一份吗
[00:08:12 - 00:08:13] 你吃了一份
[00:08:13 - 00:08:14] 你家人啊
[00:08:14 - 00:08:15] 我吃了一份
[00:08:15 - 00:08:16] 我来吃了
[00:08:16 - 00:08:20] 大家好
[00:08:20 - 00:08:22] 让学习变得更快乐的张学鸿老师
[00:08:22 - 00:08:23] 欢迎大家继续跟张老师来聊
[00:08:23 - 00:08:26] 就我们高考之人天报的一些相关的事情
[00:08:26 - 00:08:28] 这最后一句是最后一句
[00:08:28 - 00:08:28] 好吗
[00:08:28 - 00:08:29] 谢谢再见
[00:08:37 - 00:08:39] 哎呀说这个就难说了
[00:08:39 - 00:08:41] 然后的话尽量陪伴怎么办
[00:08:41 - 00:08:44] 你看我公司这边不有这个乐高这个玩意
[00:08:44 - 00:08:47] 就说我女儿有的时候下诱诱言了以后
[00:08:47 - 00:08:48] 送女儿上学了以后
[00:08:48 - 00:08:50] 就跑过来我们公司陪我玩一会
[00:08:50 - 00:08:53] 然后晚上就我们那对他公司吃一吃饭
[00:08:53 - 00:08:54] 吃完饭以后的话
[00:08:54 - 00:08:56] 带他到后边转一转
[00:08:56 - 00:08:58] 带他到小孩这边就玩一玩
[00:08:58 - 00:09:00] 对于风哥来讲
[00:09:00 - 00:09:02] 真的就是两个字拼命
[00:09:02 - 00:09:06] 他真的是在用心带我们
[00:09:06 - 00:09:09] 而且看到他的话
[00:09:09 - 00:09:11] 我们很多事情我们就不慌
[00:09:11 - 00:09:13] 就是他未来一定是一个专业性的结果
[00:09:13 - 00:09:15] 而不是说只是靠我
[00:09:15 - 00:09:19] 我希望我团队里边出现一个比我更属欢迎的老师
[00:09:19 - 00:09:21] 我希望他们每一个人都比我更受欢迎
[00:09:21 - 00:09:25] 我觉得吴亮真的怎么说呢
[00:09:25 - 00:09:27] 他敢于挑战自己
[00:09:28 - 00:09:31] 而且他挑战自己下了个决心下得很大
[00:09:31 - 00:09:34] 我觉得一个人敢挑出自己的宿舍圈
[00:09:34 - 00:09:37] 并且在一些事情里面我特地专业的能力
[00:09:37 - 00:09:38] 还这么努力的话
[00:09:38 - 00:09:41] 我觉得这个人就跟我很像
[00:09:41 - 00:09:43] 那周五看他就每天在荷兰省
[00:09:43 - 00:09:44] 他招呼他到三百人一声
[00:09:44 - 00:09:47] 那我们宿舍当时就是我们荷兰的同学
[00:09:47 - 00:09:48] 他高考620
[00:09:48 - 00:09:51] 我觉得努力真的很重要
[00:09:55 - 00:09:58] 大学更弊的第一份工作
[00:09:58 - 00:09:59] 那时候跑业舞的话就是
[00:09:59 - 00:10:01] 皮鞋磨破了呀
[00:10:01 - 00:10:03] 脚走出泡了呀
[00:10:04 - 00:10:05] 像脚磨破了以后呢
[00:10:06 - 00:10:07] 我就问我妈妈是怎么办
[00:10:07 - 00:10:08] 戳啊戳破了就行了
[00:10:09 - 00:10:10] 然后就戳破了
[00:10:10 - 00:10:11] 就继续去跑
[00:10:13 - 00:10:16] 我是昨天在咱们安洋奖座的那个吴老师
[00:10:16 - 00:10:17] 张晓鸥老师团队的
[00:10:24 - 00:10:26] 从早上的10点一直到晚上的10点
[00:10:27 - 00:10:28] 我不关有没有任务就自己打
[00:10:28 - 00:10:31] 每天打完了以后的话
[00:10:31 - 00:10:33] 我会把有一些录音我就录下来
[00:10:33 - 00:10:34] 我就开始听
[00:10:34 - 00:10:37] 我看我今天电话打的到底是哪有问题
[00:10:37 - 00:10:52] 不应该停数一下
[00:10:52 - 00:10:55] 是个鸟呀
[00:10:55 - 00:10:57] 一个鸟也拉不了这么多
[00:10:57 - 00:11:01] 那时候成绩全限也就是个1500到2000名
[00:11:01 - 00:11:04] 我爸是一个比较轴的人
[00:11:04 - 00:11:07] 我爸就说你要考个普通的大学
[00:11:07 - 00:11:08] 我没钱供给
[00:11:08 - 00:11:09] 确实是没钱供给
[00:11:09 - 00:11:11] 我就想那让他赌个气
[00:11:11 - 00:11:13] 真的是赌气的一样
[00:11:13 - 00:11:15] 我就说那你不就是想要个重点大小
[00:11:15 - 00:11:16] 那我烤给你买
[00:11:17 - 00:11:18] 从那天过后的话
[00:11:18 - 00:11:21] 每天我从早晨的6点钟到学校
[00:11:21 - 00:11:22] 特兼休息就只要一休息
[00:11:22 - 00:11:24] 我就提拿出来开始做
[00:11:24 - 00:11:25] 晚上回到家晚自习
[00:11:25 - 00:11:27] 再泡上一大杯茶
[00:11:27 - 00:11:29] 半杯茶叶半杯水那种就特别苦
[00:11:30 - 00:11:30] 就开始学
[00:11:31 - 00:11:34] 每基本上能学到晚上的3点左右
[00:11:34 - 00:11:36] 就一直这样吃去3个月没有周末
[00:11:36 - 00:11:37] 如果高考成绩图表以后
[00:11:37 - 00:11:38] 我成前完第一了
[00:11:38 - 00:11:40] 到高考的时候考的是全线的前100名
[00:11:40 - 00:11:41] 真好
[00:11:41 - 00:11:52] 房间基本就是必备品
[00:11:52 - 00:11:54] 因为公园区这边的话
[00:11:54 - 00:11:57] 人才住房一个875块钱
[00:11:57 - 00:11:59] 然后特别便宜
[00:11:59 - 00:12:02] 都是来租票的人
[00:12:02 - 00:12:12] 皮脚
[00:12:12 - 00:12:31] 你会客了啊
[00:12:31 - 00:12:32] 你一直在休息啊
[00:12:32 - 00:12:33] 是一个呢
[00:12:33 - 00:12:36] 哦 给我一个
[00:12:36 - 00:12:37] 谢谢
[00:12:37 - 00:12:39] 谢谢 马元
[00:12:40 - 00:12:40] 妈
[00:12:40 - 00:12:45] 妈 认了
[00:12:48 - 00:12:50] 我还说呢
[00:12:50 - 00:12:51] 还刚刚通说
[00:12:51 - 00:12:53] 说哎像吃饺子
[00:12:55 - 00:12:56] 包你吧
[00:12:56 - 00:12:57] 我也不会包
[00:12:57 - 00:12:58] 光会干满片子
[00:12:58 - 00:12:59] 然后你也不会包
[00:12:59 - 00:13:01] 但是你有像吃的
[00:13:02 - 00:13:04] 你包上了四十多号包
[00:13:04 - 00:13:05] 包上了就小一点
[00:13:05 - 00:13:07] 是不是三十天就小一点
[00:13:07 - 00:13:10] 你能跟中华方的两面很两个就行
[00:13:11 - 00:13:11] 然后可以就把饭子
[00:13:11 - 00:13:13] 把啥子给挠很可
[00:13:13 - 00:13:16] 小时候因为我们是在农村里头
[00:13:16 - 00:13:18] 那个时候所有的收入都是中田
[00:13:18 - 00:13:20] 因为那时候劳动力有限
[00:13:20 - 00:13:22] 然后甜呢也有限
[00:13:22 - 00:13:23] 肥料呢又花钱
[00:13:23 - 00:13:25] 所以收拾度不是特别好
[00:13:25 - 00:13:26] 我妈就带着我跟我姐
[00:13:26 - 00:13:28] 我们一天就在家里边
[00:13:28 - 00:13:29] 练剃工
[00:13:30 - 00:13:32] 我妈就说我怎么做你们就怎么做
[00:13:32 - 00:13:33] 就这样
[00:13:33 - 00:13:34] 练完以后就说是不饿
[00:13:35 - 00:13:35] 有没有不饿
[00:13:35 - 00:13:36] 反正还是饿
[00:13:36 - 00:13:38] 饿了以后呢就喝水
[00:13:38 - 00:13:39] 喝完水了以后就
[00:13:41 - 00:13:42] 就可以折了
[00:13:52 - 00:13:55] 我喜欢看吐口秀不管线下还是线上
[00:13:55 - 00:13:58] 我是想从里边学到很多东西
[00:13:58 - 00:14:02] 然后跟我们这个我所做的事情结合起来
[00:14:02 - 00:14:09] 来到分哥这边的话
[00:14:09 - 00:14:12] 我是想成为他那样的一个网红民师
[00:14:12 - 00:14:17] 一个想法的转变吧
[00:14:17 - 00:14:20] 就是我可以像分哥那样子
[00:14:20 - 00:14:22] 除了专业以外
[00:14:22 - 00:14:41] 还可以让这个专业的输出变得更有意思
[00:14:41 - 00:14:43] 那个和男讲座感觉怎么样
[00:14:43 - 00:14:47] 感觉很不好
[00:14:47 - 00:14:50] 我以前做小城讲座的时候
[00:14:50 - 00:14:51] 我没觉得有这么难
[00:14:51 - 00:14:53] 现在如果你要面向公众
[00:14:53 - 00:14:54] 我们不像张老师
[00:14:54 - 00:14:56] 他个人出场就有魅力
[00:14:56 - 00:14:57] 对吧
[00:14:57 - 00:14:59] 我他对我们个人不感兴趣
[00:14:59 - 00:15:01] 他对张老师感兴趣
[00:15:01 - 00:15:03] 那他现在怎么样让家长
[00:15:03 - 00:15:05] 就是说下次我们如果去做到最低
[00:15:05 - 00:15:08] 这就是他告诉我们说的演讲力
[00:15:08 - 00:15:10] 我那天想了很久很久
[00:15:10 - 00:15:12] 就这个事情真的真的很难
[00:15:12 - 00:15:15] 你要想想你在舞台上
[00:15:15 - 00:15:17] 就是你任何一个人讲的都不如
[00:15:17 - 00:15:19] 都肯定不如张学伙
[00:15:19 - 00:15:20] 我感觉很难
[00:15:20 - 00:15:22] 我觉得这个我真的要好好的要去
[00:15:22 - 00:15:22] 第三
[00:15:23 - 00:15:24] 对找对象
[00:15:25 - 00:15:26] 现场来看这个
[00:15:26 - 00:15:28] 现场坐在一块的同学
[00:15:28 - 00:15:30] 80%的概念
[00:15:30 - 00:15:31] 因为这个事没有办法
[00:15:31 - 00:15:32] 我好像一模一样的
[00:15:33 - 00:15:35] 那我觉得他可以给到我一些
[00:15:36 - 00:15:37] 建议和知道
[00:15:37 - 00:15:40] 这个月和下个月基本上很少能见到他
[00:15:40 - 00:15:43] 就形成的安排的是非常的慢
[00:15:43 - 00:15:47] 就5月份回到公司以后的话就见过两次
[00:15:47 - 00:15:48] 然后他人就又不见了
[00:15:48 - 00:15:52] 我到底應該怎麼樣在這個公司
[00:15:52 - 00:15:53] 或者說在這種職業性質上面
[00:15:54 - 00:15:56] 怎麼樣去突破
[00:16:05 - 00:16:07] 我可能來進大學
[00:16:07 - 00:16:08] 北京大學
[00:16:09 - 00:16:10] 對不對
[00:16:10 - 00:16:11] 你說東西
[00:16:14 - 00:16:15] 你在說這個東西的時候
[00:16:15 - 00:16:16] 你是在看家長嗎
[00:16:18 - 00:16:19] 我看那個角度
[00:16:19 - 00:16:21] 應該不太像是在看家長
[00:16:21 - 00:16:23] 而且你在說的時候的話
[00:16:23 - 00:16:24] 你在一直在眨眼睛
[00:16:25 - 00:16:26] 你這個眨眼睛的時候
[00:16:26 - 00:16:27] 其實從演講的角度來講
[00:16:27 - 00:16:28] 就是一種不自信的表現
[00:16:28 - 00:16:29] 你知道吧
[00:16:29 - 00:16:30] 我講的
[00:16:30 - 00:16:32] 就已经开始变成你的这种风格了
[00:16:33 - 00:16:35] 就是一种刻意的模仿
[00:16:36 - 00:16:36] 就是动作
[00:16:36 - 00:16:37] 就是颠饼
[00:16:38 - 00:16:39] 然后呢
[00:16:39 - 00:16:39] 语气
[00:16:39 - 00:16:41] 还有语气词
[00:16:42 - 00:16:43] 自己模仿的
[00:16:43 - 00:16:44] 或者说是自己讲的吧
[00:16:44 - 00:16:45] 讲的那种以后
[00:16:46 - 00:16:47] 就我想用那种幽默
[00:16:47 - 00:16:49] 灰显的方式表达出来
[00:16:49 - 00:16:49] 但是呢
[00:16:49 - 00:16:51] 我的渲染力又达不到那种
[00:16:51 - 00:16:52] 打开打合的
[00:16:52 - 00:16:55] 那种让家长能够体验得到的那种感觉
[00:16:55 - 00:16:57] 你为什么可能会觉得就是土耳其表
[00:16:57 - 00:16:59] 就是因为你对这个东西在理解
[00:16:59 - 00:17:00] 也没有那么深刻
[00:17:00 - 00:17:03] 你没有把这种东西刻到你的骨子里
[00:17:03 - 00:17:05] 就是当你说是我背下来的
[00:17:05 - 00:17:06] 我在告诉你的时候
[00:17:06 - 00:17:07] 你的表现也好
[00:17:07 - 00:17:08] 你的动作也好
[00:17:08 - 00:17:09] 你的语气也好
[00:17:09 - 00:17:10] 显得就没有那么自然
[00:17:10 - 00:17:12] 我就只能说是在讲我们学校
[00:17:12 - 00:17:14] 还有我学那个专业的时候
[00:17:14 - 00:17:16] 就很真实
[00:17:16 - 00:17:17] 对 因为那是你自己的
[00:17:17 - 00:17:18] 你看
[00:17:18 - 00:17:20] 我就九个礼子过得刚
[00:17:20 - 00:17:21] 对吧
[00:17:21 - 00:17:23] 你看过得刚和鱼蝉的搭配
[00:17:23 - 00:17:24] 是人家一样一样搭配
[00:17:24 - 00:17:27] 所有人在模仿他的道路上
[00:17:27 - 00:17:28] 一定是死归一条
[00:17:28 - 00:17:30] 一定要用自己的东西
[00:17:30 - 00:17:32] 每个人都每个人自己的风格
[00:17:32 - 00:17:35] 每个人都每个人自己能过哪都做你的地方
[00:17:35 - 00:17:37] 就平时你们应该是
[00:17:37 - 00:17:38] 有时间晚上啥事的时候
[00:17:38 - 00:17:41] 你就自己拿你自己的社交平台账号
[00:17:41 - 00:17:42] 去开一个小时的直播
[00:17:42 - 00:17:44] 你管他有人没人听
[00:17:44 - 00:17:45] 知道吗
[00:17:45 - 00:17:46] 管他有人没人听
[00:17:46 - 00:17:47] 你别管他说我讲的好不好
[00:17:47 - 00:17:48] 大家会怎么样
[00:17:48 - 00:17:50] 你在网上有一些你自己的粉丝
[00:17:50 - 00:17:52] 并且有一些你自己的内容
[00:17:52 - 00:17:53] 去吸引他们
[00:17:53 - 00:17:54] 他们一直跟着你走
[00:17:54 - 00:17:56] 这样的话你就会形成自己的一个
[00:17:56 - 00:17:58] 固定的一个你的粉丝
[00:17:58 - 00:17:59] 而不是我的粉丝
[00:17:59 - 00:18:00] 能明白吧
[00:18:00 - 00:18:02] 所以说你不用担心这个东西
[00:18:02 - 00:18:03] 你只要时间到那
[00:18:03 - 00:18:05] 你的力量到那
[00:18:05 - 00:18:06] 一切都会学到取出
[00:18:06 - 00:18:08] 但想要达到
[00:18:08 - 00:18:10] 你这样的一个程度
[00:18:10 - 00:18:10] 或者一个水平的话
[00:18:10 - 00:18:12] 我觉得
[00:18:12 - 00:18:13] 难道真的很大
[00:18:13 - 00:18:14] 那你为什么要想成为我这样的人
[00:18:16 - 00:18:17] 因为我觉得我走了好多的路
[00:18:17 - 00:18:19] 是别人
[00:18:19 - 00:18:21] 花了好长时间才走的
[00:18:21 - 00:18:21] 然后呢
[00:18:21 - 00:18:23] 那我现在想
[00:18:23 - 00:18:25] 想心急的方向就是
[00:18:25 - 00:18:28] 但是我试一下我再下一个要走的方向
[00:18:28 - 00:18:31] 我能不能还可以再去说到这个距离
[00:18:31 - 00:18:33] 尽管可能会很辛苦很累
[00:18:33 - 00:18:34] 把走走的一些路走掉
[00:18:34 - 00:18:36] 让那个时候能多一点时间
[00:18:36 - 00:18:37] 对
[00:18:37 - 00:18:39] 其实我也是这样想
[00:18:39 - 00:18:42] 我希望可能在四十多岁的时候
[00:18:42 - 00:18:43] 甚至不到四十岁的时候
[00:18:43 - 00:18:45] 能够稍微稳定一下
[00:18:45 - 00:18:46] 不要生气
[00:18:46 - 00:18:47] 现在这么忙
