BV号：BV1pb411p7Ps
标题：BV1pb411p7Ps
链接：https://www.bilibili.com/video/BV1pb411p7Ps
识别语言：zh
语言置信度：1
分段数：167
生成时间：2026-04-04 08:23:51

[00:00:00 - 00:00:02] 大家好,我是让学习变得更快乐的张雪锋老师
[00:01:37 - 00:01:38] 他们已经达到了
[00:01:38 - 00:01:41] 能够自己承担刑事责任的年龄
[00:01:41 - 00:01:43] 也就是说你知道你在做什么
[00:01:43 - 00:01:46] 然后你选择了这个犯罪的行为
[00:01:46 - 00:01:49] 那么这种情况你叫自己承担责任了
[00:01:49 - 00:01:50] 在这个时候呢
[00:01:50 - 00:01:54] 我们不能说游戏公司有教唆的这种责任
[00:01:54 - 00:01:57] 但是你都游戏给做成那样了
[00:01:58 - 00:02:00] 然后的话就是
[00:02:00 - 00:02:03] 这个一点责任都不带吗?
[00:02:03 - 00:02:07] 在咱们刑法上要定一个罪,他要求是比较严格的
[00:02:07 - 00:02:11] 那么教书犯一定要明确的具体的
[00:02:11 - 00:02:12] 就是让你去干这个事
[00:02:12 - 00:02:17] 但是我没让你干这个事,你以为我让你干这个事,这个是不算的
[00:02:18 - 00:02:21] 或者我游戏公司也没有让你去干呀
[00:02:21 - 00:02:26] 但是我觉得另外一个案子,就是在咱们江苏东海有这么一个案子
[00:02:26 - 00:02:29] 就是有这么一个小朋友,他看了一个动画片
[00:02:29 - 00:02:30] 他看了這個動畫片呢
[00:02:30 - 00:02:33] 就是也是受到這個動畫片的影響
[00:02:33 - 00:02:36] 他就把他自己的兩個小夥伴就綁在樹上
[00:02:36 - 00:02:37] 並且用火去燒
[00:02:37 - 00:02:39] 造成了另外兩個小朋友的嚴重燒傷
[00:02:39 - 00:02:41] 但是這個案子的最後判決當中呢
[00:02:41 - 00:02:44] 這個動畫片的製作公司
[00:02:44 - 00:02:46] 是承擔了現在的民事責任的
[00:02:46 - 00:02:48] 承擔了15%的民事責任
[00:02:48 - 00:02:52] 那為什麼像那個動畫片的那個行為
[00:02:52 - 00:02:54] 這個遊戲這個動畫片的製作公司是承擔責任的
[00:02:54 - 00:02:57] 但是這個案子當中遊戲公司卻不承擔責任的
[00:02:57 - 00:02:59] 你这个问题问得非常好
[00:02:59 - 00:03:00] 这个呢是这样去说
[00:03:01 - 00:03:03] 动画片他面对的这个
[00:03:03 - 00:03:04] 受众
[00:03:04 - 00:03:05] 都是很小很小的孩子
[00:03:05 - 00:03:06] 大部分是小孩
[00:03:06 - 00:03:09] 那么因为他没有变变能力
[00:03:09 - 00:03:11] 你像他灌输那些个
[00:03:11 - 00:03:12] 把人绑起来呀
[00:03:13 - 00:03:14] 把人杀掉啊
[00:03:14 - 00:03:15] 而且有的时候可能绑完了也没事
[00:03:16 - 00:03:17] 杀完了也没事对不对
[00:03:18 - 00:03:18] 小朋友就以为
[00:03:19 - 00:03:20] 仅仅是一个游戏
[00:03:20 - 00:03:23] 那么你呢对小朋友呢就说
[00:03:24 - 00:03:26] 因为小朋友没有这种变认能力
[00:03:26 - 00:03:27] 沒有分辨能力
[00:03:27 - 00:03:31] 你給他給這些不好的鏡頭
[00:03:31 - 00:03:33] 那麼對他就有這種危害
[00:03:33 - 00:03:36] 所以他就要承擔相應的這種民事責任
[00:03:36 - 00:03:36] 對
[00:03:36 - 00:03:39] 但是在安徽合肥的這個案子中間
[00:03:39 - 00:03:40] 兩個犯罪嫌疑人一個16歲
[00:03:40 - 00:03:42] 一個18歲
[00:03:42 - 00:03:45] 他們已經能夠在刑法上知道
[00:03:45 - 00:03:47] 自己在做什麼行為
[00:03:47 - 00:03:50] 並且他們選擇了自己去做這種行為
[00:03:50 - 00:03:53] 那麼我們認為他們是有刑事責任能力的
[00:03:53 - 00:03:54] 在這種情況
[00:03:54 - 00:03:58] 我们就不能说游戏公司有这个教唆的责任
[00:03:58 - 00:04:01] 但是我记得我们国家有个叫未成年人的一个概念
[00:04:01 - 00:04:02] 我们说18岁是成年人
[00:04:02 - 00:04:04] 那像16岁的那个孩子
[00:04:04 - 00:04:06] 他也要承担这个杀人的责任是吧
[00:04:06 - 00:04:07] 是这样
[00:04:07 - 00:04:08] 咱们刑法规定
[00:04:08 - 00:04:10] 一满14周岁的人
[00:04:10 - 00:04:14] 就要为8种非常严重的犯罪负责
[00:04:14 - 00:04:15] 这其中就包括杀人罪
[00:04:15 - 00:04:18] 我明白了
[00:04:18 - 00:04:19] 那个张老师
[00:04:19 - 00:04:21] 我想跟你说一个什么问题
[00:04:21 - 00:04:24] 就说虽然他们这个游戏公司
[00:04:24 - 00:04:26] 不承担刑事责任
[00:04:26 - 00:04:28] 但是这些游戏中间
[00:04:28 - 00:04:31] 大量的血腥暴力的行为
[00:04:31 - 00:04:33] 对青川年载毒害其实非常严重
[00:04:33 - 00:04:34] 是的
[00:04:34 - 00:04:36] 它会让孩子们的心变硬
[00:04:36 - 00:04:37] 对
[00:04:37 - 00:04:38] 你看很多游戏就这样
[00:04:38 - 00:04:39] 拿了一个枪
[00:04:39 - 00:04:40] 这样一直在扫射
[00:04:40 - 00:04:42] 打
[00:04:42 - 00:04:43] 那么这种情况
[00:04:43 - 00:04:44] 它就会让孩子觉得什么
[00:04:44 - 00:04:45] 杀个人
[00:04:45 - 00:04:47] 那就跟切个菜一样的
[00:04:47 - 00:04:49] 没有什么关系的
[00:04:49 - 00:04:50] 你看咱们过年期间出现了
[00:04:50 - 00:04:52] 好激情面門慘案
[00:04:52 - 00:04:55] 這個都很合這種遊戲的暴力
[00:04:55 - 00:04:56] 所以說我們也希望就是
[00:04:56 - 00:04:58] 咱們國家的一些監管部門
[00:04:58 - 00:05:00] 我們最近一直在監管部門
[00:05:00 - 00:05:01] 在打力的
[00:05:01 - 00:05:03] 嚴控這些遊戲關於像色情
[00:05:03 - 00:05:04] 暴力血腥
[00:05:04 - 00:05:06] 這種畫面的這種
[00:05:06 - 00:05:09] 這種就是出現量不要那麼太多
[00:05:09 - 00:05:11] 不要讓這個整個社會的
[00:05:11 - 00:05:13] 這個風氣就不太好
[00:05:13 - 00:05:15] 所以說我希望就是能夠未來
[00:05:15 - 00:05:17] 希望就是除了我們監管以外
[00:05:17 - 00:05:18] 監管要加強
[00:05:18 - 00:05:19] 在法律這方面
[00:05:19 - 00:05:23] 我们也希望能够明确一下这些游戏公司
[00:05:23 - 00:05:24] 包括像动画片的制度公司
[00:05:24 - 00:05:26] 他们这些方面的责任
[00:05:26 - 00:05:27] 让我们的社会更加美好
[00:05:27 - 00:05:30] 然后也希望的就是整个社会的人
[00:05:30 - 00:05:31] 不要太沉迷于网络
[00:05:31 - 00:05:33] 毕竟我们觉得现实的社会
[00:05:33 - 00:05:36] 其实比游戏的社会要美好的很多
[00:05:36 - 00:05:38] 这也是我们一个良好的心愿
[00:05:38 - 00:05:38] 好吧
[00:05:38 - 00:05:38] 那好
[00:05:38 - 00:05:40] 那我们本期节目就是这样
[00:05:40 - 00:05:41] 那咱们下期节目再见
[00:05:41 - 00:05:42] 谢谢大家
