BV号：BV1Y4411N7cw
标题：BV1Y4411N7cw
链接：https://www.bilibili.com/video/BV1Y4411N7cw
识别语言：zh
语言置信度：1
分段数：504
生成时间：2026-04-04 08:07:11

[00:00:04 - 00:00:05] 大家好
[00:01:28 - 00:01:30] 那么第二给大家讲一下
[00:01:30 - 00:01:32] 我们新高考的一个计分制度
[00:01:32 - 00:01:34] 因为原来我们高考的时候
[00:01:34 - 00:01:36] 就是你考多少分
[00:01:36 - 00:01:37] 它就是多少分
[00:01:37 - 00:01:39] 但是现在的新高考可不是这样的
[00:01:39 - 00:01:40] 现在新高考
[00:01:40 - 00:01:43] 你考的时候可能是差了一分
[00:01:43 - 00:01:44] 但是我们最后
[00:01:44 - 00:01:46] 四分之的体系下
[00:01:46 - 00:01:48] 我们可能会要差三分
[00:01:48 - 00:01:49] 这个大家一定要去注意一下
[00:01:49 - 00:01:51] 就是我们最后得分
[00:01:51 - 00:01:53] 这个是跟原来是不一样的
[00:01:53 - 00:01:54] 然后第三我们再讲一下
[00:01:54 - 00:01:55] 关于志愿这方面的问题
[00:01:55 - 00:01:57] 那么我们首先第一看来看一下
[00:01:57 - 00:02:00] 就是新高考是以学校为导向
[00:02:00 - 00:02:02] 转为专业味道项的
[00:02:02 - 00:02:05] 这其实是新高考改革的一个
[00:02:05 - 00:02:07] 最最重要的一个内容
[00:02:07 - 00:02:09] 最最重要的那个内容
[00:02:09 - 00:02:10] 我们先看一下原来的高考
[00:02:10 - 00:02:13] 原来的高考各个省份是不一样的
[00:02:13 - 00:02:16] 那么有的省份可能是让你添五个学校
[00:02:16 - 00:02:17] 然后的话六个专业
[00:02:17 - 00:02:20] 那有的省份可能让你添多少个学校
[00:02:20 - 00:02:21] 然后多少个专业
[00:02:21 - 00:02:23] 然后不管是你怎么添
[00:02:23 - 00:02:25] 那么在原来都有一个东西
[00:02:25 - 00:02:27] 叫做服从调剂
[00:02:27 - 00:02:28] 原来都有一个东西叫做服从调剂
[00:02:28 - 00:02:31] 就是我们现在大家现在看到的这个
[00:02:31 - 00:02:33] 就是原来是可以调剂的
[00:02:33 - 00:02:36] 那么经常就会出现一个什么样的状况呢
[00:02:36 - 00:02:38] 就是这个孩子上的专业
[00:02:38 - 00:02:41] 跟当年自己抱的专业呢
[00:02:41 - 00:02:43] 就是完全不一样
[00:02:43 - 00:02:45] 甚至一点关系都没有
[00:02:45 - 00:02:47] 你比如说咱们中国有很多学校
[00:02:47 - 00:02:48] 在成立的时候
[00:02:48 - 00:02:50] 因为咱们中国的高校
[00:02:50 - 00:02:51] 其实是经历过很多变化的
[00:02:51 - 00:02:54] 那么其中在98年开始
[00:02:54 - 00:02:56] 98年开始
[00:02:56 - 00:02:57] 98年开始我们国家的高校
[00:02:57 - 00:03:00] 开始该大规模的来合并
[00:03:00 - 00:03:01] 大规模的来合并
[00:03:01 - 00:03:02] 然后合并安合并期以后的话
[00:03:02 - 00:03:05] 其中比如说最有名的一个合并的案例
[00:03:05 - 00:03:07] 就是98年的时候
[00:03:07 - 00:03:09] 然后浙江大学有原来的四校合并
[00:03:09 - 00:03:10] 成新的浙大
[00:03:10 - 00:03:12] 就是由原来的浙江大学
[00:03:12 - 00:03:13] 杭州大学
[00:03:13 - 00:03:15] 然后浙江一科大学和浙江农业大学
[00:03:15 - 00:03:17] 四个学校合并成了一个新的浙大
[00:03:17 - 00:03:18] 那么大几块发现
[00:03:18 - 00:03:19] 它就合并了两个
[00:03:19 - 00:03:21] 一个叫浙江一科大学
[00:03:21 - 00:03:22] 和浙江农业大学
[00:03:22 - 00:03:24] 一个是医学类的院校
[00:03:24 - 00:03:25] 一个是农业类的院校
[00:03:25 - 00:03:28] 那么在原来的高考
[00:03:28 - 00:03:29] 报考的体制下
[00:03:29 - 00:03:31] 那么你有可能怎么样呢
[00:03:31 - 00:03:34] 你报的是浙江大学的临床医学专业
[00:03:34 - 00:03:37] 但是最后被调剂到了受益专业
[00:03:37 - 00:03:40] 甚至什么野生动物保护区
[00:03:40 - 00:03:42] 然后的话相关的一些专业
[00:03:42 - 00:03:43] 所以说你会发现
[00:03:43 - 00:03:46] 你上的专业跟你报的专业
[00:03:46 - 00:03:48] 可能是一点关系都没有的
[00:03:48 - 00:03:49] 因为原来的话
[00:03:49 - 00:03:52] 我们会有一个东西叫服从调剂
[00:03:52 - 00:03:53] 所以说你会发现我们总说
[00:03:53 - 00:03:54] 原来有一个概念
[00:03:54 - 00:03:58] 说清华大学或者北京大学
[00:03:58 - 00:03:59] 或者说我的母校郑州大学
[00:03:59 - 00:04:02] 那么这个学校在你的省份
[00:04:02 - 00:04:05] 它的提党线是多少分
[00:04:05 - 00:04:07] 你只要上了这个提党线
[00:04:08 - 00:04:09] 你就能上这个学校
[00:04:09 - 00:04:10] 上什么专业
[00:04:11 - 00:04:12] 那不一定
[00:04:12 - 00:04:13] 因为有什么
[00:04:13 - 00:04:14] 因为有服从条计
[00:04:14 - 00:04:15] 而且你原来服从条计
[00:04:15 - 00:04:18] 就是它必须要填写的
[00:04:18 - 00:04:20] 如果说你不填写服从条计的话
[00:04:20 - 00:04:23] 那你的分够了这个学校的提党线
[00:04:23 - 00:04:25] 你的志愿就要退党
[00:04:25 - 00:04:26] 你的志愿就要退党
[00:04:26 - 00:04:29] 那么你本次报考就是失败的
[00:04:29 - 00:04:30] 那么你再想去录的话
[00:04:30 - 00:04:33] 只能用补录这种方式
[00:04:33 - 00:04:34] 但是补录吗
[00:04:34 - 00:04:35] 说实话
[00:04:35 - 00:04:37] 它都是大家挑剩一些的
[00:04:37 - 00:04:39] 所以说的话补录
[00:04:39 - 00:04:40] 其实就不是很理想了
[00:04:40 - 00:04:42] 那时候能让你去选的空间
[00:04:42 - 00:04:44] 就不会特别的大了
[00:04:44 - 00:04:46] 那么这么做的B端是什么
[00:04:46 - 00:04:50] 这么做的B端就是会有很多同学
[00:04:50 - 00:04:53] 就是上了自己所不喜欢的专业
[00:04:53 - 00:04:55] 最后导致什么呢
[00:04:55 - 00:04:55] 验学
[00:04:55 - 00:04:57] 甚至挂科
[00:04:57 - 00:04:58] 挂科挂的多的话
[00:04:58 - 00:05:00] 甚至没有学业证
[00:05:00 - 00:05:01] 没有毕业证
[00:05:01 - 00:05:02] 甚至没发毕业
[00:05:02 - 00:05:03] 你比如说像
[00:05:03 - 00:05:05] 今年华中科技大学
[00:05:05 - 00:05:06] 就出了一个政策
[00:05:06 - 00:05:07] 就如果说
[00:05:07 - 00:05:10] 你的本科学业成绩是不可格的
[00:05:10 - 00:05:12] 那么很有可能毕业的时候
[00:05:12 - 00:05:14] 人家给你发的不是一个本科毕业证
[00:05:14 - 00:05:17] 很有可能给你发的是一个中科毕业证
[00:05:17 - 00:05:18] 这其实有些时候
[00:05:18 - 00:05:20] 你也怎么说呢
[00:05:20 - 00:05:22] 也不能说单纯说怪学生说
[00:05:22 - 00:05:23] 他不好好学
[00:05:23 - 00:05:24] 或者怎么样的
[00:05:24 - 00:05:25] 因为毕竟大家都知道我们学习
[00:05:25 - 00:05:27] 是要靠自己的兴趣
[00:05:27 - 00:05:28] 使然的
[00:05:28 - 00:05:30] 那如果说你要学的这个专业
[00:05:30 - 00:05:31] 你真的不喜欢
[00:05:31 - 00:05:33] 所以我真的可能会造成比较严重的
[00:05:33 - 00:05:34] 后果
[00:05:34 - 00:05:35] 最后你这个专业不喜欢的
[00:05:35 - 00:05:37] 真的可能会造成比较严重的后果
[00:05:37 - 00:05:39] 比如当年我在上本课的时候
[00:05:39 - 00:05:41] 就有这么几个同学
[00:05:41 - 00:05:44] 就是因为我们正大是挂科挂到25学分
[00:05:44 - 00:05:45] 就没有学习证了
[00:05:45 - 00:05:45] 然后的话
[00:05:45 - 00:05:46] 我们有同学
[00:05:46 - 00:05:48] 因为不喜欢自己所学的专业
[00:05:49 - 00:05:50] 上大一的时候
[00:05:50 - 00:05:53] 就已经挂到了25个学分以上
[00:05:53 - 00:05:56] 就导致他大一的时候就已经注定他毕业的时候是没有
[00:05:56 - 00:05:57] 学会证的
[00:05:57 - 00:05:59] 然后的话后面越挂越多越挂越多
[00:05:59 - 00:06:01] 然后毕业大补口也没有补回来
[00:06:01 - 00:06:02] 到最后的结果是什么
[00:06:02 - 00:06:03] 就是没有毕业证
[00:06:03 - 00:06:04] 没有学会证
[00:06:04 - 00:06:07] 如果说你上个大学没有毕业证没有学会证的话
[00:06:07 - 00:06:08] 那最后给你发的一个叫什么
[00:06:08 - 00:06:09] 叫意业证
[00:06:09 - 00:06:12] 就是证明你曾经在这个学校上课学
[00:06:12 - 00:06:14] 但是你什么都没有获得
[00:06:14 - 00:06:15] 这个就叫做意业证
[00:06:15 - 00:06:17] 所以说的话会有很多同学
[00:06:17 - 00:06:20] 就是上了一个自己不喜欢的专业
[00:06:20 - 00:06:20] 这是一个
[00:06:21 - 00:06:22] 怎么说呢
[00:06:22 - 00:06:24] 就是挺难受挺恶心的一个事情
[00:06:25 - 00:06:26] 但是现在我们的新高考
[00:06:26 - 00:06:28] 它是以专业为导向的
[00:06:28 - 00:06:30] 什么叫以专业为导向的
[00:06:30 - 00:06:32] 就是你想上什么专业
[00:06:33 - 00:06:34] 你都可以上
[00:06:35 - 00:06:37] 你所上的学校和专业
[00:06:38 - 00:06:40] 它一定是你抱过的
[00:06:41 - 00:06:43] 它一定是你抱过的
[00:06:43 - 00:06:44] 你比如像什么
[00:06:44 - 00:06:46] 野生動物自然保護區這種專業
[00:06:46 - 00:06:48] 你說我就不想上這種專業
[00:06:48 - 00:06:49] 那你就別報
[00:06:50 - 00:06:51] 你只要不報
[00:06:51 - 00:06:54] 你就是不太可能會上這個專業
[00:06:54 - 00:06:55] 不太可能會上這個專業
[00:06:55 - 00:06:58] 所以說大家你自己在報考的時候的話
[00:06:58 - 00:07:03] 就是完全滿足考生對於專業的需求
[00:07:03 - 00:07:04] 你竟然沒想幹什麼
[00:07:04 - 00:07:06] 你可以沒有問題
[00:07:06 - 00:07:06] 對吧
[00:07:06 - 00:07:08] 但是實際上的話
[00:07:08 - 00:07:09] 我們新高考改完以後的話
[00:07:09 - 00:07:11] 也同時滿足了
[00:07:11 - 00:07:15] 对学校有需求的这些同学的一些意向
[00:07:15 - 00:07:16] 我们后面在讲的时候的话
[00:07:16 - 00:07:19] 会给大家讲到就是我们现在报考和之前报考
[00:07:19 - 00:07:20] 那哪里是一样的
[00:07:20 - 00:07:21] 哪里是不一样的
[00:07:21 - 00:07:23] 总之现在好处就是
[00:07:23 - 00:07:26] 我上的一定是我报过的
[00:07:26 - 00:07:28] 这时候你就别怪我学校
[00:07:28 - 00:07:31] 说给你调进了一个你不喜欢的专业
[00:07:31 - 00:07:32] 这事跟我没关系
[00:07:32 - 00:07:34] 你自己报的这个学校报的这个专业
[00:07:34 - 00:07:37] 你上的他一定是你报过的
[00:07:37 - 00:07:40] 完全满足考生对于专业的需求
[00:07:40 - 00:07:43] 这就是我们新高考的一个改革的一个
[00:07:43 - 00:07:45] 一个主要的一个内容
[00:07:45 - 00:07:49] 这其实我个人认为是非常合理的
[00:07:49 - 00:07:50] 因为我上大学的时候
[00:07:50 - 00:07:52] 包括说我现在做辅导的时候
[00:07:52 - 00:07:55] 我见过太多同学
[00:07:55 - 00:07:57] 因为不喜欢自己的专业
[00:07:57 - 00:08:00] 导致最后学习的镜头会有差很多
[00:08:00 - 00:08:01] 然后甚至最后找不多工作
[00:08:01 - 00:08:03] 有些时候这种悲剧太多了
[00:08:03 - 00:08:05] 但是新高考改革完以后的话
[00:08:05 - 00:08:06] 这种新鲜就完全不存在了
[00:08:06 - 00:08:07] 我觉得是挺好的
[00:08:07 - 00:08:10] 然后的话我们再看一下这个复分制
[00:08:10 - 00:08:14] 这个复分制很多朋友就搞不明白
[00:08:14 - 00:08:16] 说这个玩意到底是怎么回事
[00:08:16 - 00:08:17] 我们先看一下原来
[00:08:17 - 00:08:22] 原来我们现行高考分数是这样画的
[00:08:22 - 00:08:23] 总分是前辈50分
[00:08:23 - 00:08:26] 前辈50分我们语书外
[00:08:26 - 00:08:27] 我们各是150分
[00:08:27 - 00:08:29] 假写的是450分
[00:08:29 - 00:08:32] 那么还有一个文综合或者是理综合
[00:08:32 - 00:08:33] 文综合或者是理综合
[00:08:33 - 00:08:35] 比如说史利正对吧
[00:08:35 - 00:08:35] 乌化圣
[00:08:35 - 00:08:37] 那么我们将会组成一个小综合
[00:08:37 - 00:08:39] 小东和买分是300分
[00:08:39 - 00:08:40] 你考多少分
[00:08:41 - 00:08:42] 你就是多少分
[00:08:42 - 00:08:44] 就是原始分计算
[00:08:44 - 00:08:46] 那么你最后高考的总分
[00:08:46 - 00:08:48] 就是相当于你这几颗的一个总和
[00:08:48 - 00:08:50] 这是我们现在
[00:08:50 - 00:08:51] 这个就很简单了
[00:08:51 - 00:08:51] 对吧
[00:08:51 - 00:08:53] 你考多少分就是多少分
[00:08:53 - 00:08:53] 对吧
[00:08:53 - 00:08:56] 这个没有什么好商量的余地
[00:08:56 - 00:08:56] 对吧
[00:08:57 - 00:08:58] 但是现在新高考不是这样的
[00:08:58 - 00:09:00] 现在新高考是什么
[00:09:00 - 00:09:02] 新高考首先与数外
[00:09:02 - 00:09:04] 这是有一个原始分的
[00:09:04 - 00:09:05] 然后的话
[00:09:05 - 00:09:07] 我们有6选3
[00:09:07 - 00:09:08] 你选好那几颗
[00:09:08 - 00:09:10] 你选好那几颗
[00:09:10 - 00:09:13] 最后计分是这样计分的
[00:09:13 - 00:09:15] 是等级负分的
[00:09:15 - 00:09:17] 大家注意看一下我们下面这张表格
[00:09:17 - 00:09:21] 那么我们会有一个三分一段制
[00:09:21 - 00:09:22] 三分一段制
[00:09:22 - 00:09:24] 比如说你最后你选的那一颗
[00:09:24 - 00:09:25] 你投老师我选的是物理
[00:09:25 - 00:09:28] 你物理这一颗就不可能得98分
[00:09:28 - 00:09:30] 你不可能得98分
[00:09:30 - 00:09:32] 因为没有这个分段
[00:09:32 - 00:09:35] 三分一段制从100分到40分
[00:09:35 - 00:09:37] 三分一段日
[00:09:37 - 00:09:39] 那这个三分一段日怎么体现的呢
[00:09:39 - 00:09:45] 是按照你在全省这一科成绩的百分比
[00:09:45 - 00:09:50] 百分比来进行这个复分的
[00:09:50 - 00:09:53] 比如说我们刚才选的说前15%的同学
[00:09:53 - 00:09:55] 我们给它继承这个等级叫A
[00:09:55 - 00:09:58] 其实这个等级A应该是有一个省份的同学
[00:09:58 - 00:10:00] 是不陌生的就是江苏省
[00:10:00 - 00:10:02] 江苏省的考书应该是不陌生的
[00:10:02 - 00:10:04] 因为江苏省原来的高考
[00:10:04 - 00:10:07] 他的两门复科那么就是等级的
[00:10:07 - 00:10:11] 就是继承了a 加什么a 减的b 加b 减等等
[00:10:11 - 00:10:13] 但是我们现在只记abcde
[00:10:13 - 00:10:15] 5个等字
[00:10:15 - 00:10:17] 那么你等级是前5%的同学
[00:10:17 - 00:10:19] 假如说我们有一位同学
[00:10:19 - 00:10:21] 他选择了物理这一科
[00:10:21 - 00:10:24] 但是物理这一科他这都知道他不好考
[00:10:24 - 00:10:24] 他难
[00:10:24 - 00:10:25] 对吧
[00:10:25 - 00:10:25] 大家想考高分
[00:10:25 - 00:10:27] 但是比较难的
[00:10:27 - 00:10:28] 对不对
[00:10:28 - 00:10:29] 那好了
[00:10:29 - 00:10:30] 那我们物理这一科假如说
[00:10:30 - 00:10:32] 我学的不是那么很好
[00:10:32 - 00:10:35] 結果呢考試發現是物理買份多少份
[00:10:35 - 00:10:36] 物理買份是100分
[00:10:36 - 00:10:37] 那麼這物理買份100分
[00:10:37 - 00:10:38] 這孩子考了多少份呢
[00:10:38 - 00:10:40] 這孩子考了79分
[00:10:41 - 00:10:42] 然後他考了79分
[00:10:42 - 00:10:44] 那麼如果這個孩子考了79分
[00:10:44 - 00:10:46] 最後一算總成績發現
[00:10:46 - 00:10:49] 全省選擇物理的同學
[00:10:49 - 00:10:51] 這位同學考到79分
[00:10:51 - 00:10:55] 他能考到全省成績的前1%
[00:10:56 - 00:10:58] 假如你這個79分是全省
[00:10:58 - 00:11:00] 這些人考物理的前1%的話
[00:11:00 - 00:11:02] 那么同学这一课你记多少分呢
[00:11:02 - 00:11:04] 你是记100分
[00:11:05 - 00:11:06] 那你是记100分
[00:11:06 - 00:11:07] 那如果说
[00:11:08 - 00:11:10] 这个同学有另外一个同学
[00:11:10 - 00:11:11] 他考的多少分呢
[00:11:11 - 00:11:12] 他考了78分
[00:11:13 - 00:11:14] 他考了78分
[00:11:14 - 00:11:18] 你看着实际分好像是比79分低了1分
[00:11:18 - 00:11:18] 对吧
[00:11:18 - 00:11:21] 但是如果说这78分的同学
[00:11:21 - 00:11:22] 他比较懂没有
[00:11:22 - 00:11:23] 他是考到什么呢
[00:11:23 - 00:11:26] 他考到了全省的前2%到3%
[00:11:26 - 00:11:28] 他不是1%的话
[00:11:28 - 00:11:28] 那么不好意思
[00:11:28 - 00:11:31] 这一刻他将计为97分
[00:11:31 - 00:11:33] 就是你看着好像是差的一分
[00:11:33 - 00:11:35] 但其实差了多少分
[00:11:35 - 00:11:36] 差了三分
[00:11:36 - 00:11:38] 这是其实差了三分的
[00:11:38 - 00:11:39] 所以说的话
[00:11:39 - 00:11:42] 我们会有一个三分一段制
[00:11:42 - 00:11:43] 所以说大家一定要了解一下
[00:11:43 - 00:11:46] 这个东西叫做复分
[00:11:46 - 00:11:47] 它不是说确分
[00:11:47 - 00:11:49] 它不是说你考多少分
[00:11:49 - 00:11:50] 我最后就计多少分
[00:11:50 - 00:11:51] 不是这样的
[00:11:51 - 00:11:52] 那么它是一个复分制
[00:11:52 - 00:11:53] 那么复分制
[00:11:53 - 00:11:55] 它有它复分制的好处
[00:11:55 - 00:11:56] 有的人说张老师
[00:11:56 - 00:11:58] 那你说咱们国家搞这个东西
[00:11:58 - 00:11:58] 这么麻烦
[00:11:58 - 00:11:59] 他到底干嘛
[00:11:59 - 00:12:00] 对吧
[00:12:00 - 00:12:02] 你这我还得算百分比
[00:12:02 - 00:12:03] 我还得算总人数
[00:12:03 - 00:12:04] 我还得勾心斗角
[00:12:04 - 00:12:04] 都算一算
[00:12:04 - 00:12:07] 我们省今天有多少人考这个科目
[00:12:07 - 00:12:08] 但是我想告诉大家的是
[00:12:08 - 00:12:10] 这个都是为了公平
[00:12:10 - 00:12:13] 这个其实都是为了公平的
[00:12:13 - 00:12:15] 那么我们在报志愿的时候的话
[00:12:15 - 00:12:15] 你会发现
[00:12:15 - 00:12:17] 我们在报志愿的时候
[00:12:17 - 00:12:18] 可以按照
[00:12:18 - 00:12:19] 就是如果说你是按照
[00:12:19 - 00:12:20] 以学校为导向的
[00:12:20 - 00:12:21] 你是可以按照那么报的
[00:12:21 - 00:12:22] 为什么呢
[00:12:22 - 00:12:24] 因为我们现在可以报志愿的时候
[00:12:24 - 00:12:24] 报多少个志愿
[00:12:24 - 00:12:26] 一下子可以报80个志愿
[00:12:26 - 00:12:28] 以浙江省为例
[00:12:28 - 00:12:30] 它可以报80个志愿
[00:12:30 - 00:12:32] 那么80个志愿的话
[00:12:32 - 00:12:35] 如果说你是想以学校为导向
[00:12:35 - 00:12:36] 比如今天说张老师
[00:12:36 - 00:12:37] 我现在我就认一个学校
[00:12:37 - 00:12:39] 比如说我的母校郑州大学
[00:12:39 - 00:12:41] 和张老师我现在我就想上郑大
[00:12:41 - 00:12:43] 别的学校我就不想上
[00:12:43 - 00:12:44] 老师我就想上郑大
[00:12:44 - 00:12:45] 那怎么办呢
[00:12:45 - 00:12:47] 你可以报郑州大学的
[00:12:47 - 00:12:49] 80个专一
[00:12:49 - 00:12:50] 你可以把郑州大学
[00:12:50 - 00:12:52] 所有的专业都可以报掉
[00:12:52 - 00:12:53] 知道吧
[00:12:53 - 00:12:54] 所有的专业都可以报掉
[00:12:54 - 00:12:55] 你只要分够
[00:12:55 - 00:12:57] 你就可以上
[00:12:57 - 00:12:58] 你就可以上升大
[00:12:58 - 00:12:59] 也没有问题
[00:12:59 - 00:13:01] 但你说张老师我现在是什么情况
[00:13:01 - 00:13:03] 老师我现在我就想学金融
[00:13:03 - 00:13:05] 我别的专业我就不想学
[00:13:05 - 00:13:06] 我只想学金融
[00:13:06 - 00:13:07] 那你怎么样呢
[00:13:07 - 00:13:11] 你可以报80个学校金融专业
[00:13:11 - 00:13:14] 你最后上的一定是金融
[00:13:14 - 00:13:15] 绝对没有问题
[00:13:15 - 00:13:16] 有的人说张老师
[00:13:16 - 00:13:17] 80个志愿我该怎么报
[00:13:17 - 00:13:19] 其实我想跟大家说
[00:13:19 - 00:13:23] 这个跟原来我们那种报的方法
[00:13:23 - 00:13:26] 就是没有什么特别大的差别
[00:13:26 - 00:13:28] 只不过让大家选择更多一些
[00:13:28 - 00:13:30] 比如说像有些省份原来是什么情况呢
[00:13:30 - 00:13:31] 是你可以选择6个学校
[00:13:31 - 00:13:34] 假如说有的省份是可以选择6个学校
[00:13:34 - 00:13:37] 然后呢5个专业
[00:13:37 - 00:13:39] 6个学校5个专业
[00:13:39 - 00:13:41] 那6个学校5个专业
[00:13:41 - 00:13:43] 其实你专业和院校的组合你大概多少
[00:13:43 - 00:13:45] 你大概一共是6 x 5
[00:13:45 - 00:13:47] 你是有30个组合吗
[00:13:47 - 00:13:49] 对吧 你只有30个组合
[00:13:49 - 00:13:52] 那么这80个志愿大概是什么情况呢
[00:13:52 - 00:13:53] 你可以报16个学校
[00:13:53 - 00:13:55] 16个学校
[00:13:55 - 00:13:56] 对吧
[00:13:56 - 00:13:57] 然后每个学校
[00:13:57 - 00:13:59] 你可以选择5个专业
[00:13:59 - 00:14:00] 对吧
[00:14:00 - 00:14:01] 那么其实它就是一个
[00:14:01 - 00:14:02] 80个组合
[00:14:02 - 00:14:04] 或者是80个选择
[00:14:04 - 00:14:06] 所以大家在报的时候的话
[00:14:06 - 00:14:08] 你可以按照学校味道相
[00:14:08 - 00:14:09] 所以说我们刚才说
[00:14:09 - 00:14:11] 如果说就是这么改完以后
[00:14:11 - 00:14:13] 你还是想按照原来学校味道相
[00:14:13 - 00:14:15] 照那时候我今天就想上某个学校
[00:14:15 - 00:14:16] 可以啊
[00:14:16 - 00:14:17] 没有问题
[00:14:17 - 00:14:18] 而且的话还可以让你更充分
[00:14:18 - 00:14:19] 对吧
[00:14:19 - 00:14:20] 还可以让你更充分
[00:14:20 - 00:14:21] 你反过来你怎么样
[00:14:21 - 00:14:22] 你可以报5个学校的
[00:14:22 - 00:14:26] 5个学校的16个专业也没有问题
[00:14:26 - 00:14:29] 你可以报5个学校的16个专业也没有问题
[00:14:29 - 00:14:31] 而且的话这还避免什么呢
[00:14:31 - 00:14:32] 这还避免说
[00:14:32 - 00:14:34] 万一上了一个你自己不喜欢的专业
[00:14:34 - 00:14:35] 这多好啊
[00:14:35 - 00:14:36] 对吧
[00:14:36 - 00:14:37] 那这5个学校的16个专业
[00:14:37 - 00:14:38] 你报完以后的话
[00:14:38 - 00:14:41] 那如果说你的分能够分数线
[00:14:41 - 00:14:41] 那就可以
[00:14:41 - 00:14:42] 所以说
[00:14:42 - 00:14:45] 原来我们在总说高考分数线的时候
[00:14:45 - 00:14:46] 总会说什么
[00:14:46 - 00:14:49] 说今年清华大学在我省的分数线
[00:14:49 - 00:14:50] 有多少分
[00:14:50 - 00:14:52] 北京大学在我省的分支县多少分
[00:14:52 - 00:14:53] 然后的话
[00:14:53 - 00:14:55] 郑州大学在我省的分支县这多少分
[00:14:55 - 00:14:56] 以后没有这一说了
[00:14:56 - 00:14:58] 以后就没有这一说了
[00:14:58 - 00:14:59] 以后很有可能的什么呢
[00:14:59 - 00:15:02] 以后很有可能中央财经大学
[00:15:02 - 00:15:04] 他最好的专业
[00:15:04 - 00:15:08] 他的分呢要比北大相对一般的专业
[00:15:08 - 00:15:10] 分要稍微高一些
[00:15:10 - 00:15:11] 所以说你以后怎么说
[00:15:11 - 00:15:13] 这个学校的这个专业
[00:15:13 - 00:15:14] 它是多少分
[00:15:14 - 00:15:16] 而你不能说是这个学校
[00:15:16 - 00:15:17] 它是多少分
[00:15:17 - 00:15:18] 大家明白了吗
[00:15:18 - 00:15:19] 所以说的话
[00:15:19 - 00:15:23] 从我们报考从我们专业导向的区分
[00:15:23 - 00:15:24] 再加上我们负分制
[00:15:24 - 00:15:29] 它其实是一起组成了我们新高考的一些变化
[00:15:29 - 00:15:33] 希望我们同过这节课能够让大家对新高考变化
[00:15:33 - 00:15:35] 有比较深入的体会和理解
[00:15:35 - 00:15:39] 尤其是从学校为导向转为了专业为导向
[00:15:39 - 00:15:40] 总之一句话
[00:15:40 - 00:15:42] 这是好事
[00:15:42 - 00:15:44] 这是为大家着想的一个好事
[00:15:44 - 00:15:46] 大家只需要去适应它就可以了
[00:15:46 - 00:15:48] 而且你也没有必要去过于担心
[00:15:48 - 00:15:53] 因为大家都是在这个体制下来进行公平竞争的
[00:15:53 - 00:15:53] 好吗
[00:15:53 - 00:15:55] 那么我们今天的课就讲到这里
[00:15:55 - 00:15:57] 咱们下节课将会继续给大家讲一讲
[00:15:57 - 00:16:00] 新高考的一些小变化和一些特点
[00:16:00 - 00:16:00] 好吗
[00:16:00 - 00:16:01] 咱们下节课再见
[00:16:01 - 00:16:02] 谢谢大家
