BV号：BV1gJ411U74k
标题：BV1gJ411U74k
链接：https://www.bilibili.com/video/BV1gJ411U74k
识别语言：zh
语言置信度：1
分段数：391
生成时间：2026-04-04 05:30:20

[00:00:02 - 00:00:04] 你觉得我在当主持人有没有希望
[00:03:07 - 00:03:09] 当然这还算相关
[00:03:09 - 00:03:14] 我们寻到还有一个非常优秀的足球解说员
[00:03:14 - 00:03:16] 大家非常喜欢的贺伟老师
[00:03:16 - 00:03:17] 贺伟老师
[00:03:17 - 00:03:18] 你知道贺伟学的是什么吗
[00:03:18 - 00:03:18] 不知道
[00:03:18 - 00:03:22] 贺伟是来自武汉的海军工程大学
[00:03:22 - 00:03:24] 他是学工程的吗
[00:03:24 - 00:03:26] 他是海军工程大学毕业的
[00:03:26 - 00:03:30] 那你像贺伟老师这种背景
[00:03:30 - 00:03:31] 他在这学专业背景
[00:03:31 - 00:03:34] 他是怎么能够到央视来去
[00:03:34 - 00:03:36] 贺伯老师的成长经历比较特殊
[00:03:36 - 00:03:41] 那才是一个电视台发展相对比较多元化的年代
[00:03:41 - 00:03:42] 我这么说吧
[00:03:42 - 00:03:45] 就是贺伯老师最早他完全是凭借自己对足球的爱好和兴趣
[00:03:45 - 00:03:47] 他去做实习生的时候呢
[00:03:47 - 00:03:49] 其实是按照编辑的身份进去的
[00:03:49 - 00:03:52] 最早就是我看一些当年大量的路相带
[00:03:52 - 00:03:54] 贺伯老师整理这个大量的路相带
[00:03:54 - 00:03:57] 这个带库里边大量的足球比赛的路相带
[00:03:57 - 00:03:58] 然后做场季
[00:03:58 - 00:03:59] 你知道什么叫场季吗
[00:03:59 - 00:04:01] 就是看这个比赛我记哪儿
[00:04:01 - 00:04:01] 哪个场面
[00:04:01 - 00:04:02] 记起来精彩
[00:04:02 - 00:04:03] 对吧
[00:04:03 - 00:04:04] 24分50秒
[00:04:04 - 00:04:07] 10大什么的
[00:04:07 - 00:04:09] 35分20秒
[00:04:09 - 00:04:10] 谁吃了黄牌
[00:04:10 - 00:04:10] 是吧
[00:04:10 - 00:04:11] 就这种的
[00:04:11 - 00:04:12] 把这个比赛记住
[00:04:12 - 00:04:15] 其实你会感觉这是一个很枯燥的工作
[00:04:15 - 00:04:15] 真的
[00:04:15 - 00:04:17] 你就看大量录像最后都崩溃了
[00:04:17 - 00:04:19] 特别老师最早干这个的
[00:04:19 - 00:04:21] 后来就是因为看了大量的录像带
[00:04:21 - 00:04:23] 然后自己对足球比赛非常地喜欢
[00:04:23 - 00:04:24] 当真正出现机会的时候
[00:04:24 - 00:04:25] 领导说
[00:04:25 - 00:04:27] 你这个对这个有兴趣
[00:04:27 - 00:04:28] 你去配配音吧
[00:04:28 - 00:04:30] 那这个片段你先去配配音
[00:04:30 - 00:04:30] 试试看
[00:04:30 - 00:04:33] 我们少一个这个片段当中少一个配音
[00:04:33 - 00:04:34] 你去试试这个声音
[00:04:34 - 00:04:36] 这么慢慢的就一步一步走到这条道路上
[00:04:36 - 00:04:39] 所以这个是属于典型叫外打正着
[00:04:39 - 00:04:40] 对对对
[00:04:40 - 00:04:40] 我还比较幸运
[00:04:40 - 00:04:42] 我算是科班出神
[00:04:42 - 00:04:43] 因为我毕竟是广播学院
[00:04:43 - 00:04:46] 就现在这个中国成别大学毕业了
[00:04:46 - 00:04:46] 对
[00:04:46 - 00:04:48] 我觉得是英语博音主持
[00:04:48 - 00:04:49] 而且呢
[00:04:49 - 00:04:50] 我更有意思
[00:04:50 - 00:04:56] 就是我可能和大多数年轻人的这种职业规划的路径的方式不太一样
[00:04:56 - 00:04:59] 就我属于是先有这个提于主持人的梦想
[00:04:59 - 00:05:01] 再去考这个学校
[00:05:01 - 00:05:03] 等於是我瞄著打的
[00:05:03 - 00:05:04] 但現在還打中了
[00:05:04 - 00:05:06] 你現在當年就是上高中的時候
[00:05:06 - 00:05:09] 在報考的時候可能就已經有這樣的目標和方向了
[00:05:09 - 00:05:10] 我屬於叫指打打打
[00:05:10 - 00:05:12] 現在更多人是打打指打
[00:05:12 - 00:05:13] 對
[00:05:13 - 00:05:14] 就我是運氣比較好
[00:05:14 - 00:05:16] 就是我有這個方向
[00:05:16 - 00:05:17] 有這樣的一個目標
[00:05:17 - 00:05:18] 最後成功了
[00:05:18 - 00:05:20] 你看我當天上學院我特別喜歡看球
[00:05:20 - 00:05:21] 你要知道當年像
[00:05:21 - 00:05:23] 像我們八零後天下足球這個節目
[00:05:23 - 00:05:25] 包括像周一的天下足球
[00:05:25 - 00:05:26] 周四的足球之一
[00:05:26 - 00:05:27] 是吧
[00:05:27 - 00:05:29] 那個時候基本上就是我們喜歡足球的人
[00:05:29 - 00:05:31] 真的必看
[00:05:31 - 00:05:34] 所以我觉得这对我来说是职业上挺幸运的一个事情
[00:05:34 - 00:05:37] 我跟你讲了我是上大学之前信用这个目标
[00:05:37 - 00:05:39] 我就想做体育节目的主持人
[00:05:39 - 00:05:41] 因为当时觉得自己踢球没希望了
[00:05:41 - 00:05:43] 那怎么办呢?我怎么能接近这个行业呢?
[00:05:43 - 00:05:45] 又爱说话
[00:05:45 - 00:05:47] 从小老贝老师点名就上课说话
[00:05:47 - 00:05:47] 对
[00:05:47 - 00:05:49] 所以我说那你去做个主持人吧
[00:05:49 - 00:05:51] 再加上我家里边其实有一些家庭背景
[00:05:51 - 00:05:53] 就说父母都是广电行业
[00:05:53 - 00:05:55] 等于是我这个是广电子弟
[00:05:55 - 00:05:59] 那么当时说就去做一个体育主持人做为自己的目标
[00:05:59 - 00:06:03] 全国最好的院校就是叫中传现在叫广院
[00:06:03 - 00:06:05] 所以那个时候再加上我英语很好
[00:06:05 - 00:06:06] 那个时候有这个机会
[00:06:06 - 00:06:08] 那我就去考考英语波音
[00:06:08 - 00:06:11] 那就英语波音和传统的波音主持人都考了
[00:06:11 - 00:06:13] 然后最后去上了英语波音
[00:06:13 - 00:06:16] 然后我职业当中又有一个特别幸运的事情
[00:06:16 - 00:06:18] 就是我毕业那年是05年本科毕业
[00:06:18 - 00:06:19] 这事暴露年龄
[00:06:19 - 00:06:21] 这事先逼逼啊一会可以
[00:06:21 - 00:06:24] 我05年本科毕业的时候
[00:06:24 - 00:06:26] 赶上正好是北京奥运会要来了
[00:06:26 - 00:06:27] 哦对
[00:06:27 - 00:06:28] 我01年大学毕业
[00:06:28 - 00:06:29] 我印象特别深
[00:06:29 - 00:06:30] 我01年大学毕业那个暑假
[00:06:30 - 00:06:33] 在家里看着7月13号的时候
[00:06:33 - 00:06:35] 宣布北京办2008年的奥运会
[00:06:35 - 00:06:36] 所以那个时候新朝澎湃
[00:06:36 - 00:06:38] 用你这感觉这梦想实现
[00:06:38 - 00:06:39] 你自己更进了一步
[00:06:39 - 00:06:40] 又到北京上大学
[00:06:40 - 00:06:43] 当时当然还只是一种简单的兴奋和激动
[00:06:43 - 00:06:44] 你不知道
[00:06:44 - 00:06:46] 你可能会有机会
[00:06:46 - 00:06:48] 但当时是很模糊的一种概念
[00:06:48 - 00:06:49] 觉得很兴奋
[00:06:49 - 00:06:50] 你和北京这个城市联系在一起
[00:06:50 - 00:06:52] 和未来的奥运会
[00:06:52 - 00:06:53] 你至少能去看奥运会
[00:06:53 - 00:06:54] 觉得
[00:06:54 - 00:06:55] 但当时真的想不到08年的时候
[00:06:55 - 00:06:57] 会坐在奥运会的主播台上
[00:06:57 - 00:06:58] 那个时候是不敢讲的
[00:06:58 - 00:06:59] 哇呀
[00:06:59 - 00:06:59] 你就说说这个
[00:06:59 - 00:07:00] 我就特别想说
[00:07:00 - 00:07:02] 就是你第一次
[00:07:02 - 00:07:03] 你坐在主播台上
[00:07:03 - 00:07:05] 包括你像你坐在奥运会那个主播台上
[00:07:05 - 00:07:06] 你第一次当时是什么样的
[00:07:06 - 00:07:07] 心情或者感受
[00:07:07 - 00:07:08] 第一次和第一次
[00:07:08 - 00:07:10] 在奥运会主播台上是两个概念
[00:07:10 - 00:07:10] 老师
[00:07:10 - 00:07:13] 第一次坐在主播台上
[00:07:13 - 00:07:15] 其实挺糗的
[00:07:15 - 00:07:16] 当时特别糗
[00:07:16 - 00:07:18] 是一个设计的
[00:07:18 - 00:07:20] 世界紧标赛的赛前的演摩士
[00:07:20 - 00:07:21] 当时应该类似于是
[00:07:21 - 00:07:24] 第多少届世界设计紧标赛
[00:07:24 - 00:07:28] 你去了解过设计这样运动吗?
[00:07:28 - 00:07:29] 或者比赛什么的?
[00:07:29 - 00:07:31] 因为这个设计其实相对而规则比较简单
[00:07:31 - 00:07:32] 对对对
[00:07:32 - 00:07:35] 你虽然很清楚的看出
[00:07:35 - 00:07:37] 环数是什么样的比赛规则也特别简单
[00:07:37 - 00:07:38] 一目了然
[00:07:38 - 00:07:40] 然后这个比赛的过程你也很清楚
[00:07:40 - 00:07:43] 所以这个比赛相对从解说难度上来说是不大的
[00:07:43 - 00:07:45] 当时安排我解说这个比赛要出境
[00:07:45 - 00:07:47] 所以第一次真正在中央电视台的演博师
[00:07:47 - 00:07:50] 听频道的演博师CTV5去出境
[00:07:50 - 00:07:51] 当时的第一句话
[00:07:51 - 00:07:55] 世界设计紧标赛这一段话
[00:07:55 - 00:07:56] 我倒了三遍没倒对
[00:07:56 - 00:07:58] 啊?是直播吗?
[00:07:58 - 00:07:59] 直播
[00:07:59 - 00:08:00] 我们全是直播
[00:08:00 - 00:08:02] 我完全没
[00:08:02 - 00:08:03] 我完全没啊
[00:08:03 - 00:08:03] 没问题
[00:08:03 - 00:08:04] 当时还不扣钱
[00:08:04 - 00:08:06] 当时还是环境比较困扰
[00:08:06 - 00:08:07] 所以我跟你说
[00:08:07 - 00:08:08] 第一次职业经历都挺糗的
[00:08:08 - 00:08:09] 就是类似于说
[00:08:09 - 00:08:11] 世界紧标设计赛
[00:08:11 - 00:08:12] 就类似于说
[00:08:12 - 00:08:13] 哎不对啊
[00:08:13 - 00:08:14] 然后设计紧标设计赛
[00:08:14 - 00:08:15] 又不对
[00:08:15 - 00:08:16] 世界设计紧标
[00:08:16 - 00:08:17] 最后才说对
[00:08:17 - 00:08:18] 好糗的
[00:08:18 - 00:08:19] 就这么一句话
[00:08:19 - 00:08:22] 你看当时你现在觉得现在回国堂来看
[00:08:22 - 00:08:25] 我也觉得当时你怎么会这么蠢呢
[00:08:25 - 00:08:28] 但是职业经理的第一次很多人都其实不凭不顺
[00:08:28 - 00:08:29] 其实我也是
[00:08:29 - 00:08:32] 我第一次去做这种讲座的时候
[00:08:32 - 00:08:34] 我不知道当地的主办方怎么想的
[00:08:34 - 00:08:36] 给我找了一个特别大的礼堂
[00:08:36 - 00:08:38] 你知道吗
[00:08:38 - 00:08:40] 1800人的礼堂
[00:08:40 - 00:08:42] 然后的话居然还分楼下河
[00:08:42 - 00:08:42] 楼下河
[00:08:42 - 00:08:45] 我在那那个大礼堂上
[00:08:45 - 00:08:47] 你感觉开演唱会一样
[00:08:47 - 00:08:49] 但是没有演络会那么多人
[00:08:49 - 00:08:51] 他一共就26个人
[00:08:51 - 00:08:53] 我一千八百人得长26个人
[00:08:53 - 00:08:55] 一千八百人去了26个人
[00:08:55 - 00:08:56] 你等那种感觉啊
[00:08:56 - 00:08:57] 就是你站在里面一个里面
[00:08:57 - 00:08:58] 然后面对一个大里面
[00:08:58 - 00:09:00] 然后一千八百人的作为只多了26个人
[00:09:00 - 00:09:01] 然后这24个人呢
[00:09:01 - 00:09:04] 就分布在这个很散落
[00:09:04 - 00:09:04] 对啊
[00:09:04 - 00:09:06] 这两个
[00:09:06 - 00:09:07] 然后你在台上
[00:09:07 - 00:09:09] 这怎么办呀
[00:09:09 - 00:09:10] 然后的话再加上第一次
[00:09:10 - 00:09:12] 你看有的时候他出镜
[00:09:12 - 00:09:14] 你可能出镜就那么两三分钟
[00:09:14 - 00:09:16] 然后的话就直接写了比台进口了
[00:09:16 - 00:09:21] 我是全程出境的
[00:09:21 - 00:09:23] 然后的话你要有一个半小时的演讲
[00:09:23 - 00:09:26] 然后我第一次在做那个演讲的时候
[00:09:26 - 00:09:28] 我还特别傻的就是坐着着
[00:09:28 - 00:09:32] 我现在几乎就是在我整个从业职员上当过
[00:09:32 - 00:09:33] 除了第一次以外的话
[00:09:33 - 00:09:34] 还有一次是我在柜里
[00:09:34 - 00:09:37] 我生病生得非常严重
[00:09:37 - 00:09:37] 就上涂下泻的
[00:09:37 - 00:09:38] 站不动
[00:09:38 - 00:09:39] 就是站不动的
[00:09:39 - 00:09:41] 然后的话我就大家对不起
[00:09:41 - 00:09:42] 我这人从来都是站着两颗的
[00:09:42 - 00:09:44] 我这次没办法我只能坐着讲
[00:09:44 - 00:09:46] 然后的话除了这两次以外
[00:09:46 - 00:09:48] 我就再也没有做这讲过
[00:09:48 - 00:09:50] 我就觉得就是做讲做演讲
[00:09:50 - 00:09:52] 你的气场完全不一样
[00:09:52 - 00:09:53] 对 你的气场完全不一样
[00:09:53 - 00:09:54] 就是你可能站起来以后
[00:09:54 - 00:09:55] 你会更有自信 对吧
[00:09:55 - 00:09:57] 你觉得你掌控的面更大
[00:09:57 - 00:09:59] 然后你做着讲的时候
[00:09:59 - 00:10:01] 你就觉得施展不开那种感觉你知道吧
[00:10:01 - 00:10:04] 然后这想象也挺难受的
[00:10:04 - 00:10:05] 然后这是第一次
[00:10:05 - 00:10:07] 我第二次比第一次还难之后
[00:10:07 - 00:10:07] 你知道吧
[00:10:07 - 00:10:09] 我到第二次讲座的时候
[00:10:09 - 00:10:10] 然后讲着讲着
[00:10:10 - 00:10:12] 突然有一个学生就举起来
[00:10:12 - 00:10:13] 举手共手
[00:10:13 - 00:10:14] 老师我有个问题
[00:10:14 - 00:10:15] 我说你什么问题
[00:10:15 - 00:10:18] 你能见到有用的吗
[00:10:18 - 00:10:20] 哈哈哈哈
[00:10:20 - 00:10:22] 这事会讲了前半半个小时
[00:10:22 - 00:10:24] 他在话就是告诉我说
[00:10:24 - 00:10:26] 你前半半个小时讲的都是没有用的
[00:10:26 - 00:10:28] 然后的话你记得内容是不过关的
[00:10:28 - 00:10:30] 即使你自己可能会觉得很嗨
[00:10:30 - 00:10:32] 因为有的时候我们做一个演讲
[00:10:32 - 00:10:34] 你首先要把自己的状态调整好
[00:10:34 - 00:10:34] 对吧
[00:10:34 - 00:10:35] 就是你包括说
[00:10:35 - 00:10:37] 你现在你再做解说也是这样的
[00:10:37 - 00:10:37] 是吧
[00:10:37 - 00:10:39] 那天你解说那个米兰得比
[00:10:39 - 00:10:40] 我再给你发微信啊
[00:10:40 - 00:10:41] 我来说来
[00:10:41 - 00:10:42] 大家看
[00:10:42 - 00:10:45] 但是你可能你不能那么在意外的是吧
[00:10:45 - 00:10:49] 所以说的话有些时候真的我们第一次就是任何行业我觉得
[00:10:49 - 00:10:51] 你那个时候是讲考研吗
[00:10:51 - 00:10:52] 对是讲考
[00:10:52 - 00:10:56] 对然后的话就是我觉得任何职业你再做第一次的时候真的挺
[00:10:56 - 00:10:57] 内心都是弹的
[00:10:57 - 00:10:59] 感觉很难受很难受
[00:10:59 - 00:11:00] 真是真的是
[00:11:00 - 00:11:04] 好那我们感谢小老师跟我们在本期节目分享的这么多
[00:11:04 - 00:11:06] 他自己的这这么快就聊完了
[00:11:06 - 00:11:06] 一起
[00:11:08 - 00:11:09] 好我们本期节目的就是这样
[00:11:09 - 00:11:10] 咱们下期节目再见
[00:11:10 - 00:11:11] 谢谢
[00:11:15 - 00:11:17] 这我也知道
[00:11:17 - 00:11:19] 我也能赶上您的大脑
[00:11:19 - 00:11:21] 我还知道他
[00:11:21 - 00:11:23] 我连他都知道
