BV号：BV12kL2zNEQP
标题：BV12kL2zNEQP
链接：https://www.bilibili.com/video/BV12kL2zNEQP
识别语言：zh
语言置信度：1
分段数：134
生成时间：2026-04-03 05:06:20

[00:00:00 - 00:00:01] 你要问的是
[00:01:08 - 00:01:10] 所以说文科就业的时候
[00:01:10 - 00:01:11] 它是极重低语性的
[00:01:11 - 00:01:11] 这是第一点
[00:01:11 - 00:01:12] 第二点
[00:01:12 - 00:01:14] 医学和农学专业就业
[00:01:14 - 00:01:15] 医学和农业
[00:01:15 - 00:01:17] 尤其是植物生产类专业
[00:01:17 - 00:01:19] 就业是极重低语性的
[00:01:19 - 00:01:20] 然后第三
[00:01:20 - 00:01:22] 理工科的中低分数段
[00:01:22 - 00:01:24] 是极重就业低语性的
[00:01:24 - 00:01:25] 理工科的中高分数段
[00:01:25 - 00:01:27] 就业是没有低于性的
[00:01:27 - 00:01:30] 比如说家长就引以你这个案例来举例子
[00:01:30 - 00:01:31] 你说张老师我最后报职院
[00:01:31 - 00:01:33] 我哪怕没报安徽的学校
[00:01:33 - 00:01:34] 我没报江苏的学校
[00:01:34 - 00:01:35] 张老师我报了一个河北的学校
[00:01:35 - 00:01:37] 我报了一个烟山大学的机械
[00:01:37 - 00:01:39] 我将来来江苏就业有没有问题
[00:01:39 - 00:01:40] 一点问题没有
[00:01:40 - 00:01:41] 一点问题没有
[00:01:41 - 00:01:44] 因为烟山大学的机械是全国同用
[00:01:44 - 00:01:45] 多好使的
[00:01:45 - 00:01:47] 那是原来急功部的三小龙开什么玩笑
[00:01:47 - 00:01:50] 你不是221人家就业也没有问题
[00:01:50 - 00:01:52] 因为人家在这个专业领域内
[00:01:52 - 00:01:53] 是这个
[00:01:53 - 00:01:55] 是非常牛逼的一种地位的存在
[00:01:55 - 00:01:57] 江苏的企业能照制造业
[00:01:57 - 00:01:59] 照一个烟山大学的本科生
[00:01:59 - 00:02:00] 能照一个烟山大学的研究生
[00:02:00 - 00:02:02] 那是非常非常强的
[00:02:02 - 00:02:03] 所以说这是我给你说的
[00:02:03 - 00:02:04] 第一点就业低级性的问题
[00:02:04 - 00:02:04] 第二点
[00:02:04 - 00:02:06] 你已经某定了一个地区的话
[00:02:06 - 00:02:07] 你要看一下这个地区
[00:02:07 - 00:02:09] 它发展什么产业
[00:02:09 - 00:02:11] 它发展这个产业
[00:02:11 - 00:02:13] 它才会招这个专业的学生
[00:02:13 - 00:02:15] 而不是说你在这上学
[00:02:15 - 00:02:17] 我给你举一个最直接的例子
[00:02:17 - 00:02:18] 加上化工
[00:02:18 - 00:02:21] 加上你自己在江苏这边去工作和生活
[00:02:21 - 00:02:23] 你就说江苏这边
[00:02:23 - 00:02:25] 它化工生产型企业
[00:02:25 - 00:02:26] 这是我们现在目前
[00:02:26 - 00:02:28] 苏都也好 乌七也好
[00:02:28 - 00:02:28] 哪个地方
[00:02:28 - 00:02:31] 它会引进化工生产型企业吗
[00:02:31 - 00:02:31] 它不会的
[00:02:31 - 00:02:33] 也就是说你在这附近上学
[00:02:33 - 00:02:35] 你上的是个化工
[00:02:35 - 00:02:36] 你将来就业很有可能
[00:02:36 - 00:02:38] 也不会在这个相关的区域
[00:02:38 - 00:02:40] 你很有可能在县城
[00:02:40 - 00:02:42] 很有可能在这个市的远央
[00:02:42 - 00:02:43] 因为化工生产型企业
[00:02:43 - 00:02:44] 一 污染性强
[00:02:44 - 00:02:45] 二 危险性强
[00:02:45 - 00:02:46] 所以说的话
[00:02:46 - 00:02:47] 你得看这个行业
[00:02:47 - 00:02:49] 在这个地方发展不发展
[00:02:49 - 00:02:50] 家长 你在苏州工作
[00:02:50 - 00:02:51] 给你提醒一下
[00:02:51 - 00:02:52] 看苏州市政府公众报告
[00:02:52 - 00:02:53] 看两个点
[00:02:53 - 00:02:55] 一 苏州市政府公道报告明确提出
[00:02:55 - 00:02:58] 我们苏州要深入发展1030战略
[00:02:58 - 00:02:59] 什么叫1030战略
[00:02:59 - 00:03:01] 我们苏州要发展10个产业集群
[00:03:01 - 00:03:03] 对应的30个产业链
[00:03:03 - 00:03:04] 你说你学什么专业
[00:03:04 - 00:03:05] 在苏州更容易找到工作呢
[00:03:05 - 00:03:08] 10个产业集群对应的30个产业
[00:03:08 - 00:03:09] 这是最容易的
[00:03:09 - 00:03:09] 这是第一点
[00:03:09 - 00:03:10] 第二点
[00:03:10 - 00:03:13] 苏州市人事局每一年都会发一个东西
[00:03:13 - 00:03:14] 叫做苏州市重点行业
[00:03:14 - 00:03:15] 仅全人才专业目录
[00:03:15 - 00:03:16] 你去网上找一找
[00:03:16 - 00:03:17] 苏州市重点行业
[00:03:17 - 00:03:19] 仅全人才专业目录
[00:03:19 - 00:03:21] 你看看主要的這個行業內的企業
[00:03:21 - 00:03:23] 缺什麼港缺什麼中業的人
[00:03:23 - 00:03:24] 你們自己去看一下
