BV号：BV1D7411E7jF
标题：BV1D7411E7jF
链接：https://www.bilibili.com/video/BV1D7411E7jF
识别语言：zh
语言置信度：1
分段数：304
生成时间：2026-04-04 02:53:56

[00:00:02 - 00:00:03] 在当年医生就发现
[00:01:26 - 00:01:29] 无论从你的职业的稳定性
[00:01:29 - 00:01:32] 上期你也说了关于挣钱的问题是吧
[00:01:32 - 00:01:35] 其实他虽然不能说的这个
[00:01:35 - 00:01:36] 多么多么富有
[00:01:36 - 00:01:38] 但是他这个一个稳定家庭的
[00:01:38 - 00:01:42] 这个正常的一般的生活是没有问题的
[00:01:42 - 00:01:44] 那你像如果说他在议宣当中
[00:01:44 - 00:01:46] 他想去提高自己的能力
[00:01:46 - 00:01:49] 您会建议他提高哪方面的能力
[00:01:49 - 00:01:51] 你基础理论的能力
[00:01:51 - 00:01:53] 你的这个对疾病的这种
[00:01:53 - 00:01:56] 这种认识的这种能力
[00:01:56 - 00:01:58] 还有一些就是科研思维的
[00:01:58 - 00:02:00] 一些的能力都是要提高的
[00:02:00 - 00:02:02] 对呀都是要提高的呀
[00:02:02 - 00:02:03] 因为你作为一个医生
[00:02:03 - 00:02:04] 你是要不断学习的
[00:02:04 - 00:02:06] 要不断学习的
[00:02:06 - 00:02:09] 那你只有当你对方面能力提高的时候
[00:02:09 - 00:02:11] 你自我学习的能力才能增强
[00:02:11 - 00:02:12] 那你看你刚才说
[00:02:12 - 00:02:14] 你原来是在天才医院
[00:02:14 - 00:02:14] 对
[00:02:14 - 00:02:16] 然后现在的名额医院是一个私立
[00:02:16 - 00:02:17] 对
[00:02:17 - 00:02:18] 天才医院是一个公立
[00:02:18 - 00:02:21] 公立医院和私立医院有什么样的差别
[00:02:21 - 00:02:22] 对于病人
[00:02:22 - 00:02:23] 你先从病人这个角度来讲
[00:02:23 - 00:02:24] 我们在学习的时候
[00:02:24 - 00:02:25] 我们的病人
[00:02:25 - 00:02:26] 从病人角度的公立医院
[00:02:26 - 00:02:30] 它是不是说我们不想为病人做好说
[00:02:30 - 00:02:32] 是工程院的病人實在是太多
[00:02:32 - 00:02:34] 你想做好服務
[00:02:34 - 00:02:35] 可能時間也是沒有的
[00:02:35 - 00:02:38] 外頭排著一大堆的病人
[00:02:38 - 00:02:40] 有的時候我們做醫生的心理
[00:02:40 - 00:02:41] 也覺得挺愧疚的
[00:02:41 - 00:02:43] 那你說病人大老遠的
[00:02:43 - 00:02:45] 大早上起來打著
[00:02:45 - 00:02:47] 來掛你的號
[00:02:47 - 00:02:50] 來信任你跑著掛你的專家號
[00:02:50 - 00:02:53] 然後我們說的時間又不是很長
[00:02:53 - 00:02:54] 又怎麼樣
[00:02:54 - 00:02:56] 所以心理其實做醫生挺內疚的
[00:02:56 - 00:02:58] 那麼在私立院
[00:02:58 - 00:03:00] 我们会有更多的时间
[00:03:00 - 00:03:02] 其实这个在公立私立
[00:03:02 - 00:03:04] 按理说都是应该是一致的
[00:03:04 - 00:03:05] 但是由于公立院
[00:03:05 - 00:03:07] 我们国家的状况
[00:03:07 - 00:03:08] 对人类比较多
[00:03:08 - 00:03:08] 对
[00:03:08 - 00:03:10] 你也没有时间去
[00:03:10 - 00:03:11] 但是在这个环境下
[00:03:11 - 00:03:12] 在私立院内环境下
[00:03:12 - 00:03:14] 我们可能就更贴近
[00:03:14 - 00:03:17] 跟病人之间的沟通和交流
[00:03:17 - 00:03:18] 一定要讲清楚
[00:03:18 - 00:03:20] 让他充分的理解
[00:03:20 - 00:03:21] 让他充分的懂
[00:03:21 - 00:03:22] 他吃什么样的病
[00:03:22 - 00:03:24] 为什么采取这种治疗
[00:03:24 - 00:03:25] 这个药我吃了
[00:03:25 - 00:03:26] 会有什么样的问题
[00:03:26 - 00:03:28] 达到什么样的这样效果
[00:03:28 - 00:03:29] 那他有什么疑问
[00:03:29 - 00:03:32] 他也可以跟我们充分的沟通知情
[00:03:32 - 00:03:33] 所以相对在私立院来说
[00:03:33 - 00:03:35] 可能这种医闹啊
[00:03:35 - 00:03:37] 或者病病这种
[00:03:37 - 00:03:39] 在这方面真的是很少
[00:03:39 - 00:03:41] 那对于医生的角度来说
[00:03:41 - 00:03:41] 比如说你我就是
[00:03:41 - 00:03:42] 就说我
[00:03:42 - 00:03:43] 对
[00:03:43 - 00:03:44] 您怎么从公立院
[00:03:44 - 00:03:46] 然后来到私立院
[00:03:46 - 00:03:49] 这是一个很巧合的一个机会
[00:03:49 - 00:03:50] 当时我真的没有想法
[00:03:50 - 00:03:52] 不知道我们国家私立院是什么
[00:03:52 - 00:03:54] 一辈子都在公立院干
[00:03:54 - 00:03:55] 还会有私立院吗
[00:03:55 - 00:03:56] 会是什么情况
[00:03:56 - 00:03:57] 未来职业什么情况
[00:03:57 - 00:03:59] 未来你的收入稳不稳定
[00:03:59 - 00:04:01] 你的职业税不稳定都一概不知
[00:04:02 - 00:04:04] 当然国家政策公布以后
[00:04:04 - 00:04:06] 更多的信息
[00:04:06 - 00:04:08] 更多的信息出来了
[00:04:08 - 00:04:09] 更多的医院出来了
[00:04:09 - 00:04:10] 所以受这些影响
[00:04:10 - 00:04:12] 我觉得这可能是我们国家
[00:04:12 - 00:04:14] 未来医疗发展的一个方向
[00:04:14 - 00:04:15] 自立化吗
[00:04:15 - 00:04:16] 对
[00:04:16 - 00:04:17] 你回头再看欧美国家
[00:04:17 - 00:04:20] 其实它的路程也是这样的
[00:04:20 - 00:04:22] 会把人分成不同的阶层
[00:04:22 - 00:04:24] 不同的消费群体
[00:04:24 - 00:04:25] 不同的需求的人
[00:04:25 - 00:04:26] 它把它分开
[00:04:26 - 00:04:28] 然后会有不同的适应
[00:04:28 - 00:04:30] 它的一样的医疗机构
[00:04:30 - 00:04:32] 来进行对
[00:04:32 - 00:04:33] 新冠的整治
[00:04:33 - 00:04:34] 对
[00:04:34 - 00:04:36] 所以我们大家当时都分析
[00:04:36 - 00:04:39] 这个未来也是我们国家的一个方向
[00:04:39 - 00:04:40] 所以从目前来看
[00:04:40 - 00:04:42] 这条路也是正确的
[00:04:42 - 00:04:44] 所以说我觉得不管是对幻觉来好
[00:04:44 - 00:04:46] 还是说对医生也好
[00:04:46 - 00:04:47] 这个公立院和私立院
[00:04:47 - 00:04:50] 都是一个你选择的一个过程
[00:04:50 - 00:04:52] 有些时候我们总是听别人说
[00:04:52 - 00:04:53] 但是还是听别人说
[00:04:53 - 00:04:56] 有些东西你得自己去体验一下
[00:04:56 - 00:04:59] 它才会真正感受到这种感觉
[00:04:59 - 00:05:00] 然后另外的话就是
[00:05:00 - 00:05:02] 我相信像王院长经常
[00:05:02 - 00:05:03] 您都已经做到院长了
[00:05:03 - 00:05:05] 也可能会有经常您的亲戚
[00:05:05 - 00:05:08] 朋友会问您一些健康的建议
[00:05:08 - 00:05:09] 我们已经录了四期了
[00:05:09 - 00:05:11] 最后加上您给我们
[00:05:11 - 00:05:12] 看我们这个节目的一些
[00:05:12 - 00:05:15] 关注我们一些健康方面的建议
[00:05:15 - 00:05:17] 给他们一些什么样的建议
[00:05:17 - 00:05:17] 对
[00:05:17 - 00:05:20] 这个健康其实现在也是我们国家
[00:05:20 - 00:05:21] 很注重的
[00:05:21 - 00:05:22] 為什麼呢
[00:05:22 - 00:05:24] 現在老齡化社會越來越嚴重
[00:05:24 - 00:05:26] 我們出生人口現在越來越低
[00:05:26 - 00:05:28] 未來更多的人
[00:05:28 - 00:05:30] 其實他的預期生命是更長的
[00:05:30 - 00:05:32] 所以他碰到的健康問題是更多的
[00:05:32 - 00:05:33] 對吧
[00:05:33 - 00:05:34] 但是無論怎樣
[00:05:34 - 00:05:36] 我覺得一個良好的生活習慣
[00:05:36 - 00:05:39] 均衡的營養涉入
[00:05:39 - 00:05:41] 還有適度的鍛鍊
[00:05:41 - 00:05:46] 更加重要的是你的人心態
[00:05:46 - 00:05:47] 對心情要開闊
[00:05:47 - 00:05:50] 一定要保持一種積極向上的
[00:05:50 - 00:05:53] 我要去努力学习一些新的东西
[00:05:53 - 00:05:54] 使自己保持
[00:05:54 - 00:05:56] 不要去觉得我老了
[00:05:56 - 00:05:57] 我真老了
[00:05:57 - 00:05:58] 这样的话
[00:05:58 - 00:06:00] 你可能就真的是身体会帅了
[00:06:00 - 00:06:02] 我觉得这样的来保持
[00:06:02 - 00:06:06] 它还是对健康有益的
[00:06:06 - 00:06:09] 不能说我不爱活动了
[00:06:09 - 00:06:12] 然后我还是大吃大喝
[00:06:12 - 00:06:14] 半夜才睡觉
[00:06:14 - 00:06:15] 一直睡到中午
[00:06:15 - 00:06:17] 怎么喝大酒等等这些
[00:06:17 - 00:06:19] 它一定是对健康没有好处的
[00:06:19 - 00:06:23] 其实健康对方面还是从古至今
[00:06:23 - 00:06:25] 我觉得他还是理念还是一样
[00:06:25 - 00:06:27] 我觉得你像我们在医学这方面
[00:06:27 - 00:06:30] 我们总说一句话叫做一个病
[00:06:30 - 00:06:33] 当你刀腰治的地步的时候
[00:06:33 - 00:06:35] 可能已经有的时候就来不及了
[00:06:35 - 00:06:37] 所以说这个预防为主
[00:06:37 - 00:06:38] 对吧
[00:06:38 - 00:06:38] 对
[00:06:38 - 00:06:39] 治疗为福
[00:06:39 - 00:06:41] 但是这个预防什么叫预防呢
[00:06:41 - 00:06:44] 就是像刚才我们网友能所说的
[00:06:44 - 00:06:45] 一些好的生活习惯
[00:06:45 - 00:06:46] 对
[00:06:46 - 00:06:49] 包括一些你自己的一些观念和理念
[00:06:49 - 00:06:50] 对 它们转变了
[00:06:50 - 00:06:53] 比如说这条我给大家两个建议
[00:06:53 - 00:06:55] 一个就是施放的运动
[00:06:55 - 00:06:58] 就是拿我自己来举例子
[00:06:58 - 00:06:59] 包括很多看我这个节目的朋友
[00:06:59 - 00:07:01] 都能看出来我比之前
[00:07:01 - 00:07:03] 他们印象能量瘦很多
[00:07:03 - 00:07:04] 是吧
[00:07:04 - 00:07:06] 我去年这个时候185
[00:07:06 - 00:07:07] 那是有点偏胖
[00:07:07 - 00:07:09] 对 我现在是160斤左右
[00:07:09 - 00:07:12] 我每一天跑五公里
[00:07:12 - 00:07:15] 最后结果就是我把我的烟也剪了
[00:07:15 - 00:07:17] 我原来是一天两包烟的人
[00:07:17 - 00:07:18] 烟也剪了
[00:07:18 - 00:07:20] 因为我跑步心肺功能需要更好
[00:07:20 - 00:07:23] 后来我就反过来把一眼给接了
[00:07:23 - 00:07:25] 然后我现在每天早睡早起
[00:07:25 - 00:07:26] 我现在到10点要困
[00:07:26 - 00:07:27] 到6点我就会起床
[00:07:27 - 00:07:29] 然后对男朋友就直接去跑步去了
[00:07:29 - 00:07:30] 然后的话就是
[00:07:30 - 00:07:33] 我个人感觉我身体状态是越来越好
[00:07:33 - 00:07:34] 然后的话第二呢就是
[00:07:34 - 00:07:37] 真的很推荐大家看一本书
[00:07:37 - 00:07:38] 就是回头给你送你一套
[00:07:38 - 00:07:39] 谢谢
[00:07:39 - 00:07:41] 就是阿图葛文德的那个
[00:07:41 - 00:07:42] C3不取
[00:07:42 - 00:07:44] 中间有很多关于就是比如说在
[00:07:44 - 00:07:45] 国外当医生的一些理念
[00:07:45 - 00:07:48] 可能国外跟咱们国内的当医生
[00:07:48 - 00:07:49] 还不太一样
[00:07:49 - 00:07:53] 比如说咱们国内的医生很少去所谓的医疗官司
[00:07:53 - 00:07:55] 但是在国外医疗官司是比较严重的
[00:07:55 - 00:08:00] 中间阿图哥问的那本书最让我感受深处的感受比较深的是
[00:08:00 - 00:08:01] 他说第三个叫最好的告别
[00:08:01 - 00:08:04] 就讲的养老的制度
[00:08:04 - 00:08:07] 就像刚才王爷能一所说的咱们老年华有点严重
[00:08:07 - 00:08:11] 包括说原来我们总是想着说怎么把这个人给他
[00:08:11 - 00:08:13] 治活治好
[00:08:13 - 00:08:15] 而现在可能在国外的一些先进的医疗理念
[00:08:15 - 00:08:19] 咱们国内现在的医疗理念也慢慢在改
[00:08:19 - 00:08:20] 就是能够有的印度过好
[00:08:20 - 00:08:21] 对
[00:08:21 - 00:08:24] 不是说要非得给它制成什么样
[00:08:24 - 00:08:27] 而是说到最后的时候人终有一死
[00:08:27 - 00:08:29] 在迷流之际让它少受痛苦
[00:08:29 - 00:08:32] 可能比它治好
[00:08:32 - 00:08:35] 这个是更好的一个医疗愿望
[00:08:35 - 00:08:36] 所以说的话
[00:08:36 - 00:08:38] 就是怎么说呢
[00:08:38 - 00:08:39] 关于人对一生
[00:08:39 - 00:08:41] 它肯定也会生老病死的
[00:08:41 - 00:08:44] 但是希望大家活着的时候质量更高
[00:08:44 - 00:08:45] 是这样
[00:08:45 - 00:08:47] 包括向王院长给大家的建议也好
[00:08:47 - 00:08:48] 希望大家去看书也好
[00:08:48 - 00:08:50] 希望大家去送应也好
[00:08:50 - 00:08:53] 也许希望大家在活着的时候生活得很多
[00:08:53 - 00:08:56] 改变自己对医疗的一些所谓的错误的关键
[00:08:56 - 00:08:59] 我们这次即将有很多很多的东西
[00:08:59 - 00:09:00] 包括从医的你
[00:09:00 - 00:09:02] 包括病人
[00:09:02 - 00:09:03] 讲了很多很多的东西
[00:09:03 - 00:09:05] 希望我们这个节目大家看了一会
[00:09:05 - 00:09:07] 能够给大家有所帮助
[00:09:07 - 00:09:08] 好吧
[00:09:08 - 00:09:10] 我们最后再感谢我们的王院长
[00:09:10 - 00:09:11] 给大家分享的这么多
[00:09:11 - 00:09:13] 咱们本期节目就是这样
[00:09:13 - 00:09:14] 咱们下期节目再见
[00:09:14 - 00:09:14] 谢谢
[00:09:14 - 00:09:17] 而且顧慮月的救援環境
[00:09:17 - 00:09:18] 您可能也去過
[00:09:18 - 00:09:19] 我知道
[00:09:19 - 00:09:20] 您像我在
[00:09:20 - 00:09:21] 今天也不太多的時候
[00:09:21 - 00:09:25] 我們整齊門都關不上
[00:09:25 - 00:09:27] 那裡頭做了好幾個
[00:09:27 - 00:09:28] 外頭排了一大杯
[00:09:28 - 00:09:30] 它就隨意的它就可以進來
[00:09:30 - 00:09:31] 在這站著
[00:09:31 - 00:09:32] 現在就換出去
