BV号：BV1wKkfBkEXq
标题：BV1wKkfBkEXq
链接：https://www.bilibili.com/video/BV1wKkfBkEXq
识别语言：zh
语言置信度：1
分段数：169
生成时间：2026-04-03 03:42:52

[00:00:00 - 00:00:01] 首先给大家科普一个事情
[00:03:53 - 00:03:53] 网络化
[00:03:53 - 00:03:55] 这个叫地理星期科学
[00:03:55 - 00:03:56] 比如说定位
[00:03:56 - 00:03:57] 比如说GIS
[00:03:57 - 00:03:59] 这种就叫地理星期科学
[00:03:59 - 00:03:59] 所以说
[00:03:59 - 00:04:01] 地理星期科学就是你不考研
[00:04:01 - 00:04:02] 就是测汇
[00:04:02 - 00:04:03] 考生研就是计算笔
[00:04:03 - 00:04:04] 地理里边四个专业
[00:04:04 - 00:04:05] 就是这四个专业
[00:04:05 - 00:04:06] 好吧
