BV号：BV14MpJeUEep
标题：BV14MpJeUEep
链接：https://www.bilibili.com/video/BV14MpJeUEep
识别语言：zh
语言置信度：1
分段数：130
生成时间：2026-04-03 08:19:35

[00:00:00 - 00:00:02] 他说那你就等着我看我成绩吧
[00:01:15 - 00:01:16] 你干什么
[00:01:16 - 00:01:17] 你要想去创业
[00:01:17 - 00:01:19] 第一件事是你要干什么项目
[00:01:19 - 00:01:20] 你做什么
[00:01:20 - 00:01:21] 这是第一个叫项目
[00:01:21 - 00:01:23] 第二叫做资金
[00:01:23 - 00:01:24] 就是你创业的这个钱
[00:01:24 - 00:01:26] 它从哪来
[00:01:26 - 00:01:28] 那从创业资金的角度来讲的话
[00:01:28 - 00:01:31] 它要分成叫重资产创业和亲自产创业
[00:01:31 - 00:01:32] 那什么叫重资产创业呢
[00:01:32 - 00:01:35] 比如说像制造业制造业就是重资产创业
[00:01:35 - 00:01:37] 我要去造一辆汽车
[00:01:37 - 00:01:38] 我这个汽车没造出来呢
[00:01:38 - 00:01:39] 我也不知道我的汽车卖到好不好
[00:01:39 - 00:01:42] 我首先得去投入大量的资金
[00:01:42 - 00:01:44] 去买原材料去买设备
[00:01:44 - 00:01:46] 去招聘人去这去那
[00:01:46 - 00:01:48] 所以说的话你这个叫重资产项目
[00:01:48 - 00:01:50] 那像我们创业就是亲自产创业
[00:01:50 - 00:01:52] 我当年从北京
[00:01:52 - 00:01:54] 然后带来两个员工从北京到苏州来
[00:01:54 - 00:01:57] 然后的话我刚刚使用的办公室就是我们研途的办公室
[00:01:57 - 00:01:59] 然后来辟出了一个小角落
[00:01:59 - 00:02:01] 然后自己在那做慢慢做到现在这样
[00:02:01 - 00:02:03] 那我们当年做投入的时候
[00:02:03 - 00:02:04] 其实没投入太多的钱
[00:02:04 - 00:02:07] 因为我们是通过互联网来进行这个讲解也好
[00:02:07 - 00:02:09] 招生也好宣传也好
[00:02:09 - 00:02:09] 所以说的话呢
[00:02:09 - 00:02:10] 就要轻刺产传业
[00:02:10 - 00:02:12] 所以说第一叫项目第二叫的资金
[00:02:12 - 00:02:13] 第三叫什么
[00:02:13 - 00:02:14] 第三叫做资源
[00:02:14 - 00:02:16] 那你能不能在这个行业内找到帮助你的人
[00:02:16 - 00:02:20] 其实这三个当中最重要的是哪个项目资金和资源
[00:02:20 - 00:02:21] 大家觉得最重要的是哪个
[00:02:21 - 00:02:23] 这里边最重要的其实是第一个
[00:02:23 - 00:02:25] 像你干什么
[00:02:25 - 00:02:27] 为什么说第一个是项目最重要
[00:02:27 - 00:02:28] 大家你想一想
[00:02:28 - 00:02:30] 那么多所谓的光二代
[00:02:30 - 00:02:31] 富二代
[00:02:31 - 00:02:33] 人家资金和资源都不缺
[00:02:33 - 00:02:36] 那为什么不是每个光二代富二代
[00:02:36 - 00:02:38] 都成为一个比较优秀的企业家
[00:02:38 - 00:02:40] 就是因为他们不是都该干上
[00:02:40 - 00:02:42] 干什么能挣钱呢
[00:02:42 - 00:02:42] 对吧
[00:02:42 - 00:02:43] 那帮人他有钱
[00:02:43 - 00:02:45] 他有资源
[00:02:45 - 00:02:45] 对吧
[00:02:45 - 00:02:47] 那他们为什么没有成为优秀的企业家
[00:02:47 - 00:02:50] 其实最重要的就是他们不知道该干上
[00:02:50 - 00:02:52] 就是不知道该做什么项目
[00:02:52 - 00:02:54] 我到底是所谓的跟张雪峰一样
[00:02:54 - 00:02:55] 我做生学规划
[00:02:55 - 00:02:57] 我还是说做一个什么样的直播间
[00:02:57 - 00:02:57] 还是怎么怎么样的
[00:02:57 - 00:02:58] 我到底该做什么
[00:02:58 - 00:03:00] 其实这个是最重要的
[00:03:00 - 00:03:02] 你有好像
[00:03:02 - 00:03:04] 钱和资源
[00:03:04 - 00:03:05] 会追着你跑
[00:03:05 - 00:03:06] 但是我们
[00:03:06 - 00:03:08] 我们暑假在研学的时候
[00:03:08 - 00:03:09] 我当着那帮
[00:03:09 - 00:03:10] 学生的面
[00:03:10 - 00:03:12] 来给他们讲这个东西
[00:03:12 - 00:03:13] 所以说的话
[00:03:13 - 00:03:14] 就是那场
[00:03:14 - 00:03:16] 那场我们分享完以后的话
[00:03:16 - 00:03:18] 很多孩子就是对于将来去创业这个事情
[00:03:18 - 00:03:19] 看自己干啥这个东西
[00:03:19 - 00:03:21] 它就有了一个概念
[00:03:21 - 00:03:23] 而不是以为所谓的说
[00:03:23 - 00:03:25] 我将来不管上什么学校
[00:03:25 - 00:03:25] 上什么专业
[00:03:25 - 00:03:27] 我自己先去干点什么
[00:03:27 - 00:03:28] 哪有那么简单
[00:03:28 - 00:03:30] 创业这种事真的九死一生
[00:03:30 - 00:03:32] 所以说你在整个创业共产党中
[00:03:32 - 00:03:33] 你的这种自信
[00:03:33 - 00:03:34] 你的这种运筹维吾
[00:03:34 - 00:03:37] 他真的不是说靠你一个简单的说
[00:03:37 - 00:03:39] 说我沟通能力很强
[00:03:39 - 00:03:40] 然后我外相怎么怎么样的
[00:03:41 - 00:03:43] 真的不是大家想象的那么简单的
