BV号：BV1yE411879E
标题：BV1yE411879E
链接：https://www.bilibili.com/video/BV1yE411879E
识别语言：zh
语言置信度：1
分段数：346
生成时间：2026-04-04 05:51:28

[00:00:02 - 00:00:04] 他们说要找一个设施品的见证人家
[00:02:07 - 00:02:09] 但是我觉得你看比如说我举个例子
[00:02:09 - 00:02:12] 比如说驴盘的包
[00:02:12 - 00:02:14] 它每年出那么多款
[00:02:14 - 00:02:18] 然后的话你每一款都要去了解它的价值吗
[00:02:18 - 00:02:19] 那肯定
[00:02:19 - 00:02:19] 一看这个款
[00:02:19 - 00:02:21] 我们要脑子里的数字就要出来了
[00:02:21 - 00:02:25] 因为我平时就是面对大学生和高中生比较多
[00:02:25 - 00:02:28] 像很多人其实对奢侈品这个东西是很感兴趣的
[00:02:28 - 00:02:29] 然后的话
[00:02:29 - 00:02:33] 就是你做这个好像是不是你自己得有很多奢侈品
[00:02:33 - 00:02:34] 对
[00:02:34 - 00:02:38] 其实作为做奢侈品监禁工作的人
[00:02:38 - 00:02:40] 他自己多少也会有一些设置品
[00:02:40 - 00:02:44] 其实我自己也会买很多的东西
[00:02:44 - 00:02:45] 一些包
[00:02:45 - 00:02:46] 一些衣服
[00:02:46 - 00:02:47] 包括手表
[00:02:47 - 00:02:48] 我都会买
[00:02:48 - 00:02:52] 也是算是设置品用户
[00:02:52 - 00:02:54] 因为我本身就喜欢这个东西
[00:02:55 - 00:02:58] 那你们作为这种设置品建议时
[00:02:58 - 00:02:59] 你们怎么看待这种设置品呢
[00:02:59 - 00:03:00] 就是买的人
[00:03:00 - 00:03:02] 他是这是面对
[00:03:02 - 00:03:03] 还是说是一个
[00:03:03 - 00:03:06] 我觉得这个其实是一件很正常的事情
[00:03:06 - 00:03:09] 我们国家的人民生活水平在慢慢升高
[00:03:09 - 00:03:12] 大家追求美好事物的这种心态
[00:03:12 - 00:03:13] 我就是一件很正常的事情
[00:03:13 - 00:03:14] 对
[00:03:14 - 00:03:16] 我觉得也是我们生活者提高了
[00:03:16 - 00:03:17] 我们该想想想想
[00:03:17 - 00:03:18] 对不对
[00:03:18 - 00:03:21] 很多可能看我们这个节目的一些女大学生
[00:03:21 - 00:03:23] 包括一些年轻的女生
[00:03:23 - 00:03:25] 她如果她想
[00:03:25 - 00:03:26] 比如说她拿了一款包包
[00:03:26 - 00:03:29] 她不知道大概这个东西是真的还是假的
[00:03:29 - 00:03:32] 我找咱们机构来鉴定
[00:03:32 - 00:03:33] 多少钱
[00:03:33 - 00:03:35] 我们这块有两种鉴定方式
[00:03:35 - 00:03:37] 一种是拍照鉴定
[00:03:37 - 00:03:41] 当然也是有一些品牌或一些款式才可以拍照鉴定
[00:03:41 - 00:03:41] 对
[00:03:41 - 00:03:42] 你看这个我觉得
[00:03:42 - 00:03:43] 你说拉链这个
[00:03:43 - 00:03:44] 这个可以拍照鉴定的
[00:03:44 - 00:03:45] 啊
[00:03:45 - 00:03:46] 这个能拍照鉴定
[00:03:46 - 00:03:48] 但是拉链是拍照鉴定不了
[00:03:48 - 00:03:51] 但是它可以拍比如说手柄根部
[00:03:51 - 00:03:53] 以及它在包里的叙雷号
[00:03:53 - 00:03:53] 拍照
[00:03:53 - 00:03:56] 这样是50块钱就可以
[00:03:56 - 00:03:57] 然后呢
[00:03:57 - 00:03:57] 50块钱
[00:03:57 - 00:03:58] 对
[00:03:59 - 00:04:00] 50块钱
[00:04:00 - 00:04:01] 你是觉得贵吗
[00:04:01 - 00:04:02] 好便宜啊
[00:04:02 - 00:04:03] 好便宜是吧
[00:04:03 - 00:04:03] 对
[00:04:03 - 00:04:04] 其实50块钱
[00:04:04 - 00:04:09] 很多的包型通过在线的出审结乱就已经可以判定真假了
[00:04:09 - 00:04:11] 那当然如果我的建议也是
[00:04:11 - 00:04:14] 如果说你这个商品的价格比较贵高的
[00:04:14 - 00:04:15] 高单价的商品的话
[00:04:15 - 00:04:18] 还是建议选择这个食物鉴定
[00:04:18 - 00:04:21] 也可以把这个包发到我们公司来
[00:04:21 - 00:04:24] 然后我们会鉴定之后挂上方伟线
[00:04:24 - 00:04:28] 像你们在做这种就是生日明鉴定的时候
[00:04:28 - 00:04:30] 有没有什么比较好玩的事
[00:04:30 - 00:04:33] 哎呦好玩的事就太多了
[00:04:33 - 00:04:33] 太多了
[00:04:33 - 00:04:35] 所以您得说是哪个方面的
[00:04:35 - 00:04:37] 比如说我举个例子
[00:04:37 - 00:04:41] 这个可能大多数找您去鉴定这个设置品真伪的
[00:04:41 - 00:04:42] 可能是个人
[00:04:42 - 00:04:43] 对吧
[00:04:43 - 00:04:43] 对
[00:04:43 - 00:04:46] 有没有什么就是机构大批量的去
[00:04:46 - 00:04:47] 比如说进货
[00:04:47 - 00:04:48] 他觉得这是假的
[00:04:48 - 00:04:49] 有啊
[00:04:49 - 00:04:49] 啊
[00:04:49 - 00:04:50] 有啊
[00:04:50 - 00:04:52] 那这个进货上也太不掌心了吧
[00:04:52 - 00:04:54] 他一会取到他的
[00:04:54 - 00:04:54] 不
[00:04:54 - 00:04:55] 是这样
[00:04:55 - 00:04:58] 就是因为很多做设置品在国内的
[00:04:58 - 00:05:00] 现在是没有品牌方售权的
[00:05:00 - 00:05:02] 但是在欧洲是有的
[00:05:02 - 00:05:07] 所以在我们国内除了专柜以外的取道出售这个设置品
[00:05:07 - 00:05:11] 他们基本上都是从欧洲的共和商或者是一些买手电的
[00:05:11 - 00:05:14] 所以他们其实自己心里也有股
[00:05:14 - 00:05:17] 我也不清楚我进的这批货是真的还是假的
[00:05:17 - 00:05:20] 所以我们也会收到这种机构或者是这种经销商
[00:05:20 - 00:05:21] 那张老师
[00:05:21 - 00:05:25] 我想那有没有这种就是因为我们原来有个节目叫法律其实很好玩
[00:05:25 - 00:05:28] 经常有那种就是一个盗窃饭
[00:05:28 - 00:05:29] 他可能就是砸了一个车窗
[00:05:29 - 00:05:30] 他偷了一个东西
[00:05:30 - 00:05:32] 然后最后他以为他偷偷东西不值钱
[00:05:32 - 00:05:35] 到时候因为他可能不认识什么设置品
[00:05:35 - 00:05:37] 一鉴定这天设置品
[00:05:37 - 00:05:39] 然后一下子设案金额特别巨大
[00:05:39 - 00:05:40] 给他判了很重的行
[00:05:40 - 00:05:43] 你们有没有会被公安机关请过去帮助破案的
[00:05:43 - 00:05:44] 帮助破案还没有
[00:05:44 - 00:05:50] 但是我这边每周基本上会有两到三次
[00:05:50 - 00:05:53] 会配合公安机关来做这些设案商品的一个鉴定评估
[00:05:53 - 00:05:54] 一周两三次
[00:05:54 - 00:05:55] 至少两三次
[00:05:55 - 00:05:57] 至少两三次
[00:05:57 - 00:05:57] 每天都得有
[00:05:57 - 00:05:58] 对
[00:05:58 - 00:05:58] 我的天啊
[00:05:58 - 00:06:02] 有北京市的还有各个区的
[00:06:02 - 00:06:05] 然后还有全国各地很多的都要做这个
[00:06:05 - 00:06:07] 因为就像您说的
[00:06:07 - 00:06:09] 它偷到不限于说偷车里
[00:06:09 - 00:06:12] 它也会有家里什么的这些
[00:06:12 - 00:06:13] 它可能没偷到钱
[00:06:13 - 00:06:14] 但是它偷的东西了
[00:06:14 - 00:06:15] 那其实是按照有东西
[00:06:15 - 00:06:18] 那其实东西就要有一个价值
[00:06:18 - 00:06:19] 要关系到你量型的
[00:06:19 - 00:06:21] 那这个价值又关系到什么呢
[00:06:21 - 00:06:23] 你这个比如包我们偷完了以后
[00:06:23 - 00:06:25] 这个东西如果是假的
[00:06:25 - 00:06:26] 那在我们这一看
[00:06:26 - 00:06:27] 这东西就值个200块钱
[00:06:27 - 00:06:29] 他其实就没什么事
[00:06:29 - 00:06:30] 但是如果是真的
[00:06:30 - 00:06:33] 这一个东西就是6000
[00:06:33 - 00:06:35] 你要鉴定的时候
[00:06:35 - 00:06:36] 我不是说小偷在我旁边
[00:06:36 - 00:06:37] 小偷说
[00:06:37 - 00:06:38] 肯定不能在
[00:06:38 - 00:06:39] 不能在
[00:06:39 - 00:06:40] 只能是当着警察
[00:06:40 - 00:06:41] 然后警察拿过来
[00:06:41 - 00:06:43] 然后我们一块去可以的
[00:06:43 - 00:06:44] 写最后我还要签字的
[00:06:45 - 00:06:47] 他最后还得在心里念的时候
[00:06:47 - 00:06:47] 小偷说
[00:06:47 - 00:06:48] 偷的可别是真的
[00:06:48 - 00:06:50] 他偷的时候可能喜欢是真的
[00:06:50 - 00:06:52] 后来他后来被抓了
[00:06:52 - 00:06:53] 后来就不喜欢是真的了
[00:06:53 - 00:06:55] 您说的这种情况也存在
[00:06:55 - 00:06:57] 但是其实大部分小偷
[00:06:57 - 00:06:58] 他在偷东西的时候
[00:06:58 - 00:07:00] 他可能并没有关注这个东西
[00:07:00 - 00:07:01] 为什么
[00:07:01 - 00:07:02] 因为在他看来
[00:07:02 - 00:07:04] 这个东西只是一个装钱的道具
[00:07:04 - 00:07:05] 对
[00:07:05 - 00:07:08] 他没想到他比钱还贵
[00:07:08 - 00:07:08] 对
[00:07:08 - 00:07:10] 比如您说到这
[00:07:10 - 00:07:11] 我之前就是
[00:07:11 - 00:07:13] 就碰到过一件特别有意思的事情
[00:07:13 - 00:07:16] 就是当时是清明节扫目
[00:07:16 - 00:07:17] 一辆路虎
[00:07:17 - 00:07:19] 然后这个人正在往山上去走
[00:07:19 - 00:07:21] 然后没走多远
[00:07:21 - 00:07:23] 然后又听见玻璃声
[00:07:23 - 00:07:25] 回头一看自己车被砸了
[00:07:25 - 00:07:29] 然后这小偷就把他后排坐上一个公文包
[00:07:29 - 00:07:30] 拎出来了
[00:07:30 - 00:07:31] 这人就开始追
[00:07:31 - 00:07:34] 小偷一边跑就把公文包拿到手里
[00:07:34 - 00:07:35] 东西都扔了
[00:07:35 - 00:07:37] 一看这公文包就不行了
[00:07:37 - 00:07:37] 里边有什么
[00:07:37 - 00:07:38] 有一手机
[00:07:38 - 00:07:39] 前包
[00:07:39 - 00:07:40] 这俩比较值钱
[00:07:40 - 00:07:41] 大包就扔了
[00:07:41 - 00:07:43] 然后紧接着把手机拿出来了
[00:07:43 - 00:07:45] 一看一手机这些出什么年代了
[00:07:45 - 00:07:46] 对对对
[00:07:46 - 00:07:47] 还用这破手机吗
[00:07:47 - 00:07:49] 还是一个黑白屏的手机
[00:07:49 - 00:07:50] 也扔了
[00:07:50 - 00:07:52] 手里钻了一钱包
[00:07:52 - 00:07:54] 这钱包翻开了以后里边有多少钱呢
[00:07:54 - 00:07:56] 好像是不到500块钱
[00:07:56 - 00:07:58] 把500块钱拿出来
[00:07:58 - 00:07:59] 钱包也扔了
[00:07:59 - 00:08:00] 窗斗里都跑
[00:08:00 - 00:08:02] 不但是没跑过
[00:08:02 - 00:08:03] 这车主
[00:08:03 - 00:08:05] 这车主人身体素质好
[00:08:05 - 00:08:07] 跑了一会儿喘得不行
[00:08:07 - 00:08:08] 给抓着了
[00:08:08 - 00:08:09] 抓着直接报警
[00:08:09 - 00:08:10] 警察给逮走了
[00:08:10 - 00:08:12] 最后这东西到我们这边来了
[00:08:12 - 00:08:15] 这个摄像金额这是怎么算的呢
[00:08:15 - 00:08:19] 是小偷说我就偷了500
[00:08:19 - 00:08:20] 但实际上呢
[00:08:21 - 00:08:23] 扔的这大公文包是一爱马式的
[00:08:24 - 00:08:26] 价值6万
[00:08:26 - 00:08:27] 我的天
[00:08:27 - 00:08:28] 6万块钱
[00:08:28 - 00:08:29] 一个公文包
[00:08:29 - 00:08:30] 爱马仕的
[00:08:30 - 00:08:31] 我的天
[00:08:31 - 00:08:32] 扔的手机是微图的
[00:08:32 - 00:08:35] 当时的坚定结果是12万
[00:08:35 - 00:08:37] 他不认识是吧
[00:08:37 - 00:08:39] 钱包爱马仕的3万多
[00:08:39 - 00:08:40] 也扔了
[00:08:40 - 00:08:43] 他是最后只装了500块钱在兜里跑
[00:08:43 - 00:08:46] 但是他的设案金额是20多万
[00:08:46 - 00:08:47] 我的天
[00:08:47 - 00:08:50] 所以这小兔就直接这只能进去了
[00:08:50 - 00:08:52] 所以这是我觉得我碰到过一个比较有意思的
[00:08:52 - 00:08:54] 这小兔太都没了
[00:08:54 - 00:08:56] 所以你要是当小偷
[00:08:56 - 00:08:58] 你也得提高一下这个
[00:08:58 - 00:09:01] 你说你要当小偷冲着镜头说不要冲着我
[00:09:01 - 00:09:02] 我肯定不能当小偷
[00:09:02 - 00:09:03] 是的
[00:09:03 - 00:09:06] 有没有那种就是特别打脸的
[00:09:06 - 00:09:07] 比如说一对情侣
[00:09:07 - 00:09:09] 比如说一个男的送一个女的包
[00:09:09 - 00:09:10] 这女的直接去找你坚定
[00:09:10 - 00:09:12] 哎呀现场就给她揭穿了
[00:09:12 - 00:09:14] 您说的这个情况
[00:09:14 - 00:09:16] 这个还真不是一个个例
[00:09:16 - 00:09:19] 实际上我们做过一个统计
[00:09:19 - 00:09:22] 就是再来找我们坚定的这个消费者的人权里面
[00:09:22 - 00:09:28] 其实大概有一部分人大概5%的人群是送礼
[00:09:28 - 00:09:30] 是收礼的部分来见定
[00:09:30 - 00:09:33] 我想问的就是说他送很尴尬的
[00:09:33 - 00:09:35] 因为是这样
[00:09:35 - 00:09:38] 他的商品是要发送到我们这边来的
[00:09:38 - 00:09:40] 所以他不是当店长
[00:09:40 - 00:09:42] 但是我在早期做见定工作的时候
[00:09:42 - 00:09:44] 我在早期的时候是要面对的
[00:09:44 - 00:09:46] 这个人的
[00:09:46 - 00:09:51] 那个时候我经常会碰到一对情理过来见定的
[00:09:51 - 00:09:53] 或者是一个女的拿着包过来剪定的
[00:09:53 - 00:09:56] 还有就是一个女的拿了好多包过来剪定
[00:09:56 - 00:09:57] 好多
[00:09:57 - 00:09:59] 所以我们最后发现
[00:09:59 - 00:10:04] 凡是由送礼产生来的剪定
[00:10:04 - 00:10:06] 它的正品率30%都到不了
[00:10:07 - 00:10:08] 小老师我还想问一个问题
[00:10:08 - 00:10:10] 就是如果说一个比较贱重的
[00:10:10 - 00:10:12] 那有网友想去剪定的话
[00:10:12 - 00:10:13] 怎么找到我们
[00:10:14 - 00:10:17] 我们就在可以直接OS或者安卓上面
[00:10:17 - 00:10:19] 搜我们公司的优奢一拍
[00:10:19 - 00:10:21] 如果是网络进行50
[00:10:21 - 00:10:21] 对吧
[00:10:21 - 00:10:22] 实物的话200
[00:10:22 - 00:10:23] 实物200
[00:10:23 - 00:10:24] 对
[00:10:24 - 00:10:26] 我真觉得如果说对于这么一个大几千
[00:10:26 - 00:10:28] 甚至上万的对手来讲
[00:10:29 - 00:10:30] 真不会
[00:10:30 - 00:10:31] 确实不管
[00:10:31 - 00:10:32] 行
[00:10:32 - 00:10:33] 反正今天咱们这期节目
[00:10:33 - 00:10:35] 我就帮助大家建订一下
[00:10:35 - 00:10:37] 张老师的见别能力
[00:10:37 - 00:10:39] 确确实实很厉害
[00:10:39 - 00:10:40] 如果大家有这种
[00:10:40 - 00:10:41] 见定奢侈品的需求的话
[00:10:41 - 00:10:43] 一定要扫二维码
[00:10:43 - 00:10:45] 然后给我们张老师好好看一看
[00:10:45 - 00:10:47] 不要被渣男骗了哦
[00:10:47 - 00:10:47] 好了
[00:10:47 - 00:10:49] 那我们本期节目就是这样
[00:10:49 - 00:10:50] 咱们下期节目再见
