BV号：BV1jK4y1S7jP
标题：BV1jK4y1S7jP
链接：https://www.bilibili.com/video/BV1jK4y1S7jP
识别语言：zh
语言置信度：1
分段数：185
生成时间：2026-04-04 00:40:25

[00:00:00 - 00:00:03] 大家都知道我最近在做高考志愿填爆的事情
[00:02:47 - 00:02:47] 对吧
[00:02:47 - 00:02:48] 叫哈宫大深圳
[00:02:48 - 00:02:49] 哈宫大危害
[00:02:49 - 00:02:50] 还有哈宫大本部
[00:02:50 - 00:02:51] 那哈宫大深圳的就在深圳吧
[00:02:51 - 00:02:53] 对吧 然后哈欧大 威海就在威海
[00:02:53 - 00:02:54] 哈欧大本部就在哈尔滨
[00:02:54 - 00:02:56] 老师 那这个有什么差别
[00:02:56 - 00:02:58] 那么实际上大家你要知道
[00:02:58 - 00:03:02] 一般地同学有这种分校的一个城市
[00:03:02 - 00:03:03] 大多数都是什么呢
[00:03:03 - 00:03:05] 就是那种经济发展比较好的城市
[00:03:05 - 00:03:07] 比如说咱们给大家举个例子
[00:03:07 - 00:03:08] 像深圳啊
[00:03:08 - 00:03:10] 像我现在所在地就是苏州
[00:03:10 - 00:03:10] 苏州也有这样
[00:03:10 - 00:03:12] 像人大的苏州校区
[00:03:12 - 00:03:14] 那么今年可能会在各个省
[00:03:14 - 00:03:16] 招生的像南京大学苏州校区
[00:03:16 - 00:03:17] 那么将来还有可能
[00:03:17 - 00:03:18] 像东南大学苏州校区
[00:03:18 - 00:03:19] 那么像深圳呢
[00:03:19 - 00:03:21] 苏州沃这样的城市
[00:03:22 - 00:03:23] 它是什么样的城市呢
[00:03:23 - 00:03:25] 发展很快
[00:03:25 - 00:03:27] 但是城市的发展离不开什么呢
[00:03:27 - 00:03:28] 离不开人才
[00:03:29 - 00:03:30] 这里边最典型的就是深圳了
[00:03:31 - 00:03:32] 深圳发展特别的快
[00:03:32 - 00:03:34] 但深圳本地的高校
[00:03:34 - 00:03:36] 人才供给
[00:03:36 - 00:03:39] 他达不到这个城市发展虚拙的人才的速度
[00:03:39 - 00:03:40] 他排行不过来
[00:03:41 - 00:03:42] 像深圳大学
[00:03:42 - 00:03:44] 深圳大学这个小学是个非常好的学校
[00:03:44 - 00:03:47] 大家如果有兴趣的话你可以看一下深圳大学的历史
[00:03:48 - 00:03:49] 当年深圳大学是怎么成立的
[00:03:49 - 00:03:52] 他是深圳特區我要成一個大學
[00:03:52 - 00:03:54] 然後全國各個知名高秀
[00:03:54 - 00:03:56] 你支援兩個系 我支援兩個系
[00:03:56 - 00:03:58] 然後的話組建了深圳大學
[00:03:58 - 00:04:00] 那麼後來深圳發展的太快
[00:04:00 - 00:04:03] 這一個大學的人才根本就不夠用
[00:04:03 - 00:04:04] 那怎麼辦
[00:04:04 - 00:04:05] 深圳想著另外一個辦法
[00:04:05 - 00:04:08] 就是把各個大學的研究生院
[00:04:08 - 00:04:09] 先搬到深圳
[00:04:09 - 00:04:11] 你比如像哈公大研究生院
[00:04:11 - 00:04:12] 北大研究生院
[00:04:12 - 00:04:14] 清華研究生院的都搬到了深圳
[00:04:14 - 00:04:16] 哈公大深圳研究生院
[00:04:16 - 00:04:20] 率先开始了本科阶段的招生
[00:04:20 - 00:04:22] 结果哈公大深圳
[00:04:22 - 00:04:22] 就这么一个学校
[00:04:22 - 00:04:26] 一下子就成为了广东省地区的高校
[00:04:26 - 00:04:29] 在全国各个省份招生的时候
[00:04:29 - 00:04:33] 录取分数和录取位次最高的都是哈公大深圳
[00:04:33 - 00:04:34] 然后的话呢
[00:04:34 - 00:04:36] 还有哈公大还有哈公大危害
[00:04:36 - 00:04:39] 实际上这三个学校的都是哈公大
[00:04:39 - 00:04:40] 但是我想跟大家说
[00:04:40 - 00:04:42] 这三个学校其实就业都不差
[00:04:42 - 00:04:44] 就是包括像哈公大危害
[00:04:44 - 00:04:45] 这个相关的老师
[00:04:45 - 00:04:46] 我也认识
[00:04:46 - 00:04:48] 我们也曾经电话沟通过
[00:04:48 - 00:04:49] 还跟我说说张老师
[00:04:49 - 00:04:50] 以后你们在录节目的时候
[00:04:50 - 00:04:51] 录视频的时候
[00:04:51 - 00:04:52] 能不能说说我们学校
[00:04:52 - 00:04:54] 我们是就业也很好的
[00:04:54 - 00:04:56] 我们保密率也很高的
[00:04:56 - 00:04:58] 能不能说说我们学校
[00:04:58 - 00:05:00] 我们学校不比本部也不比深圳差
[00:05:00 - 00:05:02] 那我在此我应这个老师的要求
[00:05:02 - 00:05:03] 我跟大家说一下
[00:05:03 - 00:05:05] 如果说你的成绩足够好的话
[00:05:05 - 00:05:08] 把哈公大危害就业也一样
[00:05:08 - 00:05:10] 因为它也是属于985序列
[00:05:10 - 00:05:10] 能明白吧
[00:05:10 - 00:05:11] 也是属于985序列
[00:05:11 - 00:05:13] 所以说整个的老师的水平
[00:05:13 - 00:05:14] 老师的师资
[00:05:14 - 00:05:17] 包括说这个社会对于这个学校的任何程度
[00:05:17 - 00:05:18] 包括说大家可能比较关心的
[00:05:18 - 00:05:20] 像保盐律呀
[00:05:20 - 00:05:21] 考研律呀
[00:05:21 - 00:05:24] 那么像这种学校其实都还是非常可以的
[00:05:24 - 00:05:25] 所以说你要注意
[00:05:25 - 00:05:27] 分校和校区
[00:05:27 - 00:05:28] 它这是一类
[00:05:28 - 00:05:29] 但是的话
[00:05:29 - 00:05:30] 如果是什么什么大学
[00:05:30 - 00:05:31] 什么什么学院
[00:05:31 - 00:05:32] 这是另外一个事
[00:05:32 - 00:05:34] 这个大家一定要去关注和注意一下
