BV号：BV12Y411A7Ca
标题：BV12Y411A7Ca
链接：https://www.bilibili.com/video/BV12Y411A7Ca
识别语言：zh
语言置信度：1
分段数：109
生成时间：2026-04-03 19:44:51

[00:00:00 - 00:00:02] 你既然问到了 我给你来说一下我的观点
[00:00:02 - 00:00:05] 地域这一方面的话 看你是学什么专业的
[00:00:05 - 00:00:08] 如果说你要是学文科 地域绝对是最重要
[00:00:08 - 00:00:10] 但如果说你要学理工科的话 不一定
[00:00:10 - 00:00:11] 理工科专业更重要
[00:02:29 - 00:02:30] 照片的时候
[00:02:30 - 00:02:31] 什么转业要求是最多的
[00:02:31 - 00:02:32] 法学
[00:02:32 - 00:02:33] 这是实实
[00:02:33 - 00:02:34] 法学的话
[00:02:34 - 00:02:36] 每一年江苏省公务员
[00:02:36 - 00:02:37] 苏州市公务员
[00:02:37 - 00:02:39] 法就是港位要求
[00:02:39 - 00:02:40] 必须是本科法学的转业
[00:02:40 - 00:02:41] 呃
[00:02:41 - 00:02:43] 本必须要求本科是法学的港位
[00:02:43 - 00:02:44] 占了25%
[00:02:44 - 00:02:46] 我今天下午我特意看了一下
[00:02:46 - 00:02:46] 这个数据
[00:02:46 - 00:02:47] 25%到28%
[00:02:47 - 00:02:48] 不同地势不一样
[00:02:48 - 00:02:50] 但都是高于20%的
[00:02:50 - 00:02:51] 所以说的话就是
[00:02:51 - 00:02:53] 你看这个文科也有选专业的
[00:02:53 - 00:02:54] 因为分你将来想干嘛
[00:02:54 - 00:02:57] 所以说大家你最后报支院的时候一定是什么
[00:02:57 - 00:03:00] 一定是要根据结果倒推过程
[00:03:00 - 00:03:01] 而不是说我拍脑的定
[00:03:01 - 00:03:02] 说我先选一个
[00:03:02 - 00:03:04] 妈孩子自己将来爱咋咋吧
[00:03:04 - 00:03:05] 你真的要把孩子爱咋咋的话
[00:03:05 - 00:03:07] 他可真的就爱咋咋了
[00:03:07 - 00:03:07] 好吧
