BV号：BV16V411m7j4
标题：BV16V411m7j4
链接：https://www.bilibili.com/video/BV16V411m7j4
识别语言：zh
语言置信度：1
分段数：185
生成时间：2026-04-04 01:28:35

[00:00:00 - 00:00:01] 大家好
[00:03:39 - 00:03:40] 第一大家可以看到
[00:03:40 - 00:03:41] 它这个鞋底是相对比较厚的
[00:03:41 - 00:03:43] 当然我这双鞋也是旧鞋
[00:03:43 - 00:03:45] 没有怎么刷过
[00:03:45 - 00:03:46] 就是我们说了嘛
[00:03:46 - 00:03:48] 跑马的话不要穿新鞋
[00:03:48 - 00:03:48] 对不对
[00:03:48 - 00:03:50] 然后的话结果平时训练的
[00:03:50 - 00:03:51] 就是比赛的时候
[00:03:51 - 00:03:52] 基本上都穿这双鞋
[00:03:52 - 00:03:54] 所以说这个底看起来有点
[00:03:54 - 00:03:55] 有点小脏
[00:03:55 - 00:03:56] 但是这个鞋底你快发现
[00:03:56 - 00:03:57] 它非常的厚
[00:03:57 - 00:03:59] 它的摊板非常的厚
[00:03:59 - 00:04:00] 另外这双鞋
[00:04:00 - 00:04:01] 它最牛的是什么呢
[00:04:01 - 00:04:03] 就是它前脚掌的这个设计
[00:04:04 - 00:04:05] 它这个前脚掌的设计就是
[00:04:05 - 00:04:07] 让你往前跑步的时候
[00:04:07 - 00:04:08] 它有一个向前的推力
[00:04:08 - 00:04:10] 它这种助推感
[00:04:10 - 00:04:11] 是非常非常强的
[00:04:11 - 00:04:12] 当然我也一直在犹豫
[00:04:12 - 00:04:13] 就是到底要不要穿这双鞋
[00:04:13 - 00:04:15] 去跑这次的马拉松比赛
[00:04:15 - 00:04:16] 因为这双鞋
[00:04:16 - 00:04:18] 就是很多朋友在网上
[00:04:18 - 00:04:20] 穿它比赛以后的
[00:04:20 - 00:04:21] 就跟我说要么
[00:04:21 - 00:04:22] 这双鞋就是容易创造
[00:04:22 - 00:04:24] 你的半马的匹笔
[00:04:24 - 00:04:25] 就是最好成绩
[00:04:25 - 00:04:25] 要么呢
[00:04:25 - 00:04:27] 他很容易提前偷出你的体力
[00:04:27 - 00:04:28] 让你跑崩
[00:04:28 - 00:04:29] 我也一直在想
[00:04:29 - 00:04:32] 我说我到底是穿那种训练跑鞋跑的
[00:04:32 - 00:04:34] 还是穿这种竞速跑鞋跑呢
[00:04:34 - 00:04:35] 到处再看
[00:04:35 - 00:04:36] 如果状态好的话
[00:04:36 - 00:04:36] 就穿它
[00:04:36 - 00:04:37] 再次呢
[00:04:37 - 00:04:39] 我想对那些想来运动的朋友来说一下
[00:04:39 - 00:04:42] 就是我参加这一次的全马
[00:04:42 - 00:04:44] 是在我跑步坚持了600多天以后
[00:04:44 - 00:04:48] 才敢报名参加一次全程马拉松比赛
[00:04:48 - 00:04:50] 大家要知道运动这个事情一定是怎么样
[00:04:50 - 00:04:52] 循序渐进的
[00:04:52 - 00:04:54] 而不是会一下子就要到位的
[00:04:54 - 00:04:56] 所以说如果大家希望能够像我一样
[00:04:56 - 00:04:57] 参加全马比赛的话
[00:04:57 - 00:04:58] 一定要好好训练哦
