BV号：BV1CrkeBrEuZ
标题：BV1CrkeBrEuZ
链接：https://www.bilibili.com/video/BV1CrkeBrEuZ
识别语言：zh
语言置信度：1
分段数：145
生成时间：2026-04-03 00:37:23

[00:00:00 - 00:00:02] 这就是汇报支援和不会报价的家长
[00:01:43 - 00:01:44] 看的例子
[00:01:44 - 00:01:45] 来 各位朋友
[00:01:45 - 00:01:46] 计算机
[00:01:46 - 00:01:47] 来 各位朋友
[00:01:47 - 00:01:47] 计算机科学技术
[00:01:47 - 00:01:48] 很多家长说
[00:01:48 - 00:01:50] 众老师我们家还得学计算机科学技术
[00:01:50 - 00:01:51] 学计算机科学技术
[00:01:51 - 00:01:53] 计算机科学技术这个专业
[00:01:53 - 00:01:54] 是我们传统的专业
[00:01:54 - 00:01:56] 但是有其他专业
[00:01:56 - 00:01:58] 他也是计算机科学技术来
[00:01:58 - 00:01:59] 比如说什么
[00:01:59 - 00:02:00] 来各位家长给你看
[00:02:00 - 00:02:02] 智能科学技术看到了吗
[00:02:02 - 00:02:03] 智能科学技术
[00:02:03 - 00:02:05] 他也是计算机科学技术
[00:02:05 - 00:02:07] 他是属于计算机类
[00:02:07 - 00:02:09] 大家你去看全国所有的学校
[00:02:09 - 00:02:11] 智能科学技术
[00:02:11 - 00:02:13] 他其实都在计算机学院
[00:02:13 - 00:02:14] 也许计算机
[00:02:14 - 00:02:16] 有些家长就特别的好玩
[00:02:16 - 00:02:19] 来山东遼宁河北的家长请注意
[00:02:19 - 00:02:21] 山东遼宁河北的家长请注意
[00:02:21 - 00:02:24] 因为你们当地是专业家院校
[00:02:24 - 00:02:26] 因为你们当地是专业家院校
[00:02:26 - 00:02:30] 有很多家长就会出现一个什么样的第一级错误呢
[00:02:30 - 00:02:32] 他上面第一个专业报的是
[00:02:32 - 00:02:34] 某学校的计算机科学技术
[00:02:34 - 00:02:36] 第二个志愿报的是
[00:02:36 - 00:02:37] 某学校的软件工程
[00:02:37 - 00:02:39] 第三个志愿他很有可能会转而报
[00:02:39 - 00:02:41] 这个学校的机械
[00:02:41 - 00:02:43] 机械工程机资本化
[00:02:43 - 00:02:44] 机械电子工程车轮工程
[00:02:44 - 00:02:46] 然后下面又爆毁了
[00:02:46 - 00:02:49] 这个学校的智能科学技术
[00:02:49 - 00:02:50] 我不知道你们能不能理解
[00:02:50 - 00:02:53] 就是在计算机内在山东遼宁河北
[00:02:53 - 00:02:54] 这些省份
[00:02:54 - 00:02:54] 报职院的时候
[00:02:54 - 00:02:56] 久的家长经常会出现什么情况
[00:02:57 - 00:02:58] 计算机科学技术
[00:02:58 - 00:02:59] 软件工程
[00:02:59 - 00:03:00] 网络空间安全
[00:03:00 - 00:03:00] 信息安全
[00:03:01 - 00:03:03] 然后机械机械机械自动化
[00:03:03 - 00:03:05] 然后又出现一个智能科学技术
[00:03:05 - 00:03:05] 为什么
[00:03:05 - 00:03:07] 因为他在报职院的时候
[00:03:07 - 00:03:10] 我是按照入取分数和入取位置报
[00:03:10 - 00:03:12] 他不是按照一级学科报的
[00:03:12 - 00:03:14] 他如果按照一级学科报
[00:03:14 - 00:03:15] 我不知道大家能不能理解
[00:03:15 - 00:03:17] 你的第一支院是要报
[00:03:17 - 00:03:18] 这个学校的计算机
[00:03:18 - 00:03:21] 那你下面接的应该都是计算机的转业
[00:03:21 - 00:03:24] 你怎么说老师我第一支院报这个时候的计算机
[00:03:24 - 00:03:25] 第二支院报这个时候的机械
[00:03:25 - 00:03:27] 第三支院又报这个时候的计算机
[00:03:27 - 00:03:29] 我不知道大家能不能理解我所说的
[00:03:29 - 00:03:31] 它逻辑是混乱的
[00:03:31 - 00:03:33] 如果说你会用中国本科专业目录的话
[00:03:33 - 00:03:35] 你第一支院是计算机
[00:03:35 - 00:03:36] 第二支院是计算机
[00:03:36 - 00:03:38] 第三支院也应该是计算机
[00:03:38 - 00:03:40] 你怎么能第一支院是计算机
[00:03:40 - 00:03:40] 第二支院是机械
[00:03:40 - 00:03:42] 第三支院是计算机呢
[00:03:42 - 00:03:44] 你这个逻辑是非常混乱的
[00:03:44 - 00:03:45] 你这么报是有问题的
[00:03:45 - 00:03:49] 你这么报是因为你不了解智能科学技术
[00:03:49 - 00:03:51] 它其实也是属于计算机
[00:03:51 - 00:03:54] 因为你只看到了去年的录取卫次
[00:03:54 - 00:03:55] 你这是不亏分逻辑
[00:03:55 - 00:03:58] 但其实你第一志愿报七卢公园大学计算计
[00:03:58 - 00:03:59] 如果说老师
[00:03:59 - 00:04:01] 我想去七卢公园大学计算计
[00:04:01 - 00:04:03] 那你第二志愿应该报七卢公园大学的
[00:04:03 - 00:04:03] 智能科学技术
[00:04:03 - 00:04:05] 而不是七卢公园大学的机械
[00:04:05 - 00:04:06] 听懂了吗
