BV号：BV1zw4m1e79y
标题：BV1zw4m1e79y
链接：https://www.bilibili.com/video/BV1zw4m1e79y
识别语言：zh
语言置信度：1
分段数：109
生成时间：2026-04-03 09:45:18

[00:00:00 - 00:00:02] 今天要给大家介绍的高校有很多光环
[00:02:23 - 00:02:27] 今年来整体深造率约为74.36%
[00:02:27 - 00:02:29] 这个比例可以说是很吓人了
[00:02:29 - 00:02:31] 基本上可以稳居国内前三
[00:02:31 - 00:02:33] 本科生的保润率也达到了50%
[00:02:33 - 00:02:35] 在全国是位居前列
[00:02:35 - 00:02:37] 说完生学咱们再说就业
[00:02:37 - 00:02:38] 众所周知
[00:02:38 - 00:02:40] 功课院校的就业我一直是比较看好的
[00:02:40 - 00:02:44] 北航的就业拿数据说话也是一直很强势
[00:02:44 - 00:02:46] 每年有将近三分之一的毕业生
[00:02:46 - 00:02:48] 在航空航天领域单位就业
[00:02:48 - 00:02:52] 近三分之一的毕业生在IT信息领域单位就业
[00:02:52 - 00:02:55] 近三分之一的畢業生選擇公務員選交生
[00:02:55 - 00:02:57] 事業單位科研設計單位就業
[00:02:57 - 00:02:59] 大批各行各業領域的人才
[00:02:59 - 00:03:01] 例如像神舟飛船
[00:03:01 - 00:03:02] 首任總設計師
[00:03:02 - 00:03:04] 七發任院士
[00:03:04 - 00:03:06] 兼十五和兼三十一的總師
[00:03:06 - 00:03:07] 孫聰院士
[00:03:07 - 00:03:09] 長城五號運載火箭總設計師
[00:03:09 - 00:03:10] 李東院士
[00:03:10 - 00:03:12] 天宮一號總設計師
[00:03:12 - 00:03:13] 楊洪院士
[00:03:13 - 00:03:15] 長城七號甲運載火箭
[00:03:15 - 00:03:16] 總設計師
[00:03:16 - 00:03:17] 范瑞祥院士等
[00:03:17 - 00:03:19] 包含了航空發動機領域
[00:03:19 - 00:03:21] 80%的院士
[00:03:21 - 00:03:25] 長征1至7號系列火箭所有型號總師
[00:03:25 - 00:03:28] 很多航空領域型號的總師總指揮
[00:03:28 - 00:03:30] 以及去年上太空的高校首位
[00:03:30 - 00:03:34] 宰河增加貴海潮等都來自於這所高校
[00:03:34 - 00:03:36] 總而言之我非常建議
[00:03:36 - 00:03:38] 高考分數在北航這個分數段的同學
[00:03:38 - 00:03:40] 一定要好好考慮一下這所高校
[00:03:40 - 00:03:44] 我認為它是一所既高精尖又前景好的學校
[00:03:44 - 00:03:46] 推薦指數是科興
