BV号：BV1uf4y1R7pV
标题：BV1uf4y1R7pV
链接：https://www.bilibili.com/video/BV1uf4y1R7pV
识别语言：zh
语言置信度：1
分段数：133
生成时间：2026-04-04 01:52:13

[00:00:00 - 00:00:03] 这是一个教你怎么在高考职院填冒当中
[00:02:40 - 00:02:42] 我们一家人得注意他注意烟房
[00:02:42 - 00:02:43] 然后我们家有个阿姨
[00:02:43 - 00:02:45] 阿姨都有自己一个保姆房
[00:02:45 - 00:02:47] 孩子将来都有一个房子
[00:02:47 - 00:02:48] 我将来要再生个孩子的话
[00:02:48 - 00:02:48] 有老二的话
[00:02:48 - 00:02:50] 老二可能还有一个房子
[00:02:50 - 00:02:50] 对吧
[00:02:50 - 00:02:52] 我自己还想有个书房呢
[00:02:52 - 00:02:54] 我还想有个健身房呢
[00:02:54 - 00:02:55] 对吧
[00:02:55 - 00:02:58] 你會發現人的女王叫的無窮無盡
[00:02:58 - 00:02:59] 真是這樣的
[00:02:59 - 00:02:59] 你知道吧
[00:02:59 - 00:03:01] 所以說對於房地產行業
[00:03:01 - 00:03:02] 而且房地產行業
[00:03:02 - 00:03:04] 它一旦是有了發展的話
[00:03:04 - 00:03:05] 它會帶動很多
[00:03:05 - 00:03:06] 你看
[00:03:06 - 00:03:07] 首先我買地設計到什麼
[00:03:07 - 00:03:08] 設計了金融
[00:03:08 - 00:03:10] 所以說房地產發達了
[00:03:10 - 00:03:11] 金融業它一定發達
[00:03:11 - 00:03:12] 金融業不但設計到了
[00:03:12 - 00:03:14] 我給房企做貸款
[00:03:14 - 00:03:16] 讓它去買地
[00:03:16 - 00:03:17] 讓它去施工
[00:03:17 - 00:03:18] 還設計到什麼
[00:03:18 - 00:03:19] 給個人的貸款
[00:03:19 - 00:03:20] 因為我們現在買房子
[00:03:20 - 00:03:22] 你說一下子偷幾百萬幾千萬
[00:03:22 - 00:03:24] 不可能對吧
[00:03:24 - 00:03:26] 分期一个月黄河八九千
[00:03:26 - 00:03:27] 这还是可以的
[00:03:27 - 00:03:27] 对不对
[00:03:27 - 00:03:30] 然后的话金融他一定会带动材料
[00:03:31 - 00:03:32] 对吧
[00:03:32 - 00:03:34] 水泥钢铁各方面
[00:03:34 - 00:03:35] 所有的行业带动
