BV号：BV1oE411W7rj
标题：BV1oE411W7rj
链接：https://www.bilibili.com/video/BV1oE411W7rj
识别语言：zh
语言置信度：1
分段数：214
生成时间：2026-04-04 02:22:26

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 时间已经来到了2020年的3月份
[00:04:23 - 00:04:24] 所以说
[00:04:25 - 00:04:25] 各位要保重
[00:04:26 - 00:04:28] 张老师在这里想问问大家
[00:04:28 - 00:04:31] 网课最重要的是什么
[00:04:31 - 00:04:32] 不是说我在这边
[00:04:32 - 00:04:34] 巴急的讲在这唱独角戏
[00:04:34 - 00:04:35] 你在那头坑身坑身
[00:04:35 - 00:04:36] 在打流戏
[00:04:36 - 00:04:36] 怎么着
[00:04:36 - 00:04:37] 你要上天
[00:04:37 - 00:04:39] 而是说网课的体验
[00:04:39 - 00:04:40] 又和真实课堂是一致的
[00:04:41 - 00:04:43] 学生一边能看到老师的交暗
[00:04:43 - 00:04:44] 一边能看到老师这个人
[00:04:44 - 00:04:45] 最好是双评
[00:04:45 - 00:04:47] 老师也能看到学生
[00:04:47 - 00:04:49] 连麦点学生出来回答问题
[00:04:49 - 00:04:51] 也能够一见静音
[00:04:51 - 00:04:52] 这操作想想都舒服
[00:04:52 - 00:04:53] 能让你们上天
[00:04:53 - 00:04:55] 而对于咱们家长而言
[00:04:55 - 00:04:56] 好的网客除了说
[00:04:56 - 00:04:58] 这个体验和真实是一致的
[00:04:58 - 00:04:59] 还需要什么呢
[00:04:59 - 00:05:01] 不是说你下来边有钱
[00:05:01 - 00:05:02] 你多买个手机
[00:05:02 - 00:05:04] 安装无速的网客直播软件
[00:05:04 - 00:05:07] 也不是说精力必须旺盛到各种软件
[00:05:07 - 00:05:08] 你都得精通操作
[00:05:08 - 00:05:09] 里边企业换
[00:05:09 - 00:05:10] 签到接收通知
[00:05:10 - 00:05:12] 还得监督要上天的孩子
[00:05:12 - 00:05:13] 说起来
[00:05:13 - 00:05:14] 我也是家长
[00:05:14 - 00:05:17] 这个时候我想的就是简单上事
[00:05:17 - 00:05:18] 咱们都有微信
[00:05:18 - 00:05:21] 如果说微信能把这一切解就完了
[00:05:21 - 00:05:22] 这不就好了吗
[00:05:22 - 00:05:23] 也有的朋友就问了
[00:05:23 - 00:05:25] 在天底下有张老师这么牛的老师
[00:05:25 - 00:05:28] 难道还有这么牛的直播看韩转件
[00:05:28 - 00:05:29] 还真有
[00:05:29 - 00:05:31] 我在这非常负责的告诉你
[00:05:31 - 00:05:33] 咱们这不要998
[00:05:33 - 00:05:34] 也不要直播全天统
[00:05:34 - 00:05:37] 下载一个企业微信就够了
[00:05:37 - 00:05:38] 这个软件用起来
[00:05:38 - 00:05:40] 真的和我们平时上课是一样的
[00:05:40 - 00:05:42] 学生有问题咱就举手
[00:05:42 - 00:05:44] 老师有问题你就点名
[00:05:44 - 00:05:46] 以后就算都上网课都没有问题
[00:05:46 - 00:05:49] 對於老師來說還有更方便的事
[00:05:49 - 00:05:51] 留作業發通知家長交流
[00:05:51 - 00:05:53] 咱們直接都可以在微信圈內邊來溝通
[00:05:53 - 00:05:55] 這太節省平時的經歷了
[00:05:55 - 00:05:57] 最關鍵都是免費一大
[00:05:57 - 00:06:01] 你看人家馬化騰不難關心你們的社交
[00:06:01 - 00:06:03] 還很關心你們的學習
[00:06:03 - 00:06:05] 這不是企業微信還有個小彩蛋
[00:06:05 - 00:06:07] 就是如果老師在聯邁的時候
[00:06:07 - 00:06:09] 學生是可以拒絕的
[00:06:09 - 00:06:12] 但是我以郭連人的身份告訴你
[00:06:12 - 00:06:13] 你最後別那麼幹
[00:06:13 - 00:06:15] 其實網課這個形式
[00:06:15 - 00:06:18] 说到底是上天对于那些自治力比较强的人的溃增
[00:06:18 - 00:06:21] 但是对于自治力比较差的人来说
[00:06:21 - 00:06:22] 得需要通过小小的手段
[00:06:22 - 00:06:25] 借助能够提高自治力的工具来辅助
[00:06:25 - 00:06:28] 比如说刚才我们所说的企业威胁
[00:06:28 - 00:06:30] 无论是家长还是学生
[00:06:30 - 00:06:33] 学生精英高考最关键的就是心态调等能力
[00:06:33 - 00:06:36] 也就是说学会不受特殊情况影响
[00:06:36 - 00:06:39] 依然按照计划来进行的能力
[00:06:39 - 00:06:41] 老师心态好 教学效率高
[00:06:41 - 00:06:43] 家长心态好 监督效率高
[00:06:43 - 00:06:45] 學生現在好學習效率高
[00:06:46 - 00:06:47] 利用好的工具來提高效率
[00:06:47 - 00:06:49] 找到心態的疲憾點
[00:06:49 - 00:06:52] 讓網課學習和學校學習逐漸和耳為一
[00:06:52 - 00:06:54] 和樂而不為呢
