BV号：BV1Mx411D7s4
标题：BV1Mx411D7s4
链接：https://www.bilibili.com/video/BV1Mx411D7s4
识别语言：zh
语言置信度：1
分段数：115
生成时间：2026-04-04 13:10:37

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:06 - 00:00:10] 是
[00:01:36 - 00:01:37] 你怎么可能会写跑题呢
[00:01:37 - 00:01:38] 对不对
[00:01:38 - 00:01:38] 确实是吧
[00:01:38 - 00:01:39] 这个很难的
[00:01:39 - 00:01:41] 你比如说有一年做问题
[00:01:41 - 00:01:42] 考的什么东西
[00:01:42 - 00:01:44] 考的那个一瓶水倒掉了
[00:01:44 - 00:01:45] 东东东没了半瓶
[00:01:45 - 00:01:46] 然后过了一个人说
[00:01:46 - 00:01:47] 哎
[00:01:47 - 00:01:47] 这个水
[00:01:47 - 00:01:47] 哎呀
[00:01:47 - 00:01:48] 就剩半瓶了
[00:01:48 - 00:01:49] 另外一个人过来说
[00:01:49 - 00:01:49] 哎呀
[00:01:49 - 00:01:50] 还剩半瓶了
[00:01:50 - 00:01:51] 让你写什么
[00:01:51 - 00:01:52] 有的人背观有的人乐观
[00:01:52 - 00:01:52] 对吧
[00:01:52 - 00:01:53] 哎
[00:01:53 - 00:01:54] 这个东西你很简单嘛
[00:01:54 - 00:01:54] 对吧
[00:01:54 - 00:01:55] 你基本上写不出来啥吧
[00:01:55 - 00:01:57] 老师现在倒的那是恒大冰拳吗
[00:01:58 - 00:01:59] 你怎么有病吧你
[00:01:59 - 00:02:00] 对不对
[00:02:00 - 00:02:02] 基本上很难写跑题的你知道吧
[00:02:02 - 00:02:03] 在这前两年过来说你考得更简单
[00:02:03 - 00:02:04] 什么
[00:02:04 - 00:02:05] 两个残疾人
[00:02:05 - 00:02:06] 看过那个做问题嘛
[00:02:06 - 00:02:06] 两个残疾人
[00:02:06 - 00:02:07] 一个没有左腿
[00:02:07 - 00:02:08] 一个没有右腿
[00:02:08 - 00:02:10] 把拐杖一招抱着一千千跑
[00:02:10 - 00:02:11] 叫你一条腿我一条腿
[00:02:11 - 00:02:13] 腿你一条腿我一条腿
[00:02:13 - 00:02:15] 你以我核心走南狂北
[00:02:15 - 00:02:15] 啊
[00:02:15 - 00:02:16] 这个大家能写
[00:02:16 - 00:02:18] 这个知道写什么吗
[00:02:18 - 00:02:19] 团结合作对吧
[00:02:19 - 00:02:20] 能写出别的问题吗
[00:02:20 - 00:02:21] 你真写不出来对吧
[00:02:21 - 00:02:23] 但是咱们中国的大学生人太多
[00:02:23 - 00:02:25] 脑洞大开的人太多了知道吧
[00:02:25 - 00:02:27] 像那年还真有人大白眼给我打电话
[00:02:27 - 00:02:28] 你知道吧
[00:02:28 - 00:02:29] 老师我写跑题了
[00:02:29 - 00:02:31] 我说你写的啥
[00:02:31 - 00:02:32] 老师我写的同行恋的问题
[00:02:32 - 00:02:33] 哈哈哈哈
[00:02:33 - 00:02:37] 我写的写的这个问题呢
[00:02:37 - 00:02:39] 老师他不两个男的抱一块的吗
[00:02:41 - 00:02:43] 那两个男的抱一块去同行恋吗
[00:02:43 - 00:02:44] 对不对
[00:02:44 - 00:02:46] 后来有一天我突然想到了
[00:02:47 - 00:02:48] 他为什么写这个东西
[00:02:48 - 00:02:55] 哈哈哈哈
[00:02:55 - 00:02:57] 中国我去古话叫做心中是佛
[00:02:57 - 00:02:58] 看谁都是佛
[00:02:58 - 00:03:00] 哈哈哈哈
[00:03:00 - 00:03:01] 心中是狗屎
[00:03:01 - 00:03:02] 看谁都是狗屎
[00:03:02 - 00:03:03] 说哈
[00:03:03 - 00:03:05] 所以说的话这个东西有的时候不可避免
[00:03:05 - 00:03:06] 所以大家你要注意
[00:03:06 - 00:03:08] 作文这个东西一般不会写跑题的好吗
[00:03:08 - 00:03:09] 然后的话这是英语英语英語二有差
